train/n_updates,rollout/ep_len_mean,train/ent_coef_loss,train/critic_loss,time/episodes,rollout/ep_rew_mean,time/fps,train/actor_loss,time/time_elapsed,train/ent_coef,train/learning_rate,time/total_timesteps
134974,40.56,-1.3802610635757446,36950376.0,7157,131815.5323646,181,-69076.8046875,2973,42.5025520324707,0.001,540000
137474,41.66,-0.30141663551330566,17897102.0,7385,132512.26660029,181,-69297.46875,3031,37.97359848022461,0.001,550000
139974,67.33,1.0420846939086914,34497776.0,7531,126278.34859252001,181,-71175.015625,3088,38.31553649902344,0.001,560000
142474,52.59,0.6223301291465759,8345290.5,7733,128764.50232489001,181,-69571.171875,3145,40.50525665283203,0.001,570000
144974,43.75,-1.1524521112442017,17773082.0,7951,126907.13759451998,181,-73380.9140625,3204,35.16890335083008,0.001,580000
147474,53.41,2.0429298877716064,18324538.0,8157,129877.68365501,180,-71312.4296875,3262,43.66969680786133,0.001,590000
149974,38.59,-1.0755201578140259,19160084.0,8423,132584.60784548,180,-72526.4375,3319,39.690338134765625,0.001,600000
152474,37.22,1.0111167430877686,17246034.0,8668,131842.78984265,180,-73537.8203125,3376,39.08741760253906,0.001,610000
154974,37.07,0.7965515851974487,10231496.0,8942,130753.4252884,180,-72178.53125,3432,40.16275405883789,0.001,620000
157474,68.17,-1.145361304283142,10601327.0,9131,124639.76182497,180,-75592.859375,3491,35.10133743286133,0.001,630000
159974,40.44,2.114610195159912,16057634.0,9368,131632.72847504998,180,-71318.03125,3549,36.588844299316406,0.001,640000
162474,45.52,-0.11558949947357178,12477248.0,9614,130434.95687473999,180,-75082.375,3608,36.7458381652832,0.001,650000
164974,38.1,0.4592348337173462,15939140.0,9873,131385.71496525,179,-71708.625,3666,35.87702560424805,0.001,660000
167474,40.97,-2.153932571411133,29175298.0,10127,131907.80298267,179,-72871.671875,3725,36.17582321166992,0.001,670000
169974,46.23,-0.1587424874305725,117424040.0,10357,131523.04847963,179,-75090.9765625,3783,36.253047943115234,0.001,680000
172474,35.2,-1.606248140335083,18900404.0,10631,130168.32806126,179,-73213.1875,3840,38.20161437988281,0.001,690000
174974,32.17,0.4471757411956787,18809100.0,10923,131594.25505947,179,-78651.6640625,3898,33.62895202636719,0.001,700000
177474,36.83,-0.3905596137046814,38077856.0,11180,131118.20667980998,179,-77835.0859375,3956,34.037391662597656,0.001,710000
179974,39.04,1.5896313190460205,16682803.0,11418,129543.20237562,179,-80474.53125,4014,34.52590560913086,0.001,720000
182474,36.07,0.474514365196228,16177863.0,11707,131472.54469176,179,-81428.6875,4073,34.200077056884766,0.001,730000
184974,43.37,-0.1523655652999878,95620992.0,11978,128272.29866342,179,-79062.125,4131,33.40113067626953,0.001,740000
187474,31.46,0.42547452449798584,9003692.0,12284,132931.65202325,178,-82618.4140625,4190,34.27845764160156,0.001,750000
189974,40.01,0.861626386642456,12000104.0,12552,130506.83933364,178,-81527.4375,4249,31.4304141998291,0.001,760000
192474,70.35,0.11036323010921478,32010166.0,12695,122321.87087111999,178,-81734.875,4307,37.29916000366211,0.001,770000
194974,35.78,0.12522536516189575,46352760.0,12973,131329.3423538,178,-79258.7421875,4366,33.92531204223633,0.001,780000
197474,37.63,-0.22307252883911133,36037344.0,13257,131781.65910899,178,-81388.65625,4425,34.27220916748047,0.001,790000
199974,42.24,-0.9983201026916504,14602207.0,13485,125842.51040696,178,-81162.1015625,4484,35.408966064453125,0.001,800000
202474,37.57,0.22681894898414612,11101442.0,13716,131301.74480168,178,-82834.640625,4543,32.31500244140625,0.001,810000
204974,34.17,1.281653642654419,10476905.0,13968,130282.96051877999,178,-82869.234375,4601,31.314306259155273,0.001,820000
207474,32.34,0.3329479694366455,11779062.0,14274,131553.19437942,178,-84957.1953125,4659,35.98863220214844,0.001,830000
209974,31.12,-1.6235746145248413,9546656.0,14568,132412.91879829,178,-86307.671875,4717,33.65176773071289,0.001,840000
212474,46.49,1.7617686986923218,17332328.0,14744,129637.63837005,177,-82570.734375,4776,32.69776153564453,0.001,850000
214974,52.65,0.8572639226913452,9286258.0,14939,129465.77060915,177,-83068.03125,4835,32.190643310546875,0.001,860000
217474,31.11,0.25538891553878784,23852936.0,15254,131802.31829748,177,-82914.1328125,4893,28.655994415283203,0.001,870000
219974,32.55,-0.4061409831047058,12393729.0,15515,129745.0531721,177,-82969.375,4952,27.425111770629883,0.001,880000
222474,36.4,1.8953779935836792,35989912.0,15821,131916.73595861,177,-83767.078125,5010,29.52007484436035,0.001,890000
224974,38.33,-0.3890317976474762,8258002.0,16118,130442.74134898999,177,-82481.671875,5069,29.208988189697266,0.001,900000
227474,30.36,0.384909987449646,9362238.0,16440,133056.51843691,177,-84343.09375,5127,28.41786003112793,0.001,910000
229974,61.67,-2.8666272163391113,10136287.0,16631,127138.19342925999,177,-85476.90625,5186,27.758474349975586,0.001,920000
232474,32.2,-0.3326943814754486,25471260.0,16934,132789.26701193998,177,-85210.3046875,5245,28.748165130615234,0.001,930000
234974,31.62,0.9469468593597412,9587574.0,17246,132602.48730539,177,-86635.515625,5302,28.60057258605957,0.001,940000
237474,34.04,0.21964144706726074,7081402.0,17521,132941.74290728,177,-88373.390625,5360,32.18532180786133,0.001,950000
239974,30.97,-0.8432204127311707,15903889.0,17814,133002.16269275,177,-87798.03125,5419,30.26047706604004,0.001,960000
242474,31.7,-1.1495373249053955,7469521.5,18125,131653.3116979,177,-87004.3671875,5477,32.26860809326172,0.001,970000
244974,31.14,1.2601408958435059,8084299.5,18426,132003.7,177,-86091.796875,5534,27.51099967956543,0.001,980000
247474,30.11,-0.3239874243736267,5230597.0,18744,132628.74751256,176,-86467.0859375,5593,27.42791748046875,0.001,990000
249974,33.04,-0.9258733987808228,10535326.0,19057,132764.7,176,-87505.5390625,5652,29.52913475036621,0.001,1000000
