rollout/ep_rew_mean,train/learning_rate,train/n_updates,rollout/ep_len_mean,time/fps,train/entropy_loss,train/value_loss,train/policy_loss,train/explained_variance,train/std,time/total_timesteps,time/time_elapsed
-364528.2330948599,0.0001,4249,20.44,1654,-17.03030014038086,7472283648.0,-1402415.0,5.960464477539063e-08,1.000259518623352,340000,205
-286877.62028308003,0.0001,4374,15.86,1653,-17.033184051513672,6574637568.0,-1271190.75,0.0,1.0005356073379517,350000,211
-339014.12637750997,0.0001,4499,19.62,1652,-17.03656768798828,7659598848.0,-1421501.0,5.960464477539063e-08,1.000776767730713,360000,217
-312280.71267523,0.0001,4624,18.34,1650,-17.03479766845703,6294686720.0,-1252299.0,1.7881393432617188e-07,1.0006619691848755,370000,224
-366096.32023662,0.0001,4749,22.32,1650,-17.035938262939453,7119194624.0,-1336720.625,0.0,1.0007429122924805,380000,230
-321284.19624622003,0.0001,4874,18.69,1649,-17.031654357910156,8276070400.0,-1511170.5,0.0,1.0003677606582642,390000,236
-332809.85912016995,0.0001,4999,19.5,1649,-17.036602020263672,9359970304.0,-1546942.75,0.0,1.000760555267334,400000,242
-401438.16599827004,0.0001,5124,25.05,1648,-17.04199981689453,6357919744.0,-1274019.0,1.7881393432617188e-07,1.0012439489364624,410000,248
-381673.18974430993,0.0001,5249,23.06,1647,-17.041088104248047,7768763392.0,-1461991.5,0.0,1.0011602640151978,420000,254
-435493.4634899201,0.0001,5374,27.39,1646,-17.03360366821289,6108230144.0,-1218486.25,-1.1920928955078125e-07,1.0005773305892944,430000,261
-358801.16232296004,0.0001,5499,21.67,1645,-17.034364700317383,5609444352.0,-1090404.75,0.0,1.000613808631897,440000,267
-371026.74131883995,0.0001,5624,22.71,1645,-17.03769302368164,7133983744.0,-1343970.75,0.0,1.0008612871170044,450000,273
-341502.36070798,0.0001,5749,20.54,1644,-17.032331466674805,3910844416.0,-776763.625,-1.1920928955078125e-07,1.0004148483276367,460000,279
-338923.17168485007,0.0001,5874,20.13,1644,-17.026329040527344,5955379200.0,-1104606.625,-1.1920928955078125e-07,0.9999820590019226,470000,285
