time/total_timesteps,train/policy_loss,time/time_elapsed,train/entropy_loss,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,train/value_loss,train/learning_rate,train/n_updates,train/explained_variance,train/std
460000,-10037.974609375,291,-13.619054794311523,101.44,1575,-93286.69330769,18041698.0,0.0007,22999,0.0,1.1018134355545044
470000,11061.111328125,298,-13.620306015014648,64.07,1576,-99768.86345297,5019126.0,0.0007,23499,-4.76837158203125e-07,1.1027874946594238
480000,-40527.5390625,304,-13.619768142700195,36.2,1577,-126617.21931819,25577028.0,0.0007,23999,-2.384185791015625e-07,1.1021071672439575
490000,-104070.328125,310,-13.728967666625977,91.21,1578,-139360.93282339998,199407472.0,0.0007,24499,-1.1920928955078125e-07,1.115480899810791
500000,-1074.343505859375,316,-13.740510940551758,58.43,1579,-101503.78199971002,7689.13134765625,0.0007,24999,0.00010001659393310547,1.117246150970459
510000,2260.412109375,322,-13.682685852050781,79.51,1579,-117457.17781026002,485427.4375,0.0007,25499,3.5762786865234375e-07,1.1097614765167236
520000,2570.217529296875,328,-13.654027938842773,95.58,1581,-110465.75112495998,61391.4296875,0.0007,25999,-1.728534698486328e-05,1.1072043180465698
530000,-20880.857421875,334,-13.706018447875977,170.77,1583,-127747.57755651,16148275.0,0.0007,26499,-2.384185791015625e-07,1.1143165826797485
540000,-1177.8031005859375,340,-13.755409240722656,69.32,1584,-136440.68846474003,10357.6982421875,0.0007,26999,-2.384185791015625e-07,1.1196235418319702
550000,-1159.14697265625,346,-13.862457275390625,136.29,1585,-116322.24770157001,9473.9072265625,0.0007,27499,-1.5854835510253906e-05,1.133476734161377
560000,-343212.59375,352,-13.858091354370117,221.2,1587,-117003.20506578,2392189440.0,0.0007,27999,1.0013580322265625e-05,1.1341207027435303
570000,-3929.673095703125,358,-13.880971908569336,144.68,1588,-86863.43892839999,5475263.0,0.0007,28499,0.0,1.1379954814910889
580000,-1807.3043212890625,364,-13.867197036743164,97.13,1589,-163488.88043698,26025.12890625,0.0007,28999,2.5153160095214844e-05,1.1357512474060059
590000,-126347.6640625,370,-13.975984573364258,151.23,1590,-121065.35386847999,356882880.0,0.0007,29499,-0.022039294242858887,1.1479257345199585
600000,32731.36328125,376,-13.976533889770508,241.5,1591,-138845.40342654,11638405.0,0.0007,29999,0.18002551794052124,1.147444486618042
610000,-56784.83203125,383,-14.077966690063477,165.95,1592,-130529.70347831998,50624456.0,0.0007,30499,2.384185791015625e-07,1.1602673530578613
620000,-955.3922729492188,389,-14.095746994018555,117.05,1593,-123166.736325,5347.9404296875,0.0007,30999,-0.00013375282287597656,1.1624093055725098
630000,-31384.05078125,395,-14.116823196411133,165.45,1594,-210983.91535769,25525770.0,0.0007,31499,0.01772230863571167,1.165060043334961
640000,-105533.0625,401,-14.07752799987793,55.36,1594,-133895.55798563,563708928.0,0.0007,31999,0.006354331970214844,1.159208059310913
650000,-205796.140625,407,-13.981698989868164,131.02,1595,-116960.60093943,1447863296.0,0.0007,32499,0.002116858959197998,1.1467937231063843
660000,-38389.109375,413,-14.063730239868164,188.63,1595,-251365.96659846,53373880.0,0.0007,32999,5.960464477539063e-08,1.1562390327453613
670000,-1743.0687255859375,419,-14.04173469543457,210.73,1596,-286457.87157058,21786.37890625,0.0007,33499,4.76837158203125e-07,1.1544206142425537
680000,-1206.5621337890625,425,-14.124261856079102,183.06,1597,-147827.00412224,12323.8486328125,0.0007,33999,2.980232238769531e-07,1.1647448539733887
690000,-1947.3623046875,431,-14.138940811157227,202.42,1598,-146408.62477094,29618.33203125,0.0007,34499,-1.5497207641601562e-06,1.1668801307678223
700000,960.9625854492188,437,-14.190885543823242,65.48,1599,-91762.97734782999,109388.0390625,0.0007,34999,-2.384185791015625e-07,1.1736599206924438
710000,-18138.810546875,443,-14.219057083129883,137.15,1600,-99573.58958430003,10481828.0,0.0007,35499,2.4318695068359375e-05,1.1766407489776611
720000,2272.329833984375,449,-14.241689682006836,58.7,1602,-119666.76844002,124330.484375,0.0007,35999,-3.5762786865234375e-07,1.1791878938674927
730000,-1907.1187744140625,455,-14.279691696166992,114.66,1602,-100224.25581661999,22960.751953125,0.0007,36499,-1.1920928955078125e-07,1.1839185953140259
740000,-2125.19384765625,461,-14.260683059692383,196.21,1603,-111859.79048935,35564.8203125,0.0007,36999,0.0,1.1821507215499878
750000,-70462.5078125,467,-14.257055282592773,277.74,1603,-174389.6110108,59916872.0,0.0007,37499,0.0,1.1811861991882324
760000,-176322.53125,473,-14.21876335144043,133.95,1603,-122456.81244930999,1008191680.0,0.0007,37999,0.005638599395751953,1.175955891609192
770000,-80414.234375,480,-14.169286727905273,92.98,1604,48785.5258543,77537960.0,0.0007,38499,-1.0728836059570312e-06,1.1697815656661987
780000,-92521.25,486,-14.212882995605469,79.65,1604,-106932.44475463999,79339624.0,0.0007,38999,-4.76837158203125e-07,1.1745644807815552
790000,-37666.453125,492,-14.294641494750977,155.19,1604,-140449.68260403,24756426.0,0.0007,39499,0.0,1.1856530904769897
800000,-21574.67578125,498,-14.260049819946289,23.36,1604,-104707.70112999002,25625278.0,0.0007,39999,0.0,1.181607723236084
810000,-987.4495849609375,504,-14.297296524047852,77.86,1604,-132793.58988696002,14259.609375,0.0007,40499,-8.702278137207031e-06,1.1859251260757446
820000,-948.1619262695312,510,-14.355026245117188,76.99,1604,-115629.81724695001,6557.9189453125,0.0007,40999,1.5497207641601562e-06,1.1938669681549072
830000,-1001.65771484375,517,-14.375799179077148,64.37,1604,-85981.27181215999,6498.5029296875,0.0007,41499,0.0035299062728881836,1.1960911750793457
840000,-935.3697509765625,523,-14.376551628112793,118.07,1605,-88402.27172364002,5367.03759765625,0.0007,41999,2.2649765014648438e-06,1.1965723037719727
850000,-581185.1875,529,-14.481966018676758,38.94,1605,-89525.62087561,3678455296.0,0.0007,42499,-0.001888275146484375,1.2109483480453491
860000,24880.041015625,535,-14.440141677856445,39.92,1605,-52305.356541370005,7045120.0,0.0007,42999,0.4405643343925476,1.2055447101593018
870000,19525.63671875,542,-14.438814163208008,28.32,1605,-92357.83298243002,8989613.0,0.0007,43499,0.3360152244567871,1.2053040266036987
880000,4211.828125,548,-14.431732177734375,51.77,1605,-75255.44927769998,13968325.0,0.0007,43999,2.3245811462402344e-06,1.2041738033294678
890000,-665.6296997070312,554,-14.44305419921875,47.84,1605,-101088.23927566002,47359788.0,0.0007,44499,-0.022185802459716797,1.206043004989624
900000,14691.3935546875,560,-14.517492294311523,27.49,1604,-117163.89579371002,25229188.0,0.0007,44999,-0.03028690814971924,1.2159253358840942
910000,-8341.017578125,567,-14.563592910766602,39.5,1604,-107081.17879191,5212616.5,0.0007,45499,5.0067901611328125e-06,1.222637414932251
920000,-19007.79296875,573,-14.533243179321289,64.29,1604,-92527.70533154001,11676194.0,0.0007,45999,-7.867813110351562e-05,1.2175345420837402
930000,-839.8157348632812,579,-14.493440628051758,115.47,1604,-73650.54135415,3745.618408203125,0.0007,46499,4.291534423828125e-06,1.2118268013000488
940000,16550.98828125,585,-14.434640884399414,133.16,1604,-25416.28362183,6510030.5,0.0007,46999,0.3976631760597229,1.2042732238769531
950000,-1144.614013671875,591,-14.513757705688477,95.44,1604,-52066.77977539,7977.0693359375,0.0007,47499,-2.5033950805664062e-06,1.214876651763916
960000,-7461.9501953125,598,-14.493322372436523,60.15,1605,-86939.46625186002,3696649.5,0.0007,47999,-1.1920928955078125e-07,1.2127037048339844
970000,-17460.078125,604,-14.498266220092773,123.13,1605,-104739.54483121,13109562.0,0.0007,48499,-0.0037158727645874023,1.2137482166290283
980000,-7880.83837890625,610,-14.475435256958008,87.1,1605,-112507.13635592003,27004484.0,0.0007,48999,-0.014011859893798828,1.2100801467895508
990000,6351.94921875,616,-14.617588996887207,152.48,1606,-89605.96633295002,2529324.5,0.0007,49499,4.124641418457031e-05,1.2291324138641357
1000000,84.05873107910156,622,-14.620355606079102,200.27,1606,-120777.98770186,32563.45703125,0.0007,49999,0.0,1.2296626567840576
