rollout/ep_rew_mean,time/fps,time/episodes,train/learning_rate,rollout/ep_len_mean,train/n_updates,train/ent_coef_loss,time/total_timesteps,train/critic_loss,train/ent_coef,train/actor_loss,time/time_elapsed
-91140.80069952001,147,6690,0.0003,249.98,92474,1.4353770017623901,370000,3315.208740234375,139.99610900878906,197409.53125,2510
-88382.32425852999,147,6707,0.0003,251.14,94974,2.5847272872924805,380000,3884.561279296875,124.56387329101562,175467.890625,2568
-84152.84616376001,148,6715,0.0003,298.85,97474,0.2329261600971222,390000,3670.94140625,123.9658203125,146838.640625,2623
-80684.89303384001,149,6729,0.0003,371.53,99974,-0.8567163348197937,400000,3399.0244140625,116.24484252929688,143123.421875,2671
-97798.09715253,150,6971,0.0003,41.73,102474,0.09985268115997314,410000,3110.946533203125,120.5833511352539,136290.78125,2719
-98590.29234106997,151,7080,0.0003,75.65,104974,1.3710201978683472,420000,2969.5009765625,110.76351928710938,113631.328125,2766
-93310.87425679,152,7117,0.0003,161.34,107474,-0.06564629077911377,430000,3257.687744140625,99.30477142333984,111108.953125,2816
-91906.38384042997,153,7232,0.0003,91.22,109974,-0.7939713001251221,440000,3666.546630859375,89.18319702148438,92065.734375,2873
-89319.11078521,153,7242,0.0003,168.81,112474,1.5153251886367798,450000,2727.849853515625,84.40833282470703,87854.7109375,2924
-86366.43914426999,154,7252,0.0003,256.11,114974,0.24425125122070312,460000,3093.832763671875,72.71503448486328,93453.0078125,2971
-82362.08404217,155,7272,0.0003,356.41,117474,1.8013336658477783,470000,3261.805908203125,66.31331634521484,75400.1328125,3021
-180241.42508522,156,7288,0.0003,453.88,119974,0.17955636978149414,480000,2787.934814453125,61.33073043823242,72116.1875,3075
-227680.83295164004,156,7296,0.0003,529.38,122474,-1.7583355903625488,490000,3344.875244140625,53.67729187011719,88872.4921875,3126
