train/policy_loss,rollout/ep_rew_mean,train/n_updates,train/explained_variance,train/std,rollout/ep_len_mean,train/entropy_loss,time/fps,train/learning_rate,time/total_timesteps,train/value_loss,time/time_elapsed
-46956.0234375,-138619.28047091,8374,-1.1920928955078125e-07,0.9814424514770508,186.84,-8.399524688720703,3432,0.0001,670000,432237504.0,195
-60694.84375,-143792.25210896,8499,5.960464477539063e-08,0.9805195331573486,200.9,-8.394311904907227,3431,0.0001,680000,496930368.0,198
-87275.234375,-145382.96141276998,8624,0.0,0.9804613590240479,210.98,-8.394392013549805,3430,0.0001,690000,525733952.0,201
-9760.359375,-134669.26405056997,8749,0.0,0.9801852107048035,203.19,-8.392095565795898,3429,0.0001,700000,9212064.0,204
-26295.76171875,-134434.41968132,8874,0.0,0.9801060557365417,209.0,-8.392035484313965,3428,0.0001,710000,25545810.0,207
4331.42724609375,-135207.77459766,8999,1.1920928955078125e-07,0.9799199104309082,214.16,-8.390436172485352,3427,0.0001,720000,5101564.0,210
-9274.826171875,-141664.99499578,9124,0.0,0.9792380332946777,213.86,-8.3865385055542,3426,0.0001,730000,14724118.0,213
-29429.880859375,-156030.72511874,9249,5.960464477539063e-08,0.9794812202453613,249.2,-8.388001441955566,3425,0.0001,740000,64172116.0,216
-2830.658935546875,-154631.12888931,9374,0.0,0.9795050024986267,238.99,-8.388266563415527,3424,0.0001,750000,4997997.5,218
-7019.40625,-140522.93932064998,9499,0.0,0.9801084995269775,214.6,-8.392012596130371,3423,0.0001,760000,11882942.0,222
8314.603515625,-132784.09104121,9624,0.0,0.9796136021614075,214.13,-8.38864803314209,3422,0.0001,770000,2967087.5,225
-76799.796875,-142446.77944953,9749,0.0,0.9794003963470459,220.55,-8.387524604797363,3421,0.0001,780000,518637888.0,227
3671.504638671875,-130419.03241834,9874,0.0,0.9798901677131653,205.59,-8.390532493591309,3420,0.0001,790000,558492.5625,230
-15736.34375,-125140.0109539,9999,1.7881393432617188e-07,0.9794750213623047,195.91,-8.387595176696777,3419,0.0001,800000,20178014.0,233
-76887.578125,-132185.6037475,10124,0.0,0.979722261428833,197.48,-8.389413833618164,3417,0.0001,810000,526303904.0,236
-148677.859375,-131554.8833631,10249,0.0,0.9796411991119385,207.93,-8.388599395751953,3417,0.0001,820000,1036022400.0,239
-814.4515991210938,-129857.54849236,10374,0.0,0.9798310399055481,204.73,-8.389649391174316,3415,0.0001,830000,1373712.0,242
-19769.69921875,-137472.73320795002,10499,-1.1920928955078125e-07,0.9792386889457703,205.69,-8.386119842529297,3414,0.0001,840000,15356885.0,245
-18772.712890625,-125621.00268601999,10624,0.0,0.9797766804695129,182.18,-8.389344215393066,3413,0.0001,850000,18420192.0,248
-19079.673828125,-117648.42954799999,10749,-1.1920928955078125e-07,0.9798203110694885,170.2,-8.389649391174316,3412,0.0001,860000,32539844.0,251
-56646.73828125,-116628.54543710999,10874,5.960464477539063e-08,0.979896605014801,161.58,-8.389881134033203,3411,0.0001,870000,492018624.0,254
-11476.255859375,-113930.47255886,10999,0.0,0.9794192910194397,160.51,-8.3870849609375,3410,0.0001,880000,9705290.0,258
-20258.173828125,-120366.02393932,11124,0.0,0.9795584678649902,195.86,-8.388077735900879,3410,0.0001,890000,222325024.0,260
-9541.6142578125,-132016.00065293,11249,0.0,0.9793162941932678,218.02,-8.386188507080078,3409,0.0001,900000,16760853.0,263
1646.454833984375,-136942.70415628998,11374,0.0,0.9793971180915833,224.4,-8.3871488571167,3408,0.0001,910000,312177.03125,266
-158003.234375,-133906.28756119002,11499,0.0,0.978541910648346,223.33,-8.381448745727539,3407,0.0001,920000,1052458496.0,269
-267.5618591308594,-137661.86120237998,11624,0.0,0.9787275195121765,252.33,-8.383172988891602,3404,0.0001,930000,25500.30859375,273
-11927.4443359375,-136693.57956996,11749,2.384185791015625e-07,0.978371798992157,244.55,-8.380764961242676,3403,0.0001,940000,10646233.0,276
1703.6416015625,-127216.31664031,11874,0.0,0.9774013161659241,209.2,-8.374600410461426,3402,0.0001,950000,276966.5625,279
-79488.1953125,-122236.23889989998,11999,5.960464477539063e-08,0.9773814678192139,192.9,-8.374223709106445,3401,0.0001,960000,531438336.0,282
-2095.08056640625,-124238.80658748001,12124,0.0,0.9770291447639465,211.11,-8.3720064163208,3400,0.0001,970000,6287783.0,285
4138.640625,-126518.95256670001,12249,-1.1920928955078125e-07,0.977471113204956,218.87,-8.375116348266602,3400,0.0001,980000,1349500.75,288
-9768.5224609375,-122899.27778959998,12374,-1.1920928955078125e-07,0.9764857292175293,214.95,-8.369266510009766,3398,0.0001,990000,9107370.0,291
450.57940673828125,-125599.53490182,12499,1.1920928955078125e-07,0.9760844707489014,233.72,-8.366695404052734,3398,0.0001,1000000,67069.0546875,294
