train/n_updates,train/kl_divergence_loss,rollout/ep_len_mean,train/value_loss,time/fps,time/time_elapsed,train/policy_objective,train/std,train/is_line_search_success,train/explained_variance,train/learning_rate,rollout/ep_rew_mean,time/total_timesteps
45,0.006948382593691349,57.61,1572355381.8,1179,313,0.09334979206323624,0.8291366696357727,1.0,0.0,0.001,6905.13445209,370000
46,0.007246843073517084,54.48,1518258151.1,1180,321,0.095482736825943,0.8262537121772766,1.0,0.0,0.001,37764.40785620999,380000
47,0.007391319144517183,54.14,1615142991.2,1181,330,0.08724430948495865,0.824558675289154,1.0,0.0,0.001,30351.666136980002,390000
48,0.0071359542198479176,56.88,1538855469.4,1182,338,0.09276752173900604,0.8177579641342163,1.0,0.0,0.001,36877.53075376,400000
50,0.007724327966570854,50.25,1728558973.2,1177,348,0.09304554760456085,0.8087171316146851,1.0,0.0,0.001,57420.069054269996,410000
51,0.007407557684928179,49.48,1744312658.0,1178,356,0.08980032801628113,0.8051270842552185,1.0,0.0,0.001,74979.27429954,420000
52,0.007165559101849794,46.0,1749052726.4,1179,364,0.10207297652959824,0.8004513382911682,1.0,0.0,0.001,82043.55020948,430000
53,0.007278067525476217,45.77,1846974727.6,1179,372,0.08798877149820328,0.7993127107620239,1.0,-1.1920928955078125e-07,0.001,84309.83122158,440000
54,0.007932323962450027,44.9,1965891245.4,1180,381,0.07872238010168076,0.7969874143600464,1.0,0.0,0.001,75140.39892007998,450000
56,0.007728624157607555,40.98,2040912594.4,1176,391,0.08623529970645905,0.7929016351699829,1.0,0.0,0.001,113194.82159481,460000
57,0.007919378578662872,43.14,2179822808.6,1176,399,0.09007371217012405,0.7888011932373047,1.0,0.0,0.001,103912.93069532,470000
58,0.00799189880490303,37.58,2269666282.2,1176,408,0.08905965834856033,0.782318651676178,1.0,0.0,0.001,110180.35716797001,480000
59,0.008634096011519432,39.69,2327454166.8,1176,416,0.09472356736660004,0.7789379358291626,1.0,0.0,0.001,111552.08731348,490000
61,0.007586863357573748,37.11,2528424508.4,1172,426,0.08931779861450195,0.771426260471344,1.0,-1.1920928955078125e-07,0.001,111790.70771892,500000
62,0.0077721425332129,36.61,2546420757.0,1172,434,0.08015558868646622,0.7689115405082703,1.0,5.960464477539063e-08,0.001,112811.47808571,510000
63,0.008258952759206295,39.15,2608526612.8,1172,443,0.07880794256925583,0.7656592130661011,1.0,0.0,0.001,114222.15904977001,520000
64,0.008232951164245605,34.4,2709010432.6,1171,452,0.08199108392000198,0.7618008255958557,1.0,0.0,0.001,115383.38754700002,530000
65,0.0077591328881680965,35.88,2769660876.2,1171,460,0.07617492973804474,0.760360836982727,1.0,0.0,0.001,121693.80823715997,540000
67,0.00867551565170288,35.16,2831248961.0,1167,470,0.08688554167747498,0.756225049495697,1.0,0.0,0.001,120395.54264954999,550000
68,0.008305876515805721,33.44,2850984984.0,1167,479,0.07316233217716217,0.7542884349822998,1.0,0.0,0.001,123065.47397081999,560000
69,0.0081935478374362,33.14,2976961828.8,1167,488,0.0841103121638298,0.7508574724197388,1.0,0.0,0.001,125931.6054205,570000
70,0.008439249359071255,32.33,3007889114.0,1167,496,0.08244869112968445,0.7482954859733582,1.0,-2.384185791015625e-07,0.001,127656.33821181,580000
72,0.008048663847148418,31.36,3214654089.6,1164,506,0.08563682436943054,0.747251570224762,1.0,-1.1920928955078125e-07,0.001,129939.19915152,590000
73,0.008126016706228256,29.89,3147206583.6,1163,515,0.07366056740283966,0.7418760657310486,1.0,0.0,0.001,119582.09821637001,600000
74,0.008215109817683697,29.53,3297694712.0,1163,524,0.08558864146471024,0.7393724322319031,1.0,0.0,0.001,121692.55754985001,610000
75,0.008394612930715084,30.27,3279200815.6,1162,533,0.07785191386938095,0.7402000427246094,1.0,0.0,0.001,120934.67977644,620000
76,0.009017709642648697,27.62,3380161234.4,1162,542,0.07663345336914062,0.7375965118408203,1.0,0.0,0.001,128090.57463856,630000
78,0.009078898467123508,27.23,3626326934.4,1158,552,0.07725291699171066,0.7346100211143494,1.0,0.0,0.001,130040.72958935,640000
79,0.008880387991666794,28.39,3488355279.6,1158,561,0.0847332626581192,0.7352409362792969,1.0,-1.1920928955078125e-07,0.001,129783.12705827999,650000
80,0.00864512287080288,26.8,3598663760.0,1157,569,0.07799723744392395,0.7349964380264282,1.0,0.0,0.001,127484.39846248999,660000
81,0.008694971911609173,25.9,3741951644.4,1157,578,0.06978045403957367,0.731997549533844,1.0,-1.1920928955078125e-07,0.001,126670.68982655,670000
83,0.008870271034538746,24.75,3891373157.6,1153,589,0.0725279301404953,0.7294213175773621,1.0,-1.1920928955078125e-07,0.001,131084.82502208,680000
84,0.008426791056990623,24.0,3816508615.2,1153,598,0.074836365878582,0.7296351194381714,1.0,0.0,0.001,131134.24193024,690000
85,0.008909037336707115,24.62,4093906037.2,1153,607,0.08152114599943161,0.728585422039032,1.0,0.0,0.001,129680.50767469,700000
86,0.00933815073221922,25.59,3826067074.8,1152,615,0.07693683356046677,0.7281535863876343,1.0,0.0,0.001,130432.82874447,710000
87,0.009131103754043579,23.74,4058548116.4,1152,624,0.07916124165058136,0.7257847189903259,1.0,5.960464477539063e-08,0.001,130027.12866288003,720000
89,0.009311100468039513,25.15,4058695252.4,1150,634,0.07397665083408356,0.721176266670227,1.0,0.0,0.001,130150.5738948,730000
90,0.008838385343551636,23.55,4289027374.0,1149,643,0.07409603893756866,0.7202413082122803,1.0,-1.1920928955078125e-07,0.001,130349.42753535001,740000
91,0.009263678453862667,23.11,4179420006.0,1149,652,0.06304650008678436,0.7191868424415588,1.0,0.0,0.001,131063.29067442,750000
92,0.008580927737057209,24.71,4325881646.4,1149,660,0.07122353464365005,0.7192775011062622,1.0,-1.1920928955078125e-07,0.001,130271.62353428,760000
93,0.009401243180036545,24.96,4221198870.8,1150,669,0.07714349776506424,0.7184417247772217,1.0,-1.1920928955078125e-07,0.001,129861.43234664002,770000
95,0.008942997083067894,22.87,4460101659.6,1147,679,0.06311267614364624,0.7129203677177429,1.0,1.1920928955078125e-07,0.001,130873.38943473,780000
96,0.00858626700937748,22.63,4116451849.2,1147,688,0.06703706085681915,0.7143639326095581,1.0,0.0,0.001,131178.15213352,790000
97,0.00915469415485859,21.35,4550375758.4,1148,696,0.07148405909538269,0.7128186821937561,1.0,0.0,0.001,131471.18632789,800000
98,0.008801247924566269,24.25,4548614420.0,1148,705,0.07248562574386597,0.7133054137229919,1.0,0.0,0.001,130992.4475801,810000
100,0.009053356014192104,22.5,4610136715.2,1146,715,0.06491494923830032,0.7106141448020935,1.0,-2.384185791015625e-07,0.001,131619.30241181998,820000
101,0.009124462492763996,21.41,4548388427.6,1146,723,0.06416183710098267,0.7089285254478455,1.0,0.0,0.001,128603.79283738001,830000
102,0.00934890378266573,22.68,4735033992.4,1146,732,0.079978808760643,0.7073776125907898,1.0,1.7881393432617188e-07,0.001,130989.5,840000
103,0.009429599158465862,21.84,4731059851.2,1146,741,0.07150153070688248,0.7062729001045227,1.0,-2.384185791015625e-07,0.001,131512.34779426001,850000
104,0.009271880611777306,22.38,4740195375.2,1147,749,0.06800802052021027,0.7042030692100525,1.0,0.0,0.001,131304.19630615,860000
106,0.009204594418406487,20.46,4777342780.0,1145,759,0.06983865797519684,0.6997696161270142,1.0,0.0,0.001,131515.60740058,870000
107,0.008733237162232399,20.68,4739569103.2,1145,768,0.06748484820127487,0.6980037093162537,1.0,0.0,0.001,131608.3109407,880000
108,0.009156161919236183,21.64,4750571068.0,1145,777,0.06668151170015335,0.6978235840797424,1.0,0.0,0.001,131746.71667229998,890000
109,0.00897665973752737,21.4,4583298832.0,1145,786,0.0721035897731781,0.6950773000717163,1.0,-2.384185791015625e-07,0.001,132073.13137962998,900000
111,0.00910253170877695,20.73,4758746320.0,1142,796,0.061038680374622345,0.6931559443473816,1.0,1.1920928955078125e-07,0.001,131694.03789789,910000
112,0.00931931659579277,21.19,5002720800.0,1142,805,0.07174336165189743,0.6921777129173279,1.0,0.0,0.001,132672.66766784,920000
113,0.008955474011600018,21.83,4839359190.4,1141,814,0.06789609044790268,0.691442608833313,1.0,0.0,0.001,132431.49729009,930000
114,0.009351014159619808,20.62,4776553212.4,1140,823,0.06799094378948212,0.6903032064437866,1.0,-1.1920928955078125e-07,0.001,132508.53441669,940000
115,0.009101374074816704,22.36,4966743778.4,1140,833,0.07063934952020645,0.689079225063324,1.0,-2.384185791015625e-07,0.001,131572.64485399998,950000
117,0.008815751411020756,19.08,5037741400.8,1137,843,0.062496863305568695,0.6885743737220764,1.0,-1.1920928955078125e-07,0.001,132180.15398477,960000
118,0.009207740426063538,19.64,5064919196.8,1137,853,0.06083676964044571,0.6876162886619568,1.0,-1.1920928955078125e-07,0.001,131973.86236467,970000
119,0.009091856889426708,19.84,5173804646.4,1136,862,0.061836402863264084,0.6865680813789368,1.0,0.0,0.001,132458.5,980000
120,0.008534369990229607,19.21,4817009448.4,1136,870,0.0731155276298523,0.6861974596977234,1.0,0.0,0.001,132595.20796177,990000
122,0.009202667511999607,20.23,5143493483.2,1134,881,0.06268206983804703,0.6846179962158203,1.0,0.0,0.001,132038.92361444,1000000
