rollout/ep_rew_mean,time/time_elapsed,train/actor_loss,time/episodes,rollout/ep_len_mean,train/critic_loss,train/n_updates,train/learning_rate,time/total_timesteps,train/ent_coef_loss,train/ent_coef,time/fps
-125335.89216496,1886,129882.8125,62732,4.0,18201276.0,94974,0.001,380000,-2.84496808052063,36.669132232666016,201
-125235.03763025999,1939,128178.1484375,65230,4.0,15497442.0,97474,0.001,390000,-0.11869370937347412,33.038143157958984,201
-125450.11658537001,1992,124908.484375,67729,4.0,20200036.0,99974,0.001,400000,1.4350577592849731,32.651798248291016,200
-125533.77522141,2045,139547.546875,70229,4.0,23132146.0,102474,0.001,410000,-0.586833655834198,53.82802963256836,200
-125624.05817871998,2098,131365.234375,72729,4.0,21265544.0,104974,0.001,420000,-1.1150178909301758,40.60830307006836,200
-125530.93739879999,2149,132962.3125,75229,4.0,13567938.0,107474,0.001,430000,-0.2052249312400818,40.402122497558594,200
-125496.00964241,2202,128060.2265625,77729,4.0,51374884.0,109974,0.001,440000,2.391818046569824,35.57204818725586,199
-125569.87630881001,2260,132184.5,80229,4.0,16495176.0,112474,0.001,450000,-1.9112401008605957,34.688968658447266,199
-126011.55722583998,2317,126607.8671875,82726,4.07,19228608.0,114974,0.001,460000,-2.943239212036133,34.514366149902344,198
-125470.67317517,2377,127076.59375,85226,4.0,23292320.0,117474,0.001,470000,-1.1183581352233887,30.882661819458008,197
-125568.62782806,2429,123038.46875,87722,4.0,13528144.0,119974,0.001,480000,-0.3517136573791504,33.32628631591797,197
-125345.88988569002,2486,123428.203125,90222,4.0,13963764.0,122474,0.001,490000,0.3203127384185791,29.323684692382812,197
-125208.66608231999,2544,131742.96875,92722,4.0,28521970.0,124974,0.001,500000,-4.767330169677734,28.656457901000977,196
-125547.46718973001,2603,127055.3515625,95219,4.0,8227729.5,127474,0.001,510000,1.6991794109344482,28.133581161499023,195
-125437.38531259999,2663,123767.1953125,97719,4.0,5485036.5,129974,0.001,520000,3.1239187717437744,29.114276885986328,195
-125513.51855392,2716,125251.0859375,100200,4.0,23921864.0,132474,0.001,530000,-3.9542462825775146,28.167844772338867,195
-125173.45535208001,2776,121718.171875,102700,4.0,50607208.0,134974,0.001,540000,0.5405526161193848,29.83264923095703,194
-125552.22167306,2833,125409.46875,105200,4.0,19855264.0,137474,0.001,550000,-0.7543331384658813,28.68650245666504,194
-125675.34443319001,2888,123422.4765625,107700,4.0,5119894.0,139974,0.001,560000,3.0260350704193115,28.70233917236328,193
