train/policy_loss,train/entropy_loss,train/n_updates,train/value_loss,time/fps,time/time_elapsed,train/std,rollout/ep_rew_mean,time/total_timesteps,train/learning_rate,rollout/ep_len_mean,train/explained_variance
-1599120.25,-24.049959182739258,21499,6094303232.0,1043,412,1.2100621461868286,-453847.87745318003,430000,0.0007,19.47,-2.384185791015625e-07
-1412811.125,-24.147233963012695,21999,5201990656.0,1042,422,1.2175101041793823,-309337.08421465,440000,0.0007,15.78,0.0
-1367948.75,-24.08648109436035,22499,4953828352.0,1041,432,1.2123311758041382,-285697.67214866,450000,0.0007,13.88,0.0
-1744518.625,-24.173276901245117,22999,7589947904.0,1041,441,1.219627857208252,-373751.9973136999,460000,0.0007,14.58,-1.1920928955078125e-07
-1337325.125,-24.170520782470703,23499,4718260224.0,1041,451,1.2199658155441284,-293736.68330377,470000,0.0007,14.65,0.0
-1862589.0,-24.276689529418945,23999,8083526656.0,1042,460,1.2292858362197876,-242195.16193378,480000,0.0007,12.25,0.0
-2431464.75,-24.400177001953125,24499,13329732608.0,1043,469,1.2389041185379028,-368309.67648404994,490000,0.0007,17.72,5.960464477539063e-08
-1504609.625,-24.515302658081055,24999,5037872128.0,1043,478,1.2472394704818726,-498346.06171921996,500000,0.0007,23.24,5.960464477539063e-08
-1501307.625,-24.555055618286133,25499,4794325504.0,1043,488,1.2502427101135254,-267102.42066999,510000,0.0007,13.72,1.1920928955078125e-07
-1227207.75,-24.771928787231445,25999,4025914880.0,1043,498,1.2693655490875244,-318226.07133140997,520000,0.0007,15.04,0.0
-1793816.25,-24.809280395507812,26499,7705617920.0,1042,508,1.272552251815796,-297588.46485923,530000,0.0007,13.18,0.0
-1731183.625,-24.866975784301758,26999,7050620928.0,1042,518,1.2773696184158325,-396784.75144623994,540000,0.0007,18.13,0.0
-1336464.0,-25.02001953125,27499,3513747968.0,1042,527,1.2900521755218506,-414051.98167345003,550000,0.0007,17.4,-1.1920928955078125e-07
-1987578.25,-25.06129264831543,27999,9160556544.0,1042,537,1.2937110662460327,-445594.6712247899,560000,0.0007,17.31,0.0
-1687520.375,-25.28591537475586,28499,5886609408.0,1042,546,1.3136096000671387,-559356.13924716,570000,0.0007,20.2,1.1920928955078125e-07
-1978912.0,-25.33503532409668,28999,8008891392.0,1042,556,1.3186861276626587,-381415.95989123004,580000,0.0007,16.9,-1.1920928955078125e-07
-939915.375,-25.337142944335938,29499,2039640320.0,1043,565,1.3180127143859863,-328444.10980921,590000,0.0007,14.85,0.0
-1861260.0,-25.376983642578125,29999,7736851456.0,1043,574,1.3218612670898438,-425543.96291283995,600000,0.0007,17.51,0.0
-1895699.25,-25.37481689453125,30499,7540278784.0,1043,584,1.3216474056243896,-277303.3297767801,610000,0.0007,12.11,0.0
-1435144.75,-25.397253036499023,30999,4822173696.0,1043,594,1.3242851495742798,-378874.48265281017,620000,0.0007,18.59,0.0
-1770813.375,-25.4803524017334,31499,5643222016.0,1043,603,1.331001877784729,-463907.2743336201,630000,0.0007,19.21,0.0
-1335117.75,-25.509063720703125,31999,3460103424.0,1044,612,1.333950400352478,-366029.3982423299,640000,0.0007,17.37,-1.1920928955078125e-07
-1658823.75,-25.543962478637695,32499,5902070272.0,1044,622,1.337174654006958,-257420.85141186,650000,0.0007,12.02,0.0
-1691673.25,-25.579299926757812,32999,5600841728.0,1044,632,1.3398438692092896,-406076.22947304003,660000,0.0007,18.88,0.0
-1533425.0,-25.636688232421875,33499,5083526656.0,1044,641,1.3449375629425049,-409917.43063888996,670000,0.0007,19.28,0.0
-2024591.0,-25.813060760498047,33999,7352415744.0,1044,650,1.361136794090271,-416027.48866258,680000,0.0007,16.72,0.0
-1526431.125,-25.835140228271484,34499,5921435648.0,1044,660,1.3639193773269653,-277361.60869130003,690000,0.0007,11.96,-1.1920928955078125e-07
-1224212.5,-25.866336822509766,34999,3005065472.0,1045,669,1.3659213781356812,-358892.44585336,700000,0.0007,16.08,0.0
-1164173.125,-25.941635131835938,35499,2711518976.0,1045,679,1.3725665807724,-278513.90125824,710000,0.0007,13.97,0.0
-1713640.75,-26.035938262939453,35999,5711294464.0,1045,688,1.3811290264129639,-420860.56173933,720000,0.0007,20.81,-1.1920928955078125e-07
-1348862.375,-26.152374267578125,36499,3552092160.0,1046,697,1.3920189142227173,-379425.93405081995,730000,0.0007,17.45,0.0
-1707525.0,-26.121196746826172,36999,5578584576.0,1046,707,1.3898614645004272,-338969.55463617004,740000,0.0007,15.46,2.384185791015625e-07
-1435610.25,-26.091094970703125,37499,4242552832.0,1046,716,1.3856959342956543,-340868.68888805003,750000,0.0007,16.32,1.7881393432617188e-07
-2333305.5,-26.203022003173828,37999,10079318016.0,1045,726,1.3960169553756714,-311463.03622834,760000,0.0007,15.58,0.0
-1763764.75,-26.2755126953125,38499,7231180800.0,1045,736,1.4049060344696045,-311615.87400358997,770000,0.0007,14.87,0.0
-1763467.625,-26.400325775146484,38999,8154248192.0,1044,746,1.4173625707626343,-289209.0532632801,780000,0.0007,13.47,5.960464477539063e-08
-1342041.5,-26.57253646850586,39499,4021532160.0,1044,756,1.433556318283081,-365805.4097670601,790000,0.0007,16.58,0.0
-1896089.375,-26.54391098022461,39999,7845665280.0,1043,766,1.4307920932769775,-322306.89988141,800000,0.0007,15.05,0.0
-2366249.5,-26.677852630615234,40499,10694249472.0,1043,775,1.4443037509918213,-338094.66217694,810000,0.0007,15.03,0.0
-1423249.375,-26.78097915649414,40999,4199073280.0,1044,785,1.4533894062042236,-283799.99034445995,820000,0.0007,13.34,1.7881393432617188e-07
-1450477.25,-26.939823150634766,41499,4363524608.0,1044,794,1.469349980354309,-322525.99580461,830000,0.0007,15.55,0.0
-2317381.5,-26.93294906616211,41999,9185722368.0,1044,804,1.4689383506774902,-467470.36553661997,840000,0.0007,20.19,0.0
-2097303.75,-27.016651153564453,42499,8103675392.0,1044,813,1.4768891334533691,-324002.66772787,850000,0.0007,16.27,-1.1920928955078125e-07
-1159992.125,-27.066761016845703,42999,2816715264.0,1044,823,1.4842076301574707,-264487.73014,860000,0.0007,12.29,5.960464477539063e-08
-1637349.375,-27.143871307373047,43499,5234064384.0,1044,833,1.4918174743652344,-363239.81092930003,870000,0.0007,17.38,0.0
-1753041.0,-27.240985870361328,43999,5930293760.0,1043,842,1.5027481317520142,-416925.10378896986,880000,0.0007,18.56,1.7881393432617188e-07
-1294286.25,-27.276470184326172,44499,3883442688.0,1043,852,1.5044385194778442,-339203.52528755,890000,0.0007,15.86,-1.1920928955078125e-07
-1746793.25,-27.430007934570312,44999,6753225728.0,1043,862,1.5214943885803223,-290852.04405864,900000,0.0007,13.88,0.0
-1929338.25,-27.45620346069336,45499,6847983104.0,1042,872,1.5224614143371582,-278155.26175076,910000,0.0007,12.58,-1.1920928955078125e-07
-1808831.25,-27.54764175415039,45999,6674091520.0,1042,882,1.533105731010437,-335741.2152036101,920000,0.0007,16.19,0.0
-1372727.5,-27.523433685302734,46499,3603967232.0,1041,892,1.5298296213150024,-274179.88586994,930000,0.0007,12.8,0.0
-1355766.75,-27.601680755615234,46999,4622617088.0,1040,902,1.5384671688079834,-216715.57107739,940000,0.0007,11.55,-1.1920928955078125e-07
-1468695.125,-27.640926361083984,47499,3853843712.0,1040,913,1.542280673980713,-302071.44531436,950000,0.0007,14.4,0.0
-1948278.625,-27.773788452148438,47999,7313231872.0,1039,923,1.5560837984085083,-269516.58303413005,960000,0.0007,13.13,0.0
-1635460.0,-27.896656036376953,48499,4914627072.0,1038,933,1.569367527961731,-333905.73483512,970000,0.0007,14.36,0.0
-1878069.0,-27.98537826538086,48999,8110479872.0,1037,944,1.5793721675872803,-342008.16757521,980000,0.0007,15.33,0.0
-1778734.75,-28.143047332763672,49499,5674973696.0,1036,954,1.5946389436721802,-424239.90188162,990000,0.0007,17.75,-1.1920928955078125e-07
-1453316.75,-28.15439224243164,49999,4006262272.0,1036,965,1.5953994989395142,-244160.85775633,1000000,0.0007,11.36,0.0
