rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,time/fps,train/learning_rate,train/delta_std,train/step_size,rollout/return_std,train/iterations
1000.0,-20023636.950087503,176,560000,3166,,,,,
858.4285714285714,-17194955.663441285,180,570000,3164,,,,,
819.7272727272727,-16399757.030376457,183,580000,3164,,,,,
787.5,-15755355.444615288,186,590000,3163,,,,,
670.0,-13380101.056838999,189,600000,3163,0.02,0.05,2.8085239689445984e-10,8901473.0,10
669.3333333333334,-13398165.859888332,192,610000,3166,,,,,
639.5454545454545,-12789990.681358546,195,620000,3165,,,,,
695.0,-13893256.30268354,199,630000,3165,,,,,
,,202,640000,3165,0.02,0.05,2.808589194547295e-10,8901266.0,11
1000.0,-20086132.148718998,205,650000,3166,,,,,
1000.0,-20059924.306893796,208,660000,3168,,,,,
1000.0,-20050153.807205286,211,670000,3169,,,,,
835.25,-16724767.798378835,214,680000,3170,,,,,
802.0,-16061113.189361868,217,690000,3170,,,,,
504.75,-10076849.270529252,220,700000,3171,0.02,0.05,3.110124657812463e-10,8038262.5,12
669.8333333333334,-13381278.006400334,223,710000,3171,,,,,
702.5,-14047527.647226399,227,720000,3171,,,,,
646.0,-12907504.9585275,230,730000,3173,,,,,
669.6666666666666,-13356539.775270334,233,740000,3174,0.02,0.05,2.510790186871503e-10,9957025.0,13
801.8,-16013948.628966998,236,750000,3174,,,,,
779.4444444444445,-15572663.983969,239,760000,3173,,,,,
819.5454545454545,-16377911.892159546,242,770000,3172,,,,,
801.4666666666667,-16033790.118060134,245,780000,3171,,,,,
1000.0,-20055635.316193,249,790000,3170,0.02,0.05,3.118650615530072e-10,8016287.5,14
668.8333333333334,-13380159.873686,252,800000,3170,,,,,
751.625,-15052006.742182001,255,810000,3172,,,,,
694.1538461538462,-13891683.29929954,258,820000,3171,,,,,
,,261,830000,3170,0.02,0.05,2.6193625046744273e-10,9544307.0,15
1000.0,-20016451.387220666,264,840000,3171,,,,,
834.5,-16708927.534742167,267,850000,3171,,,,,
889.6666666666666,-17802894.73063189,271,860000,3171,,,,,
835.0,-16708578.719395168,274,870000,3171,,,,,
868.0,-17377599.010134403,277,880000,3171,,,,,
254.5,-5075829.9001165,280,890000,3171,0.02,0.05,3.677409210478544e-10,6798264.5,16
448.1111111111111,-8961689.125839222,283,900000,3172,,,,,
548.4545454545455,-10975100.365461273,286,910000,3173,,,,,
645.2142857142857,-12896370.523181856,290,920000,3171,,,,,
,,293,930000,3171,0.02,0.05,2.6222773952255807e-10,9533697.0,17
1000.0,-20085772.135992333,296,940000,3171,,,,,
1000.0,-20054648.0673084,299,950000,3170,,,,,
1000.0,-20032906.80436475,302,960000,3169,,,,,
909.8181818181819,-18220890.756858364,306,970000,3169,,,,,
867.5333333333333,-17353194.773001734,309,980000,3169,,,,,
339.0,-6767330.5436660005,312,990000,3169,0.02,0.05,3.674965609601344e-10,6802784.5,18
669.5,-13399910.594774665,315,1000000,3168,,,,,
669.4444444444445,-13393617.378554665,318,1010000,3169,,,,,
645.4285714285714,-12903878.767830428,321,1020000,3170,,,,,
