train/n_updates,train/loss,train/approx_kl,rollout/ep_len_mean,train/std,train/value_loss,time/fps,train/learning_rate,time/time_elapsed,time/total_timesteps,train/clip_fraction,train/policy_gradient_loss,train/clip_range,rollout/ep_rew_mean,train/entropy_loss,train/explained_variance
480,154896368.0,0.0090090465,251.46,3.1843197345733643,342866196.86875,908,0.0017,440,400000,0.0761474609375,-0.001124156539208343,0.2,-254368.53266079995,-15.31380906328559,0.0
500,320324352.0,0.009651981,234.37,3.406052827835083,389179211.6875,900,0.0017,455,410000,0.07581787109375,0.0005238177564024227,0.2,-233130.53787108994,-15.720102274417878,0.0
510,157347200.0,0.009508057,219.7,3.506317377090454,396840105.775,902,0.0017,465,420000,0.07474365234375,-0.00010782589470181847,0.2,-227318.75294578998,-15.879340386390686,-1.1920928955078125e-07
520,63536420.0,0.010155417,210.42,3.6015779972076416,338749961.615625,905,0.0017,474,430000,0.08541259765625,-0.0015677434339522733,0.2,-231927.92941449996,-16.035963303595782,0.0
530,288059232.0,0.0130377235,222.45,3.7368662357330322,371914083.4125,907,0.0017,484,440000,0.09320068359375,-0.000577176445403893,0.2,-239834.12045256997,-16.239027424156667,0.0
540,194287760.0,0.010546597,229.56,3.866403341293335,331926928.253125,910,0.0017,494,450000,0.07830810546875,-0.0010835082846824661,0.2,-244648.36148337004,-16.441098511219025,1.1920928955078125e-07
560,112977840.0,0.009079443,262.87,4.093949794769287,322590172.490625,902,0.0017,509,460000,0.08360595703125,-0.000582172602389619,0.2,-273465.86383869004,-16.791369415819645,0.0
570,134806992.0,0.010371033,257.12,4.22825288772583,342801857.35,904,0.0017,519,470000,0.073681640625,-0.0010890979790929122,0.2,-267295.83374753,-16.96553075760603,1.1920928955078125e-07
580,206398592.0,0.010848634,270.93,4.3773884773254395,330298223.259375,907,0.0017,529,480000,0.09091796875,0.001978872138352017,0.2,-275600.5023646,-17.170144927501678,0.0
590,79216008.0,0.010215219,252.66,4.5055036544799805,303024553.3625,909,0.0017,538,490000,0.07584228515625,-0.0004958261610227055,0.2,-259529.90930756004,-17.3365806594491,0.0
610,79112544.0,0.010198241,204.19,4.786383152008057,451392756.59375,902,0.0017,554,500000,0.078857421875,-0.0024491841768394806,0.2,-241124.39870258,-17.68299178034067,0.0
620,189798016.0,0.00937635,206.49,4.935970783233643,351911959.3375,904,0.0017,563,510000,0.07752685546875,-0.0023340579891737434,0.2,-245835.70438235,-17.8680358633399,1.1920928955078125e-07
