train/n_updates,time/fps,train/policy_gradient_loss,train/value_loss,rollout/ep_len_mean,train/learning_rate,time/total_timesteps,rollout/ep_rew_mean,train/clip_fraction,time/time_elapsed,train/approx_kl,train/std,train/loss,train/clip_range,train/entropy_loss,train/explained_variance
970,869,-0.002177961183406296,21081569936.0,65.25,0.0017,800000,-873933.79322989,0.00057373046875,920,0.0014653082,1.4076486825942993,10618013696.0,0.2,-26.37827414572239,0.0
980,869,-0.00275670834871562,20743232859.2,84.8,0.0017,810000,-1116682.59788959,0.00093994140625,931,0.0015780984,1.413528323173523,10319699968.0,0.2,-26.43919366300106,-2.384185791015625e-07
1000,865,-0.003182013108198589,20370708161.6,67.56,0.0017,820000,-897133.0424769601,0.001220703125,946,0.0021193265,1.4240080118179321,11180788736.0,0.2,-26.551959830522538,0.0
1010,866,-0.002331105908342579,20656070180.8,75.2,0.0017,830000,-993497.9926539301,0.00072021484375,957,0.0016723666,1.4298385381698608,10535841792.0,0.2,-26.611457321047784,0.0
1020,867,-0.002698807725118968,20624503945.6,57.57,0.0017,840000,-771452.95765708,0.0015380859375,968,0.0018509472,1.4352198839187622,10955231232.0,0.2,-26.670188991725446,1.7881393432617188e-07
1030,867,-0.0027679594304572674,19694245572.8,64.74,0.0017,850000,-862052.6705810699,0.00166015625,979,0.0021672822,1.4409116506576538,10034321408.0,0.2,-26.727715672552584,0.0
1040,868,-0.0027202633496926864,20544929076.8,59.64,0.0017,860000,-794083.90176509,0.0013427734375,990,0.0018171049,1.4467175006866455,10804725760.0,0.2,-26.78739356249571,0.0
1060,864,-0.0031776564659594443,20305370064.0,56.44,0.0017,870000,-765937.8381630299,0.00372314453125,1006,0.0025866833,1.4570164680480957,10291070976.0,0.2,-26.896430858969687,-2.384185791015625e-07
1070,864,-0.00312989790145366,19805783529.6,74.56,0.0017,880000,-984631.17543737,0.00198974609375,1017,0.001988174,1.4629597663879395,9322486784.0,0.2,-26.95433578938246,0.0
1080,865,-0.0027642123255645855,20982917764.8,60.49,0.0017,890000,-805439.9294027198,0.00150146484375,1028,0.0019652585,1.469001054763794,10161870848.0,0.2,-27.015709729492663,0.0
1090,866,-0.0024492291313436,20010046115.2,67.97,0.0017,900000,-906873.8324253601,0.001416015625,1038,0.0019186535,1.474470615386963,9539855360.0,0.2,-27.07428722679615,0.0
1110,863,-0.001974331682140473,19502596920.0,56.37,0.0017,910000,-761530.0565855999,0.0003173828125,1054,0.0011937923,1.4861658811569214,9359017984.0,0.2,-27.19044289290905,0.0
1120,863,-0.002852767377953569,19576569527.2,59.81,0.0017,920000,-792958.2856064902,0.00555419921875,1064,0.0024049315,1.491466760635376,9806214144.0,0.2,-27.247126568853854,0.0
1130,864,-0.0034443760825524803,19881815459.2,66.71,0.0017,930000,-880635.83371682,0.0034912109375,1075,0.0024187104,1.4974530935287476,9907768320.0,0.2,-27.303976675868036,0.0
1140,865,-0.002770002404895422,19895941141.6,70.24,0.0017,940000,-913599.0635913401,0.0026123046875,1086,0.0019570405,1.502128005027771,10382400512.0,0.2,-27.35750595033169,0.0
1150,866,-0.002479866261819552,19027145368.0,61.03,0.0017,950000,-801330.49646862,0.00213623046875,1096,0.0021769858,1.5075496435165405,9757248512.0,0.2,-27.40772375166416,0.0
1170,863,-0.0029453420744175673,19767428457.6,64.88,0.0017,960000,-856872.9691714799,0.00411376953125,1112,0.0026523527,1.519837498664856,9926664192.0,0.2,-27.52616843879223,0.0
1180,863,-0.002169238003989449,19704355046.4,65.19,0.0017,970000,-857416.2465115499,0.0011474609375,1122,0.0014798238,1.52627432346344,10851668992.0,0.2,-27.58773924857378,1.7881393432617188e-07
1190,864,-0.0025074455268622843,18919867611.2,68.4,0.0017,980000,-900978.4247217001,0.00150146484375,1133,0.0018494987,1.5324206352233887,9150515200.0,0.2,-27.649515314400197,0.0
1200,864,-0.00246330137415498,19558482819.2,57.8,0.0017,990000,-776055.8895351798,0.0011474609375,1144,0.0017377273,1.5391889810562134,9028011008.0,0.2,-27.71275622844696,0.0
1220,861,-0.0017079144205126794,19215797147.2,55.32,0.0017,1000000,-745136.46478963,0.00068359375,1160,0.0013485008,1.5507482290267944,9935568896.0,0.2,-27.833686555922032,0.0
