time/fps,train/clip_fraction,rollout/ep_len_mean,train/learning_rate,time/time_elapsed,train/clip_range,train/loss,train/value_loss,train/explained_variance,time/total_timesteps,rollout/ep_rew_mean,train/approx_kl,train/policy_gradient_loss,train/std,train/entropy_loss,train/n_updates
1491,0.041357421875,110.67,0.0017,214,0.2,346405312.0,789076727.25,0.0,320000,-161429.70986841,0.0066563617,-0.0025993936620579915,2.013643741607666,-12.636944524198771,390
1494,0.03958740234375,96.48,0.0017,220,0.2,257633424.0,822503992.25,0.0,330000,-151652.30849497,0.0061745644,-0.002564877743134275,2.060061454772949,-12.763862856477498,400
1497,0.02252197265625,97.71,0.0017,226,0.2,337249312.0,983380902.85,-1.1920928955078125e-07,340000,-157553.00282506002,0.004879318,-0.0013332813789020293,2.1007468700408936,-12.885803544521332,410
1500,0.0384765625,115.17,0.0017,233,0.2,611665792.0,843888328.875,0.0,350000,-159395.83438142,0.006509771,-0.0025513003860396567,2.1474549770355225,-13.010912300646305,420
1503,0.03458251953125,110.85,0.0017,239,0.2,232936944.0,773231001.7,1.1920928955078125e-07,360000,-162172.26436841,0.0068790046,-0.0017171483152196743,2.1993308067321777,-13.149169687926769,430
1486,0.07054443359375,107.92,0.0017,248,0.2,423407808.0,840343590.45,0.0,370000,-151899.63881085996,0.008572914,-0.001924488178701722,2.333226442337036,-13.489290396124124,450
1490,0.02606201171875,99.99,0.0017,254,0.2,434758464.0,822951207.925,-1.1920928955078125e-07,380000,-155592.1911355,0.004877393,-0.0014814620933975675,2.3815841674804688,-13.625003917515278,460
1494,0.0532958984375,106.68,0.0017,260,0.2,369911712.0,780025941.35,0.0,390000,-155922.84969421997,0.008826029,-0.003691171566151752,2.457465887069702,-13.79067859724164,470
1497,0.02940673828125,106.91,0.0017,267,0.2,382198144.0,786797292.825,0.0,400000,-152939.09022649997,0.005538174,-0.00188380902109202,2.5139577388763428,-13.939217103272677,480
1483,0.084033203125,94.05,0.0017,276,0.2,395122528.0,910722378.925,-1.1920928955078125e-07,410000,-139756.46301334002,0.007484286,0.00024524395903426923,2.6515140533447266,-14.252960688620806,500
1487,0.0338623046875,104.07,0.0017,282,0.2,333847648.0,815599045.2,0.0,420000,-164629.42733104,0.007079716,-0.0020054498949320988,2.7228124141693115,-14.405535856634378,510
1490,0.03709716796875,100.39,0.0017,288,0.2,382362016.0,833809709.5,0.0,430000,-148184.97285265,0.005846875,-0.0021822400036398903,2.7845029830932617,-14.545546666532754,520
1492,0.0415771484375,100.5,0.0017,294,0.2,357499648.0,842760997.5,0.0,440000,-156751.00907074998,0.007346846,-0.0029476539670213243,2.855809450149536,-14.68690509647131,530
1495,0.0489990234375,96.71,0.0017,300,0.2,484338080.0,879295700.55,0.0,450000,-145230.93289406,0.0068775415,-0.0038089983390818816,2.9060306549072266,-14.80428528636694,540
1483,0.03419189453125,109.78,0.0017,310,0.2,436682304.0,772235170.225,0.0,460000,-173781.03857656996,0.0069131916,-0.0030101363652647707,3.0744569301605225,-15.121144829690456,560
1486,0.04083251953125,105.66,0.0017,316,0.2,332572960.0,805709423.3,-0.00023221969604492188,470000,-155272.95067175,0.0068068253,-0.0015336776221374748,3.1577041149139404,-15.275853369385004,570
1490,0.05819091796875,99.59,0.0017,322,0.2,352715840.0,829628866.175,5.960464477539063e-08,480000,-140637.81069384998,0.015170287,-0.0012514923508206266,3.2342147827148438,-15.430806394666433,580
1493,0.0402099609375,110.28,0.0017,328,0.2,575442560.0,800360519.3,0.0,490000,-174376.56785498996,0.005792586,-0.0017445558598410571,3.3085155487060547,-15.562509877234698,590
1482,0.04195556640625,115.11,0.0017,337,0.2,286733472.0,772532410.9,0.0,500000,-173133.49201262998,0.0063971775,-0.0019590185314882548,3.455479860305786,-15.831837463378907,610
1485,0.03878173828125,107.17,0.0017,343,0.2,254978496.0,840008478.475,0.0,510000,-167173.50476408,0.0066850167,-0.0015105506296094972,3.5534250736236572,-15.983855036646128,620
1488,0.0428466796875,104.02,0.0017,349,0.2,289118368.0,837301732.45,1.1920928955078125e-07,520000,-159290.07323600998,0.0065593375,-0.0019646724034828368,3.6474485397338867,-16.1458406701684,630
1492,0.04439697265625,109.02,0.0017,355,0.2,363080256.0,762554387.6,0.0,530000,-166607.10164556,0.010438893,-0.0011626792127572116,3.772340774536133,-16.3137635871768,640
1495,0.0217041015625,117.28,0.0017,361,0.2,582734464.0,778482412.2625,0.0,540000,-171078.9588042,0.004974938,-0.000831566084343649,3.8615987300872803,-16.486114229261876,650
1485,0.014892578125,130.26,0.0017,370,0.2,440571360.0,769276192.7125,0.00709909200668335,550000,-176328.30743802,0.0030860752,-0.0020930195756591274,3.928812026977539,-16.636534497141838,670
1488,0.0389404296875,113.86,0.0017,376,0.2,379506272.0,744606695.75,0.0014077425003051758,560000,-173353.42042814998,0.0065386277,-0.00221073814900592,4.0142621994018555,-16.725305308401584,680
1491,0.00076904296875,111.69,0.0017,382,0.2,514255840.0,820031445.6,7.62939453125e-06,570000,-157813.35384444997,0.0007613348,-0.0009427023671378266,4.025632858276367,-16.793607085943222,690
1493,0.0,121.74,0.0017,388,0.2,749952320.0,772578211.8125,0.005790650844573975,580000,-174629.25625477996,6.4041596e-06,-4.513666362981894e-05,4.026859760284424,-16.796428091824055,700
1484,0.0,117.6,0.0017,397,0.2,286796000.0,770106940.4625,0.01840996742248535,590000,-159965.70521972,1.2775854e-07,-8.408765825151932e-06,4.027676582336426,-16.798321624100208,720
1487,0.0,105.75,0.0017,403,0.2,435318272.0,782308563.65,0.024382829666137695,600000,-151769.05706167,7.176277e-08,-4.507718495005975e-06,4.0279669761657715,-16.798699831962587,730
1489,0.0,112.01,0.0017,409,0.2,446280320.0,825661934.8,0.029873549938201904,610000,-170234.72820384998,5.0458766e-08,-8.760071523283842e-07,4.028135299682617,-16.799031068384647,740
1492,0.0,122.92,0.0017,415,0.2,393355232.0,729727951.025,0.03842794895172119,620000,-168435.96037827,5.2627e-08,-2.9866143449908124e-06,4.0283684730529785,-16.799336470663548,750
1494,0.01380615234375,112.6,0.0017,421,0.2,297246688.0,706436466.9625,0.015673458576202393,630000,-169431.01611597,0.00239461,-0.0016811871673780843,4.0396728515625,-16.8151337698102,760
1486,0.0,112.51,0.0017,430,0.2,303831904.0,757159648.95,0.017602264881134033,640000,-163564.26523792002,1.2126839e-07,-4.7102844291657675e-06,4.0404462814331055,-16.818054230511187,780
1489,0.0,118.34,0.0017,436,0.2,516513216.0,728991792.725,0.04604160785675049,650000,-179765.72112815,1.320077e-07,-7.575122344860574e-06,4.040538311004639,-16.818186621367932,790
1491,0.0,128.43,0.0017,442,0.2,466359520.0,704859915.5625,0.030078351497650146,660000,-175564.74333467003,6.091432e-08,-4.907805760012707e-06,4.040594577789307,-16.818308778107166,800
1494,0.0,112.99,0.0017,448,0.2,436138528.0,685834179.6375,0.04074418544769287,670000,-176457.13685936,1.5189289e-07,-4.3490048938110705e-06,4.040777683258057,-16.81844203621149,810
