train/entropy_loss,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,train/n_updates,train/value_loss,train/explained_variance,train/std,time/time_elapsed,train/policy_loss,train/learning_rate,time/total_timesteps
-9.788200378417969,1994,-136196.75701538,342.68,31499,982757248.0,0.0,1.2488681077957153,315,-75671.5,0.0007,630000
-9.811582565307617,1994,-144934.27164648,297.27,31999,1314.697509765625,0.0,1.2547110319137573,320,-306.21209716796875,0.0007,640000
-9.841360092163086,1995,-142536.49839279,236.77,32499,3837.11376953125,1.1920928955078125e-07,1.2607110738754272,325,-435.08294677734375,0.0007,650000
-9.856842994689941,1996,-142836.59734632,280.95,32999,24620360.0,-1.1920928955078125e-07,1.2631515264511108,330,-25185.62109375,0.0007,660000
-9.868996620178223,1997,-150884.33439331,369.99,33499,15095768.0,-1.1920928955078125e-07,1.2657524347305298,335,-14286.4248046875,0.0007,670000
-9.812300682067871,1998,-119005.01480686001,320.47,33999,13763.7294921875,0.0,1.2540212869644165,340,-889.5208740234375,0.0007,680000
-9.874495506286621,1998,-151241.88951329,416.52,34499,2977618.0,0.0,1.2689383029937744,345,8359.994140625,0.0007,690000
-9.962518692016602,1999,-210327.36429169003,417.8,34999,4963.587890625,0.0,1.2874552011489868,350,-518.2552490234375,0.0007,700000
-10.01047420501709,2000,-207264.59018088,423.94,35499,23505462.0,1.1920928955078125e-07,1.2980002164840698,354,-22191.0546875,0.0007,710000
-10.060030937194824,2002,-228938.50888304005,488.97,35999,10952.037109375,0.0,1.3078268766403198,359,-742.3839111328125,0.0007,720000
-10.148436546325684,2003,-245578.30069944,588.58,36499,30542.35546875,0.0,1.3270469903945923,364,199.5135498046875,0.0007,730000
-10.189301490783691,2004,-244694.52216417,661.0,36999,945.8728637695312,-2.384185791015625e-07,1.336011290550232,369,-299.0955505371094,0.0007,740000
-10.266837120056152,2005,-256438.27403379002,729.48,37499,5137057.0,0.0,1.3532990217208862,373,-6127.13623046875,0.0007,750000
-10.316322326660156,2006,-274317.5251755,796.26,37999,35271.6875,-1.1920928955078125e-07,1.3671422004699707,378,586.9024658203125,0.0007,760000
-10.430724143981934,2006,-252189.36743157002,784.43,38499,2357.843017578125,0.0,1.393877387046814,383,-352.7971496582031,0.0007,770000
-10.412398338317871,2007,-212028.92229239,681.83,38999,27429.599609375,0.0,1.389083981513977,388,43.16718673706055,0.0007,780000
-10.533175468444824,2008,-390996.32008773,672.0,39499,3405.792236328125,1.7881393432617188e-07,1.418770670890808,393,-442.644775390625,0.0007,790000
-10.628273963928223,2008,-498433.39718289,613.68,39999,1714170112.0,-1.1920928955078125e-07,1.443549633026123,398,-344117.3125,0.0007,800000
-10.693352699279785,2008,-1446140.2421884001,597.8,40499,19875274.0,0.0,1.4583531618118286,403,-24317.166015625,0.0007,810000
-10.800751686096191,2009,-1441553.6639411799,529.18,40999,488295520.0,0.0,1.486256718635559,408,-55314.57421875,0.0007,820000
-10.82568073272705,2009,-109481.19215331001,163.25,41499,5742615.0,0.0,1.4938459396362305,413,15116.509765625,0.0007,830000
-10.871941566467285,2010,-110723.39543758998,181.35,41999,1439499008.0,-1.1920928955078125e-07,1.5047305822372437,417,-148411.703125,0.0007,840000
-10.837555885314941,2010,-103845.52299258999,106.56,42499,207376.015625,0.0,1.4953932762145996,422,2193.840576171875,0.0007,850000
-10.820791244506836,2011,-119720.46124118999,164.51,42999,1381.628662109375,0.0,1.4916738271713257,427,-287.212890625,0.0007,860000
-10.841032028198242,2011,-140978.27776159003,247.4,43499,68974784.0,1.7881393432617188e-07,1.4956260919570923,432,-45664.44140625,0.0007,870000
-10.848319053649902,2012,-148195.25474647002,309.04,43999,1011186496.0,0.0,1.4941831827163696,437,-139809.125,0.0007,880000
-10.846892356872559,2013,-124467.85270854,241.72,44499,301255.0625,0.0,1.4921094179153442,441,3019.84033203125,0.0007,890000
-10.858162879943848,2014,-117304.02349131,160.29,44999,11479373.0,0.0,1.4959005117416382,446,-4374.89111328125,0.0007,900000
-10.895892143249512,2015,-148789.27217958,232.66,45499,536.6345825195312,-1.1920928955078125e-07,1.5050863027572632,451,-229.0390167236328,0.0007,910000
-10.92624568939209,2015,-150425.17238553,198.02,45999,8223.580078125,0.0,1.514413833618164,456,-839.4236450195312,0.0007,920000
-10.852810859680176,2016,-117936.07542324,143.78,46499,15282.828125,0.0,1.4972330331802368,461,127.83103942871094,0.0007,930000
-10.865379333496094,2016,-122408.97659606999,212.1,46999,5595095.5,1.7881393432617188e-07,1.4989776611328125,466,-2775.186279296875,0.0007,940000
-10.886269569396973,2016,-122472.82418975,245.86,47499,11201523.0,1.1920928955078125e-07,1.5026015043258667,471,16608.458984375,0.0007,950000
-10.882742881774902,2017,-120565.99481345,311.84,47999,1644798.625,0.0,1.5003137588500977,475,9793.9755859375,0.0007,960000
-10.988249778747559,2016,-122539.10899373,371.81,48499,50272496.0,-1.1920928955078125e-07,1.5261421203613281,480,-35414.203125,0.0007,970000
-11.042749404907227,2017,-121393.0388525,390.64,48999,3172.7666015625,0.0,1.5425955057144165,485,-422.3170471191406,0.0007,980000
-11.061755180358887,2017,-117191.80200682001,400.28,49499,40945.3359375,0.0,1.5466256141662598,490,63.22040939331055,0.0007,990000
-11.045966148376465,2018,-119395.34147805,416.73,49999,8802.619140625,5.960464477539063e-08,1.5431509017944336,495,-399.9273681640625,0.0007,1000000
