train/explained_variance,time/fps,rollout/ep_rew_mean,train/policy_objective,train/value_loss,time/time_elapsed,time/total_timesteps,train/learning_rate,train/is_line_search_success,train/std,train/kl_divergence_loss,train/n_updates,rollout/ep_len_mean
-1.1920928955078125e-07,3200,133169.72126357,0.012355749495327473,8835238204.8,137,440000,0.0013,1.0,0.5230079889297485,0.006654033437371254,53,7.34
-1.1920928955078125e-07,3199,132872.57347801,0.015728769823908806,8827084193.6,140,450000,0.0013,1.0,0.5184504389762878,0.0072538480162620544,54,7.19
0.0,3180,133071.7,0.031559668481349945,8858121022.4,144,460000,0.0013,1.0,0.5109984874725342,0.008292472921311855,56,7.16
1.1920928955078125e-07,3176,132975.466562,0.025068996474146843,8874956153.6,147,470000,0.0013,1.0,0.506413459777832,0.00601223623380065,57,7.12
-1.1920928955078125e-07,3174,132871.80964381,0.019408993422985077,8871202492.8,151,480000,0.0013,1.0,0.5041173696517944,0.006854820530861616,58,7.11
0.0,3173,133578.02908928,0.031701356172561646,8849441048.0,154,490000,0.0013,1.0,0.5025084018707275,0.009828777983784676,59,7.12
0.0,3153,133576.2,0.01516239158809185,8927086664.0,158,500000,0.0013,1.0,0.4969820976257324,0.006762518081814051,61,7.07
0.0,3151,133275.3,0.026413559913635254,8897333864.0,161,510000,0.0013,1.0,0.4929935038089752,0.008841467089951038,62,7.07
0.0,3147,133384.2580843,0.014960793778300285,8866493211.2,165,520000,0.0013,1.0,0.4910942614078522,0.006173693574965,63,7.07
0.0,3145,132975.3,0.019332878291606903,8870620872.0,168,530000,0.0013,1.0,0.49008506536483765,0.00593427661806345,64,7.04
0.0,3139,133279.77497099002,0.02361508086323738,8843819926.4,172,540000,0.0013,1.0,0.4867331087589264,0.008924138732254505,65,7.1
0.0,3123,133379.2,0.024859657511115074,8827070580.8,176,550000,0.0013,1.0,0.48011812567710876,0.006756529211997986,67,7.06
0.0,3121,132971.86199372998,0.019111081957817078,8831545216.0,179,560000,0.0013,1.0,0.4786590039730072,0.00817679800093174,68,7.09
0.0,3116,133574.4,0.021165858954191208,8818234384.0,182,570000,0.0013,1.0,0.4783019423484802,0.009463542141020298,69,7.07
0.0,3111,133175.3,0.020645366981625557,8815382273.6,186,580000,0.0013,1.0,0.4767318367958069,0.008799256756901741,70,7.07
5.960464477539063e-08,3095,133775.9,0.026512909680604935,8788525047.2,190,590000,0.0013,1.0,0.4722523093223572,0.008691180497407913,72,7.08
0.0,3092,133578.6,0.034824710339307785,8776110614.4,194,600000,0.0013,1.0,0.47029909491539,0.007986944168806076,73,7.05
0.0,3092,133481.3,0.019829899072647095,8798705795.2,197,610000,0.0013,1.0,0.46879541873931885,0.006685356143862009,74,7.05
0.0,3089,133679.8,0.02210542932152748,8800684116.8,200,620000,0.0013,1.0,0.468492716550827,0.007196914870291948,75,7.07
0.0,3087,133578.3,0.022693460807204247,8788707708.8,204,630000,0.0013,1.0,0.4669152498245239,0.009215950034558773,76,7.06
0.0,3067,133582.38743045,0.021992361173033714,8776935875.2,208,640000,0.0013,1.0,0.4645599126815796,0.007898212410509586,78,7.01
5.960464477539063e-08,3068,133685.4387919,0.02075454592704773,8768709244.8,211,650000,0.0013,1.0,0.46271398663520813,0.009268582798540592,79,7.03
0.0,3068,133583.57621168,0.016577551141381264,8762536084.8,215,660000,0.0013,1.0,0.46183592081069946,0.006772839464247227,80,7.03
0.0,3069,133580.98235018,0.01892279088497162,8747168591.2,218,670000,0.0013,1.0,0.46134859323501587,0.0073895761743187904,81,7.0
5.960464477539063e-08,3051,133482.5,0.021594861522316933,8722792909.6,222,680000,0.0013,1.0,0.4590018093585968,0.00839706789702177,83,7.07
0.0,3046,133780.4,0.023280901834368706,8716295607.2,226,690000,0.0013,1.0,0.4570794105529785,0.009591410867869854,84,7.05
0.0,3044,133677.7,0.019686361774802208,8722439682.4,229,700000,0.0013,1.0,0.4560920000076294,0.0050951037555933,85,7.05
0.0,3044,133682.5,0.02170775830745697,8691049355.2,233,710000,0.0013,1.0,0.45537805557250977,0.006051817908883095,86,7.01
-1.1920928955078125e-07,3037,133679.8,0.02028060518205166,8698958272.8,237,720000,0.0013,1.0,0.45456230640411377,0.006381977815181017,87,7.01
0.0,3028,133781.3,0.014604125171899796,8698678113.6,241,730000,0.0013,1.0,0.4528108835220337,0.007602912839502096,89,7.02
-1.1920928955078125e-07,3029,133680.27800717,0.021101603284478188,8654456506.4,244,740000,0.0013,1.0,0.44980940222740173,0.009297799319028854,90,7.08
0.0,3028,133782.46983189,0.014682760462164879,8644051638.4,247,750000,0.0013,1.0,0.4500683546066284,0.0088447704911232,91,7.07
0.0,3029,133375.0,0.029845699667930603,8632053190.4,250,760000,0.0013,1.0,0.4486481845378876,0.009579692967236042,92,7.02
0.0,3032,133779.5,0.02775447629392147,8657627873.6,253,770000,0.0013,1.0,0.4477381706237793,0.009703924879431725,93,7.02
1.1920928955078125e-07,3026,133578.26252307,0.019710607826709747,8623683959.2,257,780000,0.0013,1.0,0.4467985928058624,0.007314773742109537,95,7.0
0.0,3030,133681.6,0.01956593059003353,8618620528.8,260,790000,0.0013,1.0,0.4461265802383423,0.009475122205913067,96,7.01
-1.1920928955078125e-07,3034,133576.39663805,0.022504238411784172,8602304380.0,263,800000,0.0013,1.0,0.4458262026309967,0.009352420456707478,97,7.09
0.0,3037,133778.6,0.018708359450101852,8608752156.8,266,810000,0.0013,1.0,0.4453080892562866,0.008303364738821983,98,7.02
0.0,3032,133787.0,0.014040708541870117,8595575039.2,270,820000,0.0013,1.0,0.44419580698013306,0.006367573980242014,100,7.04
-1.1920928955078125e-07,3036,133683.7,0.01822163350880146,8583025067.2,273,830000,0.0013,1.0,0.4436258375644684,0.006415665149688721,101,7.0
0.0,3039,133582.5,0.013719161972403526,8571518788.0,276,840000,0.0013,1.0,0.44246628880500793,0.006710078101605177,102,7.01
0.0,3040,133784.6,0.031063823029398918,8564177465.6,279,850000,0.0013,1.0,0.44185870885849,0.00907500833272934,103,7.0
0.0,3004,133775.3,0.023278068751096725,8558508692.0,286,860000,0.0013,1.0,0.4416864812374115,0.0066914367489516735,104,7.01
0.0,2992,133787.0,0.016591669991612434,8537242500.0,290,870000,0.0013,1.0,0.4416760206222534,0.006841161288321018,106,7.01
0.0,2993,133584.0,0.02144080400466919,8535164818.4,293,880000,0.0013,1.0,0.44098523259162903,0.007178741041570902,107,7.02
0.0,2997,133683.1,0.018117383122444153,8520861703.2,296,890000,0.0013,1.0,0.440531849861145,0.00638379342854023,108,7.05
0.0,2998,133782.5,0.021857155486941338,8492623053.6,300,900000,0.0013,1.0,0.43896788358688354,0.006987237371504307,109,7.01
-1.1920928955078125e-07,2989,133585.2,0.025906367227435112,8478279468.0,304,910000,0.0013,1.0,0.4383285641670227,0.007516329642385244,111,7.04
0.0,2988,133782.86541733,0.024094033986330032,8466239741.6,307,920000,0.0013,1.0,0.43786758184432983,0.007416460197418928,112,7.02
0.0,2987,133486.1,0.019849400967359543,8481616289.6,311,930000,0.0013,1.0,0.4375012516975403,0.008660783059895039,113,7.01
1.1920928955078125e-07,2987,133785.8,0.02025303617119789,8465868725.6,314,940000,0.0013,1.0,0.43779146671295166,0.008969415910542011,114,7.02
0.0,2988,133783.1,0.020906710997223854,8454862494.4,317,950000,0.0013,1.0,0.4371348023414612,0.008047658950090408,115,7.02
0.0,2980,133481.9,0.019274381920695305,8403752837.6,322,960000,0.0013,1.0,0.43572723865509033,0.00644446536898613,117,7.0
5.960464477539063e-08,2980,133782.2,0.02101379819214344,8413902944.8,325,970000,0.0013,1.0,0.4356125593185425,0.007524745538830757,118,6.99
0.0,2979,133785.45609224,0.02281169220805168,8409209644.0,328,980000,0.0013,1.0,0.4357079565525055,0.007756588980555534,119,7.0
0.0,2979,133784.6,0.015848461538553238,8404822198.4,332,990000,0.0013,1.0,0.43590497970581055,0.0066780811175704,120,7.0
-1.1920928955078125e-07,2972,133787.3,0.01923767663538456,8388199566.4,336,1000000,0.0013,1.0,0.43560469150543213,0.006841557566076517,122,7.0
