rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,time/fps,train/iterations,train/delta_std,rollout/return_std,train/learning_rate,train/step_size
470.26666666666665,325,770000,-23442394.487254865,2365,,,,,
1000.0,329,780000,-49897837.380425,2365,21,0.05,25747046.0,0.02,9.70985167270122e-11
447.55555555555554,333,790000,-22297612.417294998,2365,,,,,
5.4,338,800000,-149035.6101726,2365,22,0.05,25521470.0,0.02,9.795673300283525e-11
204.0,342,810000,-10106395.351326298,2365,,,,,
336.6666666666667,346,820000,-16794091.12610525,2365,,,,,
9.333333333333334,350,830000,-253496.006086,2365,23,0.05,25576280.0,0.02,9.774681064556034e-11
405.6,355,840000,-20197033.934982598,2365,,,,,
503.7,359,850000,-25158135.729206696,2365,,,,,
503.7142857142857,363,860000,-25162763.783528212,2366,,,,,
504.5,367,870000,-25142997.3029905,2366,24,0.05,25572060.0,0.02,9.776295051278083e-11
505.3333333333333,371,880000,-25197280.47175433,2366,,,,,
,376,890000,,2366,25,0.05,24888030.0,0.02,1.0044989839919083e-10
205.3,380,900000,-10187996.9647373,2366,,,,,
335.3333333333333,384,910000,-16771334.373071665,2366,26,0.05,21358492.0,0.02,1.170494673408129e-10
304.4,388,920000,-15126392.810706202,2365,,,,,
,393,930000,,2365,27,0.05,24968612.0,0.02,1.0012571327600028e-10
1000.0,397,940000,-50158224.0309885,2365,,,,,
456.54545454545456,401,950000,-22841755.148306176,2365,,,,,
,405,960000,,2365,28,0.05,25589304.0,0.02,9.769706571516323e-11
218.71428571428572,410,970000,-10872537.31908964,2365,,,,,
173.5,414,980000,-8570634.535618333,2365,29,0.05,22361930.0,0.02,1.1179714792808326e-10
312.53846153846155,418,990000,-15581511.70584431,2365,,,,,
6.0,422,1000000,-177254.7289335,2365,30,0.05,24986820.0,0.02,1.000527438677068e-10
186.0,426,1010000,-9237376.537383728,2365,,,,,
