train/policy_loss,train/value_loss,rollout/ep_rew_mean,time/time_elapsed,train/n_updates,train/entropy_loss,rollout/ep_len_mean,time/total_timesteps,train/learning_rate,train/explained_variance,train/std,time/fps
28101.07421875,385411168.0,-54127.28463562,244,9874,-8.308818817138672,98.76,790000,0.0001,0.0,0.9667806625366211,3235
63200.8359375,403584512.0,-28793.817230680004,247,9999,-8.30526065826416,98.72,800000,0.0001,-1.1920928955078125e-07,0.9661698341369629,3234
-7713.4296875,9789758.0,-43508.21199535,250,10124,-8.304277420043945,87.3,810000,0.0001,0.0,0.9660243391990662,3234
-4134.01611328125,14932666.0,-55126.63205883,253,10249,-8.300366401672363,96.18,820000,0.0001,0.0,0.9653398394584656,3233
16244.5654296875,755308352.0,-34190.124794400006,256,10374,-8.298833847045898,88.28,830000,0.0001,0.0,0.965020477771759,3232
-26528.599609375,1009490624.0,-41596.39434483,259,10499,-8.292279243469238,101.26,840000,0.0001,0.0,0.9639513492584229,3232
-19876.939453125,27265948.0,-30502.46228135,263,10624,-8.292458534240723,98.55,850000,0.0001,-1.1920928955078125e-07,0.9640936851501465,3231
-179072.15625,1086480000.0,-30856.877093740004,266,10749,-8.290825843811035,99.87,860000,0.0001,0.0,0.9637786746025085,3231
-12026.1728515625,12653768.0,-27843.87594092,269,10874,-8.284502983093262,101.88,870000,0.0001,1.1920928955078125e-07,0.9628222584724426,3231
16458.291015625,402295840.0,-45761.247398039995,272,10999,-8.280211448669434,100.72,880000,0.0001,0.0,0.962189257144928,3231
-27885.587890625,48462688.0,-34327.03314167,275,11124,-8.28100299835205,117.32,890000,0.0001,1.1920928955078125e-07,0.962242066860199,3230
-70558.4453125,551717568.0,-52318.058268889996,278,11249,-8.28000259399414,105.83,900000,0.0001,0.0,0.9621697068214417,3230
83026.3515625,506735040.0,-47556.99801933001,281,11374,-8.278311729431152,96.99,910000,0.0001,0.0,0.9618852734565735,3230
-14710.623046875,14355445.0,-32690.07643297,284,11499,-8.27700138092041,109.81,920000,0.0001,0.0,0.9616444110870361,3229
-18259.08984375,47369004.0,-20528.67901162,287,11624,-8.275707244873047,102.57,930000,0.0001,0.0,0.9614278674125671,3229
-89584.96875,513160448.0,-13032.46692235,291,11749,-8.273985862731934,119.93,940000,0.0001,-1.1920928955078125e-07,0.9611795544624329,3229
-6249.138671875,5263085.0,-11965.475913249998,294,11874,-8.270488739013672,122.0,950000,0.0001,0.0,0.960526168346405,3229
-46598.65625,121952552.0,-28089.94198506,297,11999,-8.271871566772461,121.28,960000,0.0001,0.0,0.9608368277549744,3228
42564.24609375,491075424.0,-46575.85180674001,300,12124,-8.264032363891602,119.47,970000,0.0001,0.0,0.9595581889152527,3228
-16531.79296875,21136788.0,4188.85512204,303,12249,-8.266439437866211,125.71,980000,0.0001,0.0,0.9599581360816956,3228
-13838.6455078125,10697637.0,-13589.338482300003,306,12374,-8.258345603942871,113.32,990000,0.0001,1.1920928955078125e-07,0.9586283564567566,3228
-20965.068359375,147741056.0,-14431.883596180001,309,12499,-8.256099700927734,128.86,1000000,0.0001,0.0,0.9583507180213928,3228
