train/actor_loss,time/episodes,train/learning_rate,train/n_updates,rollout/ep_rew_mean,time/fps,train/ent_coef_loss,time/total_timesteps,train/critic_loss,train/ent_coef,time/time_elapsed,rollout/ep_len_mean
14929.5361328125,5805,0.001,107474,-169766.92388904,253,-1.42018461227417,430000,5756093.0,20.85439109802246,1696,811.64
11480.1953125,5820,0.001,109974,-195516.09261165,252,2.603712320327759,440000,9433208.0,22.00308609008789,1739,839.93
13953.3330078125,5832,0.001,112474,-218500.07325195,252,-2.2087721824645996,450000,14377904.0,22.765974044799805,1782,806.11
11398.435546875,5845,0.001,114974,-239653.15266475,251,0.2797166705131531,460000,11639234.0,20.03998565673828,1825,790.07
7992.103515625,5858,0.001,117474,-263852.91896533995,251,-0.2260892689228058,470000,12638772.0,19.33055305480957,1868,819.73
9817.8828125,5867,0.001,119974,-266322.45939138,251,-0.35994815826416016,480000,20593644.0,20.276748657226562,1911,813.52
6900.9755859375,5880,0.001,122474,-277575.46414668,250,0.34368905425071716,490000,13511848.0,22.454423904418945,1953,827.46
7034.84375,5893,0.001,124974,-289378.85702134995,250,-1.7178035974502563,500000,9953130.0,20.972858428955078,1996,820.15
7353.03759765625,5912,0.001,127474,-252626.52520263992,250,2.0129592418670654,510000,29587988.0,21.00050163269043,2039,742.7
8054.9609375,5925,0.001,129974,-252769.57125307003,249,0.6309069395065308,520000,19161250.0,20.49317741394043,2082,759.64
4514.724609375,5938,0.001,132474,-223938.89741271,249,-0.11722230911254883,530000,13941334.0,19.528715133666992,2125,750.57
4197.93310546875,5949,0.001,134974,-231407.86861455,249,-0.06396867334842682,540000,48472024.0,19.783571243286133,2167,773.79
4707.88671875,5959,0.001,137474,-261965.20898567996,248,0.42525914311408997,550000,18316508.0,21.15144920349121,2210,791.13
1768.3311767578125,5973,0.001,139974,-372019.73489725,248,-1.117606282234192,560000,13452020.0,19.183156967163086,2253,749.55
3729.77001953125,5990,0.001,142474,-483289.44912434014,248,2.416609287261963,570000,20016826.0,22.108366012573242,2296,726.29
2331.146240234375,6040,0.001,144974,-446109.47178937006,247,-1.8222126960754395,580000,14149608.0,22.930448532104492,2339,485.33
3427.9755859375,6051,0.001,147474,-512900.41873404995,247,0.3064783215522766,590000,82055568.0,21.510517120361328,2382,477.14
1959.770263671875,6061,0.001,149974,-451804.7545998001,247,-1.6980193853378296,600000,26375150.0,20.442724227905273,2425,477.14
-1876.6888427734375,6072,0.001,152474,-405582.23324394994,247,0.6287040114402771,610000,31435812.0,19.236812591552734,2468,520.44
434.065185546875,6088,0.001,154974,-281844.18262178,246,-0.5284848213195801,620000,20720552.0,20.533647537231445,2511,499.69
-1728.2008056640625,6100,0.001,157474,-271488.6485105501,246,-0.8005991578102112,630000,8439626.0,20.829166412353516,2554,568.42
-4670.7763671875,6114,0.001,159974,-293074.86755205,246,0.9180392026901245,640000,11250456.0,21.984827041625977,2597,656.99
-2770.392333984375,6122,0.001,162474,-329061.58438946004,246,0.15832096338272095,650000,18262792.0,20.264833450317383,2639,734.68
-1578.095703125,6134,0.001,164974,-362370.36718569,246,-2.7360520362854004,660000,82504720.0,19.817495346069336,2682,843.32
-3412.7265625,6153,0.001,167474,-288347.22842182,245,-1.4163434505462646,670000,14835438.0,21.736923217773438,2725,794.42
-5115.6044921875,6161,0.001,169974,-314137.21994267,245,-1.9555928707122803,680000,57750276.0,19.06559181213379,2768,794.42
-4941.662109375,6184,0.001,172474,-368182.6990683699,245,0.5886149406433105,690000,30717124.0,20.407262802124023,2811,717.89
-5513.3642578125,6196,0.001,174974,-380634.08612885,245,1.533571481704712,700000,8565794.0,21.02617835998535,2854,734.81
-5781.38671875,6205,0.001,177474,-407572.85708313005,245,0.012840479612350464,710000,13042092.0,22.71932029724121,2897,741.12
-6381.37060546875,6216,0.001,179974,-440453.28771258006,244,1.8351683616638184,720000,17464432.0,18.977766036987305,2940,768.28
-5689.6982421875,6225,0.001,182474,-409301.44114803,244,1.2580641508102417,730000,43834136.0,21.161972045898438,2982,768.28
-7183.5185546875,6236,0.001,184974,-388333.97059483,244,0.914692223072052,740000,6346769.5,19.666837692260742,3025,768.28
-7305.580078125,6245,0.001,187474,-386948.44100028,244,-0.43347856402397156,750000,10684020.0,20.119369506835938,3068,827.65
-5692.8974609375,6257,0.001,189974,-387035.5870848099,244,1.9487088918685913,760000,45690712.0,19.252559661865234,3111,854.0
-10546.1220703125,6265,0.001,192474,-313409.23002262996,244,2.2044904232025146,770000,13213346.0,19.370370864868164,3154,850.11
-7380.19677734375,6277,0.001,194974,-334634.09639986,243,1.4200454950332642,780000,13557264.0,19.816181182861328,3197,955.76
