train/std,time/fps,train/policy_loss,rollout/ep_rew_mean,train/value_loss,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,train/learning_rate,train/explained_variance,train/entropy_loss,train/n_updates
1.1937061548233032,1440,-86522.953125,-152033.12535460002,510389440.0,190000,47.72,131,0.0007,0.0,-14.33875846862793,9499
1.211179494857788,1439,-48796.12109375,-150728.98887694,35161536.0,200000,37.31,138,0.0007,-1.1920928955078125e-07,-14.462631225585938,9999
1.2209796905517578,1437,-42838.2109375,-184333.49232520998,38798068.0,210000,76.19,146,0.0007,1.1920928955078125e-07,-14.539575576782227,10499
1.233310341835022,1437,-150884.171875,-162081.84651257002,987356672.0,220000,61.22,153,0.0007,0.0,-14.630885124206543,10999
1.2464768886566162,1436,-272645.3125,-269553.26929002,1238855936.0,230000,34.35,160,0.0007,0.0,-14.730287551879883,11499
1.2610398530960083,1437,5690.580078125,-147225.47845445,2340773.5,240000,49.9,167,0.0007,0.0,-14.837484359741211,11999
1.2622718811035156,1436,-46077.84375,-147623.14016115002,29441724.0,250000,57.04,174,0.0007,1.1920928955078125e-07,-14.831808090209961,12499
1.2722551822662354,1435,214.15625,-175832.88980973995,6431942.5,260000,71.6,181,0.0007,0.0,-14.901700973510742,12999
1.2885868549346924,1435,-4212.5478515625,-159622.52879744998,5430224.0,270000,53.09,188,0.0007,0.0,-15.010225296020508,13499
1.3068259954452515,1435,-232461.953125,-268822.71543672,1065911104.0,280000,97.07,195,0.0007,0.0,-15.138346672058105,13999
1.3193525075912476,1434,-2543.14892578125,-140942.88599349998,22063832.0,290000,33.58,202,0.0007,-1.1920928955078125e-07,-15.225751876831055,14499
1.333255410194397,1433,-100198.0859375,-188337.46437846997,112806376.0,300000,64.27,209,0.0007,0.0,-15.322282791137695,14999
1.347340703010559,1433,-8351.2333984375,-139325.49495794,5217538.5,310000,60.97,216,0.0007,0.0,-15.41581916809082,15499
1.3571767807006836,1432,-5427.09423828125,-124168.75583883998,5334081.0,320000,43.26,223,0.0007,-2.384185791015625e-07,-15.476766586303711,15999
1.364714503288269,1432,-77087.390625,-143581.18571385002,495189600.0,330000,60.38,230,0.0007,1.7881393432617188e-07,-15.528997421264648,16499
1.3863563537597656,1432,-8273.203125,-144145.45229426998,10382924.0,340000,64.9,237,0.0007,1.7881393432617188e-07,-15.668049812316895,16999
1.400741696357727,1432,-30421.052734375,-183507.7607697,19915146.0,350000,91.09,244,0.0007,0.0,-15.759623527526855,17499
1.4114317893981934,1431,-64152.53125,-127738.57117896999,40193608.0,360000,55.38,251,0.0007,0.0,-15.824304580688477,17999
1.42226243019104,1431,-79444.7421875,-167509.02326972003,88941856.0,370000,80.89,258,0.0007,-1.1920928955078125e-07,-15.893162727355957,18499
1.435280680656433,1430,-37363.17578125,-131167.43045315996,41000276.0,380000,39.12,265,0.0007,1.1920928955078125e-07,-15.966272354125977,18999
1.4552175998687744,1430,-32630.24609375,-148152.83344467002,28251046.0,390000,65.43,272,0.0007,5.960464477539063e-08,-16.092321395874023,19499
1.467210292816162,1430,-86429.015625,-227768.49148856,493167968.0,400000,76.57,279,0.0007,-2.384185791015625e-07,-16.165485382080078,19999
1.4879472255706787,1430,2480.134033203125,-153160.23789656002,178720.96875,410000,54.33,286,0.0007,0.0,-16.289291381835938,20499
1.4899579286575317,1430,-22852.279296875,-141668.58013498998,13182185.0,420000,55.93,293,0.0007,0.0,-16.309480667114258,20999
1.4887815713882446,1430,7936.03662109375,-158052.49251974002,2760330.5,430000,59.61,300,0.0007,0.0,-16.30671501159668,21499
1.504423975944519,1430,-466361.90625,-170418.84032141,2641964288.0,440000,74.23,307,0.0007,0.0,-16.39338493347168,21999
1.5225111246109009,1430,-366748.75,-175084.57587832998,1928315904.0,450000,90.06,314,0.0007,1.7881393432617188e-07,-16.503406524658203,22499
1.529152750968933,1429,-415276.875,-306260.82330406,993088896.0,460000,104.99,321,0.0007,0.0,-16.528318405151367,22999
1.5189001560211182,1429,-1057.685791015625,-162456.70696321002,5210.44873046875,470000,76.15,328,0.0007,5.960464477539063e-08,-16.467973709106445,23499
1.535300850868225,1429,-104623.3984375,-221641.98718267,517660352.0,480000,115.06,335,0.0007,0.0,-16.553022384643555,23999
1.5484354496002197,1429,-68841.421875,-165849.01206907,40007756.0,490000,86.72,342,0.0007,0.0,-16.634273529052734,24499
1.5551766157150269,1429,-1091.67919921875,-182776.16638057,5012.990234375,500000,88.05,349,0.0007,1.1920928955078125e-07,-16.671993255615234,24999
1.564888834953308,1428,-43395.3984375,-143991.63864825002,56649332.0,510000,59.32,356,0.0007,0.0,-16.71261978149414,25499
1.5806363821029663,1428,-170051.640625,-143200.12673933,976979776.0,520000,73.39,364,0.0007,0.0,-16.81283950805664,25999
1.5809264183044434,1427,-11652.220703125,-170646.4844966,14370856.0,530000,88.05,371,0.0007,-1.1920928955078125e-07,-16.8099308013916,26499
1.5918856859207153,1427,-165833.359375,-157472.44084126002,213745744.0,540000,77.31,378,0.0007,-1.1920928955078125e-07,-16.878480911254883,26999
1.610093593597412,1427,27164.625,-227337.79103646,6407354.5,550000,124.48,385,0.0007,0.0,-16.979219436645508,27499
1.6111419200897217,1427,-138673.921875,-123191.61760495002,238036480.0,560000,60.57,392,0.0007,0.0,-17.000425338745117,27999
1.6186343431472778,1426,-246038.96875,-175133.41938669,890666624.0,570000,69.07,399,0.0007,-2.384185791015625e-07,-17.0361385345459,28499
1.632904052734375,1426,-360717.6875,-240539.09080565,863596736.0,580000,70.81,406,0.0007,0.0,-17.116121292114258,28999
1.655791997909546,1426,-686.0731201171875,-175014.76417139,10246.0107421875,590000,61.68,413,0.0007,0.0,-17.239990234375,29499
1.6822216510772705,1426,-148912.125,-185091.72490888,530352128.0,600000,74.91,420,0.0007,-1.1920928955078125e-07,-17.375364303588867,29999
1.7051024436950684,1426,-5746.4833984375,-177009.6319404,16132755.0,610000,66.44,427,0.0007,0.0,-17.497377395629883,30499
1.70956289768219,1425,-63879.58203125,-144299.49355015001,30632124.0,620000,49.87,434,0.0007,2.384185791015625e-07,-17.528261184692383,30999
1.73012375831604,1426,-38770.8203125,-165371.68906121,36697432.0,630000,76.87,441,0.0007,0.0,-17.634626388549805,31499
1.7339941263198853,1426,-8533.6708984375,-169065.60553798,5368516.5,640000,51.01,448,0.0007,-1.1920928955078125e-07,-17.648466110229492,31999
1.7619889974594116,1426,-40391.421875,-293175.44873562007,24392460.0,650000,113.73,455,0.0007,0.0,-17.788938522338867,32499
1.7803276777267456,1426,-413362.65625,-224713.70746387998,1765710208.0,660000,65.83,462,0.0007,1.1920928955078125e-07,-17.8737850189209,32999
1.794371485710144,1426,-112649.5390625,-150277.94255746,89600408.0,670000,60.25,469,0.0007,0.0,-17.94955062866211,33499
1.8144593238830566,1426,-30391.025390625,-161573.98965858002,25609110.0,680000,60.98,476,0.0007,0.0,-18.047510147094727,33999
1.8363165855407715,1427,-68654.3984375,-169464.88776146004,69416512.0,690000,80.84,483,0.0007,0.0,-18.144319534301758,34499
1.8610678911209106,1427,-610774.875,-137128.76527125,3408062464.0,700000,57.67,490,0.0007,-1.1920928955078125e-07,-18.260953903198242,34999
1.8696653842926025,1427,-380321.71875,-141423.08302415002,2020226304.0,710000,60.0,497,0.0007,0.0,-18.302093505859375,35499
1.878184199333191,1426,-64614.0703125,-157580.4616872,64188620.0,720000,62.69,504,0.0007,0.0,-18.344100952148438,35999
1.8865731954574585,1426,-219568.40625,-172615.73013224002,988658880.0,730000,69.93,511,0.0007,0.0,-18.38763999938965,36499
1.9054654836654663,1426,-45777.5078125,-136287.40102615,31149994.0,740000,48.16,518,0.0007,0.0,-18.48625373840332,36999
1.9156371355056763,1425,-108067.578125,-178813.69555906003,199799440.0,750000,71.57,526,0.0007,1.1920928955078125e-07,-18.53166389465332,37499
1.9180101156234741,1425,-94596.828125,-144809.24850580998,94146480.0,760000,62.0,533,0.0007,0.0,-18.53651237487793,37999
1.9210984706878662,1425,-271553.09375,-212805.9120126,429057088.0,770000,68.66,540,0.0007,0.0,-18.540224075317383,38499
1.9382983446121216,1424,-38654.69921875,-159842.95580228,30855664.0,780000,75.42,547,0.0007,0.0,-18.621292114257812,38999
1.9546595811843872,1424,-17340.37890625,-161986.03903611997,16335507.0,790000,79.42,554,0.0007,0.0,-18.686264038085938,39499
1.9536546468734741,1424,-444554.65625,-153036.61947348,1962518144.0,800000,72.85,561,0.0007,0.0,-18.674922943115234,39999
1.9644713401794434,1423,-258028.40625,-150609.84739216,391670816.0,810000,65.52,568,0.0007,1.7881393432617188e-07,-18.722667694091797,40499
1.9829750061035156,1423,-346678.5625,-168918.92367981,1893717248.0,820000,81.98,576,0.0007,0.0,-18.799131393432617,40999
1.9875177145004272,1423,-25891.591796875,-176713.49922516997,29702250.0,830000,80.07,583,0.0007,0.0,-18.82457160949707,41499
