train/value_loss,rollout/ep_rew_mean,rollout/ep_len_mean,train/std,train/n_updates,train/entropy_loss,time/fps,time/total_timesteps,time/time_elapsed,train/explained_variance,train/policy_loss,train/learning_rate
6483336704.0,-782024.11886398,56.37,1.0002695322036743,3999,-17.030729293823242,1550,320000,206,0.0,-1281055.625,0.0001
4943225856.0,-852916.42756645,61.25,1.0001124143600464,4124,-17.028688430786133,1549,330000,212,0.0,-1109548.0,0.0001
7191397376.0,-757969.9584189601,53.53,1.0006197690963745,4249,-17.034807205200195,1549,340000,219,-1.1920928955078125e-07,-1356025.5,0.0001
6692484608.0,-889730.85669432,63.24,1.0007404088974,4374,-17.035778045654297,1547,350000,226,-1.1920928955078125e-07,-1288313.125,0.0001
5793573888.0,-648144.97078833,46.25,1.0010782480239868,4499,-17.040302276611328,1547,360000,232,0.0,-1218189.375,0.0001
5534866432.0,-761104.71011452,55.19,1.0010777711868286,4624,-17.040088653564453,1546,370000,239,-1.1920928955078125e-07,-1147932.25,0.0001
5302900736.0,-592758.40807519,42.66,1.0011025667190552,4749,-17.04018783569336,1546,380000,245,-1.1920928955078125e-07,-1144350.875,0.0001
4869528576.0,-672099.41159582,48.58,1.0006810426712036,4874,-17.035612106323242,1546,390000,252,0.0,-1110792.75,0.0001
6876666880.0,-735985.8391049801,53.56,1.0011532306671143,4999,-17.041318893432617,1546,400000,258,0.0,-1380397.25,0.0001
6134755328.0,-685993.72115838,49.29,1.0018177032470703,5124,-17.048978805541992,1545,410000,265,0.0,-1268157.75,0.0001
6535744512.0,-680328.05006503,49.6,1.001814603805542,5249,-17.049110412597656,1545,420000,271,0.0,-1305453.0,0.0001
6451907072.0,-688699.7322333702,49.93,1.00115168094635,5374,-17.040515899658203,1544,430000,278,0.0,-1243225.75,0.0001
6897055232.0,-676778.50820923,48.55,1.0011239051818848,5499,-17.040550231933594,1544,440000,284,0.0,-1345248.125,0.0001
5270080512.0,-703852.9686860299,51.12,1.0012624263763428,5624,-17.042360305786133,1543,450000,291,0.0,-1149655.125,0.0001
5004260352.0,-704455.57334479,51.73,1.000811219215393,5749,-17.03672981262207,1543,460000,298,0.0,-1132722.625,0.0001
5531915264.0,-760742.30074809,55.67,1.0003923177719116,5874,-17.031017303466797,1543,470000,304,0.0,-1145041.5,0.0001
4683509760.0,-663648.87819614,48.64,1.0013831853866577,5999,-17.04368782043457,1543,480000,310,0.0,-946027.6875,0.0001
6641695744.0,-666642.4466328801,49.18,1.001518964767456,6124,-17.04588508605957,1543,490000,317,0.0,-1358454.25,0.0001
6389129216.0,-632024.5058439298,45.74,1.0019391775131226,6249,-17.050779342651367,1544,500000,323,0.0,-1293701.25,0.0001
5970862080.0,-690541.75760848,50.83,1.0020694732666016,6374,-17.052217483520508,1544,510000,330,5.960464477539063e-08,-1246288.625,0.0001
4751926272.0,-743974.6104864498,55.07,1.0014699697494507,6499,-17.04472541809082,1544,520000,336,1.1920928955078125e-07,-1111051.625,0.0001
6043020288.0,-619373.89445607,45.12,1.0016340017318726,6624,-17.046632766723633,1544,530000,343,0.0,-1259236.375,0.0001
5439231488.0,-658910.8285125099,47.88,1.0012761354446411,6749,-17.042091369628906,1544,540000,349,1.1920928955078125e-07,-1163252.75,0.0001
5366459392.0,-613485.9487876301,45.27,1.001080870628357,6874,-17.03970718383789,1544,550000,356,1.1920928955078125e-07,-1147649.0,0.0001
4473850368.0,-723476.40212962,53.66,1.0016050338745117,6999,-17.045997619628906,1544,560000,362,1.1920928955078125e-07,-1056015.625,0.0001
4840880128.0,-599624.7226422899,43.18,1.0015299320220947,7124,-17.045116424560547,1544,570000,368,-2.384185791015625e-07,-1084053.5,0.0001
4804595712.0,-589895.8938608,42.6,1.0010329484939575,7249,-17.03880500793457,1544,580000,375,-1.1920928955078125e-07,-1076860.25,0.0001
5167024640.0,-683721.9364492801,50.48,1.0010453462600708,7374,-17.039539337158203,1544,590000,381,-2.384185791015625e-07,-1138249.875,0.0001
6619801088.0,-628309.70982397,46.62,1.0009394884109497,7499,-17.038049697875977,1543,600000,388,-1.1920928955078125e-07,-1301482.75,0.0001
5551557120.0,-703495.5215714299,52.55,1.0005401372909546,7624,-17.033302307128906,1543,610000,395,-2.384185791015625e-07,-1181453.25,0.0001
5089602048.0,-599538.31506338,43.89,1.0006418228149414,7749,-17.034259796142578,1543,620000,401,-1.1920928955078125e-07,-1109255.25,0.0001
5860421120.0,-676094.6563195101,50.27,1.0003609657287598,7874,-17.030912399291992,1542,630000,408,0.0,-1172364.5,0.0001
5310647808.0,-599879.12791654,43.96,1.000857949256897,7999,-17.037172317504883,1542,640000,414,0.0,-1143807.0,0.0001
6136660992.0,-541594.78126065,39.22,1.0011223554611206,8124,-17.040138244628906,1542,650000,421,1.7881393432617188e-07,-1228958.5,0.0001
4391068160.0,-555982.0533043001,40.15,1.0019721984863281,8249,-17.050792694091797,1542,660000,427,0.0,-1062343.25,0.0001
5493187584.0,-624513.9091796001,46.21,1.0018914937973022,8374,-17.049640655517578,1542,670000,434,1.1920928955078125e-07,-1161377.75,0.0001
5025731584.0,-553909.2060601399,40.05,1.0015616416931152,8499,-17.04523277282715,1542,680000,440,0.0,-1101180.875,0.0001
5156636672.0,-638781.83008679,47.19,1.001674771308899,8624,-17.04645538330078,1542,690000,447,0.0,-1113460.75,0.0001
6255012864.0,-589749.89762826,43.22,1.001401424407959,8749,-17.04315948486328,1542,700000,453,0.0,-1221503.75,0.0001
5158976000.0,-620812.9588784399,45.73,1.0012074708938599,8874,-17.04167366027832,1542,710000,460,1.1920928955078125e-07,-1169291.75,0.0001
4574978048.0,-574629.1742683899,41.86,1.0010236501693726,8999,-17.038970947265625,1542,720000,466,-1.1920928955078125e-07,-1052124.375,0.0001
5890548224.0,-657736.10774607,48.67,1.0012072324752808,9124,-17.041776657104492,1542,730000,473,2.384185791015625e-07,-1238322.25,0.0001
6165494272.0,-514778.61794197,37.62,1.00192391872406,9249,-17.050046920776367,1542,740000,479,-1.1920928955078125e-07,-1244671.75,0.0001
6325279232.0,-612825.7548994101,45.36,1.0022002458572388,9374,-17.053468704223633,1542,750000,486,2.384185791015625e-07,-1269603.75,0.0001
4859777024.0,-633471.7332886701,46.83,1.0026260614395142,9499,-17.058443069458008,1542,760000,492,1.1920928955078125e-07,-1118055.25,0.0001
5144982528.0,-655328.85530642,49.61,1.0029873847961426,9624,-17.062458038330078,1543,770000,499,1.1920928955078125e-07,-1149687.875,0.0001
4640105472.0,-636724.07808022,47.32,1.0027124881744385,9749,-17.05953598022461,1543,780000,505,1.1920928955078125e-07,-1101134.0,0.0001
4960872448.0,-616786.97695772,46.22,1.0027880668640137,9874,-17.059612274169922,1543,790000,511,2.980232238769531e-07,-1080783.75,0.0001
6675913216.0,-515437.00992201996,37.66,1.0024486780166626,9999,-17.056154251098633,1543,800000,518,-1.1920928955078125e-07,-1300897.125,0.0001
5395892736.0,-591477.8399730901,44.54,1.0029720067977905,10124,-17.062501907348633,1543,810000,524,1.7881393432617188e-07,-1168810.625,0.0001
