train/clip_fraction,train/n_updates,time/total_timesteps,train/clip_range,train/approx_kl,train/std,rollout/ep_rew_mean,rollout/ep_len_mean,train/entropy_loss,time/fps,train/policy_gradient_loss,train/value_loss,train/learning_rate,train/explained_variance,train/loss,time/time_elapsed
0.0,260,220000,0.2,0.0007583826,0.9964388012886047,-218778.56108485,38.02,-16.98600602298975,1278,-0.0016069523986516287,6313477653.6,0.0003,0.0,3291969024.0,172
0.0,280,230000,0.2,0.0004969743,0.9961757063865662,-211940.23268893003,36.49,-16.98253688067198,1260,-0.0011855835695314455,5682803074.4,0.0003,1.1920928955078125e-07,2992776960.0,182
0.0,290,240000,0.2,0.00033408892,0.9959515929222107,-246819.30869293,44.26,-16.979856124520303,1265,-0.0008975923370599048,5708080231.2,0.0003,0.0,2678483968.0,189
0.0,300,250000,0.2,0.00054417097,0.9954984784126282,-222632.96380539998,39.86,-16.97575810998678,1263,-0.0011962477894485346,6012148422.4,0.0003,-1.1920928955078125e-07,2991682816.0,197
0.0,310,260000,0.2,0.00053848955,0.9953474998474121,-238427.85829242997,44.84,-16.97214161902666,1268,-0.0011946629085286987,5857101152.8,0.0003,0.0,3015622912.0,204
0.0,320,270000,0.2,0.0003024558,0.995387077331543,-227235.69209059994,43.32,-16.971484449505805,1272,-0.0010096042180521181,5416493781.2,0.0003,0.0,2482949376.0,212
0.0,340,280000,0.2,0.00028791564,0.9952537417411804,-208630.52567189996,38.7,-16.970284748077393,1259,-0.0009043036281582318,5475624568.8,0.0003,0.0,2603561984.0,222
0.0,350,290000,0.2,0.0007475283,0.9951813817024231,-190766.52792983997,32.2,-16.969639514386653,1263,-0.0014212744096766983,5456478034.4,0.0003,0.0,2678141952.0,229
0.0,360,300000,0.2,0.0001793752,0.9951987862586975,-197093.89190755002,36.08,-16.96929549872875,1268,-0.0008047472247199039,5711576998.0,0.0003,-1.1920928955078125e-07,3441770496.0,236
0.0,370,310000,0.2,0.0006577604,0.9950620532035828,-210372.39890529998,40.11,-16.968556393682956,1272,-0.0012775733184753335,5332044934.8,0.0003,1.1920928955078125e-07,2778192128.0,243
0.0,390,320000,0.2,0.00067252247,0.9944501519203186,-202819.86404093,38.94,-16.962451289594174,1260,-0.0013561370462412015,5351840003.6,0.0003,0.0,2385482240.0,253
1.220703125e-05,400,330000,0.2,0.0009131675,0.9942587018013,-196875.55827003007,32.82,-16.959163880348207,1264,-0.0016627937458906672,5643010044.0,0.0003,1.1920928955078125e-07,2487422464.0,260
0.0,410,340000,0.2,0.00043639628,0.9940192699432373,-208828.48327586998,37.54,-16.956636357307435,1268,-0.0010838302838237722,5433457846.6,0.0003,-1.1920928955078125e-07,2584547840.0,267
0.0,420,350000,0.2,0.0007294449,0.9937655329704285,-227695.49969869998,43.5,-16.953660647571088,1273,-0.0013906369876167447,5402499490.6,0.0003,0.0,2636194048.0,274
0.0,430,360000,0.2,0.00031538776,0.9934723377227783,-201105.36877762002,35.85,-16.95027112066746,1277,-0.0008690551001564017,5604394962.2,0.0003,-1.1920928955078125e-07,3094456576.0,281
0.0,450,370000,0.2,0.00068799575,0.9929704666137695,-180447.28818290998,32.54,-16.944982920587062,1267,-0.0013099668529321206,5057907125.0,0.0003,-1.1920928955078125e-07,2604620544.0,291
0.0,460,380000,0.2,0.0008155686,0.9927502274513245,-202789.32162588998,37.07,-16.941065180301667,1271,-0.0015658536342016305,5324059028.0,0.0003,1.1920928955078125e-07,2462430208.0,298
0.0,470,390000,0.2,0.0004959841,0.9927555918693542,-216830.32619611,40.15,-16.939692118763922,1275,-0.0010689474769606023,5189293877.0,0.0003,0.0,2587152896.0,305
0.0,480,400000,0.2,0.00056270696,0.9926204681396484,-206568.49301416997,39.1,-16.939066436886787,1280,-0.0011429443451561384,5408581018.8,0.0003,1.7881393432617188e-07,2706512128.0,312
0.0,500,410000,0.2,0.00036945264,0.9917940497398376,-223988.19186272006,45.75,-16.93102318048477,1272,-0.0010360250331359565,4899545186.2,0.0003,0.0,2326534144.0,322
0.0,510,420000,0.2,0.0002660952,0.9918206334114075,-195539.51990671,35.86,-16.928252092003824,1276,-0.0008058031469772686,4829416381.6,0.0003,0.0,2436545280.0,329
1.220703125e-05,520,430000,0.2,0.0009062445,0.9917511343955994,-193739.67419492995,36.61,-16.928034131228923,1280,-0.0016120712945848937,4902616602.2,0.0003,0.0,2536210688.0,335
0.0,530,440000,0.2,0.0003666943,0.9915969967842102,-193697.3663056,36.3,-16.92672630995512,1284,-0.0007943390475702472,4845284312.4,0.0003,0.0,2525783552.0,342
0.0,540,450000,0.2,0.00036667145,0.9913286566734314,-199692.38686191002,35.9,-16.924180741608144,1287,-0.0009468918287893757,4987223616.0,0.0003,0.0,2482667776.0,349
0.0,560,460000,0.2,0.0007245853,0.9911380410194397,-198318.67356816996,36.81,-16.920102466642856,1280,-0.001379901115251414,5099023490.4,0.0003,0.0,2610760192.0,359
0.0,570,470000,0.2,0.0006657136,0.990895688533783,-210386.58166025995,42.21,-16.91870852559805,1284,-0.0014289449483840145,5276016460.4,0.0003,0.0,3051937024.0,365
0.0,580,480000,0.2,0.00045591267,0.9906604886054993,-190785.12887403,36.35,-16.915801845490932,1287,-0.000991034159960691,4773273640.0,0.0003,0.0,2430504960.0,372
0.0,590,490000,0.2,0.0006994856,0.9903238415718079,-199245.35216128,40.35,-16.912370355427264,1288,-0.0012967492706593476,4819300595.0,0.0003,-1.1920928955078125e-07,2389883392.0,380
0.0,610,500000,0.2,0.0005628308,0.9900557994842529,-195753.26505507,37.15,-16.90732096731663,1279,-0.0010987151119479677,4918826611.2,0.0003,-1.1920928955078125e-07,2627320320.0,390
0.0,620,510000,0.2,0.0005056958,0.9898129105567932,-185457.01033162003,35.27,-16.90559243708849,1280,-0.0010192893787461799,4800619131.2,0.0003,-2.384185791015625e-07,2262396416.0,398
0.0,630,520000,0.2,0.00039919536,0.9897653460502625,-194790.16582957003,39.24,-16.903817169368267,1282,-0.0008562674123822944,4822103994.6,0.0003,2.384185791015625e-07,2610119168.0,405
0.0,640,530000,0.2,0.0010566793,0.989295482635498,-191883.93699696,39.41,-16.90060163140297,1284,-0.0018532773019614979,4682876521.2,0.0003,1.1920928955078125e-07,2221203456.0,412
0.0,650,540000,0.2,0.0006194223,0.9890794157981873,-208816.64502298005,40.68,-16.89647637307644,1286,-0.0011630801272985991,4588423942.6,0.0003,1.1920928955078125e-07,2409758720.0,419
0.0,670,550000,0.2,0.00075579865,0.9882057309150696,-201054.7249074,40.11,-16.887738765776156,1278,-0.0014880288276799547,4597672933.8,0.0003,0.0,2422572288.0,430
1.220703125e-05,680,560000,0.2,0.0011077629,0.9880675673484802,-203982.74642672,42.6,-16.883660092949867,1279,-0.0017437299229641212,4646252608.6,0.0003,0.0,2307662592.0,437
0.0,690,570000,0.2,0.0009577933,0.9878699779510498,-187788.67964488998,35.83,-16.881615599989892,1281,-0.0017175001710711512,4828862875.8,0.0003,0.0,2232740352.0,444
0.0,700,580000,0.2,0.00058492733,0.9877967834472656,-186976.64039976997,36.41,-16.87998979538679,1282,-0.0010386038142314647,4618471536.6,0.0003,0.0,2193133312.0,452
0.0,720,590000,0.2,0.0004471102,0.9872946739196777,-177477.01749629996,33.02,-16.87506420016289,1275,-0.0010176138252063539,4691572297.2,0.0003,-1.1920928955078125e-07,2632798976.0,462
0.000146484375,730,600000,0.2,0.0018037475,0.9868766665458679,-183163.45226683002,36.4,-16.870877601206303,1277,-0.002662577969385893,4778127041.2,0.0003,0.0,2301007360.0,469
