rollout/ep_len_mean,train/approx_kl,time/fps,train/std,train/loss,train/entropy_loss,train/n_updates,train/policy_gradient_loss,train/clip_fraction,train/clip_range,train/value_loss,rollout/ep_rew_mean,train/learning_rate,time/total_timesteps,time/time_elapsed,train/explained_variance
65.03,0.00083218125,1573,0.9881998896598816,1479461760.0,-12.663271460682154,760,-0.0013699841683774139,0.0,0.2,2594280548.3,-202977.15479485,0.0003,630000,400,0.0
64.44,0.0007781605,1565,0.9874589443206787,1157018240.0,-12.657719054073095,780,-0.0010699797613597183,0.0,0.2,2620817781.3,-199714.31830209,0.0003,640000,408,1.1920928955078125e-07
61.27,0.00040271663,1567,0.9868425726890564,1374595712.0,-12.652993532270193,790,-0.0010352498342399486,0.0,0.2,2746980654.0,-203622.23213967998,0.0003,650000,414,0.0
70.31,0.0010610953,1569,0.9868188500404358,1355537024.0,-12.649967107176781,800,-0.001500984551239526,0.0,0.2,2522179828.9,-202175.87716752,0.0003,660000,420,1.1920928955078125e-07
71.64,0.0009959465,1571,0.9865902662277222,1340101376.0,-12.648841142654419,810,-0.0012688525603152812,1.220703125e-05,0.2,2495056525.2,-214272.5131708,0.0003,670000,426,0.0
65.84,0.0005196205,1563,0.98606938123703,1370089088.0,-12.645336177945136,830,-0.001194275818488677,0.0,0.2,2565042919.1,-200370.66057827,0.0003,680000,434,0.0
66.41,0.0013791156,1565,0.9859000444412231,1137583104.0,-12.642070474475622,840,-0.0017251961899091839,0.00013427734375,0.2,2617357717.7,-200398.25648095994,0.0003,690000,440,0.0
71.03,0.001315238,1567,0.985849142074585,1224794112.0,-12.64115150347352,850,-0.0014767088545340813,0.00013427734375,0.2,2452180505.5,-204547.2222442,0.0003,700000,446,0.0
72.12,0.0009765644,1568,0.9853671193122864,1356907136.0,-12.638702706992627,860,-0.0013338538512471132,0.0,0.2,2460078356.2,-205603.15740797,0.0003,710000,452,1.1920928955078125e-07
59.85,0.0005294531,1570,0.9848639369010925,1260121472.0,-12.634212870895862,870,-0.000995593199513678,0.0,0.2,2498599291.2,-191431.58929670003,0.0003,720000,458,-1.1920928955078125e-07
54.58,0.0008334402,1563,0.9841629862785339,1390036992.0,-12.628490490466357,890,-0.0011972890328252107,0.0,0.2,2767260859.4,-175047.51196149003,0.0003,730000,466,0.0
61.51,0.0010052689,1565,0.984205961227417,1057075456.0,-12.625498058646917,900,-0.001392090251283662,2.44140625e-05,0.2,2632881095.6,-193872.92041235,0.0003,740000,472,0.0
70.69,0.0013588727,1566,0.9839379787445068,1466167424.0,-12.624451490491628,910,-0.0017352895889416685,3.662109375e-05,0.2,2546235316.1,-210898.86196654002,0.0003,750000,478,0.0
63.3,0.0008048133,1568,0.9835014343261719,1409411584.0,-12.621112777292728,920,-0.001265620910180587,0.0,0.2,2526618766.5,-189585.65333915997,0.0003,760000,484,0.0
60.56,0.0010574833,1570,0.9833424687385559,1146169472.0,-12.618399456888437,930,-0.0013078446425424772,4.8828125e-05,0.2,2470336452.3,-186856.84221047003,0.0003,770000,490,-1.1920928955078125e-07
64.97,0.0017618067,1563,0.9834426045417786,1041154176.0,-12.619083054363728,950,-0.002010155352581933,0.000341796875,0.2,2441538929.4,-196083.42693694998,0.0003,780000,498,0.0
71.57,0.00078947446,1564,0.982839822769165,1386518912.0,-12.615603663027287,960,-0.0012318995271925815,0.0,0.2,2520730365.2,-207930.17860957,0.0003,790000,504,-2.384185791015625e-07
64.68,0.0007150618,1566,0.9823738932609558,812698624.0,-12.610625140368938,970,-0.001150929732284567,0.0,0.2,2282215696.3,-185571.39759306997,0.0003,800000,510,0.0
62.94,0.0011229267,1567,0.9822490215301514,1027223424.0,-12.607813534140586,980,-0.001587479274985526,1.220703125e-05,0.2,2313365720.3,-190627.85970645995,0.0003,810000,516,-1.1920928955078125e-07
69.81,0.0013078656,1561,0.9820797443389893,1256688128.0,-12.60775247067213,1000,-0.0014493982535896065,1.220703125e-05,0.2,2348186245.6,-193300.10933649997,0.0003,820000,525,0.0
63.77,0.0018444713,1562,0.9819545745849609,1316464768.0,-12.604975738376378,1010,-0.0019300584544907906,0.00028076171875,0.2,2484173859.4,-183043.94581138997,0.0003,830000,531,0.0
59.87,0.0008156053,1564,0.9817914962768555,1192291456.0,-12.603648913651705,1020,-0.0011392898439225973,0.0,0.2,2332361480.6,-180111.46237089002,0.0003,840000,536,0.0
57.63,0.0005649382,1565,0.9812268018722534,1320126464.0,-12.600383217632771,1030,-0.0009908509004162625,0.0,0.2,2434565948.7,-185069.03631238997,0.0003,850000,542,0.0
61.32,0.0008599402,1567,0.9810007810592651,1294608512.0,-12.596781711280347,1040,-0.0012645127975702054,2.44140625e-05,0.2,2599697078.8,-185527.56685597,0.0003,860000,548,0.0
75.16,0.00071954296,1561,0.979979932308197,1127129600.0,-12.587767525017261,1060,-0.0012330542331255856,4.8828125e-05,0.2,2201239322.7,-201285.64991298,0.0003,870000,557,1.1920928955078125e-07
52.94,0.00092294347,1562,0.9798713326454163,1194500224.0,-12.585869088768959,1070,-0.0012665522886891266,0.0,0.2,2369216850.5,-168594.53747327,0.0003,880000,563,0.0
62.35,0.00074765994,1563,0.979661226272583,1563571712.0,-12.584456954151392,1080,-0.0011322336553348578,0.0,0.2,2642051856.7,-175412.93312642002,0.0003,890000,569,0.0
60.43,0.00090435054,1565,0.9790598750114441,1288968320.0,-12.58073094561696,1090,-0.0012303971796427504,0.0,0.2,2291255645.4,-174764.10313986003,0.0003,900000,574,-2.384185791015625e-07
53.14,0.0012263877,1559,0.978255033493042,1072965120.0,-12.572247075289487,1110,-0.0014103744078965974,7.32421875e-05,0.2,2493545698.6,-172100.80748098,0.0003,910000,583,0.0
57.93,0.0012914964,1560,0.9781356453895569,1230721920.0,-12.569828867167235,1120,-0.001485766273299305,8.544921875e-05,0.2,2397662541.9,-177512.88693908002,0.0003,920000,589,-1.1920928955078125e-07
65.23,0.0013440987,1561,0.977920651435852,1460951424.0,-12.56817252933979,1130,-0.0015017548301329952,0.00020751953125,0.2,2509340774.4,-192253.20331579007,0.0003,930000,595,0.0
51.4,0.00062896713,1563,0.9774983525276184,1217204608.0,-12.565169318765403,1140,-0.0010998112516972468,0.0,0.2,2367915265.1,-159260.98937256998,0.0003,940000,601,-1.1920928955078125e-07
51.61,0.0014438473,1564,0.9776938557624817,1250215040.0,-12.564229425787925,1150,-0.00208531276712165,0.000146484375,0.2,2537147518.7,-164316.69448402,0.0003,950000,607,1.1920928955078125e-07
58.37,0.0013347187,1558,0.9774013161659241,1361947136.0,-12.563975152373313,1170,-0.0016468308807816357,0.00010986328125,0.2,2375771671.2,-180628.13640125003,0.0003,960000,615,0.0
61.37,0.0007135689,1560,0.9769117832183838,1134896896.0,-12.55985467210412,1180,-0.001084859603724908,0.0,0.2,2262454441.1,-178877.89606138002,0.0003,970000,621,0.0
67.64,0.0018772329,1561,0.9767879843711853,1344902656.0,-12.556988989561797,1190,-0.0019489387361318223,0.00020751953125,0.2,2381262101.2,-186365.33468443996,0.0003,980000,627,-1.1920928955078125e-07
56.91,0.001867728,1562,0.9765802025794983,1176980992.0,-12.55556180998683,1200,-0.0016114390771690523,0.0005859375,0.2,2190845097.8,-170925.85051168,0.0003,990000,633,0.0
65.77,0.0016744481,1557,0.9757555723190308,1323168768.0,-12.548186564445496,1220,-0.002004903020497295,0.00045166015625,0.2,2330371806.9,-184747.53902743998,0.0003,1000000,642,-1.1920928955078125e-07
