train/learning_rate,time/fps,train/is_line_search_success,train/n_updates,time/time_elapsed,rollout/ep_len_mean,train/policy_objective,rollout/ep_rew_mean,train/value_loss,train/explained_variance,time/total_timesteps,train/std,train/kl_divergence_loss
0.001,2791,1.0,15,46,304.01,0.027606047689914703,-301384.00391475996,537677526.775,0.0,130000,0.9588801860809326,0.00608542887493968
0.001,2751,1.0,17,50,267.76,0.033831868320703506,-269270.83446316,535038969.6,1.1920928955078125e-07,140000,0.9581248164176941,0.006482312921434641
0.001,2764,1.0,18,54,301.97,0.03252634033560753,-287793.84725898004,414138054.775,0.0,150000,0.9697673916816711,0.006402134895324707
0.001,2774,1.0,19,57,305.95,0.028766365721821785,-269865.09180489,443813956.025,0.0,160000,0.9551368355751038,0.005422472953796387
0.001,2782,1.0,20,61,313.54,0.02736624702811241,-268065.9269351199,414728986.475,0.0,170000,0.9462117552757263,0.005583534482866526
0.001,2789,1.0,21,64,287.94,0.033506300300359726,-243142.60595298003,494880658.0,-1.1920928955078125e-07,180000,0.9454782605171204,0.0062369368970394135
0.001,2762,1.0,23,68,294.34,0.033651918172836304,-245567.62511829997,406132684.725,-1.1920928955078125e-07,190000,0.9140248894691467,0.005718599539250135
0.001,2769,1.0,24,72,329.15,0.0331784226000309,-256687.00721285,375189504.125,-1.1920928955078125e-07,200000,0.9140893816947937,0.005769296083599329
0.001,2774,1.0,25,75,342.55,0.029285434633493423,-259500.13416659003,396810614.2,1.1920928955078125e-07,210000,0.9066977500915527,0.007869009859859943
0.001,2780,1.0,26,79,348.67,0.03652122989296913,-256873.26935060997,354484517.5875,0.0,220000,0.9055957794189453,0.00694390619173646
0.001,2755,1.0,28,83,364.88,0.03950941935181618,-257780.06368410998,283204288.2875,0.0,230000,0.8830883502960205,0.00675630709156394
0.001,2761,1.0,29,86,344.49,0.03444024920463562,-234367.4470652,397703993.675,0.0,240000,0.874433696269989,0.006969630718231201
0.001,2767,1.0,30,90,326.52,0.03612218797206879,-212909.74058903998,316623703.8625,0.0,250000,0.8617231845855713,0.007351869251579046
0.001,2773,1.0,31,93,344.95,0.03371056541800499,-214737.41278922,318590550.7125,0.0,260000,0.8712830543518066,0.007448598742485046
0.001,2778,1.0,32,97,361.44,0.03419934958219528,-215305.9242909,234225484.2875,1.1920928955078125e-07,270000,0.8621193766593933,0.008203351870179176
0.001,2759,1.0,34,101,408.78,0.03766834735870361,-232448.38478861,250187084.45,0.0,280000,0.8452913165092468,0.007249845657497644
0.001,2764,1.0,35,104,415.49,0.03844025358557701,-218411.88232013,238597711.25625,5.960464477539063e-08,290000,0.8450937867164612,0.007743363734334707
0.001,2769,1.0,36,108,441.0,0.03058171644806862,-216082.65638656,207761294.39375,0.0,300000,0.8330017924308777,0.007295012474060059
0.001,2774,1.0,37,111,434.15,0.031673964112997055,-194176.48291745997,203486177.965625,0.0,310000,0.8414217829704285,0.007091017439961433
0.001,2757,1.0,39,116,443.45,0.0331595353782177,-179754.61737765,179140996.296875,0.0,320000,0.8440815806388855,0.007253051269799471
0.001,2763,1.0,40,119,455.02,0.04023407772183418,-176026.85993426002,171347579.375,0.0,330000,0.843436062335968,0.00870952382683754
0.001,2767,1.0,41,122,502.06,0.031504761427640915,-182362.86484944,137587847.73125,-1.1920928955078125e-07,340000,0.8445184230804443,0.007393052335828543
0.001,2771,1.0,42,126,548.83,0.03800048306584358,-184612.92963399005,131909492.93125,0.0,350000,0.8389501571655273,0.009682952426373959
0.001,2774,1.0,43,129,577.36,0.030312437564134598,-177912.05454077,66914781.5765625,0.0,360000,0.8239707946777344,0.008920048363506794
0.001,2760,1.0,45,134,640.83,0.03471706807613373,-181404.76873756,87173248.2625,0.0,370000,0.8275735378265381,0.008611606433987617
