time/time_elapsed,train/explained_variance,train/learning_rate,train/entropy_loss,train/policy_loss,train/std,time/total_timesteps,train/n_updates,train/value_loss,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean
239,2.384185791015625e-07,0.0007,-9.803192138671875,-19909.494140625,1.241193413734436,410000,20499,19964358.0,1715,366.62,-355391.90965944
244,0.0,0.0007,-9.791433334350586,-140333.203125,1.2394143342971802,420000,20999,737177344.0,1715,412.19,-400580.2220585301
250,-1.1920928955078125e-07,0.0007,-9.82287311553955,-435.677490234375,1.2460662126541138,430000,21499,2208.369384765625,1715,503.98,-493580.90487967996
256,-1.1920928955078125e-07,0.0007,-9.859678268432617,-18013.12890625,1.2561519145965576,440000,21999,45747512.0,1715,448.71,-485419.0087449
262,-1.1920928955078125e-07,0.0007,-9.89943790435791,-242289.953125,1.2645174264907837,450000,22499,2393606656.0,1714,118.09,-164381.04809386
268,5.960464477539063e-08,0.0007,-9.884361267089844,-413.26824951171875,1.2609502077102661,460000,22999,2083.95849609375,1714,130.69,-182318.64735714
274,1.1920928955078125e-07,0.0007,-9.90378475189209,-62265.34375,1.2655006647109985,470000,23499,156635616.0,1714,159.18,-153617.29868587002
280,1.1920928955078125e-07,0.0007,-9.904784202575684,-137613.90625,1.2653474807739258,480000,23999,1458375936.0,1713,180.88,-193727.78865049
285,0.0,0.0007,-10.024642944335938,-391.3346252441406,1.2916620969772339,490000,24499,1983.4486083984375,1713,68.71,-134275.25302439
291,0.0,0.0007,-10.058098793029785,1164.6646728515625,1.3010061979293823,500000,24999,145009.71875,1713,150.06,-168310.18980485998
297,0.0,0.0007,-10.04953670501709,-82048.984375,1.3003582954406738,510000,25499,981406080.0,1713,79.43,-119504.91939004998
303,1.7881393432617188e-07,0.0007,-10.085989952087402,-56454.32421875,1.3078851699829102,520000,25999,149931200.0,1713,111.09,-155696.46849122
309,0.0,0.0007,-10.131918907165527,3322.93701171875,1.31819486618042,530000,26499,481409.34375,1712,201.3,-277011.26381120994
315,-1.1920928955078125e-07,0.0007,-10.172386169433594,-340.8910217285156,1.328163981437683,540000,26999,2787.1396484375,1712,268.05,-301355.69909474
321,-1.1920928955078125e-07,0.0007,-10.156603813171387,-602.4879760742188,1.3257129192352295,550000,27499,4983.8564453125,1712,255.22,-244866.31122288998
326,0.0,0.0007,-10.143914222717285,-4593.8095703125,1.3240832090377808,560000,27999,4850626.5,1712,131.99,-136947.50420378998
332,1.1920928955078125e-07,0.0007,-10.204134941101074,-376.354248046875,1.3371763229370117,570000,28499,1756.896728515625,1712,155.67,-277303.04377985
338,0.0,0.0007,-10.281057357788086,-404.3183898925781,1.3527261018753052,580000,28999,1713.306884765625,1712,240.59,-342275.97740565
344,0.0,0.0007,-10.341055870056152,1407.6148681640625,1.368124008178711,590000,29499,274785.75,1711,55.32,-123604.04338372998
350,0.0,0.0007,-10.438994407653809,-6386.8642578125,1.3893771171569824,600000,29999,5260871.0,1710,111.81,-161624.59449191
356,5.960464477539063e-08,0.0007,-10.545822143554688,3719.23583984375,1.4157298803329468,610000,30499,528474.5,1710,200.36,-556095.53881825
362,0.0,0.0007,-10.504504203796387,230.84036254882812,1.4050825834274292,620000,30999,16732.548828125,1709,277.68,-614179.79638842
368,1.1920928955078125e-07,0.0007,-10.500375747680664,-18710.41796875,1.4060944318771362,630000,31499,20157496.0,1708,351.54,-629315.44113888
374,-1.1920928955078125e-07,0.0007,-10.497605323791504,-196868.015625,1.4069207906723022,640000,31999,1910653312.0,1708,290.3,-222740.14706734996
380,0.0,0.0007,-10.537747383117676,7709.9970703125,1.419085144996643,650000,32499,2978802.5,1707,328.83,-207340.65117941998
386,0.0,0.0007,-10.617677688598633,-102030.265625,1.4418939352035522,660000,32999,389244704.0,1706,330.13,-247620.78106466003
392,0.0,0.0007,-10.675554275512695,-255505.875,1.456278920173645,670000,33499,2367578112.0,1705,418.17,-326330.25031649
398,0.0,0.0007,-10.681321144104004,17461.171875,1.4593839645385742,680000,33999,6821069.5,1704,81.34,-105444.46224085998
404,0.0,0.0007,-10.683917045593262,-18678.24609375,1.4642506837844849,690000,34499,19265222.0,1704,126.21,-136045.04188583
410,5.960464477539063e-08,0.0007,-10.78931999206543,-43834.85546875,1.4855729341506958,700000,34999,69087376.0,1703,133.11,-196799.48343050998
416,-1.1920928955078125e-07,0.0007,-10.820985794067383,-89.4753646850586,1.4978723526000977,710000,35499,6411834.5,1703,23.41,-107424.15783422001
422,-1.1920928955078125e-07,0.0007,-10.90527057647705,-401.91107177734375,1.5186634063720703,720000,35999,2147.44384765625,1702,76.66,-227151.21419614003
429,-2.384185791015625e-07,0.0007,-10.955060958862305,-26024.755859375,1.5333887338638306,730000,36499,24616746.0,1701,154.19,-157487.66119608
435,0.0,0.0007,-11.009705543518066,-41736.30078125,1.5482497215270996,740000,36999,98088016.0,1700,234.7,-200036.56317287998
441,0.0,0.0007,-11.059247970581055,-12663.109375,1.5578502416610718,750000,37499,22246636.0,1700,239.64,-201883.04719989002
447,0.0,0.0007,-11.169344902038574,-162610.84375,1.5910916328430176,760000,37999,528119648.0,1699,171.12,-247157.65602245004
453,-1.1920928955078125e-07,0.0007,-11.226204872131348,-336.29461669921875,1.6086856126785278,770000,38499,1126.2884521484375,1698,180.9,-361297.05697050993
459,0.0,0.0007,-11.248181343078613,-55210.17578125,1.615465521812439,780000,38999,189578640.0,1698,182.07,-305797.32461318007
465,0.0,0.0007,-11.30519962310791,-130792.0859375,1.631430745124817,790000,39499,1447473920.0,1698,207.18,-321354.71165827004
