train/learning_rate,train/n_updates,train/value_loss,train/explained_variance,time/time_elapsed,rollout/ep_len_mean,time/fps,train/entropy_loss,time/total_timesteps,train/policy_loss,train/std,rollout/ep_rew_mean
0.0007,8999,109317840.0,0.0,91,166.95,1961,-9.14796257019043,180000,-53652.0859375,1.1174962520599365,-317449.37056789
0.0007,9499,182677088.0,0.0,96,232.69,1961,-9.247666358947754,190000,-77468.3828125,1.1365652084350586,-382477.5503826999
0.0007,9999,358218240.0,0.0,101,230.54,1962,-9.262345314025879,200000,-81115.5234375,1.139358401298523,-325396.89003236
0.0007,10499,20002948.0,0.0,107,168.86,1962,-9.279447555541992,210000,-18009.07421875,1.1414463520050049,-175905.33183645
0.0007,10999,24721564.0,-1.1920928955078125e-07,112,90.67,1961,-9.253464698791504,220000,-21780.17578125,1.1386255025863647,-198352.12097910995
0.0007,11499,786751872.0,0.0,117,148.32,1962,-9.35166072845459,230000,-134990.421875,1.1592493057250977,-265729.00258061
0.0007,11999,657694336.0,0.0,122,175.28,1962,-9.44140625,240000,-168902.484375,1.1782761812210083,-298492.49107489997
0.0007,12499,14716685.0,0.0,127,219.95,1965,-9.497281074523926,250000,10039.7158203125,1.1916807889938354,-336006.9345257899
0.0007,12999,5262433.0,1.7881393432617188e-07,132,133.06,1966,-9.504244804382324,260000,-4214.66552734375,1.195478081703186,-241097.79793797995
0.0007,13499,5495978.5,0.0,137,189.11,1968,-9.54538631439209,270000,10255.990234375,1.2051502466201782,-328283.82764406997
0.0007,13999,160041216.0,0.0,142,244.38,1968,-9.605597496032715,280000,-64373.1015625,1.2209562063217163,-415461.2942797799
0.0007,14499,130711528.0,0.0,147,300.0,1968,-9.644601821899414,290000,-36531.14453125,1.2283457517623901,-435687.5525793701
0.0007,14999,40275896.0,0.0,152,116.16,1968,-9.628464698791504,300000,-17481.80859375,1.2244207859039307,-179128.11615232995
0.0007,15499,24563.96484375,-1.1920928955078125e-07,157,132.82,1969,-9.646666526794434,310000,-917.0386962890625,1.228958249092102,-232751.27430061
0.0007,15999,39894280.0,5.960464477539063e-08,162,140.11,1970,-9.633856773376465,320000,-29773.48046875,1.2258472442626953,-223301.13584534
0.0007,16499,14972466.0,0.0,167,165.32,1970,-9.610564231872559,330000,8316.3544921875,1.2207579612731934,-208099.63423784997
0.0007,16999,116404624.0,0.0,172,170.6,1970,-9.593323707580566,340000,-36345.25390625,1.21769380569458,-186222.9174836
0.0007,17499,7178.7744140625,-2.384185791015625e-07,177,161.05,1970,-9.674278259277344,350000,-728.5177612304688,1.2364740371704102,-226651.91635096003
0.0007,17999,9085.8505859375,0.0,182,199.65,1970,-9.703110694885254,360000,-654.68408203125,1.2444579601287842,-261509.20757039002
0.0007,18499,4880.2392578125,-2.384185791015625e-07,187,227.66,1970,-9.787703514099121,370000,-547.4830322265625,1.2584816217422485,-261161.42175837996
0.0007,18999,361630304.0,5.960464477539063e-08,192,255.92,1970,-9.75610065460205,380000,-108367.671875,1.2525452375411987,-249440.291902
0.0007,19499,114819.875,0.0,197,222.02,1970,-9.787299156188965,390000,1368.602294921875,1.2608964443206787,-190144.13325018
0.0007,19999,239699488.0,1.1920928955078125e-07,203,308.42,1970,-9.805342674255371,400000,-95155.390625,1.2637521028518677,-265745.50417604996
0.0007,20499,442056.90625,1.7881393432617188e-07,208,282.85,1970,-9.780365943908691,410000,2416.675048828125,1.2589765787124634,-271394.54667477
0.0007,20999,7505.2783203125,0.0,213,238.14,1970,-9.796769142150879,420000,-664.3673095703125,1.2621526718139648,-232452.89749898
0.0007,21499,5671.1162109375,-1.1920928955078125e-07,218,207.48,1970,-9.816756248474121,430000,-642.2633056640625,1.264502763748169,-174120.16296714
0.0007,21999,2908.81201171875,0.0,223,278.64,1971,-9.852337837219238,440000,-424.29193115234375,1.2737212181091309,-196566.42071257997
0.0007,22499,7822.67578125,5.960464477539063e-08,228,271.98,1972,-9.940747261047363,450000,-730.4903564453125,1.2933672666549683,-226190.27390642997
0.0007,22999,5263360.0,1.1920928955078125e-07,233,93.5,1972,-9.961930274963379,460000,-5300.14990234375,1.2974804639816284,-127199.67186472997
0.0007,23499,120175856.0,0.0,238,197.15,1974,-9.95931339263916,470000,-62592.9375,1.2946712970733643,-208277.67367950003
0.0007,23999,13387.921875,0.0,242,235.16,1975,-9.908001899719238,480000,-898.6334228515625,1.2861578464508057,-202868.19059010997
0.0007,24499,7857.65771484375,0.0,248,268.29,1975,-9.984467506408691,490000,-683.6600952148438,1.301375389099121,-226965.73552767
0.0007,24999,10222006.0,0.0,253,115.89,1975,-10.081167221069336,500000,-10297.294921875,1.323673129081726,-200812.94434166997
0.0007,25499,1438196736.0,0.0,258,72.48,1975,-10.127547264099121,510000,-164019.828125,1.3351393938064575,-171615.55791710998
0.0007,25999,24633.72265625,0.0,263,62.91,1975,-10.11325740814209,520000,-1452.0118408203125,1.332729458808899,-123313.97019971999
0.0007,26499,217215616.0,0.0,268,150.24,1974,-10.096749305725098,530000,-95489.9921875,1.3309422731399536,-158692.05310611
0.0007,26999,107126016.0,5.960464477539063e-08,273,205.79,1974,-10.143333435058594,540000,-36574.5625,1.338743805885315,-199396.68540288002
0.0007,27499,1191952640.0,0.0,278,268.28,1974,-10.237778663635254,550000,-316152.53125,1.3612337112426758,-269881.01148157
0.0007,27999,5250786.5,0.0,283,296.5,1974,-10.216988563537598,560000,-6571.2265625,1.3548970222473145,-389299.1298379401
0.0007,28499,14211.3046875,-1.1920928955078125e-07,288,360.28,1974,-10.341498374938965,570000,-1031.8272705078125,1.385751724243164,-431240.72296019
0.0007,28999,420148800.0,0.0,293,313.03,1974,-10.356901168823242,580000,-156940.84375,1.3882662057876587,-361657.72049661004
0.0007,29499,15115366.0,1.7881393432617188e-07,298,312.11,1974,-10.343765258789062,590000,-16516.880859375,1.3883939981460571,-304442.13518821
0.0007,29999,24896728.0,0.0,304,279.36,1973,-10.45504093170166,600000,-28883.171875,1.4142943620681763,-276182.78041393
0.0007,30499,6049.0400390625,0.0,309,295.36,1972,-10.51778507232666,610000,-653.332275390625,1.426037311553955,-267499.9628354099
