train/approx_kl,time/fps,train/loss,train/entropy_loss,train/explained_variance,train/clip_fraction,rollout/ep_len_mean,train/policy_gradient_loss,train/value_loss,time/total_timesteps,train/learning_rate,rollout/ep_rew_mean,train/std,train/n_updates,train/clip_range,time/time_elapsed
0.0054046144,888,459106112.0,-9.66464536190033,5.960464477539063e-08,0.0296630859375,164.63,-0.0029536607182308215,851058608.075,110000,0.0017,-288378.97157989995,1.219904899597168,130,0.2,123
0.0051750233,883,326741664.0,-9.757930076122284,0.0,0.0314453125,164.74,-0.0030048343829548684,755366700.375,120000,0.0017,-288310.61142888,1.239775538444519,140,0.2,135
0.005007517,897,504349984.0,-9.857365032285452,0.0,0.0243408203125,142.68,-0.0025104120655669248,975320180.275,130000,0.0017,-261021.87043356,1.260805368423462,150,0.2,144
0.0051485035,886,382626944.0,-10.075696155428886,0.0,0.02799072265625,162.66,-0.0027900128559849692,857203615.975,140000,0.0017,-283920.48289579,1.3073657751083374,170,0.2,158
0.0052347174,899,290449216.0,-10.159776454418898,0.0,0.02646484375,166.62,-0.003225622803074657,722220447.975,150000,0.0017,-286368.59618409,1.324023962020874,180,0.2,166
0.0068934252,911,348916576.0,-10.272979486733675,0.0,0.0424072265625,149.69,-0.004512865206197603,883031970.65,160000,0.0017,-260780.65422008003,1.3555511236190796,190,0.2,175
0.0048739095,923,423908032.0,-10.411258658766746,0.0,0.0240478515625,142.88,-0.0020370697291582475,722237251.775,170000,0.0017,-238264.25625799,1.3865762948989868,200,0.2,184
0.004440357,933,509636192.0,-10.526327646523715,0.0,0.02630615234375,124.96,-0.0025683801350169233,895254557.375,180000,0.0017,-232132.97549605,1.410797119140625,210,0.2,192
0.005754515,921,273924992.0,-10.727878908067941,5.960464477539063e-08,0.0304443359375,151.17,-0.002554913275344006,724876706.225,190000,0.0017,-254915.05295556996,1.4592567682266235,230,0.2,206
0.0042414884,930,421496608.0,-10.825157751142978,0.0,0.02501220703125,133.03,-0.0025879088909277924,792843224.075,200000,0.0017,-233024.71816673002,1.482509732246399,240,0.2,214
0.0062817535,938,287939808.0,-10.938212302327155,-1.1920928955078125e-07,0.0411865234375,135.18,-0.0037803343197992945,789818048.3,210000,0.0017,-238062.13026535994,1.5136715173721313,250,0.2,223
0.0056147897,946,269440768.0,-11.053443580120803,1.7881393432617188e-07,0.0380126953125,156.16,-0.003390900472004432,817055558.325,220000,0.0017,-272625.56574978004,1.5417712926864624,260,0.2,232
0.0050454875,935,221537984.0,-11.319833038002253,0.0,0.01995849609375,150.8,-0.0015630132058504387,790896649.3875,230000,0.0017,-251739.74502405,1.6160858869552612,280,0.2,245
0.005182904,943,455747776.0,-11.44027419090271,5.960464477539063e-08,0.02767333984375,139.27,-0.0025360415480463415,748307562.375,240000,0.0017,-245200.63862838002,1.645408272743225,290,0.2,254
0.004418972,949,411458240.0,-11.539161096513272,1.1920928955078125e-07,0.02572021484375,150.07,-0.0016708857047888158,821409356.3,250000,0.0017,-265440.88033447997,1.6709136962890625,300,0.2,263
0.0045032096,954,357885152.0,-11.64240367114544,5.960464477539063e-08,0.02181396484375,146.14,-0.0018832156762073281,776370500.775,260000,0.0017,-259218.02323530003,1.7031923532485962,310,0.2,272
0.0056040655,954,522358080.0,-11.747166825830936,0.0,0.0371826171875,159.1,-0.0038165285795912496,711904249.9,270000,0.0017,-270054.50161802,1.7321594953536987,320,0.2,282
0.0054585333,927,372802272.0,-11.967140877246857,5.960464477539063e-08,0.02987060546875,136.1,-0.00251364429741443,787965173.775,280000,0.0017,-243093.89611507003,1.8031234741210938,340,0.2,301
0.004854941,924,288359488.0,-12.10094000250101,0.0,0.01968994140625,129.96,-0.0017990070809901226,856311312.175,290000,0.0017,-224400.72588448998,1.8427988290786743,350,0.2,313
0.0053302757,920,381939680.0,-12.228598150610924,0.0,0.0312255859375,142.96,-0.002744471564619744,742643921.325,300000,0.0017,-245465.41836559,1.883623719215393,360,0.2,325
0.0059670582,916,268269888.0,-12.334548988938332,5.960464477539063e-08,0.03677978515625,147.81,-0.0033491893591417465,752042567.125,310000,0.0017,-243963.50909824003,1.911880373954773,370,0.2,338
0.005031342,898,287130720.0,-12.53611075207591,0.0,0.02686767578125,159.08,-0.0023009807608104895,676324038.975,320000,0.0017,-256415.92618801002,1.9824098348617554,390,0.2,356
0.006140343,904,384628000.0,-12.661702981591224,0.0,0.03302001953125,128.38,-0.0034052136943500955,755751125.225,330000,0.0017,-227147.52656452,2.0263493061065674,400,0.2,364
0.0060746036,910,193894336.0,-12.790800227224826,5.960464477539063e-08,0.030859375,123.68,-0.0028277066881855716,733153726.275,340000,0.0017,-217646.10032608,2.071704149246216,410,0.2,373
0.005491376,915,500457888.0,-12.90657318532467,0.0,0.03333740234375,128.13,-0.0025598735050152755,756676671.0875,350000,0.0017,-217344.25775453,2.108741283416748,420,0.2,382
0.00596154,921,421408192.0,-13.029215084016323,0.0,0.03104248046875,132.98,-0.0023217275802380755,760476832.975,360000,0.0017,-228639.90466751,2.1592133045196533,430,0.2,390
0.005409054,915,471425024.0,-13.305458068102599,5.960464477539063e-08,0.02269287109375,135.56,-0.0021870196169402334,704361223.1625,370000,0.0017,-238881.34555153002,2.2610538005828857,450,0.2,404
0.005407457,920,430644672.0,-13.430185106396674,5.960464477539063e-08,0.0306396484375,140.17,-0.0026024490161944414,751870453.6,380000,0.0017,-248222.08573039004,2.3062477111816406,460,0.2,412
0.0050259857,925,238368496.0,-13.545743262767791,5.960464477539063e-08,0.02357177734375,146.16,-0.0018082473241520347,701339260.025,390000,0.0017,-244916.89728925002,2.351667642593384,470,0.2,421
0.00429084,929,312548896.0,-13.66604736894369,0.0,0.01949462890625,143.87,-0.0011755847026506672,682966849.075,400000,0.0017,-241652.75784225,2.3983964920043945,480,0.2,430
0.0044289036,924,377369568.0,-13.910566863417625,5.960464477539063e-08,0.0229736328125,130.4,-0.0015362699867182527,731217329.65,410000,0.0017,-230506.67747994993,2.4988205432891846,500,0.2,443
0.006096769,928,454041024.0,-14.033128298074008,0.0,0.03248291015625,139.99,-0.002288374028830731,727060427.2625,420000,0.0017,-249946.04689506,2.5555155277252197,510,0.2,452
