train/learning_rate,time/total_timesteps,time/time_elapsed,train/entropy_loss,rollout/ep_rew_mean,rollout/ep_len_mean,train/n_updates,train/std,train/value_loss,time/fps,train/explained_variance,train/policy_loss
0.0007,210000,108,-14.34168815612793,-175690.54454176,104.42,10499,1.1947641372680664,1928971904.0,1939,-1.1920928955078125e-07,-300094.1875
0.0007,220000,116,-14.58381462097168,-154008.08981702,58.78,10999,1.2278953790664673,178861840.0,1882,-1.1920928955078125e-07,-115394.7890625
0.0007,230000,121,-14.615188598632812,-133691.85344417,60.81,11499,1.2324917316436768,1007894912.0,1886,0.0,-157278.828125
0.0007,240000,127,-14.811613082885742,-112998.41033044999,46.84,11999,1.259264588356018,71753800.0,1889,-1.1920928955078125e-07,-68121.921875
0.0007,250000,132,-14.797204971313477,-134157.05357431,55.49,12499,1.2575098276138306,60549664.0,1887,0.0,-68470.5
0.0007,260000,138,-14.876932144165039,-127211.82277455,40.29,12999,1.2701324224472046,4057894400.0,1882,0.0,-562787.5625
0.0007,270000,145,-14.905794143676758,-168093.29137818,86.37,13499,1.2746140956878662,838922368.0,1856,-1.1920928955078125e-07,-227586.0
0.0007,280000,150,-15.001401901245117,-124370.98297358,39.06,13999,1.289678931236267,662971200.0,1860,0.0,-217314.96875
0.0007,290000,155,-15.122434616088867,-280564.70964780997,47.49,14499,1.3072452545166016,132501648.0,1863,0.0,-118916.3125
0.0007,300000,163,-15.112466812133789,-136521.19828853,36.88,14999,1.3067916631698608,30415968.0,1836,0.0,-45655.51953125
0.0007,310000,168,-15.1297607421875,-147754.33784640997,60.45,15499,1.3080732822418213,6690.9345703125,1838,0.0,-1157.4349365234375
0.0007,320000,173,-15.248875617980957,-172192.38461948,72.66,15999,1.32483971118927,6619.9853515625,1841,-1.1920928955078125e-07,-1159.720458984375
0.0007,330000,179,-15.335161209106445,-129756.78629170997,41.59,16499,1.3385926485061646,1457302272.0,1834,0.0,-230951.171875
0.0007,340000,186,-15.48865795135498,-138824.14132346,42.94,16999,1.3617632389068604,39345292.0,1822,0.0,-60023.51953125
0.0007,350000,191,-15.528169631958008,-126045.90411538999,66.14,17499,1.3682079315185547,26778608.0,1824,2.384185791015625e-07,-27303.333984375
0.0007,360000,197,-15.574548721313477,-284415.67826145,92.03,17999,1.3759710788726807,454645.40625,1818,0.0,1843.919921875
0.0007,370000,203,-15.669572830200195,-265461.66545672,106.66,18499,1.3913779258728027,30750240.0,1821,0.0,-26209.650390625
0.0007,380000,208,-15.762468338012695,-138837.41533962998,51.86,18999,1.4068843126296997,19489878.0,1824,-2.384185791015625e-07,-29894.490234375
0.0007,390000,213,-15.836583137512207,-136511.45767883002,56.82,19499,1.4175561666488647,1846376.375,1827,-1.1920928955078125e-07,14626.6640625
0.0007,400000,219,-15.91187858581543,-171479.22352914995,65.45,19999,1.4305100440979004,5689584.0,1823,5.960464477539063e-08,25571.169921875
0.0007,410000,224,-16.022920608520508,-129649.01704938,46.99,20499,1.4484248161315918,4813033.0,1825,0.0,16687.90625
0.0007,420000,229,-16.073043823242188,-225088.92070425005,95.9,20999,1.4583916664123535,20210956.0,1828,0.0,-24667.865234375
0.0007,430000,234,-16.109529495239258,-139229.72636178997,52.95,21499,1.4654204845428467,61426856.0,1830,0.0,-99651.765625
0.0007,440000,240,-16.160541534423828,-145413.55749196,72.66,21999,1.475175142288208,423475.15625,1832,0.0,4641.5087890625
0.0007,450000,245,-16.173030853271484,-149004.18799594,87.33,22499,1.4760997295379639,22120772.0,1835,1.7881393432617188e-07,-17322.6796875
0.0007,460000,250,-16.248287200927734,-177797.67828810998,80.43,22999,1.4891574382781982,2792268288.0,1838,0.0,-451176.75
0.0007,470000,255,-16.285554885864258,-202908.45828307004,73.86,23499,1.4959373474121094,30003814.0,1841,0.0,-49562.98046875
0.0007,480000,260,-16.29886245727539,-132339.47449584,58.26,23999,1.4960838556289673,2783771648.0,1844,1.7881393432617188e-07,-526910.375
0.0007,490000,266,-16.357561111450195,-147073.63426360997,47.55,24499,1.5072040557861328,5847844.5,1840,0.0,22452.61328125
0.0007,500000,404,-16.37923812866211,-223556.36152252,89.74,24999,1.5111315250396729,29994028.0,1236,1.1920928955078125e-07,-47151.1796875
0.0007,510000,548,-16.528392791748047,-158883.85134589,75.39,25499,1.5349478721618652,224635.96875,930,0.0,2741.38232421875
0.0007,520000,686,-16.593652725219727,-149626.84097581,63.72,25999,1.5468664169311523,259974368.0,757,5.960464477539063e-08,-153221.671875
0.0007,530000,829,-16.63178062438965,-118873.82164888998,38.42,26499,1.556570053100586,25558006.0,638,0.0,-15100.130859375
0.0007,540000,974,-16.825939178466797,-129988.09482045998,29.92,26999,1.5914608240127563,35294592.0,554,0.0,-46316.16796875
0.0007,550000,1114,-16.877973556518555,-155740.78513215005,54.99,27499,1.601869821548462,4567843.0,493,0.0,11999.974609375
0.0007,560000,1168,-16.962993621826172,-116460.72592579,31.95,27999,1.617152452468872,1460999680.0,479,1.1920928955078125e-07,-220166.90625
0.0007,570000,1233,-17.117372512817383,-149017.94767936002,70.05,28499,1.6454615592956543,24777460.0,462,0.0,-42097.8046875
0.0007,580000,1301,-17.140674591064453,-159285.62377527,80.6,28999,1.6508482694625854,60196520.0,445,0.0,-44675.69140625
0.0007,590000,1376,-17.194034576416016,-118032.10847785002,43.13,29499,1.661641240119934,4843.5400390625,428,1.1920928955078125e-07,-1102.169189453125
0.0007,600000,1383,-17.257869720458984,-152151.36312587,63.11,29999,1.6746735572814941,4785.5322265625,433,-1.1920928955078125e-07,-1065.668701171875
0.0007,610000,1390,-17.304744720458984,-245168.27529385,46.33,30499,1.685688853263855,2361537280.0,438,0.0,-390622.375
0.0007,620000,1396,-17.451692581176758,-109541.79300992,30.63,30999,1.7113648653030396,2496146176.0,444,0.0,-587232.625
0.0007,630000,1403,-17.641450881958008,-123418.4285575,51.53,31499,1.751136302947998,16934290.0,448,0.0,-4352.4814453125
0.0007,640000,1408,-17.719724655151367,-164727.11522195,88.58,31999,1.7685341835021973,336008384.0,454,1.7881393432617188e-07,-222790.328125
0.0007,650000,1414,-17.785032272338867,-141382.4780069,91.97,32499,1.7833895683288574,24922446.0,459,0.0,-42367.9921875
0.0007,660000,1419,-17.790576934814453,-138298.959092,65.61,32999,1.7849243879318237,26459156.0,464,0.0,-32920.140625
0.0007,670000,1424,-17.82261848449707,-203918.41865005,63.03,33499,1.7915990352630615,117133040.0,470,-1.1920928955078125e-07,-125148.671875
0.0007,680000,1429,-17.92144203186035,-101397.96233674999,27.29,33999,1.8125207424163818,27824.349609375,475,0.0,352.6879577636719
0.0007,690000,1437,-18.04281997680664,-104832.78091607001,42.38,34499,1.8372864723205566,1443244160.0,479,0.0,-254305.625
0.0007,700000,1443,-18.105161666870117,-154147.39195033,93.64,34999,1.8526368141174316,45426120.0,485,-2.384185791015625e-07,-46808.8828125
0.0007,710000,1448,-18.211803436279297,-136380.10115127,86.34,35499,1.876833438873291,20236212.0,490,0.0,-38063.74609375
0.0007,720000,1453,-18.161163330078125,-113059.18540368,69.85,35999,1.8649781942367554,510487.84375,495,0.0,4628.044921875
0.0007,730000,1458,-18.175922393798828,-113476.08156278002,52.15,36499,1.8688502311706543,24427286.0,500,-1.1920928955078125e-07,-46444.8515625
0.0007,740000,1464,-18.216032028198242,-117674.83184113,47.7,36999,1.8805114030838013,1711744.25,505,0.0,10764.4248046875
0.0007,750000,1471,-18.289426803588867,-122228.76351557,70.22,37499,1.8964875936508179,15259909.0,509,5.960464477539063e-08,-25384.787109375
0.0007,760000,1476,-18.36221694946289,-118343.90061668999,64.25,37999,1.911124348640442,609483.1875,514,0.0,5353.96728515625
0.0007,770000,1482,-18.39520835876465,-145356.2659262,80.13,38499,1.9169049263000488,826643520.0,519,-1.1920928955078125e-07,-259921.75
0.0007,780000,1487,-18.408493041992188,-150426.97245444002,100.8,38999,1.918494701385498,24904180.0,524,0.0,-13886.119140625
0.0007,790000,1492,-18.418367385864258,-161903.65966716997,70.94,39499,1.9212665557861328,2916475392.0,529,0.0,-650412.6875
0.0007,800000,1502,-18.431087493896484,-188819.11694808002,50.46,39999,1.9257744550704956,67678624.0,532,0.0,-42797.28125
0.0007,810000,1514,-18.413070678710938,-96289.44740199998,38.06,40499,1.922273874282837,2185274.75,534,0.0,18285.505859375
0.0007,820000,1519,-18.529680252075195,-113537.28431706998,43.19,40999,1.9477399587631226,19115036.0,539,1.1920928955078125e-07,-13996.9013671875
0.0007,830000,1524,-18.592878341674805,-118639.75441467999,56.86,41499,1.9617377519607544,968422016.0,544,0.0,-194756.53125
0.0007,840000,1531,-18.606428146362305,-115061.66213756999,85.69,41999,1.9623565673828125,2350712576.0,548,0.0,-454108.1875
0.0007,850000,1536,-18.70423698425293,-136307.72067166996,61.0,42499,1.9867464303970337,57366.7890625,553,0.0,1482.6324462890625
0.0007,860000,1542,-18.744747161865234,-196146.55107863995,117.34,42999,1.9985531568527222,435583808.0,557,0.0,-176744.0
0.0007,870000,1547,-18.854345321655273,-143121.97699131,35.03,43499,2.0196855068206787,14931067.0,562,-1.1920928955078125e-07,-34826.96484375
0.0007,880000,1552,-18.914186477661133,-143244.43864546999,49.82,43999,2.036909341812134,12767290.0,566,0.0,-5259.0341796875
0.0007,890000,1562,-19.042587280273438,-119874.67947280998,71.17,44499,2.070596933364868,104553816.0,569,0.0,-68967.359375
0.0007,900000,1569,-19.007596969604492,-147793.96248982998,78.68,44999,2.06493878364563,3656684.75,573,0.0,21653.681640625
0.0007,910000,1574,-19.06171989440918,-193542.71229782997,83.61,45499,2.0784432888031006,24723388.0,577,1.1920928955078125e-07,-48779.7578125
0.0007,920000,1580,-19.178041458129883,-401567.04089867993,148.49,45999,2.1133105754852295,6452869.5,582,-1.1920928955078125e-07,-4417.6376953125
0.0007,930000,1585,-19.28068733215332,-269248.39411861,152.87,46499,2.136779308319092,1927398656.0,586,-1.1920928955078125e-07,-418311.40625
0.0007,940000,1590,-19.293060302734375,-163327.12874827,68.27,46999,2.1455793380737305,1115639.5,590,0.0,9809.79296875
0.0007,950000,1598,-19.335391998291016,-137060.68860786,83.66,47499,2.1546926498413086,6267.0283203125,594,5.960464477539063e-08,-1305.0469970703125
0.0007,960000,1603,-19.364582061767578,-121917.92304203,99.57,47999,2.1629648208618164,33207770.0,598,0.0,-56665.6171875
0.0007,970000,1608,-19.420787811279297,-149190.86750885998,103.17,48499,2.1794333457946777,34945520.0,603,5.960464477539063e-08,-69489.6953125
0.0007,980000,1613,-19.453340530395508,-171298.66528892,154.34,48999,2.188422918319702,50146100.0,607,1.1920928955078125e-07,-54471.0
0.0007,990000,1618,-19.52092170715332,-157296.76069573002,86.5,49499,2.2001380920410156,308494720.0,611,0.0,-154245.90625
0.0007,1000000,1624,-19.545530319213867,-133943.44579009997,56.79,49999,2.2070741653442383,376126.4375,615,0.0,4119.98486328125
