rollout/ep_rew_mean,time/fps,time/time_elapsed,time/episodes,train/critic_loss,train/ent_coef_loss,rollout/ep_len_mean,time/total_timesteps,train/n_updates,train/ent_coef,train/actor_loss,train/learning_rate
111233.33833254,178,2794,9043,78603352.0,-0.8374316692352295,52.55,500000,124974,55.847354888916016,-20397.267578125,0.001
116758.94457472001,178,2853,9257,71433328.0,0.310099333524704,46.45,510000,127474,56.59756088256836,-26962.55859375,0.001
123336.91019019,178,2913,9485,31849544.0,0.4481718838214874,44.75,520000,129974,56.3038330078125,-28221.625,0.001
125023.47840117,178,2973,9706,29837744.0,-0.6552414894104004,43.87,530000,132474,58.895694732666016,-23712.359375,0.001
127830.03106774,178,3032,9923,69656312.0,0.1489725112915039,46.57,540000,134974,58.594818115234375,-31274.00390625,0.001
126111.82116913,177,3092,10161,26642282.0,0.20264263451099396,40.1,550000,137474,58.8705940246582,-32880.9921875,0.001
126187.45033539999,177,3152,10405,60591696.0,0.4435834586620331,39.96,560000,139974,58.815120697021484,-35517.14453125,0.001
128882.36837535999,177,3212,10648,55300444.0,-0.25784024596214294,42.4,570000,142474,54.10129165649414,-34019.05078125,0.001
121454.44859818999,177,3271,10884,47343912.0,0.5127880573272705,46.61,580000,144974,60.2474479675293,-34269.0390625,0.001
130710.93033468998,177,3329,11136,63236008.0,0.7979956865310669,39.59,590000,147474,62.62998962402344,-42980.8984375,0.001
120049.61114779001,177,3387,11339,63488080.0,1.5171821117401123,43.83,600000,149974,55.941490173339844,-37104.71875,0.001
130149.9,177,3446,11576,95756560.0,0.8619985580444336,42.45,610000,152474,61.500526428222656,-43421.1015625,0.001
126853.76570365998,176,3504,11784,39654576.0,-0.32016459107398987,43.02,620000,154974,55.390316009521484,-48616.1328125,0.001
129547.54594286,176,3563,11994,31609752.0,-0.18112820386886597,40.75,630000,157474,56.0650749206543,-47286.5625,0.001
127357.97545663,176,3621,12234,36420264.0,1.4759879112243652,39.32,640000,159974,56.98374557495117,-51799.515625,0.001
131137.31667216998,176,3680,12482,19094860.0,0.2648305296897888,40.64,650000,162474,56.71659469604492,-47791.4765625,0.001
122812.77587157,176,3739,12722,86999712.0,-0.9749395847320557,40.4,660000,164974,56.15890884399414,-52234.015625,0.001
125148.69818682,176,3799,12910,45340968.0,-1.6148146390914917,45.97,670000,167474,49.630741119384766,-53126.640625,0.001
131579.05871489,176,3857,13148,46141968.0,0.6023101210594177,40.32,680000,169974,56.63935470581055,-54334.8203125,0.001
126878.85689242,176,3916,13358,66887236.0,-1.91929292678833,50.03,690000,172474,52.463531494140625,-51685.703125,0.001
129116.87246977001,176,3974,13598,66122296.0,-1.3324129581451416,41.08,700000,174974,48.372581481933594,-57943.3359375,0.001
118444.93641423,176,4032,13836,99591104.0,-1.8309173583984375,43.25,710000,177474,54.45623779296875,-56441.140625,0.001
128558.16606501,176,4090,14057,36584664.0,2.964028835296631,40.03,720000,179974,51.892333984375,-60184.71875,0.001
130691.76910065,175,4150,14246,36184092.0,0.5627617835998535,42.3,730000,182474,57.81813049316406,-58307.93359375,0.001
