time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,rollout/return_std,train/learning_rate,train/step_size,train/delta_std,train/iterations
3408,840000,246,-84930.5928215,3.3333333333333335,157.0957794189453,0.02,1.5913858078420162e-05,0.05,130
3405,850000,249,-84548.26620859999,4.7,931.6265258789062,0.02,2.683478669496253e-06,0.05,142
3400,860000,252,-83966.3273145,4.857142857142857,6611.12158203125,0.02,3.781506450195593e-07,0.05,161
3398,870000,256,-89800.75537466665,5.333333333333333,7508547.0,0.02,3.329538866836401e-10,0.05,172
3394,880000,259,-83411.17150941667,5.0,142.20457458496094,0.02,1.758030521159526e-05,0.05,187
3387,890000,262,-83405.29502066667,5.0,17.044166564941406,0.02,0.00014667774667032063,0.05,214
3382,900000,266,-84046.33657566666,4.333333333333333,482.99090576171875,0.02,5.17608077643672e-06,0.05,238
3380,910000,269,-83410.818229,5.0,1128.6373291015625,0.02,2.2150604763737647e-06,0.05,244
3374,920000,272,-83411.46035400001,5.0,181.61178588867188,0.02,1.3765626135864295e-05,0.05,270
3372,930000,275,-83411.560066625,5.0,655.263427734375,0.02,3.815259333350696e-06,0.05,282
3370,940000,278,-83427.0212586,5.0,0.6771864891052246,0.02,0.003691744524985552,0.05,291
3369,950000,281,-83413.99444614285,5.0,1.7314598560333252,0.02,0.0014438681537285447,0.05,300
3366,960000,285,-83408.26400014285,5.0,0.2180606722831726,0.02,0.01146469172090292,0.05,314
3362,970000,288,-83370.67875542854,5.0,497.7177734375,0.02,5.022926870879019e-06,0.05,330
3358,980000,291,-83411.57258733333,5.0,0.0,0.02,20000.0,0.05,351
3354,990000,295,-83411.5729004,5.0,3.679687976837158,0.02,0.0006794054061174393,0.05,371
3353,1000000,298,-83410.78464883332,5.0,7513595.0,0.02,3.3273020449975377e-10,0.05,379
