train/n_updates,time/time_elapsed,time/episodes,train/learning_rate,train/ent_coef_loss,train/critic_loss,train/actor_loss,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,train/ent_coef,time/total_timesteps
212474,5712,1167,0.0003,-0.9814623594284058,1223.3455810546875,30460.642578125,-41315.87281300001,1000.0,148,18.36189079284668,850000
214974,5781,1178,0.0003,1.2008371353149414,1177.2926025390625,30617.712890625,-41764.059265949996,1000.0,148,18.209896087646484,860000
217474,5849,1187,0.0003,-0.12581214308738708,1229.1224365234375,33148.8671875,-45227.36145476,1000.0,148,18.675668716430664,870000
219974,5918,1198,0.0003,0.5808349847793579,1167.1158447265625,26422.595703125,-50996.14235775,1000.0,148,21.186481475830078,880000
222474,5986,1207,0.0003,1.2352612018585205,1259.8529052734375,29379.232421875,-56463.43307176,1000.0,148,16.999488830566406,890000
224974,6055,1218,0.0003,-0.40705275535583496,1355.202880859375,29373.35546875,-60103.68534001,1000.0,148,15.391192436218262,900000
227474,6124,1227,0.0003,-0.26087304949760437,1197.1962890625,24848.3671875,-63228.129521929994,1000.0,148,19.15843391418457,910000
229974,6192,1238,0.0003,-0.12600740790367126,1204.2012939453125,23192.044921875,-64909.385881129994,1000.0,148,14.699058532714844,920000
232474,6263,1247,0.0003,0.8323332071304321,1121.99169921875,24650.0234375,-66582.97482193,1000.0,148,17.523273468017578,930000
234974,6332,1258,0.0003,-0.9139752388000488,1092.35009765625,23037.296875,-69081.39403744,1000.0,148,15.438800811767578,940000
237474,6401,1267,0.0003,3.36051607131958,986.5860595703125,17417.69140625,-69563.10291852,1000.0,148,16.088451385498047,950000
239974,6469,1278,0.0003,-0.10532717406749725,1165.0223388671875,19822.427734375,-68519.23251436,1000.0,148,16.941463470458984,960000
242474,6538,1287,0.0003,-0.47275659441947937,1051.0050048828125,14043.1376953125,-65561.56806521,1000.0,148,15.819733619689941,970000
244974,6607,1298,0.0003,1.9805445671081543,1086.340576171875,11696.990234375,-58357.11338501999,1000.0,148,15.008628845214844,980000
247474,6676,1307,0.0003,0.435322642326355,1110.615478515625,13808.326171875,-61770.07861182,1000.0,148,16.199634552001953,990000
249974,6746,1318,0.0003,2.2343311309814453,1021.729248046875,10694.013671875,-57616.82822979,1000.0,148,13.397855758666992,1000000
