time/total_timesteps,train/is_line_search_success,time/fps,train/kl_divergence_loss,time/time_elapsed,train/learning_rate,rollout/ep_len_mean,train/explained_variance,train/policy_objective,rollout/ep_rew_mean,train/n_updates,train/value_loss,train/std
680000,1.0,888,0.005755667109042406,765,0.001,3.02,-1.1920928955078125e-07,0.022237595170736313,-116848.73340754998,83,9835666404.8,0.7276674509048462
690000,1.0,888,0.006616245489567518,776,0.001,3.01,0.0,0.03406543657183647,-116757.35342354001,84,9829455740.8,0.7291671633720398
700000,1.0,889,0.007606192026287317,787,0.001,3.02,0.0,0.02707398310303688,-116863.00742377,85,9820172044.8,0.7287725210189819
710000,1.0,889,0.007112189196050167,798,0.001,3.0,-2.384185791015625e-07,0.035584140568971634,-116651.71993812999,86,9808651728.0,0.7288244366645813
720000,1.0,889,0.007552885916084051,809,0.001,3.03,0.0,0.0448472760617733,-116954.26799600999,87,9807370624.0,0.7313878536224365
730000,1.0,887,0.007679804693907499,822,0.001,3.02,0.0,0.02949688769876957,-116830.89376455,89,9780480052.8,0.7271460890769958
740000,1.0,888,0.008587394841015339,833,0.001,3.01,0.0,0.026678211987018585,-116740.30107860001,90,9771907064.0,0.7252503633499146
750000,1.0,888,0.007334749214351177,844,0.001,3.02,0.0,0.03704246133565903,-116847.14845315,91,9762005425.6,0.725332498550415
760000,1.0,888,0.006556407082825899,855,0.001,3.02,0.0,0.025557219982147217,-116825.83256689999,92,9751624105.6,0.727316677570343
770000,1.0,889,0.00915407296270132,866,0.001,3.01,5.960464477539063e-08,0.037573374807834625,-116753.92809092,93,9746438387.2,0.7245750427246094
780000,1.0,887,0.0020610978826880455,878,0.001,3.01,0.0,0.0001197541132569313,-116728.59478188999,95,9746639516.8,0.7237163782119751
790000,1.0,887,0.003992012701928616,889,0.001,3.01,-2.384185791015625e-07,0.041410744190216064,-116732.32564102,96,10059972355.2,0.7227186560630798
800000,1.0,887,0.0072450716979801655,900,0.001,3.04,0.0,0.0322285071015358,-117024.50622243999,97,9726127694.4,0.7229022979736328
810000,1.0,888,0.006481245160102844,911,0.001,3.06,0.0,0.01283724419772625,-117193.01034376999,98,9726642465.6,0.7211058735847473
820000,1.0,886,0.009543921798467636,924,0.001,3.02,-1.1920928955078125e-07,0.04421030357480049,-116844.57295247003,100,9710595928.0,0.7195457816123962
830000,1.0,887,0.003132952842861414,935,0.001,3.03,1.7881393432617188e-07,0.034813277423381805,-116905.83066054998,101,10088210436.8,0.7194575071334839
840000,1.0,887,0.007409662939608097,946,0.001,3.04,0.0,0.038151320070028305,-117027.31807133001,102,9683552355.2,0.7195902466773987
850000,1.0,888,0.0068420590832829475,956,0.001,3.01,5.960464477539063e-08,0.02424091286957264,-116737.10224376002,103,9677083064.0,0.7172472476959229
