train/learning_rate,train/kl_divergence_loss,train/std,rollout/ep_rew_mean,train/value_loss,time/total_timesteps,rollout/ep_len_mean,time/fps,time/time_elapsed,train/policy_objective,train/n_updates,train/explained_variance,train/is_line_search_success
0.0013,0.00950064230710268,0.756784975528717,117904.50131111,5306919368.0,560000,13.38,1412,396,0.04590374231338501,68,0.0,1.0
0.0013,0.009062361903488636,0.7553558945655823,117282.88665266,5565234731.2,570000,13.65,1412,403,0.04657426476478577,69,0.0,1.0
0.0013,0.008823513053357601,0.7523800730705261,118196.51858737,5527986656.8,580000,13.67,1412,410,0.04031483083963394,70,0.0,1.0
0.0013,0.009534011594951153,0.7486473917961121,117548.7836558,5677191702.4,590000,13.51,1409,418,0.052796732634305954,72,-1.1920928955078125e-07,1.0
0.0013,0.009580215439200401,0.7462140917778015,116040.26232793,5616355348.8,600000,12.92,1409,425,0.053286340087652206,73,-1.1920928955078125e-07,1.0
0.0013,0.009038138203322887,0.7445011138916016,118109.45603036002,5831157441.6,610000,13.79,1408,433,0.03745906800031662,74,1.1920928955078125e-07,1.0
0.0013,0.009814728982746601,0.740650475025177,121745.86517812,5768680767.2,620000,13.31,1409,440,0.043229978531599045,75,-1.1920928955078125e-07,1.0
0.0013,0.009606664068996906,0.7376629710197449,117758.01361266003,5721981983.2,630000,12.92,1409,447,0.03909710422158241,76,-1.1920928955078125e-07,1.0
0.0013,0.008905530907213688,0.7359044551849365,119526.19612261,5752983800.0,640000,13.13,1405,455,0.04043969884514809,78,0.0,1.0
0.0013,0.008690022863447666,0.7345733046531677,121348.23576609,5661521385.6,650000,12.96,1405,462,0.045219842344522476,79,-1.1920928955078125e-07,1.0
0.0013,0.008954818360507488,0.7336136698722839,120011.61775092,5985785097.6,660000,13.45,1405,469,0.04534415155649185,80,0.0,1.0
0.0013,0.009238068014383316,0.7311546206474304,120458.92746796999,5954965865.6,670000,12.39,1403,477,0.04524506628513336,81,5.960464477539063e-08,1.0
0.0013,0.009085386991500854,0.7271434664726257,122045.15348757998,6088405320.8,680000,13.05,1398,486,0.04525480791926384,83,0.0,1.0
0.0013,0.009301482699811459,0.7249650955200195,123385.75866162998,6202095420.0,690000,12.65,1397,493,0.04904551804065704,84,0.0,1.0
0.0013,0.009265382774174213,0.72259521484375,120243.92518626,6111507447.2,700000,12.95,1398,500,0.03415292128920555,85,-1.1920928955078125e-07,1.0
