time/total_timesteps,train/explained_variance,train/policy_objective,rollout/ep_rew_mean,train/n_updates,time/fps,train/kl_divergence_loss,rollout/ep_len_mean,train/std,time/time_elapsed,train/learning_rate,train/is_line_search_success,train/value_loss
390000,5.960464477539063e-08,0.03236738219857216,-137575.67842538998,47,1437,0.005935638677328825,5.04,0.7912869453430176,271,0.001,1.0,11102576889.6
400000,0.0,0.031325820833444595,-136920.99491066003,48,1437,0.007026808336377144,4.96,0.7912084460258484,278,0.001,1.0,11000626496.0
410000,0.0,0.031098581850528717,-137747.92735997,50,1431,0.007444827351719141,5.06,0.7886440753936768,286,0.001,1.0,10948678809.6
420000,-1.1920928955078125e-07,0.05185256898403168,-137385.47358961002,51,1431,0.00970393419265747,5.01,0.7903569340705872,293,0.001,1.0,10954659740.8
430000,1.7881393432617188e-07,0.014356246218085289,-136457.32662888,52,1432,0.0071193077601492405,4.92,0.7894964218139648,300,0.001,1.0,11037399755.2
440000,0.0,0.03439167141914368,-136196.65305348003,53,1433,0.006908707320690155,4.89,0.7910227179527283,306,0.001,1.0,10932683022.4
450000,-1.1920928955078125e-07,0.03244864195585251,-137642.05539914,54,1433,0.009946315549314022,5.04,0.7875914573669434,313,0.001,1.0,10941891398.4
460000,1.1920928955078125e-07,0.033998094499111176,-136040.38180466,56,1429,0.008187196217477322,4.88,0.7858973145484924,321,0.001,1.0,10950146193.6
470000,-1.1920928955078125e-07,0.02471081167459488,-136524.39982069,57,1429,0.007521553430706263,4.92,0.785749614238739,328,0.001,1.0,10982869001.6
480000,1.7881393432617188e-07,0.02971644699573517,-137591.59400828002,58,1430,0.005676977336406708,5.04,0.7863635420799255,335,0.001,1.0,11180868454.4
490000,0.0,0.04665805771946907,-137307.16793666998,59,1431,0.009117976762354374,5.02,0.7824451923370361,342,0.001,1.0,11028852987.2
500000,0.0,0.03841233626008034,-137238.81460594,61,1426,0.007089131977409124,5.01,0.7815638184547424,350,0.001,1.0,10894974044.8
510000,0.0,0.020109623670578003,-135940.42873226,62,1427,0.006161071360111237,4.86,0.7802202701568604,357,0.001,1.0,10851422620.8
520000,0.0,0.03225823864340782,-135201.24306196,63,1427,0.006268502678722143,4.77,0.7799820899963379,364,0.001,1.0,10850799096.0
530000,0.0,0.042258232831954956,-133476.08179674,64,1429,0.007591124624013901,4.6,0.7777673602104187,370,0.001,1.0,10858478297.6
540000,0.0,0.053483545780181885,-135002.55841956998,65,1428,0.008142474107444286,4.76,0.7757964730262756,377,0.001,1.0,10878360780.8
550000,0.0,0.03526584431529045,-132443.72649603998,67,1425,0.005999924149364233,4.48,0.7694855332374573,385,0.001,1.0,10727318171.2
560000,0.0,0.0321100689470768,-131397.08258435997,68,1425,0.00823601707816124,4.36,0.7677538990974426,392,0.001,1.0,10629132456.0
570000,1.1920928955078125e-07,0.011183885857462883,-135713.82373667997,69,1426,0.006955000106245279,4.77,0.764350414276123,399,0.001,1.0,10685240745.6
580000,1.1920928955078125e-07,0.01542788464576006,-130228.43708734999,70,1426,0.004308683797717094,4.24,0.7617741227149963,406,0.001,1.0,10915954316.8
590000,-1.1920928955078125e-07,0.034512314945459366,-129318.32073415,72,1422,0.005411358084529638,4.15,0.7559118866920471,414,0.001,1.0,10605406292.8
600000,0.0,0.01846017874777317,-129337.97702097,73,1423,0.007414672058075666,4.14,0.7541378140449524,421,0.001,1.0,10556286713.6
610000,5.960464477539063e-08,0.0363699346780777,-128291.63761242,74,1423,0.007935572415590286,4.04,0.751661479473114,428,0.001,1.0,10557993748.8
620000,-1.1920928955078125e-07,0.03271947801113129,-128221.19549014997,75,1424,0.009876142255961895,4.03,0.7509793639183044,435,0.001,1.0,10484603297.6
630000,-1.1920928955078125e-07,0.011477275751531124,-128852.52096829997,76,1424,0.005334322806447744,4.1,0.7500879764556885,442,0.001,1.0,10486917891.2
640000,-1.1920928955078125e-07,0.02648984082043171,-129154.16111434001,78,1421,0.009353004395961761,4.13,0.7419053912162781,450,0.001,1.0,10472568612.8
650000,0.0,0.042060621082782745,-128189.69500055,79,1421,0.007359819486737251,4.03,0.7393681406974792,457,0.001,1.0,10485536384.0
660000,0.0,0.022510282695293427,-128681.32563698,80,1422,0.006270578596740961,4.08,0.7392191290855408,463,0.001,1.0,10426561396.8
