train/learning_rate,rollout/ep_rew_mean,time/total_timesteps,train/explained_variance,train/n_updates,train/policy_objective,train/kl_divergence_loss,rollout/ep_len_mean,time/time_elapsed,time/fps,train/value_loss,train/std,train/is_line_search_success
0.0013,-84527.29770503,290000,0.011118292808532715,35,0.0384068600833416,0.006340917199850082,625.37,176,1645,218264159.5875,0.8283641934394836,1.0
0.0013,-84659.32755786,300000,6.377696990966797e-05,36,0.02906307950615883,0.008188750594854355,665.01,182,1647,104063317.096875,0.8216452598571777,1.0
0.0013,-97340.15015566001,310000,0.0347561240196228,37,0.03905100002884865,0.006526097655296326,694.39,187,1649,187072405.8875,0.8183982968330383,1.0
0.0013,-102139.35074805001,320000,0.029019534587860107,39,0.04334433749318123,0.0073684751987457275,722.94,195,1640,53650831.428125,0.8039650321006775,1.0
0.0013,-98930.09357081,330000,0.01729661226272583,40,0.033792417496442795,0.009215553291141987,722.75,200,1642,148405398.353125,0.7868545651435852,1.0
0.0013,-82052.63288567,340000,0.026129066944122314,41,0.02739894762635231,0.008148969151079655,702.09,206,1645,117926996.65625,0.783748209476471,1.0
0.0013,-63418.69520860999,350000,0.05709737539291382,42,0.032356683164834976,0.007110821548849344,684.44,212,1647,144987215.3453125,0.7776982188224792,1.0
0.0013,-37391.68106317,360000,0.06953823566436768,43,0.030010933056473732,0.008243944495916367,681.37,218,1650,80028049.7109375,0.7631298899650574,1.0
0.0013,-1874.2603127700015,370000,-0.0025358200073242188,45,0.038896530866622925,0.009642508812248707,632.74,225,1642,138803111.0453125,0.7657210826873779,1.0
0.0013,-1866.2277741899982,380000,-8.106231689453125e-06,46,0.04138652980327606,0.008753770962357521,636.23,231,1644,109502486.865625,0.7581052780151367,1.0
0.0013,-12064.071939690002,390000,-4.887580871582031e-06,47,0.025813452899456024,0.007474523037672043,671.36,236,1646,47218686.537109375,0.755051851272583,1.0
0.0013,-34944.10255206,400000,-3.337860107421875e-06,48,0.04000956937670708,0.006513862404972315,691.77,242,1648,80209647.409375,0.7544407844543457,1.0
0.0013,-43076.21067868,410000,0.01547938585281372,50,0.05635039880871773,0.007617119234055281,712.19,249,1640,62038634.75859375,0.7539662718772888,1.0
0.0013,-40700.40415139001,420000,0.04531407356262207,51,0.031459372490644455,0.007657742593437433,711.92,255,1642,186355046.815625,0.7538624405860901,1.0
0.0013,-30943.486878030002,430000,0.0357435941696167,52,0.036949045956134796,0.00789534579962492,680.19,261,1644,169979249.140625,0.7605934143066406,1.0
0.0013,-24493.581286500004,440000,0.026269495487213135,53,0.02085157483816147,0.005257770419120789,647.81,267,1645,184115349.3125,0.7572998404502869,1.0
0.0013,2387.2559635799994,450000,0.008618533611297607,54,0.0356314554810524,0.008732987567782402,568.27,273,1647,199306130.00625,0.7576841711997986,1.0
0.0013,22458.46429372,460000,0.013234257698059082,56,0.03200308233499527,0.008215571753680706,523.98,280,1640,149196304.49375,0.7559407353401184,1.0
0.0013,22477.462141570002,470000,0.0016326904296875,57,0.033859170973300934,0.008142189122736454,526.23,286,1642,122253033.6640625,0.754505455493927,1.0
0.0013,28625.867852659998,480000,0.035594403743743896,58,0.03259603679180145,0.006397117394953966,511.51,291,1644,136685918.4,0.753020703792572,1.0
0.0013,30311.947854309994,490000,0.030430138111114502,59,0.033517565578222275,0.00879483949393034,501.35,297,1645,238257972.8125,0.7408428192138672,1.0
0.0013,40747.76663522,500000,0.005956113338470459,61,0.03521871566772461,0.008408412337303162,497.58,304,1639,163910613.790625,0.7444266676902771,1.0
0.0013,43357.4833586,510000,-0.0013333559036254883,62,0.03367890790104866,0.007798492908477783,469.0,310,1641,235389839.575,0.7507359385490417,1.0
0.0013,51039.56241736,520000,0.041958630084991455,63,0.04501418396830559,0.009401915594935417,409.29,316,1642,244859728.98125,0.7480698227882385,1.0
0.0013,56787.971856970005,530000,0.025368154048919678,64,0.03103940561413765,0.007324484642595053,363.16,322,1643,297814627.8875,0.7514539361000061,1.0
0.0013,71916.77599849,540000,0.02412945032119751,65,0.03238494694232941,0.008313193917274475,292.27,328,1645,279013955.0,0.7534656524658203,1.0
0.0013,68461.92086665,550000,0.009550094604492188,67,0.038956187665462494,0.009672115556895733,299.91,335,1639,260446028.65625,0.7471571564674377,1.0
0.0013,65250.88694681,560000,0.011919796466827393,68,0.03381769359111786,0.008292250335216522,311.11,341,1640,281335781.74375,0.7385693192481995,1.0
0.0013,51680.902814529996,570000,0.03833281993865967,69,0.03752858564257622,0.008216793648898602,304.67,347,1641,343101870.7375,0.7380606532096863,1.0
0.0013,62056.97335015001,580000,0.010867595672607422,70,0.04142097011208534,0.009086556732654572,266.3,353,1642,352649917.1375,0.7378056049346924,1.0
0.0013,84172.93700995,590000,0.041392982006073,72,0.04658563435077667,0.00920939352363348,241.66,360,1636,359946607.6125,0.7372525334358215,1.0
0.0013,70653.37508204,600000,0.011004388332366943,73,0.03596412017941475,0.008300275541841984,235.32,366,1637,378554173.675,0.7384657263755798,1.0
0.0013,57614.62876503,610000,0.013022243976593018,74,0.026951022446155548,0.006964016705751419,231.85,372,1638,395912642.625,0.7341850399971008,1.0
0.0013,56109.503496540005,620000,0.024672508239746094,75,0.027843540534377098,0.009143020026385784,217.67,378,1639,402220792.2,0.7264437079429626,1.0
0.0013,69048.71544996,630000,0.03520059585571289,76,0.030208047479391098,0.007963314652442932,201.79,383,1640,414294700.95,0.7269821166992188,1.0
0.0013,60585.68625892,640000,0.0282900333404541,78,0.03605383634567261,0.008326145820319653,224.35,391,1636,354636141.575,0.7237455248832703,1.0
0.0013,55043.018212489995,650000,0.00757908821105957,79,0.04089275747537613,0.009272213093936443,239.6,397,1637,402316811.9625,0.7222755551338196,1.0
0.0013,47270.08011616,660000,0.005583584308624268,80,0.03387771174311638,0.008752699941396713,263.44,402,1637,381325551.6375,0.7230467200279236,1.0
0.0013,75730.36873438,670000,0.02658897638320923,81,0.02682659961283207,0.008722224272787571,213.92,408,1638,414164818.6375,0.7222402095794678,1.0
0.0013,82889.65433972,680000,0.05036658048629761,83,0.034231171011924744,0.009248063899576664,189.24,416,1633,433005940.05,0.7160633206367493,1.0
0.0013,94057.94027717,690000,0.03314453363418579,84,0.035357847809791565,0.008965976536273956,179.47,422,1634,456063390.2,0.7166253924369812,1.0
0.0013,96827.84245148,700000,0.029218435287475586,85,0.02993025630712509,0.00805918499827385,185.21,428,1635,416258482.725,0.7146878242492676,1.0
0.0013,83214.62147319,710000,0.01296389102935791,86,0.033817823976278305,0.00847425777465105,193.41,433,1636,462383619.675,0.7124068140983582,1.0
0.0013,78457.95676952999,720000,0.023446857929229736,87,0.03844183683395386,0.009313782677054405,198.14,439,1636,406503832.8625,0.7123810648918152,1.0
0.0013,92973.98804313,730000,0.013354778289794922,89,0.03026459366083145,0.009548153728246689,189.83,447,1632,435273758.7875,0.7143573760986328,1.0
0.0013,99192.76185784001,740000,0.012420952320098877,90,0.03466343134641647,0.009145050309598446,185.24,453,1632,432600958.975,0.7162985801696777,1.0
0.0013,97005.06638875,750000,0.0025085806846618652,91,0.03383868560194969,0.009022991172969341,191.8,459,1633,445689183.55,0.7211381793022156,1.0
0.0013,95416.33543189001,760000,0.0012941956520080566,92,0.024519547820091248,0.006743175908923149,192.58,465,1633,411760844.4,0.7186160087585449,1.0
0.0013,105968.67660499999,770000,0.025611519813537598,93,0.035431984812021255,0.008649593219161034,170.94,471,1634,482246643.675,0.7198782563209534,1.0
0.0013,104328.64193678,780000,0.018437504768371582,95,0.038554515689611435,0.00945985782891512,176.52,478,1630,438540860.2375,0.7109901905059814,1.0
0.0013,95307.42480503001,790000,0.030813872814178467,96,0.030535683035850525,0.009404299780726433,182.37,484,1630,435645732.275,0.71627277135849,1.0
0.0013,90022.40885879999,800000,0.0169297456741333,97,0.031781554222106934,0.008470050059258938,186.34,490,1631,451295948.725,0.7130678296089172,1.0
0.0013,80888.91537614,810000,0.08597850799560547,98,0.03146054595708847,0.008919780142605305,190.58,496,1632,443752999.05,0.7112469673156738,1.0
0.0013,85855.26007748001,820000,0.04158049821853638,100,0.03294656053185463,0.008816334418952465,192.07,503,1627,447131060.675,0.7101040482521057,1.0
0.0013,95630.33700755,830000,0.024339377880096436,101,0.027147594839334488,0.008455007337033749,198.41,509,1628,374837243.8125,0.7055385708808899,1.0
0.0013,92642.01114134,840000,0.026149630546569824,102,0.029609158635139465,0.008403548039495945,188.12,515,1629,445165808.825,0.701847493648529,1.0
0.0013,93052.97179842,850000,0.03377658128738403,103,0.03179923817515373,0.008697678335011005,176.3,521,1629,527814768.2,0.7062123417854309,1.0
0.0013,99566.41315009001,860000,0.009789526462554932,104,0.034760043025016785,0.009597436524927616,160.52,527,1630,427505935.725,0.7070281505584717,1.0
0.0013,97362.6012483,870000,0.014548301696777344,106,0.03553906828165054,0.00891581829637289,150.84,534,1626,536567604.4,0.7137248516082764,1.0
0.0013,96904.57519258,880000,0.01616036891937256,107,0.026919782161712646,0.00935808103531599,161.57,540,1626,509221752.65,0.7132661938667297,1.0
0.0013,94764.64215324,890000,0.0015511512756347656,108,0.02880629524588585,0.007254910189658403,175.4,546,1627,457795594.7,0.7160002589225769,1.0
0.0013,101509.59292346,900000,0.023409008979797363,109,0.03522580489516258,0.008980561047792435,176.81,552,1627,470946824.825,0.7131653428077698,1.0
0.0013,109493.92169962,910000,0.01467365026473999,111,0.03995388746261597,0.008741263300180435,183.49,560,1623,440298252.2,0.7091019749641418,1.0
0.0013,106035.41197815,920000,0.02288663387298584,112,0.03538268804550171,0.009233835153281689,172.66,566,1624,435186123.0625,0.7107090950012207,1.0
0.0013,110824.81465544998,930000,0.01276695728302002,113,0.032602306455373764,0.009461219422519207,132.72,572,1624,660717187.45,0.7123948931694031,1.0
0.0013,107045.64800404,940000,0.0010094642639160156,114,0.033542364835739136,0.009179200977087021,141.93,578,1624,500733193.125,0.7101280689239502,1.0
0.0013,107351.61086813,950000,0.002924501895904541,115,0.03277081623673439,0.009072878398001194,119.8,584,1624,594248393.975,0.7067890763282776,1.0
0.0013,107433.29572928,960000,0.007970154285430908,117,0.03899792954325676,0.009577383287250996,117.65,592,1621,635210805.15,0.7011191844940186,1.0
0.0013,106237.83053394001,970000,0.020720720291137695,118,0.03465883806347847,0.009674924425780773,132.83,598,1621,604397762.9,0.6949300765991211,1.0
0.0013,106869.96712813001,980000,0.0144539475440979,119,0.034577928483486176,0.006523860152810812,133.3,604,1621,618453381.1,0.693830668926239,1.0
0.0013,93872.49740857999,990000,0.03068232536315918,120,0.03011961281299591,0.008531610481441021,151.79,610,1622,561062776.85,0.6916463971138,1.0
0.0013,94289.99045756999,1000000,0.03634077310562134,122,0.030084004625678062,0.009158331900835037,157.19,617,1618,579463552.225,0.683769702911377,1.0
