train/ent_coef_loss,rollout/ep_len_mean,time/fps,time/time_elapsed,train/actor_loss,train/n_updates,train/critic_loss,time/episodes,train/learning_rate,train/ent_coef,rollout/ep_rew_mean,time/total_timesteps
0.39160066843032837,3.0,240,1371,382129.25,82474,2150.811767578125,94522,0.0003,50.91268539428711,-126462.56393784001,330000
1.0726382732391357,3.0,240,1414,456611.09375,84974,5291.09130859375,95917,0.0003,49.55128479003906,-126411.00269978002,340000
2.998413324356079,3.0,240,1456,645944.125,87474,2198.036376953125,98811,0.0003,49.82795715332031,-126467.99275181997,350000
0.7891303300857544,3.0,240,1499,588549.125,89974,3117.604248046875,101803,0.0003,51.316463470458984,-126454.70637388999,360000
-0.08799242973327637,3.0,239,1542,539245.875,92474,1780.121826171875,105137,0.0003,49.67866134643555,-126361.51360737,370000
0.9012648463249207,3.0,239,1586,519427.09375,94974,1963.8936767578125,108470,0.0003,48.65321731567383,-126378.49917426001,380000
0.5133160948753357,3.0,239,1630,692286.6875,97474,11449.7177734375,111803,0.0003,47.45866012573242,-126326.19052621002,390000
-3.118307113647461,3.0,238,1674,672256.875,99974,4750.70703125,115137,0.0003,46.771183013916016,-126229.04765631999,400000
2.602969169616699,3.0,238,1718,545592.3125,102474,1500.3441162109375,118470,0.0003,45.031890869140625,-126172.82126951,410000
-0.5339434742927551,3.0,238,1762,733924.5625,104974,2633.25,121803,0.0003,43.71271896362305,-126149.83782248998,420000
4.364457130432129,3.0,238,1806,723865.125,107474,13133.1708984375,125137,0.0003,42.49686813354492,-126060.17783779,430000
-4.241738319396973,3.0,237,1851,743803.25,109974,5377.54833984375,128470,0.0003,41.294647216796875,-126026.28749962,440000
-0.6888226270675659,3.0,237,1896,668829.6875,112474,2067.422119140625,131803,0.0003,39.06134033203125,-125999.69992599997,450000
1.160826325416565,3.0,236,1944,602334.5625,114974,4307.41845703125,135137,0.0003,40.74827194213867,-125999.35145627001,460000
-1.7789822816848755,3.0,236,1991,657752.625,117474,6498.466796875,138470,0.0003,39.45301055908203,-125969.1505221,470000
-0.021341562271118164,3.0,235,2035,635450.875,119974,2225.15185546875,141803,0.0003,38.89262008666992,-125913.70910018001,480000
-4.368424415588379,3.0,235,2079,687794.75,122474,3012.25927734375,145137,0.0003,36.929386138916016,-125877.58394445,490000
0.7732570171356201,3.0,235,2123,513557.6875,124974,9019.361328125,148470,0.0003,36.40562057495117,-125767.63770732,500000
0.8101853132247925,3.0,235,2168,626933.75,127474,4705.17529296875,151803,0.0003,35.196189880371094,-125634.18028074998,510000
1.2312121391296387,3.0,235,2211,482305.75,129974,1727.494873046875,155137,0.0003,32.71717071533203,-125396.68933087999,520000
-4.065996170043945,3.0,235,2254,573506.5,132474,3499.29296875,158470,0.0003,33.935577392578125,-125198.93300297997,530000
-1.8732237815856934,3.0,235,2297,463644.21875,134974,3481.90185546875,161803,0.0003,34.12777328491211,-125163.91153550001,540000
-0.6775513887405396,3.02,234,2340,598198.9375,137474,3525.623291015625,165127,0.0003,35.10627365112305,-125565.0260379,550000
-10.780731201171875,3.09,234,2384,721538.0,139974,2842.264892578125,168432,0.0003,37.38167190551758,-126950.79176721003,560000
0.11677742004394531,3.04,234,2427,540587.8125,142474,2258.112060546875,171730,0.0003,36.87693786621094,-126171.33124101002,570000
5.48234224319458,3.02,234,2469,360413.90625,144974,1738.2464599609375,175021,0.0003,37.95109558105469,-125551.80619394999,580000
5.177900314331055,3.06,234,2513,267871.5625,147474,6089.10888671875,178302,0.0003,39.02724075317383,-126364.13293696001,590000
0.1885385513305664,3.06,234,2556,374331.40625,149974,5247.25341796875,181577,0.0003,38.91569900512695,-126359.96892753997,600000
-19.900920867919922,14.45,234,2598,312234.875,152474,2852.26904296875,184365,0.0003,46.166873931884766,-678798.79641741,610000
3.15496826171875,3.02,234,2642,408255.375,154974,3087.375244140625,186890,0.0003,36.32194137573242,-124928.86840614998,620000
-1.3812475204467773,3.03,234,2685,329017.5625,157474,2994.29345703125,190199,0.0003,35.79122543334961,-125090.12441316998,630000
-5.722287178039551,3.05,234,2729,384289.34375,159974,5358.23828125,193502,0.0003,36.26372528076172,-125629.06960051999,640000
3.8364641666412354,3.01,234,2772,256106.390625,162474,2999.05859375,196805,0.0003,35.76274490356445,-124457.75773598,650000
2.960845947265625,3.03,234,2816,272673.5625,164974,3071.47314453125,200112,0.0003,33.83431625366211,-125070.95280530998,660000
-2.367438316345215,3.05,234,2861,218448.75,167474,6174.45166015625,203405,0.0003,32.015254974365234,-125381.70248787,670000
3.250455856323242,3.02,234,2904,176658.9375,169974,2049.718017578125,206702,0.0003,30.674301147460938,-124513.05394839,680000
-5.571563720703125,3.02,233,2948,164710.984375,172474,2179.578369140625,210011,0.0003,28.60688591003418,-124477.98022882,690000
-1.7209978103637695,3.0,233,2993,154426.09375,174974,1424.6341552734375,213326,0.0003,26.864368438720703,-124188.68630525997,700000
-1.460761547088623,3.02,233,3036,154243.046875,177474,1538.2177734375,216652,0.0003,25.379735946655273,-124430.05673623,710000
-0.98688805103302,3.0,233,3080,172261.90625,179974,1942.0264892578125,219975,0.0003,24.268220901489258,-124117.97403391,720000
1.0028430223464966,3.01,233,3126,149163.921875,182474,1784.529296875,223304,0.0003,22.54804801940918,-124231.25103610002,730000
5.81265115737915,3.01,233,3172,154301.25,184974,2202.185791015625,226303,0.0003,22.329967498779297,-124368.37327459999,740000
-3.4931774139404297,3.0,232,3219,174982.5,187474,3931.78564453125,229631,0.0003,24.845916748046875,-124129.39327071,750000
-0.5291244983673096,3.0,232,3266,175488.3125,189974,1942.723876953125,232962,0.0003,24.44707489013672,-124128.18518516999,760000
2.1301939487457275,3.06,232,3313,167969.265625,192474,1597.968505859375,235929,0.0003,23.524852752685547,-126076.66949188002,770000
-1.584456443786621,3.0,232,3360,158191.859375,194974,1630.525146484375,238601,0.0003,21.131912231445312,-124072.54137834,780000
0.5956048369407654,3.06,231,3407,202958.4375,197474,2340.511962890625,241762,0.0003,21.915517807006836,-125711.39986187998,790000
0.6036033630371094,3.0,231,3455,217285.90625,199974,2678.02197265625,244881,0.0003,22.506488800048828,-124103.26895417001,800000
0.40779435634613037,3.0,231,3501,224913.140625,202474,3028.70849609375,247510,0.0003,23.200599670410156,-124153.44793102,810000
-0.3813105821609497,3.0,231,3549,277006.96875,204974,9894.115234375,250542,0.0003,23.0345516204834,-124106.53775845999,820000
6.520421504974365,3.0,230,3597,260605.3125,207474,2416.8388671875,253447,0.0003,23.89623260498047,-124123.22857268002,830000
-4.028731346130371,3.0,230,3646,285904.3125,209974,5292.74365234375,256385,0.0003,24.51580238342285,-124139.47959869,840000
-0.6072943806648254,3.0,230,3695,271123.0625,212474,2778.406005859375,259503,0.0003,23.465497970581055,-124134.90633530001,850000
-4.829249382019043,3.0,229,3743,379899.25,214974,10649.8662109375,262685,0.0003,22.882545471191406,-124145.72616350999,860000
4.003303527832031,3.14,229,3792,268147.03125,217474,9165.0556640625,265382,0.0003,20.891599655151367,-129447.95597069999,870000
-0.48031890392303467,3.0,229,3842,378776.4375,219974,3982.8125,268340,0.0003,20.95506477355957,-124139.32285592998,880000
1.5673878192901611,3.0,228,3890,431330.46875,222474,12667.31640625,271313,0.0003,21.34343147277832,-124131.38120812998,890000
-1.097123146057129,3.0,228,3938,353562.5,224974,2858.26318359375,274254,0.0003,19.83457374572754,-124123.10304270001,900000
-214.61924743652344,3.75,228,3986,358934.625,227474,9025.75,277534,0.0003,20.683971405029297,-155554.34931675,910000
-39.254058837890625,7.63,228,4033,456256.96875,229974,5535.9306640625,277861,0.0003,47.15748596191406,-279358.88197988,920000
5.688234329223633,3.34,227,4080,465874.78125,232474,9161.162109375,279977,0.0003,44.93853759765625,-133150.98721070998,930000
4.3768110275268555,3.08,227,4127,380744.5,234974,14148.865234375,283154,0.0003,37.67267608642578,-126109.35707765998,940000
-5.185667514801025,3.0,227,4174,422710.625,237474,7362.49755859375,286465,0.0003,33.010162353515625,-124306.80625847,950000
2.6744494438171387,3.01,227,4216,378710.59375,239974,7952.8720703125,289791,0.0003,30.283660888671875,-124468.04511395002,960000
1.7629029750823975,3.34,227,4258,358089.625,242474,8203.5107421875,292851,0.0003,26.782203674316406,-129177.79460028998,970000
0.18146073818206787,3.0,227,4300,322100.03125,244974,7008.05126953125,296006,0.0003,26.777421951293945,-124153.90883628,980000
5.872161865234375,12.97,228,4341,314254.46875,247474,8632.4150390625,298671,0.0003,26.031452178955078,-623373.02501833,990000
-4.292611122131348,3.01,228,4383,506687.375,249974,13481.90625,301997,0.0003,28.13250732421875,-124366.41171314,1000000
