train/actor_loss,rollout/ep_rew_mean,time/total_timesteps,train/ent_coef_loss,time/fps,time/episodes,train/critic_loss,train/n_updates,rollout/ep_len_mean,train/learning_rate,time/time_elapsed,train/ent_coef,eval/mean_ep_length,eval/mean_reward
-517.1416015625,1628.4049068,1739200,0.06529217213392258,295,16784,4820.0673828125,217387,41.63,0.001,5880,0.33390969038009644,,
-615.1156005859375,1630.3668724099998,1739432,0.45599427819252014,295,16788,3252.54931640625,217416,41.39,0.001,5881,0.3336397409439087,,
-576.35400390625,1639.38463573,1739560,0.7999106645584106,295,16792,5564.39501953125,217432,40.51,0.001,5881,0.33409616351127625,,
-522.8441162109375,1621.55854441,1739728,1.030315637588501,295,16796,6469.87890625,217453,42.57,0.001,5882,0.33582615852355957,,
-508.8870849609375,1656.9616027,1739840,1.093613624572754,295,16800,4059.982666015625,217467,42.28,0.001,5882,0.3373414874076843,,
-446.94671630859375,1656.84520874,1740000,0.562583327293396,295,16802,4894.4580078125,217487,42.24,0.001,5883,0.34046152234077454,,
,,1740000,,,,,,,,,,37.2,1747.0949184
-502.0855712890625,1655.9838683800003,1740064,0.5742126703262329,295,16804,4371.3681640625,217495,42.23,0.001,5883,0.34173327684402466,,
-519.7659912109375,1655.8681068600001,1740144,0.04282578080892563,295,16808,4889.603515625,217505,42.26,0.001,5883,0.34289827942848206,,
-586.7052612304688,1653.08090418,1740376,0.8470165729522705,295,16812,7103.537109375,217534,42.52,0.001,5884,0.34632256627082825,,
-508.8214111328125,1653.22389378,1740520,0.4743044376373291,295,16816,6861.35546875,217552,42.42,0.001,5885,0.34898537397384644,,
-627.1116333007812,1655.3067552599998,1740664,0.6163028478622437,295,16820,3023.45361328125,217570,42.14,0.001,5885,0.3518175780773163,,
-507.34906005859375,1655.3552892399998,1740936,0.8474194407463074,295,16824,6454.28515625,217604,42.08,0.001,5886,0.35784590244293213,,
-426.4156188964844,1655.7919562099999,1741040,0.5170665979385376,295,16828,4407.91015625,217617,42.08,0.001,5886,0.36007052659988403,,
