train/entropy_loss,train/learning_rate,train/approx_kl,time/fps,train/n_updates,train/explained_variance,time/total_timesteps,train/clip_fraction,rollout/ep_len_mean,train/value_loss,train/loss,train/policy_gradient_loss,train/clip_range,train/std,rollout/ep_rew_mean,time/time_elapsed
-22.761266680061816,0.0017,0.0019071291,818,290,0.0,240000,0.0007568359375,24.51,22991729268.8,12166060032.0,-0.0025887916694046,0.2,1.105689287185669,-399965.07768553006,293
-22.81815973073244,0.0017,0.002548332,821,300,1.7881393432617188e-07,250000,0.00220947265625,31.57,22960319969.6,12265061376.0,-0.002807241986738518,0.2,1.109671950340271,-501618.22887438996,304
-22.876885993778707,0.0017,0.002112611,824,310,0.0,260000,0.001416015625,26.73,24006838048.0,12774293504.0,-0.003105550529107859,0.2,1.1143995523452759,-423648.88050060003,315
-22.935709846019744,0.0017,0.0015756972,827,320,-2.384185791015625e-07,270000,0.00030517578125,27.33,22207763422.4,11577234432.0,-0.002137309705176449,0.2,1.1184529066085815,-430523.4455566701,326
-23.05285779684782,0.0017,0.0030339393,818,340,0.0,280000,0.0037109375,27.58,21868254323.2,11586079744.0,-0.0039975086207050484,0.2,1.1273778676986694,-434593.06840011,341
-23.107561954855917,0.0017,0.00217273,821,350,-2.384185791015625e-07,290000,0.00108642578125,23.84,21384083782.4,10195389440.0,-0.0028654221941906144,0.2,1.1312059164047241,-386314.30122803,352
-23.160830572247505,0.0017,0.0026197915,824,360,0.0,300000,0.00177001953125,21.66,21744777486.4,11887119360.0,-0.0026462866477231727,0.2,1.1354408264160156,-354140.9512888899,364
-23.216614498198034,0.0017,0.0026363798,826,370,0.0,310000,0.00277099609375,25.52,21576941499.2,9686544384.0,-0.002900145182866254,0.2,1.1396350860595703,-410623.85882957996,375
-23.327623145282267,0.0017,0.002118304,819,390,0.0,320000,0.001611328125,20.67,20919494044.0,10769982464.0,-0.002551329958623683,0.2,1.1480830907821655,-337102.29054158,390
-23.380814015865326,0.0017,0.0018111733,821,400,-2.384185791015625e-07,330000,0.0003173828125,24.97,20383121753.6,9171384320.0,-0.002457887475793541,0.2,1.1521037817001343,-399470.7039404001,401
-23.43390745520592,0.0017,0.0015417531,823,410,2.384185791015625e-07,340000,0.0006591796875,26.4,21989177883.2,11110752256.0,-0.0019577804373511754,0.2,1.1562232971191406,-412954.54891941993,412
-23.48542232811451,0.0017,0.0019126015,825,420,0.0,350000,0.00091552734375,26.6,20988775968.0,11185449984.0,-0.002570564917732554,0.2,1.1600309610366821,-428482.58970038994,423
-23.534086810052393,0.0017,0.0015583589,827,430,-2.384185791015625e-07,360000,0.0002197265625,20.45,22098545902.4,11376891904.0,-0.0022494389759231126,0.2,1.163806676864624,-339864.3928818101,434
-23.64823820143938,0.0017,0.0018450723,821,450,-1.1920928955078125e-07,370000,0.00078125,24.13,20939913972.8,10826103808.0,-0.002516556816863158,0.2,1.1729146242141724,-382902.37167973,450
-23.705270375311375,0.0017,0.0032427623,823,460,0.0,380000,0.00460205078125,19.7,20533455974.4,9678560256.0,-0.003710566430527251,0.2,1.1775054931640625,-327776.44781868,461
-23.761805583536624,0.0017,0.002414224,825,470,0.0,390000,0.001611328125,18.42,19493178255.2,9959631872.0,-0.002702865066748927,0.2,1.181861400604248,-307732.43938970997,472
-23.818449722230433,0.0017,0.0026719393,827,480,-2.384185791015625e-07,400000,0.00318603515625,19.26,19409078554.4,9173345280.0,-0.0028026426192809596,0.2,1.186429500579834,-318117.95490794,483
-23.93448898643255,0.0017,0.0019370086,821,500,-1.1920928955078125e-07,410000,0.0019287109375,21.43,19000658628.8,10229381120.0,-0.002564512646131334,0.2,1.1952790021896362,-343687.98689177004,499
-23.987164439260958,0.0017,0.0025996724,822,510,-1.1920928955078125e-07,420000,0.00145263671875,20.16,19148200511.2,9730875392.0,-0.003219816258751962,0.2,1.1998465061187744,-333079.84042041,510
-24.041511929035188,0.0017,0.0021936926,824,520,0.0,430000,0.00115966796875,20.12,19962444051.2,10547334144.0,-0.0023928520304252743,0.2,1.2039694786071777,-332402.3153478,521
-24.097440454363824,0.0017,0.00088277156,825,530,0.0,440000,6.103515625e-05,20.57,18806905686.4,9740680192.0,-0.0014798555221204879,0.2,1.2089016437530518,-335487.39053275995,532
-24.162817193567754,0.0017,0.0021444538,827,540,2.384185791015625e-07,450000,0.00150146484375,18.57,18890922848.8,9482566656.0,-0.0032029667348979275,0.2,1.2144922018051147,-305286.64751043,543
-24.283448760211467,0.0017,0.0021607582,821,560,-2.384185791015625e-07,460000,0.00125732421875,20.07,18319028500.0,8216462848.0,-0.002861030826534261,0.2,1.2238248586654663,-323417.85835232004,559
-24.343264155089855,0.0017,0.0022336724,823,570,2.384185791015625e-07,470000,0.00137939453125,20.55,19336984589.6,10563407872.0,-0.0026833830286705053,0.2,1.2289161682128906,-330381.73621738,570
-24.404736241698266,0.0017,0.0017445162,824,580,0.0,480000,0.00120849609375,20.07,19049766788.8,9407897600.0,-0.0024482603897922673,0.2,1.2338708639144897,-322788.66606866,582
-24.46291461288929,0.0017,0.002266923,825,590,-1.1920928955078125e-07,490000,0.00216064453125,19.42,18662124404.0,9215251456.0,-0.002585338433709694,0.2,1.2385236024856567,-317450.09551151,593
-24.592086718976496,0.0017,0.0018733424,820,610,-2.384185791015625e-07,500000,0.00106201171875,19.58,17605909156.0,9630877696.0,-0.002068247427996539,0.2,1.2494797706604004,-324702.43476976,609
-24.65211981534958,0.0017,0.0026282892,822,620,0.0,510000,0.00260009765625,15.21,18508138459.2,9298171904.0,-0.003456400071627286,0.2,1.2543559074401855,-261737.71178752996,620
