train/policy_gradient_loss,train/learning_rate,train/clip_range,time/fps,time/total_timesteps,train/value_loss,train/approx_kl,train/std,train/entropy_loss,rollout/ep_rew_mean,train/clip_fraction,rollout/ep_len_mean,time/time_elapsed,train/n_updates,train/loss,train/explained_variance
-0.004144090613226581,0.0017,0.2,870,490000,2970658251.8,0.004930001,1.6578712463378906,-28.78814423084259,-184262.93139495005,0.02388916015625,38.83,562,590,1395749376.0,-2.384185791015625e-07
-0.003441700698203931,0.0017,0.2,864,500000,3048586182.9,0.0037512395,1.6856064796447754,-29.043779239058495,-208304.41142145998,0.0151123046875,45.42,578,610,1996977792.0,0.0
-0.00407774783016066,0.0017,0.2,865,510000,3104062501.9,0.0043389956,1.701269507408142,-29.175004301965238,-205904.47803017998,0.018017578125,43.23,589,620,1654715776.0,2.384185791015625e-07
-0.0036099293811275857,0.0017,0.2,867,520000,2988491429.4,0.004288459,1.7191082239151,-29.323287749290465,-202145.95002168004,0.01383056640625,43.61,599,630,1483949056.0,0.0
-0.003196857965849631,0.0017,0.2,868,530000,2931309086.9,0.0042914636,1.736632227897644,-29.4761670678854,-179113.57017746998,0.0135986328125,39.62,610,640,1405442688.0,0.0
-0.003743888994358713,0.0017,0.2,869,540000,2780059544.0,0.0047233673,1.7547690868377686,-29.63043674081564,-187935.06522111,0.0168701171875,38.45,621,650,1254346880.0,0.0
-0.004280389889754588,0.0017,0.2,863,550000,2792831990.0,0.0049606506,1.790648102760315,-29.938926197588444,-198882.84571660002,0.02388916015625,42.29,636,670,1303262848.0,0.0
-0.0026710193462349706,0.0017,0.2,864,560000,2936887476.2,0.0035653678,1.8082202672958374,-30.082965718209742,-202753.29649089,0.0107666015625,43.74,647,680,1101848832.0,0.0
-0.0024957165285741214,0.0017,0.2,865,570000,2780706699.6,0.0030658701,1.8243250846862793,-30.221264080703257,-175934.07463764,0.00791015625,37.57,658,690,1478213120.0,0.0
-0.0028287443308727235,0.0017,0.2,866,580000,2937929216.3,0.0035520778,1.8436938524246216,-30.368400759994984,-189705.74280643,0.01143798828125,38.73,669,700,1559210112.0,1.1920928955078125e-07
-0.0031593501082170404,0.0017,0.2,861,590000,2939173086.2,0.0037138383,1.8795779943466187,-30.66195978820324,-176335.35202122998,0.01187744140625,36.55,685,720,1747168512.0,-2.384185791015625e-07
-0.003057164725760231,0.0017,0.2,861,600000,2597983927.4,0.004124428,1.897957682609558,-30.80594619065523,-186260.07364992998,0.01580810546875,38.84,696,730,1259681408.0,0.0
-0.003335954620888515,0.0017,0.2,862,610000,2724546307.6,0.0044269385,1.9155380725860596,-30.947603978216648,-198131.15081067997,0.01820068359375,42.02,706,740,1615725184.0,0.0
-0.004139200962617906,0.0017,0.2,863,620000,2701744866.8,0.004741085,1.9355231523513794,-31.094243556261063,-183553.82351734996,0.02294921875,39.18,717,750,1402317312.0,0.0
-0.0043104866263092845,0.0017,0.2,864,630000,2784367089.5,0.0049273428,1.9556454420089722,-31.248966266214847,-183742.86399706002,0.022900390625,38.29,728,760,1335227776.0,-1.1920928955078125e-07
-0.0035752144529396903,0.0017,0.2,860,640000,2828737353.6,0.0042923065,1.9951978921890259,-31.54823552519083,-183741.29957150997,0.01712646484375,37.2,744,780,1531765504.0,1.1920928955078125e-07
-0.004366033123005764,0.0017,0.2,861,650000,2743578385.0,0.004576984,2.0186305046081543,-31.712728786468507,-177527.52452582,0.02119140625,36.07,754,790,1371074944.0,0.0
-0.004091667929424147,0.0017,0.2,862,660000,2778004135.6,0.004499715,2.0410056114196777,-31.881594471633434,-207602.22676789996,0.01715087890625,42.8,765,800,1365072896.0,-2.384185791015625e-07
-0.002953539885493228,0.0017,0.2,863,670000,2897714923.7,0.0035910814,2.0604822635650635,-32.03337429761886,-188995.95399384998,0.01282958984375,39.4,776,810,1136342272.0,0.0
-0.00428465562290512,0.0017,0.2,859,680000,2737305561.9,0.0041729743,2.1026675701141357,-32.33581705391407,-194965.2160037,0.01739501953125,42.23,791,830,1341857536.0,0.0
-0.0041522706185787685,0.0017,0.2,859,690000,2716424608.1,0.0044934596,2.123380184173584,-32.48274581134319,-191563.42582113,0.02303466796875,40.65,802,840,1423849600.0,-2.384185791015625e-07
-0.003548929688804492,0.0017,0.2,860,700000,2733993718.7,0.0044554146,2.1458983421325684,-32.634732553362845,-191656.93783624002,0.0189453125,39.33,813,850,1344005504.0,0.0
-0.004441309966205153,0.0017,0.2,861,710000,2720489595.0,0.004903345,2.1663827896118164,-32.78478738367558,-176998.46762205998,0.0213134765625,36.84,823,860,1632544384.0,2.384185791015625e-07
-0.003260457284613949,0.0017,0.2,862,720000,2647465090.9,0.0038530845,2.1900482177734375,-32.93510368168354,-187559.24983685996,0.0134765625,38.82,834,870,1322695936.0,0.0
-0.003212544151574548,0.0017,0.2,858,730000,2686338741.0,0.003969971,2.2349095344543457,-33.24889765679836,-218941.17639748004,0.0165283203125,45.98,850,890,1481420416.0,0.0
-0.0035501003621902782,0.0017,0.2,859,740000,2748884365.7,0.0039526485,2.257861852645874,-33.393897792696954,-180337.31707010994,0.0163330078125,39.01,860,900,1345374720.0,1.1920928955078125e-07
-0.00339545887291024,0.0017,0.2,860,750000,2448632530.8,0.0043122126,2.284416437149048,-33.55869690179825,-199307.77898418996,0.015478515625,41.8,871,910,1112660608.0,0.0
-0.0036278679513998212,0.0017,0.2,861,760000,2513793258.5,0.004367818,2.3132057189941406,-33.740739819407466,-212365.24862335995,0.01724853515625,47.35,882,920,1336659328.0,-1.1920928955078125e-07
-0.00430437027989683,0.0017,0.2,861,770000,2469740641.0,0.0051397923,2.3423101902008057,-33.92786277830601,-192921.84903869993,0.02386474609375,42.79,893,930,1205779712.0,0.0
