train/explained_variance,train/policy_loss,time/total_timesteps,train/entropy_loss,time/fps,train/std,train/n_updates,rollout/ep_rew_mean,train/value_loss,train/learning_rate,time/time_elapsed,rollout/ep_len_mean
1.7881393432617188e-07,-608864.5,350000,-20.57457160949707,1393,1.3482046127319336,17499,-275318.17788564996,2306613760.0,0.0007,251,59.86
0.0,-40836.67578125,360000,-20.709016799926758,1390,1.3644939661026,17999,-197689.41383775,25660266.0,0.0007,258,69.98
0.0,-129978.7265625,370000,-20.813596725463867,1389,1.3764723539352417,18499,-156099.22341751,74995680.0,0.0007,266,44.69
1.7881393432617188e-07,-42393.5078125,380000,-20.80941390991211,1389,1.3755831718444824,18999,-168505.53759467,28261056.0,0.0007,273,51.7
0.0,8538.9052734375,390000,-20.934385299682617,1389,1.3907500505447388,19499,-168192.54931208998,1561608.375,0.0007,280,52.36
0.0,39.325782775878906,400000,-21.008298873901367,1388,1.398782730102539,19999,-174803.83076026,35586080.0,0.0007,288,51.58
5.960464477539063e-08,-435466.0,410000,-21.142566680908203,1386,1.413967490196228,20499,-171851.46067006997,1909399552.0,0.0007,295,42.44
0.0,-39251.0703125,420000,-21.26995849609375,1384,1.4299927949905396,20999,-151023.16260386998,41394764.0,0.0007,303,38.36
-1.1920928955078125e-07,-681529.625,430000,-21.34086799621582,1383,1.4386911392211914,21499,-155621.07661319,3140721920.0,0.0007,310,47.68
-1.1920928955078125e-07,-26870.265625,440000,-21.41134262084961,1381,1.4457110166549683,21999,-148683.10981675,31913946.0,0.0007,318,47.81
-2.384185791015625e-07,-95077.890625,450000,-21.48118782043457,1380,1.4544062614440918,22499,-169565.42611148997,108946560.0,0.0007,326,63.57
1.1920928955078125e-07,-48655.4140625,460000,-21.4849853515625,1378,1.45488440990448,22999,-162192.98855046,26531362.0,0.0007,333,56.53
0.0,-431358.09375,470000,-21.514570236206055,1376,1.458577036857605,23499,-126923.35520101,1923964160.0,0.0007,341,37.48
1.1920928955078125e-07,-90837.703125,480000,-21.723543167114258,1375,1.485671877861023,23999,-206543.40392709002,41351340.0,0.0007,348,59.22
0.0,-141841.71875,490000,-21.85274887084961,1370,1.501358151435852,24499,-160418.49360121,164856864.0,0.0007,357,49.88
-1.1920928955078125e-07,-711252.4375,500000,-22.034822463989258,1367,1.524729609489441,24999,-142655.95412608,2907857408.0,0.0007,365,43.66
0.0,-423107.65625,510000,-22.058141708374023,1366,1.5286283493041992,25499,-149109.10546792,2344471040.0,0.0007,373,42.62
0.0,-98871.5703125,520000,-22.067018508911133,1366,1.5305002927780151,25999,-170189.62987549003,51218200.0,0.0007,380,47.93
0.0,-45782.6875,530000,-22.080629348754883,1365,1.5338821411132812,26499,-158228.52617089002,25051456.0,0.0007,388,50.7
0.0,-85397.09375,540000,-22.08553695678711,1364,1.5346670150756836,26999,-189043.84457113,493770944.0,0.0007,395,62.74
0.0,-131187.75,550000,-22.074708938598633,1363,1.533234715461731,27499,-158435.77009011002,543238016.0,0.0007,403,50.74
-1.1920928955078125e-07,-194217.65625,560000,-22.2291316986084,1362,1.550716519355774,27999,-146257.43076894002,130089816.0,0.0007,410,43.97
-1.1920928955078125e-07,2338.090087890625,570000,-22.32823371887207,1362,1.5636506080627441,28499,-173011.53598824,141144.15625,0.0007,418,52.23
-2.384185791015625e-07,-141506.34375,580000,-22.457304000854492,1361,1.580613613128662,28999,-208183.25631318998,159904800.0,0.0007,425,59.72
0.0,-359597.875,590000,-22.537763595581055,1361,1.589850902557373,29499,-176897.09077523998,1190496896.0,0.0007,433,54.53
0.0,-92073.7578125,600000,-22.599199295043945,1361,1.5975228548049927,29999,-147281.44072684,116187952.0,0.0007,440,49.89
5.960464477539063e-08,-573277.25,610000,-22.635883331298828,1360,1.6030149459838867,30499,-153063.87969216,2364658688.0,0.0007,448,50.36
-1.1920928955078125e-07,-28851.70703125,620000,-22.6766414642334,1360,1.609078049659729,30999,-180110.23769853998,13628933.0,0.0007,455,58.57
0.0,-358677.15625,630000,-22.72366714477539,1359,1.6168299913406372,31499,-145637.79103908,551102528.0,0.0007,463,42.34
1.1920928955078125e-07,-354725.84375,640000,-22.806869506835938,1358,1.6297422647476196,31999,-172683.87462796003,1455280512.0,0.0007,470,45.62
0.0,-103248.5625,650000,-22.97502326965332,1357,1.6508861780166626,32499,-164639.49632431,52715340.0,0.0007,478,45.03
0.0,-174403.859375,660000,-23.14146614074707,1357,1.6752427816390991,32999,-160764.24661627001,557851968.0,0.0007,486,53.26
0.0,-294370.875,670000,-23.144243240356445,1356,1.6750640869140625,33499,-181610.96874967002,539334656.0,0.0007,493,54.41
5.960464477539063e-08,-198270.890625,680000,-23.240232467651367,1356,1.689334511756897,33999,-162086.48330447002,132138320.0,0.0007,501,44.63
0.0,-250060.171875,690000,-23.305160522460938,1356,1.698934555053711,34499,-176482.00032724,454847680.0,0.0007,508,46.02
0.0,-130779.171875,700000,-23.339876174926758,1356,1.7050005197525024,34999,-206390.86196215,119461016.0,0.0007,515,52.5
0.0,-26615.53515625,710000,-23.365644454956055,1356,1.709310531616211,35499,-157548.70656103,30918182.0,0.0007,523,43.32
1.1920928955078125e-07,-235091.75,720000,-23.44973373413086,1356,1.722017765045166,35999,-172058.59475649003,162329664.0,0.0007,530,48.24
0.0,-92736.046875,730000,-23.542713165283203,1357,1.733739972114563,36499,-169751.05954153,51745228.0,0.0007,537,49.19
-1.1920928955078125e-07,-148929.40625,740000,-23.696287155151367,1357,1.7552638053894043,36999,-171573.87404188004,229752192.0,0.0007,545,45.4
0.0,-100663.765625,750000,-23.795391082763672,1357,1.7686824798583984,37499,-157561.33933335,84161688.0,0.0007,552,49.27
-1.1920928955078125e-07,-297530.21875,760000,-23.93729019165039,1357,1.7887529134750366,37999,-137872.47042841002,998620992.0,0.0007,559,46.2
0.0,-723117.125,770000,-24.029848098754883,1357,1.8037748336791992,38499,-148751.24263978002,2234890240.0,0.0007,567,46.36
0.0,-137583.28125,780000,-23.973161697387695,1357,1.7941068410873413,38999,-150894.56899117,85863640.0,0.0007,574,48.02
0.0,-193833.71875,790000,-24.102968215942383,1357,1.8141318559646606,39499,-160416.16874534,524297536.0,0.0007,582,53.84
1.7881393432617188e-07,-118854.2265625,800000,-24.125165939331055,1356,1.818076491355896,39999,-162224.59491652003,49649672.0,0.0007,589,47.18
0.0,-129165.078125,810000,-24.320064544677734,1356,1.8466347455978394,40499,-154838.70450999998,75508288.0,0.0007,597,47.56
1.1920928955078125e-07,-160798.390625,820000,-24.537185668945312,1355,1.8800488710403442,40999,-189663.80598768004,129709104.0,0.0007,604,53.34
-1.1920928955078125e-07,-270276.0,830000,-24.614059448242188,1355,1.893505573272705,41499,-152648.76437853,985110528.0,0.0007,612,54.91
0.0,35652.328125,840000,-24.679365158081055,1355,1.9022821187973022,41999,-220987.14562583005,11748866.0,0.0007,619,63.99
0.0,-105471.0625,850000,-24.80767822265625,1355,1.9247719049453735,42499,-139085.6235662,87709424.0,0.0007,627,40.58
5.960464477539063e-08,-191535.703125,860000,-24.810943603515625,1355,1.9261051416397095,42999,-156554.96802372998,105716488.0,0.0007,634,51.67
1.7881393432617188e-07,-31168.46484375,870000,-24.916810989379883,1355,1.9431790113449097,43499,-235916.38362823997,21702732.0,0.0007,641,70.25
1.1920928955078125e-07,-139352.359375,880000,-25.018407821655273,1355,1.9611457586288452,43999,-173668.48312238,98952424.0,0.0007,649,46.12
5.960464477539063e-08,-89346.75,890000,-25.122343063354492,1355,1.9798752069473267,44499,-159762.48587038997,131562064.0,0.0007,656,43.55
-1.1920928955078125e-07,-70519.5546875,900000,-25.12298011779785,1355,1.9810051918029785,44999,-182945.52451214998,73258704.0,0.0007,664,43.3
0.0,-98978.3515625,910000,-25.221769332885742,1354,1.9978615045547485,45499,-150846.30959793,40103852.0,0.0007,671,52.72
5.960464477539063e-08,-245178.59375,920000,-25.332992553710938,1355,2.0171189308166504,45999,-140819.75027685,237179360.0,0.0007,678,38.91
1.7881393432617188e-07,-54674.1640625,930000,-25.471363067626953,1355,2.0426270961761475,46499,-151987.57241194998,31631558.0,0.0007,686,48.36
0.0,-42389.97265625,940000,-25.411317825317383,1354,2.0331265926361084,46999,-118477.10115149998,54589556.0,0.0007,693,37.28
0.0,-222536.53125,950000,-25.486982345581055,1355,2.0462796688079834,47499,-141965.28376304999,530814368.0,0.0007,700,51.29
0.0,-186316.140625,960000,-25.613773345947266,1355,2.0682122707366943,47999,-198532.85268256997,84613176.0,0.0007,708,55.99
0.0,-551541.3125,970000,-25.694011688232422,1356,2.080941677093506,48499,-189143.91511556,1869050112.0,0.0007,715,53.1
0.0,-28913.916015625,980000,-25.789920806884766,1356,2.0974771976470947,48999,-139285.86779119004,39903640.0,0.0007,722,45.26
0.0,-764349.5625,990000,-25.865386962890625,1356,2.1088685989379883,49499,-142838.41912874,2444112128.0,0.0007,729,52.57
2.384185791015625e-07,-275547.5,1000000,-25.975204467773438,1356,2.1275923252105713,49999,-181701.4360071,637889664.0,0.0007,737,56.32
