train/loss,train/approx_kl,train/policy_gradient_loss,time/time_elapsed,train/learning_rate,train/clip_range,train/std,train/clip_fraction,rollout/ep_rew_mean,train/entropy_loss,train/n_updates,train/value_loss,train/explained_variance,time/total_timesteps,rollout/ep_len_mean,time/fps
964962048.0,0.005433594,-0.0050434735931048635,107,0.0017,0.2,1.1326470375061035,0.027880859375,-326476.42221965,-18.468412406742573,130,2150153808.1,-1.1920928955078125e-07,110000,97.9,1019
1149624704.0,0.004777261,-0.004382077370610205,117,0.0017,0.2,1.1460305452346802,0.017578125,-284102.69942571,-18.59673089981079,140,2133283799.7,1.1920928955078125e-07,120000,83.88,1024
1111218432.0,0.005871282,-0.006196291092783213,126,0.0017,0.2,1.1575932502746582,0.03685302734375,-305994.84471063,-18.726988989114762,150,2156603054.2,0.0,130000,90.91,1029
1050468096.0,0.0059455894,-0.005820749031772721,139,0.0017,0.2,1.1850651502609253,0.0312744140625,-286182.71072774,-19.006456573307513,170,2085800896.0,0.0,140000,85.77,1003
1033814784.0,0.004548028,-0.004231842580338707,148,0.0017,0.2,1.1983932256698608,0.01458740234375,-265174.55489045003,-19.134393630921842,180,2059115632.7,0.0,150000,77.88,1008
1245533056.0,0.004930468,-0.004311704531755822,157,0.0017,0.2,1.2115542888641357,0.02449951171875,-282051.29012556997,-19.268578036129476,190,2105766862.4,5.960464477539063e-08,160000,84.56,1014
970980544.0,0.005162141,-0.0048870074533624575,166,0.0017,0.2,1.2267837524414062,0.0221923828125,-265538.14734925,-19.40883107483387,200,2121798461.3,0.0,170000,78.72,1018
959775552.0,0.0043745423,-0.003966910423332593,175,0.0017,0.2,1.2403043508529663,0.01741943359375,-279311.5555578,-19.548988726735114,210,2028685195.2,0.0,180000,85.71,1022
766186944.0,0.005520397,-0.005063752815476619,189,0.0017,0.2,1.2684413194656372,0.02384033203125,-265551.83403182,-19.807556809484957,230,1850516573.6,1.1920928955078125e-07,190000,84.72,1003
1183865472.0,0.0050562373,-0.0048270140552631345,198,0.0017,0.2,1.2826615571975708,0.01971435546875,-244974.38042211998,-19.950488609075546,240,2118552671.2,-1.1920928955078125e-07,200000,76.45,1008
771812992.0,0.005863009,-0.004529520525647967,207,0.0017,0.2,1.3007103204727173,0.02969970703125,-245518.82741663005,-20.10270137190819,250,1705983652.7,0.0,210000,76.09,1012
997593216.0,0.0051082503,-0.004644695966635482,216,0.0017,0.2,1.3176952600479126,0.023046875,-262260.05297555996,-20.263771599531175,260,1912506626.2,0.0,220000,83.4,1016
839939968.0,0.003907549,-0.0040769845618342515,229,0.0017,0.2,1.3530088663101196,0.01361083984375,-232290.71054145,-20.58422948718071,280,1943698429.3,-2.384185791015625e-07,230000,69.65,1000
973047552.0,0.004764467,-0.0042009343218524006,238,0.0017,0.2,1.3676291704177856,0.01812744140625,-246143.92977334998,-20.719417184591293,290,1871658061.0,0.0,240000,74.79,1004
1043951488.0,0.006176358,-0.006087981495875283,247,0.0017,0.2,1.384306788444519,0.03424072265625,-216592.47443672002,-20.857389307022096,300,1907187691.35,0.0,250000,64.52,1008
886872192.0,0.004807554,-0.003932730328597245,257,0.0017,0.2,1.4016656875610352,0.01939697265625,-241007.41287807,-21.00472830235958,310,1837119325.05,1.1920928955078125e-07,260000,76.16,1011
900922816.0,0.006629649,-0.00589128408137185,266,0.0017,0.2,1.4204460382461548,0.03546142578125,-251192.42973908002,-21.160064862668513,320,1772677066.8,0.0,270000,80.92,1014
822497408.0,0.0048516644,-0.004006348236362101,279,0.0017,0.2,1.4605131149291992,0.017919921875,-253057.16357158998,-21.484008802473546,340,1746002333.05,0.0,280000,81.63,1001
635321792.0,0.0060919384,-0.005132789564049745,288,0.0017,0.2,1.478690505027771,0.0332763671875,-261514.7178706,-21.644986048340797,350,1668661185.15,1.1920928955078125e-07,290000,81.99,1004
962987264.0,0.00522355,-0.0043898896510654595,297,0.0017,0.2,1.4956785440444946,0.01973876953125,-244911.27191494004,-21.787691900134085,360,1912310786.9,-1.1920928955078125e-07,300000,79.48,1007
710686656.0,0.0048224293,-0.00410686990890099,307,0.0017,0.2,1.5105074644088745,0.02105712890625,-212467.41309939002,-21.914813156425954,370,1689320930.95,0.0,310000,65.81,1009
901263872.0,0.0054948223,-0.00465445958679993,320,0.0017,0.2,1.5472079515457153,0.026953125,-234742.82255210998,-22.188480193912984,390,1655413128.35,1.1920928955078125e-07,320000,74.9,998
814114496.0,0.005191992,-0.004143723784000031,329,0.0017,0.2,1.567212700843811,0.02181396484375,-234695.90434019,-22.340014600753783,400,1744381460.3,-1.1920928955078125e-07,330000,71.84,1000
738522112.0,0.0050059,-0.004551422306030872,338,0.0017,0.2,1.5833479166030884,0.024462890625,-230851.19462725,-22.477476900815965,410,1798929667.85,0.0,340000,72.51,1003
709915392.0,0.0044977404,-0.003488448287680512,348,0.0017,0.2,1.60032320022583,0.01842041015625,-248506.05812593,-22.602415508031847,420,1721172412.7,0.0,350000,78.1,1005
1262115456.0,0.004188886,-0.0036005237721838056,357,0.0017,0.2,1.618546962738037,0.014892578125,-217196.39554795,-22.733557629585267,430,1860470272.7,1.1920928955078125e-07,360000,71.86,1007
832353408.0,0.0068110405,-0.006276959147726302,370,0.0017,0.2,1.663681149482727,0.04542236328125,-257520.74024175,-23.051099027693272,450,1460486239.3,-1.1920928955078125e-07,370000,88.31,997
960567232.0,0.005619553,-0.004090437545164605,380,0.0017,0.2,1.6887818574905396,0.023291015625,-236962.9290161001,-23.222478227317332,460,1614103487.35,0.0,380000,80.74,999
916099200.0,0.0048721572,-0.004638601850456325,389,0.0017,0.2,1.7098456621170044,0.02227783203125,-217144.92228061997,-23.386937800049783,470,1565224293.05,0.0,390000,69.15,1001
1153377792.0,0.0047457637,-0.0033473817635240265,398,0.0017,0.2,1.7308517694473267,0.015234375,-216707.69879219,-23.53245103210211,480,1713395096.65,0.0,400000,66.38,1003
902887936.0,0.0055069057,-0.00388674638379598,412,0.0017,0.2,1.7777272462844849,0.0209228515625,-222766.12134895998,-23.834529246389867,500,1578996291.7,0.0,410000,74.27,994
900959104.0,0.005904781,-0.004755470792224515,421,0.0017,0.2,1.8031097650527954,0.033837890625,-219267.81160256,-24.01117983162403,510,1598689658.6,5.960464477539063e-08,420000,65.84,996
593509632.0,0.0059383395,-0.005204357375623659,430,0.0017,0.2,1.830809473991394,0.02874755859375,-237123.21584697,-24.189255568385125,520,1529638699.95,0.0,430000,78.76,998
994060992.0,0.004571763,-0.0032030563562329916,439,0.0017,0.2,1.8559597730636597,0.01630859375,-235358.86278718998,-24.35987114906311,530,1597670782.15,-1.1920928955078125e-07,440000,77.4,1000
791305152.0,0.0048988136,-0.0035672446501848754,448,0.0017,0.2,1.8807438611984253,0.02132568359375,-228077.90376197,-24.52000653296709,540,1541377455.05,0.0,450000,69.53,1002
958614784.0,0.005567474,-0.004428355169511633,462,0.0017,0.2,1.9379125833511353,0.02432861328125,-254704.11432353,-24.874031537771224,560,1432979523.7,-1.1920928955078125e-07,460000,85.55,994
717870592.0,0.00562355,-0.004952648516700719,471,0.0017,0.2,1.962661623954773,0.0281982421875,-224849.87060298,-25.035429391264916,570,1424115779.95,0.0,470000,72.47,996
