rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_rew_mean,train/learning_rate,train/iterations,train/delta_std,rollout/return_std,train/step_size
820.0909090909091,113,300000,2649,-41040337.290956,,,,,
801.9333333333333,116,310000,2650,-40123640.02556773,,,,,
505.0,120,320000,2650,-25074954.203272,0.02,6,0.05,20083680.0,1.244791769661191e-10
605.0,124,330000,2651,-30154947.4118392,,,,,
551.9090909090909,128,340000,2651,-27483965.255550183,,,,,
620.8461538461538,131,350000,2652,-30961880.91515185,,,,,
,135,360000,2652,,0.02,7,0.05,23763252.0,1.0520445625772368e-10
505.25,139,370000,2653,-25236187.736731246,,,,,
717.2857142857143,143,380000,2654,-35893310.70888086,,,,,
704.5,146,390000,2655,-35171180.7188775,,,,,
718.2857142857143,150,400000,2656,-35879911.71688015,,,,,
,154,410000,2657,,0.02,8,0.05,22232540.0,1.1244779413166484e-10
1000.0,158,420000,2657,-50099101.924446665,,,,,
629.875,161,430000,2658,-31420109.663837872,,,,,
619.5384615384615,165,440000,2659,-30897753.353379462,,,,,
670.2666666666667,169,450000,2660,-33467260.018670198,,,,,
511.75,172,460000,2661,-25516398.40312725,0.02,9,0.05,23813020.0,1.0498457658769667e-10
674.5,176,470000,2659,-33700989.98340317,,,,,
642.8181818181819,180,480000,2657,-32129625.297235455,,,,,
606.0666666666667,184,490000,2656,-30270695.1094292,,,,,
291.14285714285717,188,500000,2654,-14516372.159013858,0.02,10,0.05,24831148.0,1.0067999212104439e-10
368.1818181818182,192,510000,2653,-18385576.832842182,,,,,
4.0,196,520000,2652,-127676.253015,0.02,11,0.05,25587958.0,9.770220743554603e-11
502.25,199,530000,2650,-25074875.238553498,,,,,
715.5714285714286,203,540000,2649,-35795736.67901542,,,,,
778.7777777777778,207,550000,2647,-38969775.237339,,,,,
834.0833333333334,211,560000,2647,-41768228.25267633,,,,,
800.9333333333333,215,570000,2646,-40116826.33775513,,,,,
1000.0,219,580000,2645,-50182404.338227004,0.02,12,0.05,20141560.0,1.2412146310758487e-10
1000.0,223,590000,2644,-50140088.49202125,,,,,
704.2,226,600000,2643,-35179428.393962696,,,,,
696.5384615384615,230,610000,2642,-34760284.50097607,,,,,
338.0,234,620000,2641,-16856786.857677333,0.02,13,0.05,23827746.0,1.0491969792969513e-10
602.8,238,630000,2640,-30131457.486465998,,,,,
605.3,242,640000,2639,-30213376.324264504,,,,,
619.7692307692307,246,650000,2639,-30976224.28360677,,,,,
1000.0,250,660000,2638,-49925770.036412,0.02,14,0.05,25531016.0,9.792011645970433e-11
801.4,254,670000,2637,-40079523.1191496,,,,,
779.8888888888889,257,680000,2637,-38991443.17828266,,,,,
694.8461538461538,261,690000,2637,-34727157.82629723,,,,,
14.0,265,700000,2638,-421161.89884433337,0.02,15,0.05,23861366.0,1.0477187173396629e-10
340.1111111111111,268,710000,2639,-16876938.900282998,,,,,
423.5833333333333,272,720000,2640,-21084961.843613084,,,,,
,276,730000,2641,,0.02,16,0.05,25676260.0,9.736619843714323e-11
1000.0,280,740000,2641,-50077461.9003205,,,,,
834.3333333333334,283,750000,2642,-41690984.1707665,,,,,
702.4,287,760000,2643,-35077152.91711651,,,,,
716.7142857142857,291,770000,2644,-35844214.78343879,,,,,
,294,780000,2645,,0.02,17,0.05,22288222.0,1.1216685913417734e-10
1000.0,298,790000,2646,-50064222.710352995,,,,,
716.4285714285714,302,800000,2646,-35861322.33469014,,,,,
668.8333333333334,305,810000,2647,-33493502.07082842,,,,,
668.8,309,820000,2648,-33492017.066553198,,,,,
229.11111111111111,313,830000,2649,-11366309.297038222,0.02,18,0.05,23911900.0,1.0455045162949261e-10
369.27272727272725,316,840000,2650,-18413807.59989709,,,,,
471.1333333333333,320,850000,2650,-23542703.4721074,,,,,
1000.0,324,860000,2651,-50304584.797337,0.02,19,0.05,25762838.0,9.703899489510448e-11
448.0,327,870000,2652,-22426523.276062667,,,,,
503.9166666666667,331,880000,2653,-25207344.015953083,,,,,
13.0,335,890000,2653,-345433.1616,0.02,20,0.05,25555198.0,9.782744753161765e-11
505.25,339,900000,2654,-25239717.63670325,,,,,
422.5,342,910000,2654,-21098923.971119832,,,,,
472.06666666666666,346,920000,2655,-23595462.542300664,,,,,
149.28571428571428,350,930000,2655,-7365618.58197857,0.02,21,0.05,25784648.0,9.695691471911516e-11
1000.0,353,940000,2656,-50213802.005286,0.02,22,0.05,20158556.0,1.2401682458751395e-10
1000.0,357,950000,2654,-50224115.06644125,,,,,
751.875,361,960000,2654,-37687465.17216363,,,,,
645.3571428571429,365,970000,2654,-32326032.397655644,,,,,
339.6666666666667,369,980000,2655,-16756771.466299666,0.02,23,0.05,24989740.0,1.0004105877037262e-10
433.0,372,990000,2655,-21562749.560566146,,,,,
548.6363636363636,376,1000000,2656,-27417229.226289272,,,,,
618.0769230769231,380,1010000,2656,-30910973.993020847,,,,,
