train/explained_variance,train/std,train/is_line_search_success,train/kl_divergence_loss,train/policy_objective,time/fps,time/time_elapsed,time/total_timesteps,train/n_updates,rollout/ep_len_mean,train/learning_rate,train/value_loss,rollout/ep_rew_mean
0.0,0.8628746867179871,1.0,0.007325268816202879,0.07088960707187653,1516,191,290000,35,92.83,0.0013,1447281610.5,-134008.34393
0.0,0.8613844513893127,1.0,0.007462827954441309,0.07153250277042389,1518,197,300000,36,101.55,0.0013,1044220612.0,-100851.91513186
0.0,0.8570046424865723,1.0,0.007190223783254623,0.06764097511768341,1519,203,310000,37,83.01,0.0013,1133436124.7,-89118.88871928999
0.0,0.8511762619018555,1.0,0.007583565544337034,0.07006713002920151,1511,211,320000,39,87.66,0.0013,1235140752.7,-69999.65911302
0.0,0.8436312675476074,1.0,0.007280442398041487,0.06408362835645676,1511,218,330000,40,95.18,0.0013,1151045182.8,-61505.60057987
0.0,0.8424832224845886,1.0,0.007250139024108648,0.07017527520656586,1512,224,340000,41,102.85,0.0013,1106112133.1,-65337.10857234
0.0,0.8372900485992432,1.0,0.007862626574933529,0.06716542690992355,1512,231,350000,42,93.92,0.0013,1044072814.1,-17299.77539343
0.0,0.8357846140861511,1.0,0.008000140078365803,0.06663250923156738,1513,237,360000,43,89.78,0.0013,979324010.2,-3501.10191412
0.0,0.8260161280632019,1.0,0.009057585150003433,0.06702299416065216,1506,245,370000,45,93.69,0.0013,954890240.1,-19.958314110001083
0.0,0.8253157138824463,1.0,0.008015050552785397,0.06772089749574661,1506,252,380000,46,85.2,0.0013,1121492856.5,22066.194314120003
0.0,0.8190727233886719,1.0,0.007941373623907566,0.06032305583357811,1507,258,390000,47,84.93,0.0013,1091357928.3,22384.40331573
0.0,0.8184916973114014,1.0,0.008089857175946236,0.0668174996972084,1507,265,400000,48,81.45,0.0013,1121744116.2,48504.45120229
0.0,0.8149201273918152,1.0,0.008651279844343662,0.06518720835447311,1500,273,410000,50,70.36,0.0013,1313020590.1,33795.00970615
5.960464477539063e-08,0.81394362449646,1.0,0.008078246377408504,0.07227279245853424,1500,279,420000,51,76.01,0.0013,1169515354.7,56454.80900475
5.960464477539063e-08,0.8112399578094482,1.0,0.008225628174841404,0.0597355030477047,1500,286,430000,52,71.55,0.0013,1136208964.2,66515.95491789
0.0,0.807720959186554,1.0,0.00840890221297741,0.06490407884120941,1500,293,440000,53,73.78,0.0013,1337204966.9,61887.07019989
0.0,0.8096187114715576,1.0,0.008197666145861149,0.07167162001132965,1501,299,450000,54,64.94,0.0013,1145146052.1,77297.29826052001
5.960464477539063e-08,0.8098548054695129,1.0,0.008143975399434566,0.06529341638088226,1495,307,460000,56,67.72,0.0013,1261230162.8,71817.76622602
0.0,0.8048324584960938,1.0,0.00853381585329771,0.06235459819436073,1495,314,470000,57,67.13,0.0013,1320028365.0,71045.66310548999
0.0,0.8027183413505554,1.0,0.008344831876456738,0.06654238700866699,1495,320,480000,58,67.7,0.0013,1223078353.95,74891.93927991
0.0,0.8010091185569763,1.0,0.00845667626708746,0.05471951887011528,1495,327,490000,59,61.06,0.0013,1320256745.3,70479.36551321001
-1.1920928955078125e-07,0.7978774905204773,1.0,0.008882547728717327,0.06678956001996994,1489,335,500000,61,67.94,0.0013,1322586279.8,78187.92527697001
0.0,0.7968787550926208,1.0,0.008942759595811367,0.06753387302160263,1490,342,510000,62,70.22,0.0013,1308447165.5,82070.37409015
5.960464477539063e-08,0.7980831265449524,1.0,0.008327034302055836,0.06581443548202515,1490,348,520000,63,67.57,0.0013,1351334328.9,92060.21358298
0.0,0.7962430119514465,1.0,0.008671869523823261,0.06715398281812668,1490,355,530000,64,59.08,0.0013,1473011850.4,100718.07351019
-1.1920928955078125e-07,0.795002281665802,1.0,0.009105036966502666,0.06614555418491364,1490,362,540000,65,58.25,0.0013,1583256887.4,96507.47247959001
0.0,0.7916558384895325,1.0,0.007352097425609827,0.05792205408215523,1485,370,550000,67,51.2,0.0013,1683578580.2,93714.05733607002
5.960464477539063e-08,0.7896345257759094,1.0,0.008262949995696545,0.06045070290565491,1485,376,560000,68,47.84,0.0013,1883765027.2,106381.66262096999
0.0,0.786891758441925,1.0,0.00830546673387289,0.058080896735191345,1485,383,570000,69,45.85,0.0013,1721236057.2,105745.32083768
0.0,0.7847388386726379,1.0,0.008599914610385895,0.06632562726736069,1486,390,580000,70,50.5,0.0013,1881928070.2,96336.40589074999
-1.1920928955078125e-07,0.7785367369651794,1.0,0.008274619467556477,0.06327666342258453,1480,398,590000,72,41.97,0.0013,2024688179.8,99082.29376447
0.0,0.7765327095985413,1.0,0.009450907818973064,0.06300001591444016,1480,405,600000,73,40.41,0.0013,2094067360.2,110026.08945452001
-1.1920928955078125e-07,0.7759172916412354,1.0,0.008878488093614578,0.06053740158677101,1481,411,610000,74,36.17,0.0013,2182021624.4,101937.94909681
-1.1920928955078125e-07,0.7756445407867432,1.0,0.009057526476681232,0.07156483829021454,1481,418,620000,75,37.61,0.0013,2470249157.0,111456.98562334999
5.960464477539063e-08,0.7752108573913574,1.0,0.009341301396489143,0.06198585405945778,1481,425,630000,76,28.69,0.0013,2486621895.0,111128.25729406
-1.1920928955078125e-07,0.7700366377830505,1.0,0.009259161539375782,0.06409942358732224,1476,433,640000,78,30.6,0.0013,3079194874.4,115752.64809751
1.7881393432617188e-07,0.7638840079307556,1.0,0.009061695076525211,0.05908443033695221,1475,440,650000,79,24.69,0.0013,3459755609.6,117545.61497528
0.0,0.7621591091156006,1.0,0.00920141115784645,0.05464703217148781,1475,447,660000,80,25.22,0.0013,3445468956.8,118324.4867835
1.7881393432617188e-07,0.7606840133666992,1.0,0.008632277138531208,0.051343224942684174,1474,454,670000,81,23.95,0.0013,3625458853.6,118988.73291286
0.0,0.7522991299629211,1.0,0.008565349504351616,0.06301449984312057,1470,462,680000,83,21.6,0.0013,4241410808.8,120500.99402319
5.960464477539063e-08,0.7509661316871643,1.0,0.008730865083634853,0.05601451173424721,1469,469,690000,84,20.63,0.0013,4310710318.8,118708.24885072
1.1920928955078125e-07,0.7471532821655273,1.0,0.009100946597754955,0.05973999202251434,1469,476,700000,85,18.14,0.0013,4817871046.8,119532.91712227
-1.1920928955078125e-07,0.7446872591972351,1.0,0.009177199564874172,0.06197061762213707,1468,483,710000,86,19.43,0.0013,4954427486.8,119278.8
0.0,0.7404530048370361,1.0,0.009498804807662964,0.04698508605360985,1468,490,720000,87,17.34,0.0013,5019668650.4,121685.48584544999
-2.384185791015625e-07,0.7372169494628906,1.0,0.008222891949117184,0.04820995405316353,1464,498,730000,89,16.59,0.0013,5208649629.6,123129.87733853002
0.0,0.7333163619041443,1.0,0.00951145589351654,0.05860668048262596,1463,505,740000,90,15.92,0.0013,5207563608.0,122050.64499568
0.0,0.7308816313743591,1.0,0.0063795349560678005,0.04221498221158981,1462,512,750000,91,15.69,0.0013,5617456952.8,122662.32647445999
0.0,0.7269918918609619,1.0,0.00930484663695097,0.05042632669210434,1462,519,760000,92,16.34,0.0013,5559945921.6,121120.97891867
1.1920928955078125e-07,0.7262369990348816,1.0,0.008954313583672047,0.04925677925348282,1461,526,770000,93,15.12,0.0013,5601036804.8,119763.55936101
0.0,0.7225286364555359,1.0,0.00923792365938425,0.04832422733306885,1457,535,780000,95,15.13,0.0013,5647650687.2,124601.86889017999
-1.1920928955078125e-07,0.7199978828430176,1.0,0.0068874782882630825,0.04279984533786774,1457,541,790000,96,15.56,0.0013,6054520134.4,122865.06112806
5.960464477539063e-08,0.7193527817726135,1.0,0.009428408928215504,0.049424171447753906,1457,548,800000,97,15.54,0.0013,5884719434.4,124685.36135082999
-2.384185791015625e-07,0.7185153961181641,1.0,0.009619967080652714,0.04948971047997475,1457,555,810000,98,15.18,0.0013,6018023895.2,126417.75505046
-1.1920928955078125e-07,0.7144741415977478,1.0,0.009550094604492188,0.057128485292196274,1453,564,820000,100,15.95,0.0013,6070335580.8,124763.52465371
0.0,0.7126691937446594,1.0,0.00943136215209961,0.05264713615179062,1452,571,830000,101,15.65,0.0013,5738080832.8,124475.79548877
1.1920928955078125e-07,0.709936797618866,1.0,0.00958661362528801,0.043326810002326965,1452,578,840000,102,15.29,0.0013,6267384558.4,127822.7
5.960464477539063e-08,0.7073116302490234,1.0,0.009133902378380299,0.05368844419717789,1452,585,850000,103,15.09,0.0013,5971945847.2,127327.91104172001
-1.1920928955078125e-07,0.7058907151222229,1.0,0.009764312766492367,0.05242036283016205,1451,592,860000,104,14.33,0.0013,6040419444.0,126151.18149149
0.0,0.7038130164146423,1.0,0.009339290671050549,0.049593329429626465,1448,600,870000,106,14.87,0.0013,5708339733.6,126825.58521922
-1.1920928955078125e-07,0.7025173306465149,1.0,0.009277642704546452,0.03857787325978279,1448,607,880000,107,14.42,0.0013,6150387857.6,127453.5958376
-1.1920928955078125e-07,0.7025507092475891,1.0,0.00887967273592949,0.05135976895689964,1447,614,890000,108,14.74,0.0013,6379520967.2,126734.56173929
-1.1920928955078125e-07,0.7012331485748291,1.0,0.009989975020289421,0.055482592433691025,1447,621,900000,109,15.56,0.0013,6249350656.8,127697.48320561
0.0,0.6969097256660461,1.0,0.00867087859660387,0.036961980164051056,1444,630,910000,111,14.43,0.0013,6384580433.6,129876.77573231999
-1.1920928955078125e-07,0.6957007050514221,1.0,0.009387520141899586,0.048154544085264206,1444,637,920000,112,15.09,0.0013,6466205973.6,128028.88561679
0.0,0.6947483420372009,1.0,0.009540669620037079,0.04420588165521622,1443,644,930000,113,14.28,0.0013,6141200747.2,128574.62957158
0.0,0.693110466003418,1.0,0.009474184364080429,0.05040007829666138,1443,651,940000,114,13.96,0.0013,6142208540.0,126972.3
0.0,0.6898396611213684,1.0,0.009378003887832165,0.04889652132987976,1443,658,950000,115,15.8,0.0013,6570221512.0,128588.8
5.960464477539063e-08,0.6877771019935608,1.0,0.009962701238691807,0.050325337797403336,1439,666,960000,117,14.23,0.0013,6486138085.6,128562.4
1.7881393432617188e-07,0.6870371699333191,1.0,0.00655807601287961,0.037440963089466095,1439,673,970000,118,13.72,0.0013,6337543017.6,128388.90351593001
0.0,0.6852688789367676,1.0,0.009052464738488197,0.057423003017902374,1439,680,980000,119,13.61,0.0013,6677191420.0,129205.2
5.960464477539063e-08,0.6839482188224792,1.0,0.009395934641361237,0.03977922722697258,1439,687,990000,120,15.9,0.0013,6715614754.4,129513.28867478
0.0,0.6817934513092041,1.0,0.009461773559451103,0.046081312000751495,1435,696,1000000,122,14.26,0.0013,6748003663.2,128067.5
