time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,train/iterations,train/step_size,rollout/return_std,train/learning_rate,train/delta_std
255,440000,1722,-50097926.828982,1000.0,8,1.0114724162402222e-11,22244798.0,0.0018,0.05
261,450000,1722,-49892098.622306325,1000.0,,,,,
267,460000,1722,-48240138.1608135,1000.0,,,,,
272,470000,1722,-43322484.53853156,891.5555555555555,,,,,
278,480000,1722,-36059783.620366596,738.4,,,,,
284,490000,1723,-40328155.875612,1000.0,9,1.0299176442241098e-11,21846406.0,0.0018,0.05
290,500000,1723,-47398914.8467715,1000.0,,,,,
295,510000,1723,-48272515.56750267,1000.0,,,,,
301,520000,1723,-34075418.720000155,699.8461538461538,,,,,
307,530000,1723,-36199964.442609206,739.8666666666667,,,,,
313,540000,1723,-20193731.436963,405.2,10,1.033686938128886e-11,21766744.0,0.0018,0.05
319,550000,1723,-28762665.84756271,575.1428571428571,,,,,
324,560000,1723,-31969717.07541482,639.7272727272727,,,,,
330,570000,1724,-30113560.855114866,604.5333333333333,,,,,
336,580000,1724,-25397077.04879325,512.5,11,9.063043718282593e-12,24826096.0,0.0018,0.05
342,590000,1724,-28713520.175337426,579.7142857142857,,,,,
347,600000,1724,-29393806.906233832,592.25,,,,,
353,610000,1724,,,12,8.933805951960583e-12,25185236.0,0.0018,0.05
359,620000,1724,-37872213.65652775,759.75,,,,,
365,630000,1724,-41912554.149948835,839.8333333333334,,,,,
371,640000,1724,-36608509.62380537,733.9090909090909,,,,,
376,650000,1724,-35937709.4869175,720.7857142857143,,,,,
382,660000,1724,,,13,1.0204429315430197e-11,22049248.0,0.0018,0.05
388,670000,1724,-37683476.933636755,756.0,,,,,
394,680000,1725,-31418030.075245753,631.5,,,,,
399,690000,1725,-36453903.61637346,732.0,,,,,
405,700000,1725,-38536853.39357108,773.2307692307693,,,,,
411,710000,1725,-10319415.2112456,210.4,14,1.0166674793699038e-11,22131130.0,0.0018,0.05
417,720000,1725,-21702477.980195004,436.0,,,,,
422,730000,1725,-27363532.859924182,551.4545454545455,,,,,
428,740000,1726,-30813741.299820922,620.4615384615385,,,,,
434,750000,1726,-49869976.164447,1000.0,15,9.081884549955177e-12,24774594.0,0.0018,0.05
440,760000,1726,-49971704.81227467,1000.0,,,,,
445,770000,1726,-42859096.10111886,858.2857142857143,,,,,
451,780000,1727,-44470631.29697156,889.7777777777778,,,,,
457,790000,1727,-39360932.827017434,787.6428571428571,,,,,
463,800000,1727,-25386532.818922497,508.0,16,1.0104994965787206e-11,22266216.0,0.0018,0.05
468,810000,1727,-40148571.5097394,803.2,,,,,
474,820000,1727,-37616369.211640246,753.625,,,,,
480,830000,1728,-34736467.336186305,696.6923076923077,,,,,
485,840000,1728,-36762211.17018207,737.1333333333333,,,,,
491,850000,1728,-25221937.72316575,505.75,17,1.0135053386817194e-11,22200178.0,0.0018,0.05
497,860000,1729,-28794082.549751718,578.0,,,,,
503,870000,1729,-27140106.840100612,545.4615384615385,,,,,
508,880000,1729,-30164519.660589,606.0666666666667,,,,,
514,890000,1729,-20293383.1655812,412.6,18,9.074904022687846e-12,24793650.0,0.0018,0.05
520,900000,1730,-25275450.261012126,509.625,,,,,
525,910000,1730,-29392157.41945259,593.1666666666666,,,,,
531,920000,1730,-32333133.91106365,651.2857142857143,,,,,
537,930000,1730,-25238181.388922,504.5,19,9.556881327976718e-12,23543244.0,0.0018,0.05
543,940000,1730,-25245291.805433,506.0,,,,,
548,950000,1730,-23019742.245449364,462.8181818181818,,,,,
554,960000,1730,-175319.395252,8.0,20,8.826097838698921e-12,25492578.0,0.0018,0.05
560,970000,1731,-33440488.741805334,669.3333333333334,,,,,
566,980000,1731,-35880375.478607,717.7142857142857,,,,,
571,990000,1731,-38978051.63797144,780.4444444444445,,,,,
577,1000000,1732,-41754502.278109,835.3333333333334,,,,,
582,1010000,1733,-42938333.75658543,858.8571428571429,,,,,
