train/n_updates,train/clip_range,rollout/ep_len_mean,train/loss,train/approx_kl,time/time_elapsed,train/entropy_loss,train/learning_rate,time/fps,train/explained_variance,time/total_timesteps,train/policy_gradient_loss,train/clip_fraction,train/value_loss,train/std,rollout/ep_rew_mean
150,0.2,15.1,13943299072.0,0.0029671788,160,-22.047437749803066,0.0017,811,-1.1920928955078125e-07,130000,-0.002941053758149792,0.0031494140625,23869039905.6,1.0545694828033447,-286809.23855315003
170,0.2,12.11,9501805568.0,0.003936982,178,-22.162938591837882,0.0017,785,-1.1920928955078125e-07,140000,-0.0033485225842014186,0.00814208984375,20476640936.8,1.0619467496871948,-231932.98057497002
180,0.2,13.27,9634351104.0,0.003977306,190,-22.21340906172991,0.0017,787,5.960464477539063e-08,150000,-0.0033966516359214436,0.00657958984375,21194425103.2,1.0658570528030396,-256363.56955159
190,0.2,14.17,9570034688.0,0.00381411,202,-22.27418971210718,0.0017,788,0.0,160000,-0.003385623959911754,0.0067626953125,22354005713.6,1.07058584690094,-269917.09676711
200,0.2,13.64,10306269184.0,0.0038646809,215,-22.33229037374258,0.0017,789,-1.1920928955078125e-07,170000,-0.003201136552706885,0.00924072265625,21096898981.6,1.0740950107574463,-254367.78812897002
210,0.2,14.63,9851323392.0,0.0025299364,225,-22.388453675806524,0.0017,797,-1.1920928955078125e-07,180000,-0.002198791272712697,0.00191650390625,21096998212.0,1.0787287950515747,-278042.42377755
230,0.2,14.54,9986355200.0,0.0031994053,239,-22.50858528316021,0.0017,792,1.1920928955078125e-07,190000,-0.0030170554551659733,0.00413818359375,20703588984.0,1.0873582363128662,-265445.04665945005
240,0.2,12.14,9280330752.0,0.0035449394,249,-22.571283370256424,0.0017,801,-1.1920928955078125e-07,200000,-0.0026152580838243013,0.00469970703125,18722235295.2,1.0918880701065063,-227658.19011354004
250,0.2,13.82,9248200704.0,0.0035194256,259,-22.63266826570034,0.0017,809,-1.1920928955078125e-07,210000,-0.0030047333617403637,0.00517578125,20407222011.2,1.0962471961975098,-258398.68552308
260,0.2,12.04,8317687296.0,0.0031518529,269,-22.69474749863148,0.0017,816,1.1920928955078125e-07,220000,-0.002907818108724314,0.0031494140625,19963744886.4,1.101006031036377,-229619.74789735995
280,0.2,14.33,9056643072.0,0.005239132,283,-22.81365888863802,0.0017,811,-2.384185791015625e-07,230000,-0.004210376910123159,0.01593017578125,20206697887.2,1.1092067956924438,-265820.5706064
290,0.2,11.08,11288011776.0,0.0026861394,293,-22.873601034283638,0.0017,818,0.0,240000,-0.0027755535886171854,0.00220947265625,20619999716.8,1.1144307851791382,-216932.16104853002
300,0.2,12.12,9271293952.0,0.00399743,303,-22.936498303711414,0.0017,824,0.0,250000,-0.003554907139914576,0.0076171875,18286619888.0,1.118514895439148,-227525.3248106
310,0.2,13.44,8813502464.0,0.004177087,313,-22.997252038121225,0.0017,830,-1.1920928955078125e-07,260000,-0.0034716834850769375,0.008056640625,18236236511.2,1.1234729290008545,-249405.11483971003
320,0.2,13.46,9273628672.0,0.0038562473,323,-23.05795062482357,0.0017,835,0.0,270000,-0.004168952289910521,0.0081787109375,19041418858.4,1.1276166439056396,-257457.57708004
340,0.2,11.85,10746008576.0,0.0040715905,337,-23.175298704206945,0.0017,830,1.1920928955078125e-07,280000,-0.0038747593373045673,0.00787353515625,19116298760.8,1.1367679834365845,-225395.13558233995
350,0.2,12.75,9581617152.0,0.0028201495,347,-23.242498415708543,0.0017,835,-1.1920928955078125e-07,290000,-0.0025959361915738554,0.00340576171875,17609115107.2,1.1422648429870605,-244363.03485903997
360,0.2,12.18,10019521536.0,0.0039767195,357,-23.30717218071222,0.0017,839,-1.1920928955078125e-07,300000,-0.0030335583447595126,0.00760498046875,18317690629.6,1.1465942859649658,-231838.76135147
370,0.2,12.92,7870277632.0,0.0025678542,367,-23.36823404878378,0.0017,844,0.0,310000,-0.002513153875406715,0.00191650390625,19707895992.0,1.1516976356506348,-243834.51142111
390,0.2,11.37,8205772800.0,0.0032314057,381,-23.498051750659943,0.0017,839,1.7881393432617188e-07,320000,-0.0030817045568255707,0.0036376953125,17359889829.6,1.1614975929260254,-219589.95961158004
400,0.2,12.83,8318485504.0,0.0030995978,391,-23.558413922786713,0.0017,843,0.0,330000,-0.002825332469728892,0.00433349609375,18124488175.2,1.1661213636398315,-237838.45812902998
410,0.2,11.47,8144925696.0,0.0023173764,401,-23.619264547526836,0.0017,847,0.0,340000,-0.0018820174680513446,0.001708984375,16731479492.0,1.171051263809204,-217663.93840143998
420,0.2,11.52,9181732864.0,0.0026754774,411,-23.68582044094801,0.0017,850,1.1920928955078125e-07,350000,-0.002384631412860472,0.003173828125,17275188964.8,1.1764918565750122,-221409.44262330997
430,0.2,13.7,8545308160.0,0.0025192245,421,-23.748988249897955,0.0017,854,0.0,360000,-0.0021853024027223,0.0016845703125,17412084760.0,1.1809953451156616,-250597.47891937997
450,0.2,13.28,7313891328.0,0.0030724732,435,-23.860411255061628,0.0017,849,0.0,370000,-0.0030984860117314384,0.00323486328125,16592237655.2,1.1906185150146484,-244358.50504476004
460,0.2,13.15,7737397760.0,0.0025463002,445,-23.93477885723114,0.0017,852,0.0,380000,-0.0023689410772931296,0.002685546875,17192450948.8,1.1963846683502197,-242267.08295966004
470,0.2,11.37,8708728832.0,0.0025533524,455,-24.00346672832966,0.0017,855,-1.1920928955078125e-07,390000,-0.0023866253839514686,0.00255126953125,16857212627.2,1.2015408277511597,-212311.63154126
480,0.2,10.43,8216420864.0,0.004842389,466,-24.06466201990843,0.0017,858,0.0,400000,-0.003726128233211057,0.010986328125,15968990576.0,1.2062206268310547,-201910.69114639
500,0.2,11.39,8978284544.0,0.0025039238,480,-24.18992467224598,0.0017,853,5.960464477539063e-08,410000,-0.002170216036938655,0.00443115234375,17432076721.6,1.2162413597106934,-221677.18330613003
510,0.2,11.07,7677813248.0,0.002163949,490,-24.250131066143513,0.0017,856,0.0,420000,-0.002489203069853829,0.001123046875,15792650646.4,1.2216507196426392,-211084.87671256997
520,0.2,10.97,7559631872.0,0.0043352665,500,-24.31592834740877,0.0017,859,-1.1920928955078125e-07,430000,-0.004038176255198778,0.01351318359375,16292753751.2,1.226920247077942,-208079.01790797003
530,0.2,10.88,7641271296.0,0.0030973796,510,-24.378605169057845,0.0017,862,0.0,440000,-0.002990558168312418,0.00416259765625,15891237928.8,1.2320106029510498,-208558.24868589
540,0.2,9.95,8105113600.0,0.004206321,520,-24.439274354279043,0.0017,864,1.7881393432617188e-07,450000,-0.0034180355571152175,0.01038818359375,15943048086.4,1.236884593963623,-196543.36050789
560,0.2,13.92,8300281344.0,0.0030414867,534,-24.577526454627513,0.0017,860,0.0,460000,-0.003165891531716625,0.00467529296875,16049286138.4,1.2488598823547363,-257133.55459479996
570,0.2,10.3,7790837760.0,0.0022219382,544,-24.64372124373913,0.0017,862,-1.1920928955078125e-07,470000,-0.002056350774182647,0.0018310546875,16086287530.4,1.2540534734725952,-201827.83060391003
580,0.2,12.57,7636023296.0,0.0026273506,554,-24.712821520864964,0.0017,865,1.1920928955078125e-07,480000,-0.002767900797425682,0.00257568359375,16001942221.6,1.2604985237121582,-228459.74181958995
