time/total_timesteps,train/critic_loss,rollout/ep_rew_mean,time/episodes,time/time_elapsed,train/actor_loss,train/learning_rate,time/fps,train/n_updates,rollout/ep_len_mean,train/ent_coef,train/ent_coef_loss
430000,43.963565826416016,-109753.83566158,1046,2857,570.8486328125,0.0064,150,107474,719.88,0.6598734855651855,-0.5927892327308655
440000,108.74681091308594,-106086.25231984998,1058,2931,716.2250366210938,0.0064,150,109974,722.99,0.5482035279273987,0.07558701932430267
450000,84.86531829833984,-107429.85719498999,1070,3003,645.6941528320312,0.0064,149,112474,726.85,0.6501479148864746,1.3028135299682617
460000,242.62538146972656,-96582.11691525998,1081,3075,671.5595703125,0.0064,149,114974,722.09,0.8216955661773682,0.1466858834028244
470000,69.1207504272461,-94994.09697170001,1094,3148,683.4410400390625,0.0064,149,117474,817.69,0.5373467803001404,-0.17275281250476837
480000,59.19057083129883,-95387.43209527999,1105,3221,698.81494140625,0.0064,149,119974,830.05,0.47379741072654724,0.4263018071651459
490000,99.19503021240234,-69929.416238,1122,3293,770.755859375,0.0064,148,122474,813.48,1.2637901306152344,-0.394692599773407
500000,76.4908218383789,-73731.59410721,1137,3366,568.7347412109375,0.0064,148,124974,801.82,0.8219429850578308,0.5524386763572693
510000,79.46226501464844,-83842.99750332,1147,3438,641.89990234375,0.0064,148,127474,803.2,0.525880753993988,-1.6411693096160889
520000,41.869049072265625,-83185.37624199998,1165,3512,429.95025634765625,0.0064,148,129974,734.47,0.6582334041595459,-0.02214498072862625
530000,61.693912506103516,-60170.431685920004,1194,3585,472.7932434082031,0.0064,147,132474,601.1,0.7453092336654663,0.167057067155838
540000,92.74642181396484,-55302.94436718999,1216,3658,584.268798828125,0.0064,147,134974,546.83,0.6898545622825623,-0.3866523802280426
550000,77.83686065673828,-40277.774941409996,1235,3731,350.8956604003906,0.0064,147,137474,501.22,1.0872129201889038,0.01655857264995575
560000,87.85375213623047,91114.58457683999,1344,3806,-118.411865234375,0.0064,147,139974,81.81,0.9887841939926147,-0.013252073898911476
570000,267.5292053222656,119615.87094145999,1439,3879,147.857421875,0.0064,146,142474,80.83,1.121137022972107,0.24630673229694366
580000,173.04367065429688,90240.56115696,1461,3952,297.709716796875,0.0064,146,144974,174.16,1.506705403327942,0.17933420836925507
590000,219.61216735839844,73376.81179556,1478,4026,339.776611328125,0.0064,146,147474,266.66,0.8669050931930542,0.10212709754705429
600000,462.5677795410156,56342.84961987999,1497,4099,-109.49342346191406,0.0064,146,149974,351.95,0.830416202545166,0.014741064980626106
610000,283.0576477050781,30067.24168462,1510,4173,-80.19798278808594,0.0064,146,152474,435.36,1.6457290649414062,1.5891684293746948
620000,288.01739501953125,-1599.64274783,1522,4247,-37.55244445800781,0.0064,145,154974,529.14,1.9547038078308105,-1.5788873434066772
630000,261.2546691894531,-26920.113243600004,1538,4321,562.3564453125,0.0064,145,157474,603.63,1.4908145666122437,0.0051115211099386215
640000,84.50646209716797,-25861.44430603,1561,4394,868.8121337890625,0.0064,145,159974,602.12,1.076900839805603,0.037301864475011826
650000,57.82332992553711,-32553.662330699997,1571,4467,835.2376098632812,0.0064,145,162474,641.13,1.8874106407165527,1.0074533224105835
660000,116.08316802978516,-44147.850027399996,1581,4541,310.74920654296875,0.0064,145,164974,683.05,1.018371820449829,-0.013498612679541111
670000,80.41744232177734,-71825.84851491,1594,4615,611.82275390625,0.0064,145,167474,722.78,0.9244041442871094,-0.13249137997627258
680000,93.67515563964844,-11786.131405010003,1641,4689,601.7294311523438,0.0064,145,169974,494.39,1.84768807888031,0.371023029088974
690000,356.4575500488281,16674.728450799998,1675,4763,370.8888244628906,0.0064,144,172474,373.35,1.5104466676712036,-1.2589962482452393
700000,123.32781219482422,35775.47150666,1701,4837,309.4573974609375,0.0064,144,174974,237.74,2.1126019954681396,-0.20951417088508606
710000,301.8958740234375,33525.77789924,1726,4911,449.7408447265625,0.0064,144,177474,287.85,1.5882207155227661,0.12505586445331573
720000,140.58741760253906,10315.871704359999,1743,4984,306.7941589355469,0.0064,144,179974,395.07,1.4495532512664795,0.0698527842760086
730000,126.65764617919922,-5168.2980800099995,1761,5058,416.1528015136719,0.0064,144,182474,473.27,3.0799503326416016,0.8248594403266907
740000,110.5821533203125,25974.33245204,1812,5131,163.6630859375,0.0064,144,184974,367.57,1.6336784362792969,0.12427219748497009
750000,122.38507843017578,111638.36014488999,1896,5206,-127.74401092529297,0.0064,144,187474,118.51,2.180086851119995,0.6702870726585388
760000,101.02684020996094,106559.09245369,1958,5281,-12.33447265625,0.0064,143,189974,146.23,1.7764493227005005,0.6219934821128845
770000,501.330322265625,98402.95960696001,2007,5355,181.2081298828125,0.0064,143,192474,187.56,1.956349492073059,0.34160473942756653
780000,525.2926635742188,111261.22443103,2088,5429,-725.5887451171875,0.0064,143,194974,129.07,4.18324089050293,-0.9933376312255859
790000,694.9566650390625,91661.93182558,2158,5503,-298.4386291503906,0.0064,143,197474,100.04,17.489036560058594,2.610328435897827
800000,189.69717407226562,71749.22891321,2175,5577,-429.62457275390625,0.0064,143,199974,190.16,16.134326934814453,0.9046306014060974
810000,508.62164306640625,48004.66716638999,2187,5652,-1724.4173583984375,0.0064,143,202474,283.86,12.305041313171387,0.8093599081039429
820000,968.1542358398438,12562.289124019999,2240,5727,-3476.393798828125,0.0064,143,204974,321.3,29.68264389038086,1.2528891563415527
830000,1908.6534423828125,3053.647281749998,2270,5800,-7997.07275390625,0.0064,143,207474,349.59,46.49558639526367,0.29446449875831604
840000,1654.593017578125,3712.8225949799967,2293,5874,-7944.78759765625,0.0064,142,209974,272.17,38.09119415283203,6.063444137573242
850000,2025.36083984375,-8022.375105040002,2312,5949,-5322.76220703125,0.0064,142,212474,326.39,17.681650161743164,1.6579346656799316
860000,1365.1922607421875,-3353.6280868199988,2351,6023,-2528.940673828125,0.0064,142,214974,363.65,7.481958389282227,0.6865158081054688
870000,980.80859375,-22710.15659477,2364,6097,-1794.796630859375,0.0064,142,217474,426.4,16.35357093811035,4.687987327575684
880000,750.3699340820312,-35123.65278155,2374,6171,-2998.356201171875,0.0064,142,219974,479.44,8.548715591430664,0.8956983089447021
890000,590.3268432617188,-20351.68270394999,2406,6245,-3365.56640625,0.0064,142,222474,451.15,8.25720500946045,-1.0600162744522095
900000,539.21826171875,-35732.130732109996,2422,6319,-2313.786376953125,0.0064,142,224974,476.74,2.9363551139831543,0.6438223123550415
910000,889.3807983398438,-68731.72776411999,2453,6393,-4562.3935546875,0.0064,142,227474,491.25,21.927631378173828,-6.716691017150879
920000,518.3922119140625,-55269.735316850005,2495,6467,-2353.322509765625,0.0064,142,229974,332.72,7.89816427230835,0.630223274230957
930000,256.36468505859375,-44848.204899899996,2514,6541,-743.0510864257812,0.0064,142,232474,387.78,3.507030487060547,-1.7295078039169312
940000,169.46043395996094,-41018.89061813,2525,6616,-77.52266693115234,0.0064,142,234974,381.94,6.225565433502197,0.13882729411125183
950000,153.71292114257812,-46287.547265329995,2538,6690,211.8956298828125,0.0064,142,237474,462.28,4.091453552246094,-0.9391777515411377
960000,446.5736389160156,40733.53596912,2614,6764,283.3049621582031,0.0064,141,239974,294.03,4.489098072052002,1.8196730613708496
970000,421.5013122558594,48768.32979945,2635,6838,684.578125,0.0064,141,242474,220.25,4.030994892120361,1.9217138290405273
980000,716.1320190429688,65257.821403890004,2689,6912,721.394775390625,0.0064,141,244974,233.01,5.0424346923828125,0.22895172238349915
990000,610.1295166015625,47055.974203189995,2723,6987,510.57501220703125,0.0064,141,247474,249.97,5.1694135665893555,1.5412310361862183
1000000,243.27679443359375,53957.091129969995,2777,7061,230.15966796875,0.0064,141,249974,196.09,3.484727144241333,-3.5659308433532715
