time/fps,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,train/step_size,train/learning_rate,rollout/return_std,train/delta_std,train/iterations
2481,-40055198.499405,460000,1000.0,185,1.4057986719162585e-10,0.02,17783484.0,0.05,8
2481,-40046099.64737925,470000,1000.0,189,,,,,
2481,-30144124.205535,480000,756.0,193,,,,,
2481,-30109686.23129333,490000,754.75,197,,,,,
2482,-31524784.17301021,500000,789.7857142857143,201,,,,,
2482,-20058825.073225,510000,503.0,205,1.5664571029194718e-10,0.02,15959580.0,0.05,9
2482,-29973759.588689752,520000,751.5,209,,,,,
2482,-34247248.493456714,530000,858.0,213,,,,,
2482,-35518481.44048188,540000,889.5555555555555,217,,,,,
2482,-36639281.20713549,550000,917.1666666666666,221,,,,,
2483,-37103159.28544142,560000,929.0,225,,,,,
2483,-40014694.305284,570000,1000.0,229,2.5134030967599585e-10,0.02,9946673.0,0.05,10
2483,-39964296.34412867,580000,1000.0,233,,,,,
2483,-34292888.99673057,590000,858.7142857142857,237,,,,,
2483,-32018354.8745071,600000,801.8,241,,,,,
2483,-31445795.435094792,610000,787.5,245,,,,,
2483,,620000,,249,1.5578040246655434e-10,0.02,16048231.0,0.05,11
2483,-20159430.122570753,630000,507.5,253,,,,,
2483,-22308055.64575222,640000,561.6666666666666,257,,,,,
2483,-23407840.844423577,650000,589.0,261,,,,,
2484,-26738754.965950195,660000,671.2,265,,,,,
2484,-6808057.885289001,670000,174.5,269,1.3145487476329265e-10,0.02,19017932.0,0.05,12
2484,-16126355.4918166,680000,407.4,273,,,,,
2484,-18582200.18548977,690000,468.15384615384613,277,,,,,
2484,,700000,,281,1.2299262996950944e-10,0.02,20326422.0,0.05,13
2484,-39973919.316911995,710000,1000.0,285,,,,,
2483,-20147575.2794007,720000,505.2,289,,,,,
2483,-23453306.877557587,730000,587.6666666666666,293,,,,,
2483,-26764973.6094168,740000,670.1333333333333,297,,,,,
2483,-13439927.576187998,750000,338.0,301,1.3114645480705178e-10,0.02,19062658.0,0.05,14
2484,-17968401.324024998,760000,451.55555555555554,305,,,,,
2484,-21974733.050504453,770000,551.2727272727273,309,,,,,
2484,-8156899.538501901,780000,207.5,313,1.2281146932746623e-10,0.02,20356404.0,0.05,15
2485,-11595070.75565593,790000,293.5,317,,,,,
2485,-13386667.135678334,800000,341.6666666666667,321,1.2594753018291271e-10,0.02,19849536.0,0.05,16
2485,-24086474.1224244,810000,605.0,325,,,,,
2485,-30093962.913397502,820000,753.125,329,,,,,
2485,-26779615.313973,830000,670.3333333333334,333,,,,,
2485,,840000,,337,1.3117035235765684e-10,0.02,19059184.0,0.05,17
2485,-20118732.342974253,850000,503.75,341,,,,,
2485,-22316885.713302556,860000,559.3333333333334,345,,,,,
2485,-25544510.436442092,870000,639.4545454545455,349,,,,,
2486,-25776852.95499136,880000,645.7857142857143,353,,,,,
2486,-40015367.988799,890000,1000.0,357,1.3125345255105003e-10,0.02,19047118.0,0.05,18
2486,-30055065.128041252,900000,755.75,361,,,,,
2487,-21947260.771208182,910000,551.0,365,,,,,
2487,-22962085.060221575,920000,576.3571428571429,369,,,,,
2487,-39891369.605363,930000,1000.0,373,1.258095294609518e-10,0.02,19871308.0,0.05,19
2487,-39983539.548507996,940000,1000.0,377,,,,,
2487,-34323846.57601043,950000,858.0,381,,,,,
2487,-32071899.512681104,960000,801.3,385,,,,,
2487,-29416020.17936347,970000,735.9333333333333,389,,,,,
2488,-20034864.279108502,980000,503.5,393,1.402848115450439e-10,0.02,17820888.0,0.05,20
2488,-26722043.587530002,990000,669.1666666666666,397,,,,,
2488,-21895616.414829455,1000000,548.8181818181819,401,,,,,
