train/entropy_loss,train/std,rollout/ep_len_mean,train/learning_rate,train/policy_loss,train/explained_variance,time/time_elapsed,train/value_loss,time/fps,train/n_updates,rollout/ep_rew_mean,time/total_timesteps
-14.176183700561523,1.1728920936584473,118.42,0.0007,1018.1246948242188,0.0,162,70745.265625,1473,11999,-163082.98680803,240000
-14.147821426391602,1.1687841415405273,25.79,0.0007,-145627.453125,0.0,169,988939584.0,1473,12499,-107659.79772343,250000
-14.061822891235352,1.1581394672393799,42.3,0.0007,-28750.943359375,0.0,176,26433370.0,1472,12999,-128966.29467744,260000
-14.102365493774414,1.162635326385498,58.4,0.0007,-135734.71875,-1.1920928955078125e-07,183,190001904.0,1471,13499,-103855.35008648003,270000
-14.131845474243164,1.1666109561920166,94.8,0.0007,723.7326049804688,-1.1920928955078125e-07,190,194316.125,1471,13999,-163907.04790973,280000
-14.14033317565918,1.1679112911224365,74.5,0.0007,-820312.125,0.0,197,5296921600.0,1471,14499,-119889.75826942001,290000
-14.02525520324707,1.15388822555542,61.21,0.0007,2405.02783203125,0.0,203,369183.6875,1471,14999,-95332.05755655,300000
-14.025251388549805,1.153817057609558,39.6,0.0007,-208748.59375,5.960464477539063e-08,210,1007810752.0,1471,15499,-98894.67703555,310000
-14.180856704711914,1.1749014854431152,40.49,0.0007,-20310.708984375,0.0,217,29844704.0,1471,15999,-137071.9087625,320000
-14.160888671875,1.172674298286438,106.27,0.0007,-1440.819091796875,0.0,224,16237.4189453125,1472,16499,-87783.49872672,330000
-14.242189407348633,1.1829209327697754,173.81,0.0007,147.0307159423828,-1.1920928955078125e-07,230,2939520.5,1472,16999,-110188.23556688002,340000
-14.363908767700195,1.2014024257659912,155.66,0.0007,-6965.22509765625,1.1920928955078125e-07,237,5314863.0,1473,17499,-113240.12197140997,350000
-14.380277633666992,1.2018176317214966,75.37,0.0007,-9032.123046875,0.0,244,34435304.0,1473,17999,-128548.81863602,360000
-14.40339469909668,1.2049806118011475,143.51,0.0007,-1586.175048828125,0.0,250,14642.5986328125,1474,18499,-167254.66278865,370000
-14.380796432495117,1.20182204246521,77.86,0.0007,-5629.53955078125,0.0,257,4405868.0,1475,18999,-82770.54209053998,380000
-14.480642318725586,1.2152467966079712,81.44,0.0007,20415.546875,0.0,264,6337110.0,1476,19499,-116570.5810778,390000
-14.524873733520508,1.2208296060562134,76.5,0.0007,-1170.358642578125,1.1920928955078125e-07,270,8017.07177734375,1476,19999,-95831.93370665,400000
-14.551095962524414,1.2246342897415161,34.89,0.0007,1786.003662109375,5.960464477539063e-08,277,6078017.5,1477,20499,-102656.0582797,410000
-14.629415512084961,1.2365614175796509,26.74,0.0007,-131472.65625,-1.1920928955078125e-07,284,991161664.0,1476,20999,-96045.29392624999,420000
-14.62169075012207,1.2369195222854614,22.6,0.0007,-275689.6875,0.0,291,1951065472.0,1475,21499,-103092.82778259,430000
-14.739507675170898,1.2517666816711426,40.0,0.0007,-265841.5,0.0,298,1469903232.0,1474,21999,-128664.01177293001,440000
-14.807561874389648,1.26309335231781,36.68,0.0007,19320.71484375,0.0,305,6186123.0,1473,22499,-95937.08857774001,450000
-14.780363082885742,1.257720708847046,41.97,0.0007,-119907.5625,0.0,312,200466672.0,1473,22999,-83172.34370932,460000
-14.816099166870117,1.2635095119476318,36.67,0.0007,-145948.15625,0.0,318,336226176.0,1473,23499,-127992.48819568001,470000
-14.819986343383789,1.2636007070541382,26.45,0.0007,-727090.0,-1.1920928955078125e-07,325,3517556736.0,1473,23999,-102325.46071180001,480000
-14.792203903198242,1.2607967853546143,56.22,0.0007,-140234.34375,0.0,332,979464896.0,1473,24499,-127344.11017061,490000
-14.742013931274414,1.2535817623138428,116.53,0.0007,-43745.4765625,0.0,338,25000330.0,1474,24999,-172671.95355762,500000
-14.784753799438477,1.2598422765731812,175.5,0.0007,-59876.4296875,0.0,345,71519552.0,1476,25499,-206524.31530305996,510000
-14.854475021362305,1.2708237171173096,156.44,0.0007,-280794.09375,-1.1920928955078125e-07,351,787726144.0,1477,25999,-498551.66066366003,520000
-14.819453239440918,1.2674880027770996,141.32,0.0007,-34823.8359375,0.0,358,25209340.0,1479,26499,-546738.54561342,530000
-14.736659049987793,1.2536433935165405,56.36,0.0007,-121543.7109375,-1.1920928955078125e-07,364,985163136.0,1480,26999,-98168.31404874,540000
-14.81171989440918,1.2645888328552246,128.4,0.0007,-1797.988037109375,0.0,371,18113.0546875,1481,27499,-112979.78419323,550000
-14.824518203735352,1.2656712532043457,160.74,0.0007,24.689380645751953,-1.1920928955078125e-07,377,69892.5234375,1482,27999,-115060.29928708001,560000
-14.842341423034668,1.2691742181777954,126.76,0.0007,-8954.10546875,0.0,384,5310962.0,1483,28499,-113625.87438332001,570000
-14.868314743041992,1.2729835510253906,32.11,0.0007,-178835.84375,0.0,390,1459663488.0,1484,28999,-101509.02879378,580000
-14.89451789855957,1.2758723497390747,107.5,0.0007,-456395.6875,5.960464477539063e-08,397,2891906048.0,1484,29499,-112609.01206260001,590000
-14.859189987182617,1.2723686695098877,24.64,0.0007,-503222.09375,0.0,404,2729715200.0,1484,29999,-160086.0244456,600000
-14.960245132446289,1.2856106758117676,60.03,0.0007,3415.975341796875,1.7881393432617188e-07,410,10906350.0,1485,30499,-97704.83124135002,610000
-14.864091873168945,1.2736035585403442,83.39,0.0007,-1222.4896240234375,-2.384185791015625e-07,417,10124.396484375,1486,30999,-100842.64310201998,620000
-14.900728225708008,1.2789340019226074,108.42,0.0007,14140.7138671875,0.0,423,7168004.0,1486,31499,-157938.97500766,630000
-14.84730052947998,1.2709914445877075,65.2,0.0007,-10059.8232421875,0.0,430,28354100.0,1486,31999,-101509.17762245,640000
-14.956178665161133,1.2855762243270874,86.61,0.0007,-375872.71875,-1.1920928955078125e-07,437,2366644736.0,1487,32499,-173954.63216232,650000
-14.944211959838867,1.2841516733169556,160.79,0.0007,-207958.171875,0.0,443,1448014592.0,1487,32999,-187293.25691891,660000
-15.01356315612793,1.2937411069869995,166.31,0.0007,1763.2373046875,1.1920928955078125e-07,450,145515.71875,1488,33499,-160063.89169397,670000
-15.080316543579102,1.303783893585205,228.62,0.0007,-9162.818359375,0.0,456,3398307.25,1489,33999,-171905.34253145996,680000
-15.11949348449707,1.3098983764648438,289.53,0.0007,-2530.00146484375,5.960464477539063e-08,462,42053.0390625,1490,34499,-182194.75948216996,690000
-15.181913375854492,1.3186960220336914,364.58,0.0007,-2623.379150390625,0.0,469,47017.80859375,1491,34999,-216660.28593095005,700000
-15.207883834838867,1.3235706090927124,379.77,0.0007,-2340.0068359375,1.1920928955078125e-07,475,47507.8984375,1492,35499,-203469.84318131,710000
-15.206222534179688,1.3224753141403198,342.15,0.0007,1223.757568359375,0.0,482,160943.71875,1493,35999,-188205.92383953,720000
-15.26255989074707,1.330985426902771,90.9,0.0007,17735.09375,0.0,488,2581503.5,1493,36499,-126543.94419939,730000
-15.288679122924805,1.3337535858154297,101.41,0.0007,-135897.3125,1.1920928955078125e-07,495,255071952.0,1494,36999,-187166.23157985997,740000
-15.336088180541992,1.3421515226364136,99.68,0.0007,-367773.21875,1.7881393432617188e-07,501,861887296.0,1494,37499,-171246.31253642,750000
-15.345579147338867,1.3449395895004272,49.35,0.0007,828.0407104492188,0.0,508,108618.3515625,1493,37999,-148171.00570105002,760000
-15.342126846313477,1.3442085981369019,50.02,0.0007,-340583.4375,1.1920928955078125e-07,515,2331564032.0,1493,38499,-94591.48446929001,770000
-15.412408828735352,1.3545989990234375,64.94,0.0007,-84156.6875,1.1920928955078125e-07,522,90217264.0,1493,38999,-130905.26628394,780000
-15.475723266601562,1.3670905828475952,137.55,0.0007,-148139.5,2.384185791015625e-07,528,1074152192.0,1493,39499,-178460.88071258005,790000
-15.470735549926758,1.3653587102890015,201.92,0.0007,-27058.802734375,5.960464477539063e-08,535,50560956.0,1493,39999,-262454.46607377,800000
-15.525588989257812,1.3739478588104248,74.22,0.0007,130989.5,-2.384185791015625e-07,542,1042276160.0,1492,40499,-80619.46471616,810000
-15.57185173034668,1.3814187049865723,76.52,0.0007,-4592.896484375,0.0,549,3035190.0,1492,40999,-117930.65669891,820000
-15.585969924926758,1.3831511735916138,103.73,0.0007,81788.75,0.0,556,38009128.0,1492,41499,-34082.35829624,830000
-15.629213333129883,1.3920331001281738,132.06,0.0007,-177155.734375,-1.1920928955078125e-07,562,139346224.0,1492,41999,-69102.28030888,840000
-15.67430305480957,1.3992376327514648,65.06,0.0007,-489455.09375,-2.384185791015625e-07,569,2968494848.0,1492,42499,-189432.38825179002,850000
-15.677215576171875,1.4000048637390137,37.59,0.0007,-3075.1259765625,5.960464477539063e-08,576,48834.35546875,1492,42999,-127669.0723887,860000
-15.674409866333008,1.4000577926635742,96.47,0.0007,-906.4352416992188,5.960464477539063e-08,582,5192.33837890625,1492,43499,-126577.41929585,870000
-15.681440353393555,1.4003405570983887,133.15,0.0007,-2012.5335693359375,-1.1920928955078125e-07,589,26669.384765625,1492,43999,-121486.18116000999,880000
-15.732183456420898,1.4100514650344849,208.03,0.0007,-1686.815185546875,1.1920928955078125e-07,595,20316.248046875,1493,44499,-130975.86131718001,890000
-15.827657699584961,1.4258806705474854,26.86,0.0007,-24849.712890625,-1.1920928955078125e-07,602,15212531.0,1494,44999,-103545.42213009,900000
-15.763830184936523,1.4156279563903809,129.49,0.0007,-3128.593994140625,0.0,608,1483913.375,1494,45499,-154514.45776467,910000
-15.758291244506836,1.4161107540130615,153.21,0.0007,-1738.504150390625,0.0,615,18513.525390625,1495,45999,-88815.15505862999,920000
-15.73579216003418,1.4100799560546875,161.73,0.0007,-964.45947265625,1.7881393432617188e-07,621,4858.80126953125,1495,46499,-141102.62699672,930000
-15.818002700805664,1.4228774309158325,211.82,0.0007,1988.3941650390625,5.960464477539063e-08,628,16428317.0,1495,46999,-211916.99420775997,940000
-15.836950302124023,1.4272918701171875,201.1,0.0007,-93606.453125,5.960464477539063e-08,635,80774104.0,1495,47499,-163704.4242626,950000
-15.889955520629883,1.4351811408996582,28.97,0.0007,-474216.9375,5.960464477539063e-08,641,2858925824.0,1495,47999,-104765.00978072,960000
-15.873458862304688,1.4344297647476196,58.71,0.0007,-12554.3505859375,0.0,648,19087672.0,1495,48499,-69200.27647643,970000
-15.898408889770508,1.4384942054748535,56.71,0.0007,-47188.48828125,0.0,655,55279000.0,1495,48999,-71079.29265261,980000
-15.916116714477539,1.4424067735671997,74.06,0.0007,4246.890625,0.0,662,236916.828125,1495,49499,-23615.104391740002,990000
-15.902175903320312,1.4418226480484009,88.95,0.0007,-1533.547119140625,5.960464477539063e-08,668,13727.087890625,1495,49999,-154239.43241552002,1000000
