train/policy_gradient_loss,train/approx_kl,train/loss,train/explained_variance,time/time_elapsed,train/clip_range,time/total_timesteps,train/value_loss,train/entropy_loss,train/learning_rate,train/n_updates,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,train/std,train/clip_fraction
-0.0002942462440842064,5.4095763e-05,35750502400.0,-2.384185791015625e-07,368,0.2,300000,78458788592.0,-21.2810526907444,0.0003,360,-476312.90890737006,814,17.03,0.9998273849487305,0.0
-0.0003434417712924187,7.370652e-05,37611876352.0,0.0,379,0.2,310000,84348558582.4,-21.281034442782403,0.0003,370,-532394.5999235701,817,19.15,0.9997691512107849,0.0
-0.0003865650481202465,7.51631e-05,50379259904.0,0.0,395,0.2,320000,87116131558.4,-21.281445683538912,0.0003,390,-630131.53983003,810,23.25,0.9998226165771484,0.0
-0.0004860888366238214,0.000101531456,44413227008.0,5.960464477539063e-08,406,0.2,330000,85062296406.4,-21.280916517972948,0.0003,400,-455976.41622205003,812,16.25,0.9997552037239075,0.0
-0.0005527728077140637,0.00012441524,38292758528.0,-1.1920928955078125e-07,417,0.2,340000,76747333894.4,-21.2803500816226,0.0003,410,-537707.7738647499,814,19.89,0.9997492432594299,0.0
-0.0008005597635929007,0.00019738715,37132918784.0,0.0,428,0.2,350000,73859062787.2,-21.280835799872875,0.0003,420,-623704.00822902,817,22.59,0.9998194575309753,0.0
-0.00021557759337156312,4.0707215e-05,46900547584.0,-1.1920928955078125e-07,439,0.2,360000,92542925244.8,-21.281232899427415,0.0003,430,-572793.5838622601,819,21.11,0.9998019933700562,0.0
-0.000431214857417217,9.283283e-05,36919345152.0,0.0,454,0.2,370000,77144305590.4,-21.28152657598257,0.0003,450,-468984.12700743007,813,16.67,0.9998396039009094,0.0
-0.0002813771370711038,6.121914e-05,38969425920.0,0.0,465,0.2,380000,81387890838.4,-21.281783634424208,0.0003,460,-523955.4192185,815,18.96,0.999857485294342,0.0
-0.00023316049482673406,3.7397513e-05,59892932608.0,-1.1920928955078125e-07,476,0.2,390000,94090727676.8,-21.2813784763217,0.0003,470,-498194.3078718,818,17.63,0.9997833967208862,0.0
-0.00048078200015879704,9.521874e-05,44691832832.0,0.0,487,0.2,400000,78987597596.8,-21.280477970838547,0.0003,480,-424187.24549662997,819,14.95,0.9997394680976868,0.0
-0.0003449252781138057,6.9670685e-05,41989804032.0,-1.1920928955078125e-07,503,0.2,410000,82968876908.8,-21.279487666487693,0.0003,500,-522682.0555296799,814,18.61,0.9996622800827026,0.0
-0.00039021406819301775,8.503177e-05,39825129472.0,1.7881393432617188e-07,514,0.2,420000,77684118713.6,-21.278635130822657,0.0003,510,-695722.1076892898,816,25.54,0.999614953994751,0.0
