time/time_elapsed,time/total_timesteps,train/ent_coef,rollout/ep_rew_mean,time/fps,train/learning_rate,train/critic_loss,time/episodes,train/actor_loss,rollout/ep_len_mean,train/ent_coef_loss,train/n_updates
4160,580000,18.39982795715332,-175170.1072877,139,0.0064,1184.2886962890625,23198,108750.515625,10.16,-3.590074062347412,144974
4240,590000,19.305206298828125,-226329.24148044002,139,0.0064,1432.646728515625,24121,111113.2109375,14.24,-3.718837022781372,147474
4320,600000,18.034154891967773,-146175.97083432,138,0.0064,1508.4217529296875,25423,110890.625,7.19,3.689652442932129,149974
4401,610000,17.62969207763672,-159032.47565656004,138,0.0064,1675.053955078125,26717,110234.6015625,8.26,-2.513396978378296,152474
4482,620000,17.61249351501465,-148662.73302882002,138,0.0064,1676.3411865234375,28128,111857.171875,7.21,-5.702669620513916,154974
4562,630000,15.67325496673584,-144843.11407046,138,0.0064,1797.6776123046875,29620,111619.328125,6.98,-4.996032238006592,157474
4644,640000,16.845460891723633,-168327.89777679,137,0.0064,1451.7362060546875,30938,110108.390625,9.32,-1.0810227394104004,159974
4725,650000,14.455530166625977,-189016.56999535003,137,0.0064,1741.0399169921875,32007,112451.984375,11.37,-1.3820503950119019,162474
4806,660000,13.095232009887695,-136828.29764493,137,0.0064,1590.81591796875,33247,110168.2265625,6.2,0.7068636417388916,164974
4888,670000,13.841584205627441,-136947.60846845998,137,0.0064,1787.141357421875,34573,110666.578125,6.23,-3.387577533721924,167474
4970,680000,13.225542068481445,-143336.10176725002,136,0.0064,1324.917236328125,35987,108268.9765625,6.84,-2.8711063861846924,169974
5051,690000,12.852995872497559,-177194.65613763,136,0.0064,1502.2740478515625,37364,109505.953125,9.61,-0.03696683049201965,172474
5132,700000,12.833285331726074,-138837.66560642002,136,0.0064,1538.846435546875,38809,110983.921875,6.43,-3.809138298034668,174974
5212,710000,11.477262496948242,-139943.65392076,136,0.0064,1329.49755859375,40322,108266.34375,6.55,-0.2249828279018402,177474
5292,720000,11.470416069030762,-136941.26435538998,136,0.0064,1121.5958251953125,41791,107202.90625,6.24,1.7436598539352417,179974
5372,730000,10.85610580444336,-148296.99987795,135,0.0064,1036.255615234375,43157,106460.1328125,7.32,-0.9015833139419556,182474
5453,740000,11.766473770141602,-144499.37658150998,135,0.0064,951.97216796875,44536,106316.3125,6.93,-1.1523990631103516,184974
5537,750000,11.715692520141602,-139571.39569126,135,0.0064,903.0067138671875,46098,105885.46875,6.46,-10.685748100280762,187474
5619,760000,9.315570831298828,-139000.56853838,135,0.0064,678.0225219726562,47670,103984.6875,6.37,0.8900721073150635,189974
5701,770000,9.582396507263184,-137036.32108793,135,0.0064,713.8514404296875,49254,104490.5625,6.23,1.702394962310791,192474
5782,780000,10.721760749816895,-137334.94942467997,134,0.0064,694.2041015625,50835,104359.1875,6.23,2.996626615524292,194974
5864,790000,9.429174423217773,-136146.73264124998,134,0.0064,836.2488403320312,52298,104526.4296875,6.15,3.5110583305358887,197474
5946,800000,8.579289436340332,-139139.30446184,134,0.0064,838.1361694335938,53788,104264.2421875,6.46,3.256610870361328,199974
6029,810000,8.560994148254395,-164526.40116247998,134,0.0064,825.9193725585938,55076,104727.4609375,8.71,2.340020179748535,202474
6109,820000,11.876896858215332,-152910.14822623,134,0.0064,1202.1927490234375,56373,106802.9140625,7.81,-16.07518196105957,204974
6189,830000,11.976134300231934,-144582.15525394,134,0.0064,966.5354614257812,57846,105658.8125,7.02,1.021564245223999,207474
6272,840000,10.190043449401855,-136568.77776386,133,0.0064,792.840087890625,59353,105241.09375,6.2,2.0892727375030518,209974
6354,850000,9.57784652709961,-140507.97541264,133,0.0064,963.165771484375,60894,106464.3125,6.54,0.5015769600868225,212474
6435,860000,11.917950630187988,-139719.01248796002,133,0.0064,902.15380859375,62488,105227.8828125,6.43,3.285818338394165,214974
6515,870000,8.517580032348633,-135646.40791802004,133,0.0064,843.7771606445312,64095,104986.828125,6.08,-4.7418532371521,217474
6597,880000,7.080924034118652,-134520.02858137,133,0.0064,592.0147705078125,65698,103304.140625,6.0,0.7727664709091187,219974
6676,890000,6.477965831756592,-146182.02226024997,133,0.0064,405.4210510253906,67185,102565.8671875,7.15,0.6716192960739136,222474
6756,900000,6.490011215209961,-144981.08785154,133,0.0064,562.7044677734375,68502,103423.9375,7.04,3.7571849822998047,224974
6836,910000,8.220098495483398,-147888.35443614,133,0.0064,1030.7982177734375,69923,104672.6015625,7.24,2.825066566467285,227474
6915,920000,8.411532402038574,-137581.28956192,133,0.0064,832.32177734375,71247,106249.6875,6.29,0.9856637716293335,229974
6995,930000,8.03930950164795,-134853.35945611,132,0.0064,576.7686157226562,72829,104663.765625,6.01,2.2082479000091553,232474
7074,940000,7.724684238433838,-143636.47583396,132,0.0064,768.30126953125,74409,105557.2734375,6.76,-1.231674075126648,234974
7154,950000,7.599100589752197,-137611.11070227,132,0.0064,575.3206787109375,76020,103686.125,6.3,4.776264667510986,237474
7232,960000,7.464906215667725,-135126.49454375,132,0.0064,660.8544311523438,77616,105089.0703125,6.06,-1.3971748352050781,239974
7310,970000,6.788444995880127,-134473.27325841,132,0.0064,425.8000183105469,79239,103486.171875,6.0,2.071671962738037,242474
7390,980000,5.1480937004089355,-135654.09045402,132,0.0064,371.5599365234375,80786,103454.0703125,6.11,-0.24717538058757782,244974
7469,990000,5.151427745819092,-196032.23430545005,132,0.0064,491.6534729003906,82217,103084.796875,11.88,-0.4217582941055298,247474
7547,1000000,6.764925003051758,-140329.22970978002,132,0.0064,885.8705444335938,83529,105617.7265625,6.57,-1.5912153720855713,249974
