train/n_updates,rollout/ep_rew_mean,train/explained_variance,train/entropy_loss,time/total_timesteps,rollout/ep_len_mean,train/learning_rate,time/fps,time/time_elapsed,train/std,train/policy_loss,train/value_loss
15499,-1214056.5891920598,0.0,-19.023157119750977,310000,67.77,0.0007,853,363,1.1841113567352295,-816133.0625,2466807296.0
15999,-819062.85382229,0.0,-19.122220993041992,320000,46.1,0.0007,853,375,1.1939302682876587,-830354.125,2408848384.0
16499,-571864.30895815,5.960464477539063e-08,-19.195175170898438,330000,31.43,0.0007,853,386,1.2017806768417358,-682164.875,1670861440.0
16999,-1542567.7101740902,-1.1920928955078125e-07,-19.337005615234375,340000,83.04,0.0007,852,398,1.2156733274459839,-580707.125,2354151424.0
17499,-587564.83117717,-1.1920928955078125e-07,-19.4451904296875,350000,35.89,0.0007,853,410,1.2263754606246948,-958934.875,3076796672.0
17999,-903162.41500274,0.0,-19.57237434387207,360000,54.31,0.0007,852,422,1.2397493124008179,-1036254.1875,3300077056.0
18499,-600769.02758175,-1.1920928955078125e-07,-19.644359588623047,370000,38.69,0.0007,852,434,1.2474480867385864,-849334.5,2579133440.0
18999,-627866.79675208,0.0,-19.75389289855957,380000,39.43,0.0007,852,445,1.2585269212722778,-1447943.5,6786334720.0
19499,-615812.86659061,-2.384185791015625e-07,-19.765487670898438,390000,40.34,0.0007,852,457,1.2604880332946777,-885495.0,2677408256.0
19999,-736848.4279421099,0.0,-19.859357833862305,400000,48.67,0.0007,852,469,1.2708603143692017,-856406.5,2418326016.0
20499,-1004837.9007401101,5.960464477539063e-08,-20.018218994140625,410000,60.04,0.0007,852,481,1.2878506183624268,-1376479.75,5432942592.0
20999,-749831.66460012,-1.1920928955078125e-07,-20.070743560791016,420000,49.21,0.0007,851,493,1.2937880754470825,-867048.375,2286448128.0
21499,-760623.0365396701,5.960464477539063e-08,-20.04350471496582,430000,48.1,0.0007,852,504,1.2907830476760864,-834379.5,2486630912.0
21999,-747834.1672850901,0.0,-20.047456741333008,440000,44.83,0.0007,852,516,1.2922574281692505,-949173.875,2870587648.0
22499,-980319.1204242599,0.0,-20.14091682434082,450000,56.13,0.0007,852,527,1.3010660409927368,-970225.5,2976822784.0
22999,-803116.90840862,0.0,-20.11965560913086,460000,47.35,0.0007,852,539,1.2994986772537231,-831757.375,2236753920.0
23499,-681350.0050244598,0.0,-20.160783767700195,470000,42.06,0.0007,853,550,1.3036125898361206,-849294.8125,2115700480.0
23999,-761685.99412993,0.0,-20.351200103759766,480000,52.37,0.0007,853,562,1.3240896463394165,-1141082.0,4756702208.0
24499,-688889.81189143,0.0,-20.446107864379883,490000,41.47,0.0007,853,574,1.3344305753707886,-700115.875,1497925504.0
24999,-922432.91398613,5.960464477539063e-08,-20.586912155151367,500000,61.75,0.0007,853,585,1.350518822669983,-980215.375,3014184448.0
25499,-674911.02122972,0.0,-20.641996383666992,510000,44.76,0.0007,854,597,1.3571081161499023,-871407.6875,2375632128.0
25999,-783649.8396435401,0.0,-20.597318649291992,520000,50.31,0.0007,854,608,1.3525186777114868,-676300.125,1363450240.0
26499,-552999.27618098,0.0,-20.622772216796875,530000,37.23,0.0007,854,620,1.3564834594726562,-683211.125,1438017664.0
26999,-765089.05125984,0.0,-20.6500186920166,540000,44.62,0.0007,854,631,1.3602021932601929,-1048187.8125,3551717888.0
27499,-709150.70174329,0.0,-20.664037704467773,550000,45.01,0.0007,855,643,1.3623298406600952,-733390.8125,1645149312.0
27999,-835848.6918691301,0.0,-20.81180191040039,560000,51.66,0.0007,855,654,1.3796182870864868,-779200.125,1879669760.0
28499,-777136.24618314,5.960464477539063e-08,-20.87620735168457,570000,49.68,0.0007,855,666,1.3852239847183228,-1146521.875,3359867392.0
28999,-657021.3950389699,0.0,-20.85565185546875,580000,35.44,0.0007,855,677,1.3840492963790894,-1235302.75,4865774080.0
29499,-817613.8241273299,0.0,-20.943544387817383,590000,49.69,0.0007,856,689,1.3937654495239258,-791542.0,1806100736.0
29999,-713010.9676033001,0.0,-21.019350051879883,600000,44.15,0.0007,856,700,1.4028291702270508,-910924.625,2502931712.0
30499,-872784.7946586102,0.0,-21.039691925048828,610000,57.72,0.0007,855,712,1.4045878648757935,-989370.625,2467363840.0
30999,-991919.56332508,0.0,-21.12409019470215,620000,62.64,0.0007,855,724,1.4155240058898926,-1056890.5,2873963264.0
31499,-646358.3236258901,0.0,-21.114534378051758,630000,41.15,0.0007,856,735,1.4144655466079712,-885308.8125,2482264832.0
31999,-796295.4621233,1.1920928955078125e-07,-21.31161880493164,640000,47.8,0.0007,856,747,1.4372836351394653,-757704.75,1619611392.0
32499,-983629.6862744001,5.960464477539063e-08,-21.39455795288086,650000,61.98,0.0007,856,758,1.4470725059509277,-668240.625,1234376960.0
32999,-645234.7549175001,1.7881393432617188e-07,-21.542728424072266,660000,41.7,0.0007,856,770,1.4648733139038086,-790409.125,1788063104.0
33499,-788957.18788651,0.0,-21.578643798828125,670000,50.89,0.0007,856,781,1.4698680639266968,-1256877.875,5294608384.0
33999,-641720.5765879499,0.0,-21.666339874267578,680000,43.0,0.0007,856,793,1.4789408445358276,-897019.125,2181053952.0
34499,-920064.32231379,-1.1920928955078125e-07,-21.793773651123047,690000,57.6,0.0007,857,805,1.495092511177063,-886283.8125,2150030848.0
34999,-912093.82046541,0.0,-21.8480224609375,700000,48.02,0.0007,857,816,1.5025757551193237,-1353204.625,5251501056.0
35499,-879330.5256323,1.1920928955078125e-07,-21.883777618408203,710000,56.45,0.0007,857,828,1.5078301429748535,-917991.875,2359398400.0
35999,-738854.48607484,0.0,-21.89173698425293,720000,48.89,0.0007,857,839,1.509088397026062,-897786.875,2453884416.0
36499,-981296.6412611901,-1.1920928955078125e-07,-21.96269416809082,730000,57.75,0.0007,857,850,1.5184626579284668,-1143562.75,3499185664.0
36999,-709646.9650438001,0.0,-22.11690902709961,740000,45.05,0.0007,858,862,1.5378364324569702,-1297336.25,5265768960.0
37499,-699059.7044480101,1.7881393432617188e-07,-22.207075119018555,750000,45.65,0.0007,858,873,1.5494111776351929,-1066553.375,3289842176.0
37999,-1117749.8518244599,0.0,-22.32496452331543,760000,64.45,0.0007,858,885,1.5650354623794556,-944749.625,2242532864.0
38499,-810271.0936509301,0.0,-22.448680877685547,770000,49.85,0.0007,858,896,1.5818034410476685,-1169049.375,4053555712.0
38999,-702223.8198906298,0.0,-22.41131591796875,780000,46.29,0.0007,858,908,1.5774728059768677,-802820.625,1879983104.0
39499,-776696.2717166999,0.0,-22.518888473510742,790000,51.07,0.0007,859,919,1.5922375917434692,-748271.0,1509650176.0
39999,-1012007.43493922,-2.384185791015625e-07,-22.537235260009766,800000,61.25,0.0007,859,930,1.594990611076355,-983837.1875,2691846912.0
40499,-703751.6405644699,2.980232238769531e-07,-22.641054153442383,810000,46.68,0.0007,859,942,1.606345295906067,-894846.6875,1788259712.0
40999,-948372.63639852,0.0,-22.82298469543457,820000,59.16,0.0007,860,953,1.6323152780532837,-1509894.5,5847909888.0
41499,-1195110.53608183,0.0,-22.905515670776367,830000,73.62,0.0007,860,964,1.642648696899414,-1073258.75,3011558144.0
41999,-967733.6917157401,0.0,-22.897523880004883,840000,59.29,0.0007,861,975,1.6418513059616089,-1424520.375,5494998528.0
42499,-885948.0493098999,0.0,-23.012250900268555,850000,52.49,0.0007,861,986,1.657326340675354,-1078532.25,3334886656.0
42999,-874062.0704061303,0.0,-23.1385440826416,860000,54.57,0.0007,861,997,1.6750516891479492,-1224728.25,4506094592.0
43499,-813452.2921542701,0.0,-23.246828079223633,870000,50.29,0.0007,862,1008,1.689888596534729,-1257589.25,4799644672.0
43999,-543637.4638904401,0.0,-23.295394897460938,880000,33.11,0.0007,863,1019,1.697594165802002,-1454037.0,6368061440.0
44499,-924211.8611605099,0.0,-23.382343292236328,890000,59.6,0.0007,863,1030,1.7097148895263672,-852666.5,1812548352.0
44999,-927806.7628226,0.0,-23.41273307800293,900000,53.59,0.0007,864,1041,1.7145252227783203,-1161542.5,2897666816.0
45499,-750153.97246695,0.0,-23.513891220092773,910000,47.85,0.0007,864,1052,1.727785587310791,-1238707.25,3251158784.0
45999,-634850.93195173,-1.1920928955078125e-07,-23.488481521606445,920000,41.01,0.0007,865,1063,1.7249921560287476,-1356299.125,4704029184.0
46499,-579413.29421693,-1.1920928955078125e-07,-23.53950309753418,930000,31.57,0.0007,865,1074,1.731819748878479,-1862730.375,8282650112.0
46999,-546745.25599721,1.1920928955078125e-07,-23.543561935424805,940000,31.28,0.0007,865,1086,1.7324925661087036,-1676814.75,6916532736.0
47499,-619979.13546305,2.384185791015625e-07,-23.64702033996582,950000,33.18,0.0007,865,1097,1.7471485137939453,-2122000.0,9128925184.0
47999,-823777.2459988002,1.7881393432617188e-07,-23.730497360229492,960000,43.56,0.0007,866,1108,1.7607187032699585,-1323163.75,4118255104.0
48499,-645938.84577936,5.960464477539063e-08,-23.832977294921875,970000,41.74,0.0007,866,1119,1.7753320932388306,-1237110.125,3380940032.0
48999,-952374.6479594,0.0,-23.877660751342773,980000,62.85,0.0007,866,1130,1.7812480926513672,-1252041.125,3666717952.0
49499,-782622.28298132,1.7881393432617188e-07,-23.893762588500977,990000,52.3,0.0007,867,1141,1.7832764387130737,-1846325.0,7232224256.0
49999,-941654.05638736,5.960464477539063e-08,-24.037628173828125,1000000,60.09,0.0007,867,1152,1.8056317567825317,-1389413.0,5422605312.0
