time/total_timesteps,train/n_updates,time/fps,train/ent_coef,rollout/ep_rew_mean,train/critic_loss,train/actor_loss,train/learning_rate,time/time_elapsed,train/ent_coef_loss,rollout/ep_len_mean,time/episodes
750000,187474,120,7.9964494705200195,53554.51039226999,254.40103149414062,-83043.6171875,0.0064,6231,0.29043048620224,15.59,40664
760000,189974,120,11.258036613464355,129352.12620301999,842.017333984375,-79751.8828125,0.0064,6323,-5.935734272003174,14.05,41359
770000,192474,120,14.37840461730957,128273.83197773,768.1383666992188,-80691.3515625,0.0064,6415,-2.786280870437622,13.65,42006
780000,194974,119,15.868240356445312,128378.75315338999,910.3624877929688,-79199.1796875,0.0064,6508,-7.895240306854248,13.72,42731
790000,197474,119,16.711658477783203,113455.02480851,785.3577880859375,-80052.1796875,0.0064,6600,0.8616847991943359,15.16,43452
800000,199974,119,18.970378875732422,121968.69091015,1398.0107421875,-80132.046875,0.0064,6692,3.7497236728668213,13.78,44177
810000,202474,119,20.028364181518555,131603.59218511,1128.52197265625,-79185.4453125,0.0064,6785,0.020563602447509766,13.33,44918
820000,204974,119,17.549907684326172,132710.82256878,746.8907470703125,-82486.8203125,0.0064,6877,4.720104217529297,13.33,45670
830000,207474,119,13.265952110290527,133028.3215584,761.6624755859375,-80966.4296875,0.0064,6969,0.8499953746795654,13.07,46430
840000,209974,118,12.978667259216309,133133.0,518.4296875,-83203.8984375,0.0064,7062,-2.760117530822754,13.07,47193
850000,212474,118,11.132953643798828,130615.58345907,405.3242492675781,-83632.1484375,0.0064,7154,-2.5340919494628906,13.24,47957
860000,214974,118,10.125739097595215,132928.73665576,304.7649841308594,-84028.2578125,0.0064,7246,-0.7615600824356079,13.08,48721
870000,217474,118,9.755644798278809,132116.43444805,271.04791259765625,-82245.28125,0.0064,7338,1.139687418937683,13.11,49465
880000,219974,118,9.774449348449707,129011.07486373,286.6918640136719,-83736.53125,0.0064,7429,2.1991357803344727,13.17,50212
890000,222474,118,8.926400184631348,129295.44186905999,661.341064453125,-83427.0546875,0.0064,7521,1.96451735496521,13.28,50971
900000,224974,118,8.787022590637207,132928.1,264.2341613769531,-82571.9921875,0.0064,7613,-1.3109709024429321,13.06,51720
910000,227474,118,8.949359893798828,132016.93009714,324.8460388183594,-83672.5859375,0.0064,7705,0.971710741519928,13.19,52475
920000,229974,117,9.412121772766113,132716.5,296.9658203125,-82839.0859375,0.0064,7796,3.7080607414245605,13.31,53221
930000,232474,117,10.278301239013672,128186.22649202001,1007.5106811523438,-82651.0703125,0.0064,7888,-0.7902514934539795,13.4,53967
940000,234974,117,10.624767303466797,122885.56298151,343.934814453125,-82701.7421875,0.0064,7980,2.253943920135498,13.44,54719
950000,237474,117,10.362199783325195,133131.1,404.3990478515625,-82876.7109375,0.0064,8071,-3.2376904487609863,13.09,55470
960000,239974,117,10.693675994873047,130205.39976905,478.73260498046875,-82447.9453125,0.0064,8163,-0.6075423359870911,13.17,56201
970000,242474,117,13.68600845336914,120485.53127106,556.6406860351562,-81300.8125,0.0064,8254,3.005976676940918,14.32,56944
980000,244974,117,12.461771965026855,129804.005561,832.913818359375,-81472.125,0.0064,8346,0.03887477517127991,13.29,57688
990000,247474,117,12.485004425048828,130985.47379173999,651.153564453125,-79440.9921875,0.0064,8438,-7.23690938949585,13.14,58436
1000000,249974,117,13.262419700622559,-63659.55931101999,618.4903564453125,-80383.859375,0.0064,8530,2.4771523475646973,18.31,59138
