rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,time/fps,train/delta_std,rollout/return_std,train/iterations,train/step_size,train/learning_rate
917.5833333333334,330000,181,-36448990.40432283,1818,,,,,
929.3571428571429,340000,187,-36946468.52848164,1818,,,,,
1000.0,350000,192,-40088607.012062,1815,0.05,9912470.0,5,2.2698681476085447e-11,0.0018
1000.0,360000,198,-39975612.75852733,1817,,,,,
1000.0,370000,203,-39832903.45622317,1815,,,,,
1000.0,380000,209,-39785568.195655,1815,,,,,
917.75,390000,214,-36498750.720228754,1815,,,,,
929.5,400000,220,-36979923.00472686,1813,,,,,
508.5,410000,225,-19890314.223153498,1815,0.05,9908317.0,6,2.2708194699627704e-11,0.0018
609.4,420000,231,-24030753.0424032,1813,,,,,
676.1111111111111,430000,237,-26722497.81796767,1812,,,,,
674.5,440000,242,-26714604.816789497,1813,,,,,
,450000,248,,1811,0.05,18827798.0,7,1.1950414616213045e-11,0.0018
1000.0,460000,253,-39758814.189393,1813,,,,,
1000.0,470000,259,-39456726.422842994,1812,,,,,
877.875,480000,264,-34698181.63916813,1811,,,,,
911.1818181818181,490000,270,-36090510.1816601,1813,,,,,
924.8461538461538,500000,276,-36696107.77202201,1810,,,,,
,510000,281,,1812,0.05,9858439.0,8,2.2823085435441648e-11,0.0018
1000.0,520000,287,-39574190.009864,1811,,,,,
839.1666666666666,530000,292,-33129492.965997666,1810,,,,,
879.375,540000,298,-34681575.75412675,1811,,,,,
912.2727272727273,550000,303,-36117062.21850118,1809,,,,,
861.0,560000,309,-34085482.04476343,1810,,,,,
505.5,570000,314,-20069000.507221,1810,0.05,13430523.0,9,1.6752883802428897e-11,0.0018
752.75,580000,320,-29822955.64584875,1808,,,,,
858.7142857142857,590000,325,-33784957.36410686,1810,,,,,
802.0,600000,331,-31642222.646200497,1808,,,,,
847.6923076923077,610000,337,-33535585.22224538,1809,,,,,
506.0,620000,342,-20026834.059709,1809,0.05,17582668.0,10,1.2796692525074427e-11,0.0018
506.6666666666667,630000,348,-20032157.804346334,1808,,,,,
553.6363636363636,640000,353,-21928701.963955455,1809,,,,,
622.3076923076923,650000,359,-24658754.055721384,1808,,,,,
,660000,364,,1808,0.05,18905382.0,11,1.1901372248823705e-11,0.0018
672.0,670000,370,-26722791.336798668,1808,,,,,
836.0,680000,376,-33311677.590412498,1807,,,,,
877.0,690000,381,-34949902.01029113,1808,,,,,
910.5454545454545,700000,387,-35407348.422031276,1807,,,,,
924.3076923076923,710000,392,-36086893.89248746,1807,,,,,
,720000,398,,1808,0.05,10032320.0,12,2.242751470649118e-11,0.0018
1000.0,730000,403,-39876249.1520525,1807,,,,,
841.6666666666666,740000,409,-33465498.874408003,1808,,,,,
784.4444444444445,750000,414,-31176057.22815822,1807,,,,,
721.3571428571429,760000,420,-28584929.75515129,1807,,,,,
,770000,425,,1808,0.05,17605874.0,13,1.2779825808717504e-11,0.0018
1000.0,780000,431,-40004759.70018367,1807,,,,,
1000.0,790000,436,-39992737.235943206,1808,,,,,
1000.0,800000,442,-39956050.562880255,1807,,,,,
1000.0,810000,447,-39906398.67630691,1808,,,,,
1000.0,820000,453,-39871253.40971516,1808,,,,,
1000.0,830000,459,-39874958.44638554,1807,,,,,
671.3333333333334,840000,464,-26691595.419238668,1808,0.05,187474.09375,14,1.2001658555860217e-09,0.0018
671.0,850000,470,-26700854.64574117,1807,,,,,
780.6666666666666,860000,475,-31068719.927028224,1808,,,,,
820.5454545454545,870000,481,-32631796.87013582,1808,,,,,
859.0,880000,486,-34196994.284130715,1807,,,,,
,890000,492,,1808,0.05,13551024.0,15,1.6603910954482437e-11,0.0018
1000.0,900000,497,-39566626.79588867,1807,,,,,
1000.0,910000,503,-39694188.8620396,1807,,,,,
802.9,920000,508,-31848260.44456481,1808,,,,,
772.2307692307693,930000,514,-30630543.235657852,1807,,,,,
,940000,519,,1808,0.05,15960219.0,16,1.409755038400684e-11,0.0018
1000.0,950000,525,-39522676.258492,1807,,,,,
1000.0,960000,530,-39692227.7676808,1808,,,,,
876.375,970000,536,-34837698.375158,1808,,,,,
835.1666666666666,980000,542,-33159124.94340283,1807,,,,,
858.7142857142857,990000,547,-34113923.79411614,1808,,,,,
522.5,1000000,553,-20549807.0277955,1807,0.05,13528695.0,17,1.6631314381232443e-11,0.0018
761.25,1010000,558,-30266052.73032625,1807,,,,,
675.5555555555555,1020000,564,-26761876.520129222,1807,,,,,
734.5454545454545,1030000,569,-29152281.77711718,1807,,,,,
791.4285714285714,1040000,575,-31403717.601003714,1807,,,,,
