train/is_line_search_success,train/std,train/policy_objective,train/kl_divergence_loss,train/n_updates,time/total_timesteps,train/explained_variance,time/fps,time/time_elapsed,train/learning_rate,rollout/ep_len_mean,rollout/ep_rew_mean,train/value_loss
1.0,0.8559206128120422,0.06837138533592224,0.007396826054900885,64,530000,-1.1920928955078125e-07,1339,395,0.001,125.31,-178075.99861458997,967873910.9
1.0,0.8555247783660889,0.06845668703317642,0.007747496943920851,65,540000,0.0,1339,403,0.001,128.83,-168729.40653786997,969563370.2
1.0,0.8553258776664734,0.07281739264726639,0.007507627364248037,67,550000,0.0,1335,411,0.001,139.39,-179005.15941986997,992434687.6
1.0,0.858888566493988,0.07495241612195969,0.007264828775078058,68,560000,0.0,1335,419,0.001,147.27,-177983.43407327004,859235720.15
1.0,0.8554823994636536,0.060912273824214935,0.007789318915456533,69,570000,-1.1920928955078125e-07,1336,426,0.001,172.55,-187628.94817735002,745701714.85
1.0,0.8502073287963867,0.07876521348953247,0.007389839738607407,70,580000,0.0,1336,433,0.001,172.28,-183859.46323115003,757645036.3
1.0,0.8504980206489563,0.07374860346317291,0.007948641665279865,72,590000,1.1920928955078125e-07,1333,442,0.001,162.85,-176226.48635804,770797170.0
1.0,0.8470798134803772,0.06757315993309021,0.00818037148565054,73,600000,0.0,1333,449,0.001,172.87,-172555.28083352,703677867.4
1.0,0.8493334650993347,0.06249406188726425,0.0077803232707083225,74,610000,5.960464477539063e-08,1334,457,0.001,141.88,-168834.89725202002,876845675.3
1.0,0.8483762741088867,0.06113845109939575,0.008250294253230095,75,620000,0.0,1334,464,0.001,162.22,-178344.99782226,766573644.2
1.0,0.8442525267601013,0.0710998922586441,0.007868115790188313,76,630000,0.0,1335,471,0.001,174.51,-174005.93852444002,646596839.25
1.0,0.8368030190467834,0.07473602890968323,0.00839413795620203,78,640000,0.0,1332,480,0.001,173.71,-181815.68411395003,700820250.4
1.0,0.8314300179481506,0.06809446960687637,0.00826503336429596,79,650000,5.960464477539063e-08,1332,487,0.001,187.53,-186693.70709734,685413498.0
1.0,0.8281006217002869,0.0712723433971405,0.008532210253179073,80,660000,0.0,1333,494,0.001,213.26,-208086.64504324002,541994021.3
1.0,0.8273428082466125,0.05811324715614319,0.008031648583710194,81,670000,0.0,1334,502,0.001,251.8,-215387.28470258997,466657971.05
1.0,0.8242999911308289,0.0716598778963089,0.007976122200489044,83,680000,0.0,1330,510,0.001,230.96,-188067.51261153002,608030437.8
1.0,0.8230074048042297,0.06982415914535522,0.008282352238893509,84,690000,0.0,1331,518,0.001,217.45,-183002.34730148,548343578.7
1.0,0.8260754942893982,0.07406499236822128,0.008376696147024632,85,700000,0.0,1331,525,0.001,236.19,-193960.62829142998,495781002.1
1.0,0.8256189227104187,0.06411050260066986,0.008103557862341404,86,710000,0.0,1332,532,0.001,243.3,-182531.51977575,466722407.75
1.0,0.8256943225860596,0.0698843002319336,0.008295162580907345,87,720000,-1.1920928955078125e-07,1332,540,0.001,253.84,-169873.95598944,477612154.225
1.0,0.8236579298973083,0.0699765682220459,0.008683739230036736,89,730000,-1.1920928955078125e-07,1329,549,0.001,251.65,-173316.87514604998,445430093.85
1.0,0.8237782120704651,0.07404331862926483,0.008344841189682484,90,740000,1.1920928955078125e-07,1329,556,0.001,276.74,-171645.29629162003,376886952.05
1.0,0.8219011425971985,0.06814563274383545,0.008401856757700443,91,750000,-1.1920928955078125e-07,1330,563,0.001,293.3,-173486.65841624004,440260232.175
1.0,0.8196168541908264,0.07559423893690109,0.008583835326135159,92,760000,-1.1920928955078125e-07,1330,571,0.001,317.99,-167999.2984328,390150132.6
1.0,0.8179334998130798,0.0820825919508934,0.008837825618684292,93,770000,0.0,1331,578,0.001,306.98,-160358.6276959,304014719.55
1.0,0.8167551159858704,0.07850959897041321,0.008868544362485409,95,780000,0.0,1331,585,0.001,283.31,-130077.66984653,416889620.85
1.0,0.815798819065094,0.0683235302567482,0.008444536477327347,96,790000,0.0,1335,591,0.001,274.72,-147726.58949594,381544178.65
1.0,0.8136065006256104,0.06707513332366943,0.008396734483540058,97,800000,0.0,1338,597,0.001,291.83,-153769.25577060002,371906043.325
1.0,0.81282639503479,0.06087920814752579,0.008774290792644024,98,810000,0.0,1341,603,0.001,322.37,-157238.33088156002,379740772.9
1.0,0.8118974566459656,0.06778807193040848,0.00765812024474144,100,820000,0.0,1342,610,0.001,332.61,-152622.35275133004,346945185.0
1.0,0.8092432618141174,0.06584720313549042,0.008799067698419094,101,830000,-1.1920928955078125e-07,1345,616,0.001,324.82,-132589.33661755,372486510.95
1.0,0.8071723580360413,0.06835257261991501,0.008846019394695759,102,840000,0.0,1348,622,0.001,319.05,-130671.05542665001,344638967.6875
1.0,0.8069677352905273,0.08384493738412857,0.008551799692213535,103,850000,0.0,1351,628,0.001,361.99,-142965.7537697,203360612.45
1.0,0.8070480227470398,0.07465934753417969,0.008887925185263157,104,860000,-1.1920928955078125e-07,1354,634,0.001,366.39,-132039.48451792,301654551.1375
1.0,0.8017259240150452,0.07000472396612167,0.008968883194029331,106,870000,0.0,1354,642,0.001,376.71,-142349.15203633002,308276495.725
1.0,0.8005711436271667,0.06685855984687805,0.008836467750370502,107,880000,0.0,1357,648,0.001,340.3,-118144.49093796,345351131.5
1.0,0.7976619601249695,0.06594858318567276,0.008427899330854416,108,890000,0.0,1360,654,0.001,316.23,-105347.07800655,309893159.35
1.0,0.7982949614524841,0.0824369415640831,0.008809742517769337,109,900000,0.0,1363,660,0.001,296.05,-82605.6639535,408246015.425
1.0,0.7978809475898743,0.06828790158033371,0.008909926749765873,111,910000,0.0,1363,667,0.001,294.81,-83546.20147705,338268693.375
1.0,0.7971289157867432,0.06850513070821762,0.008912661112844944,112,920000,0.0,1366,673,0.001,302.49,-86611.19435389999,231115995.6125
1.0,0.7970256805419922,0.05894552171230316,0.008468572981655598,113,930000,0.0,1368,679,0.001,314.09,-99209.67162508,440265577.175
1.0,0.7965240478515625,0.06994407624006271,0.008771456778049469,114,940000,-1.1920928955078125e-07,1370,685,0.001,320.51,-103055.29256340001,405913366.825
1.0,0.7960590720176697,0.0659632459282875,0.008620385080575943,115,950000,5.960464477539063e-08,1373,691,0.001,343.08,-101593.04382299,253080368.61875
1.0,0.794230043888092,0.06722518801689148,0.008215111680328846,117,960000,0.0,1373,699,0.001,342.21,-86154.5617912,366297435.5375
1.0,0.7917417883872986,0.06354638934135437,0.008955269120633602,118,970000,0.0,1375,705,0.001,355.77,-66861.73138494999,358191763.7875
1.0,0.789863646030426,0.06496027857065201,0.008663601242005825,119,980000,0.0,1377,711,0.001,305.56,-71905.41337163,310794465.525
1.0,0.7886626720428467,0.0640670508146286,0.008683532476425171,120,990000,0.0,1380,717,0.001,320.01,-91709.81049304001,318377799.6
1.0,0.7898322939872742,0.07523620873689651,0.008721482940018177,122,1000000,0.0,1380,724,0.001,350.34,-102147.63917928001,183661701.61875
