train/learning_rate,time/total_timesteps,train/ent_coef_loss,train/n_updates,train/critic_loss,train/ent_coef,rollout/ep_len_mean,time/episodes,time/time_elapsed,train/actor_loss,rollout/ep_rew_mean,time/fps
0.001,240000,-0.5923985242843628,59974,51684440.0,50.8167724609375,4.0,34013,1411,132711.5,-128160.63222821997,170
0.001,250000,-6.1477227210998535,62474,18089130.0,48.41193771362305,4.0,36513,1468,128043.6796875,-128090.71187736999,170
0.001,260000,-0.447451114654541,64974,14849105.0,48.669368743896484,4.0,39013,1528,135823.578125,-128279.49446908999,170
0.001,270000,0.5523782968521118,67474,29474996.0,47.52848815917969,4.0,41505,1590,129142.3984375,-128032.85867287003,169
0.001,280000,-0.3963068723678589,69974,24326616.0,46.464622497558594,4.0,43985,1651,125362.9375,-127959.18946729999,169
0.001,290000,0.5049654245376587,72474,36194024.0,45.538360595703125,4.0,46482,1708,128015.4296875,-127966.8680388,169
0.001,300000,-1.1202013492584229,74974,17295468.0,41.75230026245117,4.0,48982,1770,126637.7734375,-128291.79415172,169
0.001,310000,1.1160564422607422,77474,10240363.0,40.99062728881836,4.0,51482,1830,125834.125,-127961.44429865,169
0.001,320000,-0.18180596828460693,79974,13220258.0,38.118431091308594,4.0,53975,1891,127984.671875,-128198.09911053999,169
0.001,330000,-1.1990535259246826,82474,23325852.0,38.79487991333008,4.0,56475,1955,121604.6875,-127962.29525662,168
0.001,340000,4.770832538604736,84974,16919028.0,41.0000114440918,4.0,58975,2014,122041.6875,-128219.93937407,168
0.001,350000,1.3984408378601074,87474,12601128.0,37.29240417480469,4.0,61475,2073,125970.265625,-128085.71362623,168
0.001,360000,-3.3589425086975098,89974,10878767.0,39.68142318725586,4.26,63969,2135,124863.4375,-130477.30033067001,168
0.001,370000,3.207984209060669,92474,22215372.0,37.37995147705078,4.0,66469,2192,123369.171875,-127953.63019899998,168
0.001,380000,-4.3802947998046875,94974,10228825.0,35.23440933227539,4.0,68969,2251,126459.140625,-127859.46682999,168
0.001,390000,1.1037771701812744,97474,10816604.0,35.63986587524414,4.0,71469,2315,122332.53125,-127949.86209551003,168
0.001,400000,-1.6719799041748047,99974,7529618.0,33.830509185791016,4.0,73969,2377,123635.453125,-128024.39054872999,168
0.001,410000,0.7961760759353638,102474,109025960.0,71.29822540283203,4.0,76469,2440,135547.9375,-128237.53713163002,168
0.001,420000,-1.7572622299194336,104974,22279256.0,65.7195053100586,4.0,78969,2504,129505.359375,-128394.97787142004,167
0.001,430000,1.8158254623413086,107474,14197420.0,58.0530891418457,4.0,81468,2566,126635.0078125,-128221.13973348,167
0.001,440000,0.8992047309875488,109974,27368490.0,44.447505950927734,4.0,83968,2629,127825.78125,-128409.44759466998,167
0.001,450000,-1.5345522165298462,112474,26910364.0,37.55166244506836,4.0,86468,2692,130611.1328125,-128116.76065715002,167
0.001,460000,1.0868691205978394,114974,34525040.0,37.66994857788086,4.0,88968,2757,124017.5,-128173.91665788002,166
0.001,470000,1.3411681652069092,117474,6336903.0,33.95244216918945,4.0,91468,2825,120421.671875,-128283.09253658,166
0.001,480000,-1.0147137641906738,119974,28032064.0,41.26721954345703,4.0,93968,2888,118627.3984375,-127935.06948510003,166
0.001,490000,-1.5693758726119995,122474,21603272.0,35.23588562011719,4.0,96468,2950,124306.0,-127956.52887466998,166
0.001,500000,-3.19057297706604,124974,10329157.0,31.456308364868164,4.0,98968,3014,126320.859375,-127861.1434395,165
0.001,510000,3.8846631050109863,127474,5949544.0,34.271942138671875,4.0,101468,3078,122285.859375,-127999.69155272999,165
0.001,520000,1.0522563457489014,129974,6905173.0,30.829566955566406,4.0,103968,3140,122747.875,-127879.75578594,165
0.001,530000,-0.7748022675514221,132474,14498908.0,32.32874298095703,4.0,106468,3203,123026.1875,-127860.50750093002,165
0.001,540000,0.9306497573852539,134974,5824860.0,29.125003814697266,4.0,108968,3266,120048.859375,-128007.59628109999,165
0.001,550000,2.0831046104431152,137474,6902240.0,33.004825592041016,4.0,111468,3333,120039.203125,-127974.67726849997,164
0.001,560000,2.354341983795166,139974,13138924.0,26.75613784790039,4.0,113968,3393,116807.796875,-127917.89169220997,165
0.001,570000,-4.44128942489624,142474,6527880.0,25.801441192626953,4.0,116468,3455,120544.0625,-127992.99510043999,164
0.001,580000,-1.429466962814331,144974,6421198.0,23.218446731567383,4.0,118968,3518,117164.53125,-127838.60006560998,164
0.001,590000,-2.762255907058716,147474,7039984.5,25.267534255981445,4.0,121468,3579,119426.28125,-128035.24502337998,164
0.001,600000,-3.5493741035461426,149974,5168725.0,24.848785400390625,4.0,123968,3640,119539.5859375,-127850.33971517999,164
0.001,610000,0.0922006368637085,152474,8661320.0,24.429134368896484,4.0,126468,3699,117829.171875,-128058.31878357001,164
0.001,620000,-6.884719371795654,154974,5517862.0,25.529966354370117,4.0,128968,3759,120612.9453125,-127872.98378122,164
0.001,630000,-1.725873589515686,157474,9433848.0,22.582691192626953,4.0,131468,3819,119546.6171875,-127970.65780968999,164
0.001,640000,-1.595271348953247,159974,12514952.0,22.510696411132812,4.0,133968,3878,121028.921875,-127924.72522875,165
0.001,650000,-3.4592621326446533,162474,7160256.0,24.64801597595215,4.0,136468,3940,117201.5,-127898.65793449001,164
0.001,660000,-2.24178147315979,164974,3110340.75,22.92571449279785,4.0,138968,3999,120417.1171875,-127909.19672279,165
0.001,670000,-0.5093573331832886,167474,9455792.0,23.651817321777344,4.0,141468,4061,115987.84375,-127983.11393196002,164
0.001,680000,-2.097930669784546,169974,12281100.0,21.748779296875,4.0,143968,4122,118536.15625,-127889.21095926,164
0.001,690000,0.14618128538131714,172474,5197393.0,22.384586334228516,4.0,146468,4188,120323.421875,-127956.43128414001,164
0.001,700000,-1.5579806566238403,174974,6506780.5,20.904769897460938,4.0,148968,4252,115930.8125,-127934.67439163997,164
0.001,710000,1.2586615085601807,177474,48624648.0,21.589641571044922,4.0,151467,4314,118790.34375,-127889.13339699002,164
0.001,720000,0.9456019401550293,179974,26176524.0,20.41086196899414,4.0,153967,4372,118591.1171875,-127920.03061421,164
0.001,730000,0.4851415753364563,182474,3826519.5,21.067115783691406,4.0,156467,4430,117805.203125,-127755.91505976,164
0.001,740000,-6.29969596862793,184974,6033069.0,19.442129135131836,4.0,158967,4488,117606.4765625,-127824.72884562999,164
0.001,750000,-0.1719118356704712,187474,3817326.25,20.71084213256836,4.0,161467,4547,116566.671875,-127861.6781999,164
0.001,760000,-2.215545177459717,189974,3043806.75,18.520034790039062,4.0,163967,4604,116841.5,-127821.54471987,165
0.001,770000,1.4270906448364258,192474,3047597.5,18.7178955078125,4.0,166467,4666,114797.2578125,-127948.79814919,164
0.001,780000,0.3142930567264557,194974,8593720.0,19.747116088867188,4.0,168957,4729,118082.015625,-127812.37941149,164
0.001,790000,-2.4226183891296387,197474,2906927.5,18.885393142700195,4.0,171457,4791,113019.390625,-127816.2644723,164
0.001,800000,0.3888291120529175,199974,2015318.0,20.875120162963867,4.0,173853,4850,119953.5703125,-127860.13858854999,164
0.001,810000,3.4393863677978516,202474,2679603.75,19.78642463684082,4.0,176353,4908,117288.65625,-127937.391487,165
0.001,820000,1.1310198307037354,204974,5021068.0,18.029512405395508,4.0,178853,4966,116687.71875,-127810.75387342,165
0.001,830000,1.8388694524765015,207474,14376761.0,20.026966094970703,4.0,181353,5029,117585.0625,-127890.7446253,165
0.001,840000,2.0569515228271484,209974,1890974.0,16.798173904418945,4.0,183853,5095,116822.3125,-128085.93643460002,164
0.001,850000,-1.5445256233215332,212474,4024859.0,18.034189224243164,4.0,186353,5153,116142.203125,-127874.79052688001,164
0.001,860000,-2.2993431091308594,214974,3212283.5,18.265743255615234,4.0,188853,5211,117072.0625,-127770.80751151999,165
0.001,870000,-1.031461238861084,217474,5214753.5,17.512418746948242,4.0,191353,5269,117895.1640625,-127845.18577856,165
0.001,880000,-3.909562826156616,219974,6147290.0,18.032344818115234,4.0,193853,5327,117539.7421875,-127824.69416017999,165
0.001,890000,-0.1282898187637329,222474,2489378.75,16.90584373474121,4.0,196353,5387,119315.328125,-127844.80680813,165
0.001,900000,-0.7284159660339355,224974,3652672.25,16.59850311279297,4.0,198853,5445,117157.859375,-127777.30876194002,165
0.001,910000,3.6870319843292236,227474,3564017.5,17.20326042175293,4.0,201331,5507,115837.0078125,-127930.30634050998,165
0.001,920000,3.283468246459961,229974,5641519.0,18.077388763427734,4.0,203831,5568,113097.5,-127845.25891917999,165
0.001,930000,-0.6972184181213379,232474,1904246.75,16.52794075012207,4.0,206327,5628,116593.53125,-127860.62451876998,165
0.001,940000,3.7508773803710938,234974,2678214.5,16.1435546875,4.0,208827,5686,115144.1015625,-127901.98585075997,165
0.001,950000,2.568917989730835,237474,1092879.125,15.86374282836914,4.0,211319,5746,114995.515625,-127775.33152466001,165
0.001,960000,3.3176827430725098,239974,8466931.0,17.515884399414062,4.0,213819,5806,114048.453125,-127989.05717524,165
0.001,970000,-1.1393036842346191,242474,1970684.75,16.548025131225586,4.0,216319,5867,118402.7734375,-127791.40377175002,165
0.001,980000,2.0856873989105225,244974,5134441.0,15.685713768005371,4.0,218819,5930,115198.078125,-127791.86627253998,165
0.001,990000,1.6108390092849731,247474,3812031.75,15.418959617614746,4.0,221319,5993,116415.0078125,-127849.42525461997,165
0.001,1000000,-0.2360820770263672,249974,1446038.5,15.442814826965332,4.0,223819,6053,116360.4765625,-127775.57975786,165
