rollout/ep_len_mean,train/actor_loss,time/fps,train/ent_coef,train/ent_coef_loss,time/time_elapsed,train/learning_rate,train/critic_loss,train/n_updates,time/total_timesteps,time/episodes,rollout/ep_rew_mean
16.45,-102782.4609375,180,27.692365646362305,0.40958136320114136,2878,0.001,1460696.25,129974,520000,23227,133663.61950614
16.06,-102624.34375,180,26.217164993286133,-0.2903628349304199,2943,0.001,4082051.0,132474,530000,23843,133667.90354978
15.98,-104515.25,179,24.377737045288086,0.16718122363090515,3005,0.001,1422446.875,134974,540000,24457,133570.49958243
16.17,-102038.6171875,179,24.882251739501953,0.03751106560230255,3067,0.001,961491.5,137474,550000,25070,133669.19708989997
16.41,-104657.8515625,179,25.953683853149414,0.8620716333389282,3124,0.001,612076.25,139974,560000,25691,133665.49975806
15.99,-102748.7890625,179,25.919321060180664,-0.6368787884712219,3181,0.001,1110866.5,142474,570000,26298,133662.69714221
16.15,-102260.609375,179,25.59869384765625,-1.000043272972107,3235,0.001,2990645.5,144974,580000,26792,133265.99884017
17.54,-102729.03125,179,24.466777801513672,1.615607500076294,3290,0.001,1378808.75,147474,590000,27273,133633.37825362
16.25,-102069.375,179,25.574787139892578,-0.6468248963356018,3346,0.001,3599556.0,149974,600000,27734,133462.23615085997
15.8,-104354.484375,178,23.48811149597168,0.2951326072216034,3409,0.001,1834238.5,152474,610000,28355,133578.34624505
15.71,-102638.953125,178,26.362144470214844,0.17939722537994385,3464,0.001,974202.875,154974,620000,28925,133071.06873722
15.85,-102200.6796875,178,26.023582458496094,-0.35872364044189453,3520,0.001,954945.9375,157474,630000,29550,133679.39949134
16.14,-103792.578125,178,23.90203857421875,-0.8721727728843689,3582,0.001,2523268.75,159974,640000,30183,133669.62689604
15.39,-104413.0,178,25.179611206054688,-0.2974051237106323,3642,0.001,4612029.0,162474,650000,30821,133673.29968406
16.43,-101346.984375,178,25.06867027282715,-1.379076600074768,3698,0.001,1772048.25,164974,660000,31443,133664.00202939
15.71,-103458.875,178,24.254459381103516,-0.7874341607093811,3761,0.001,1162579.125,167474,670000,32066,133669.44102068
45.4,-101612.609375,177,29.3492431640625,0.9795759320259094,3828,0.001,1881149.0,169974,680000,32499,128328.63867632001
15.38,-105504.1875,177,26.911197662353516,0.9502021074295044,3895,0.001,802018.5,172474,690000,33126,133387.69718455
16.25,-103565.4375,176,22.76734161376953,0.16100946068763733,3955,0.001,1406759.625,174974,700000,33752,133371.34112901
15.76,-103629.8671875,176,21.648658752441406,-1.4502296447753906,4014,0.001,3970875.0,177474,710000,34384,133666.66835174
16.05,-103439.1015625,176,23.59191131591797,0.021676868200302124,4074,0.001,1121391.75,179974,720000,35018,133660.09988355002
15.51,-106698.3984375,176,26.39227867126465,0.8115830421447754,4134,0.001,1572416.25,182474,730000,35631,133674.3600351
16.84,-103159.921875,176,22.08380126953125,-2.216531753540039,4194,0.001,1203388.5,184974,740000,36265,133652.24279778998
15.67,-103386.09375,176,23.400724411010742,-1.1804497241973877,4254,0.001,1689892.75,187474,750000,36898,133679.35132781998
15.17,-104713.5078125,175,25.81894874572754,0.02387852966785431,4319,0.001,968364.0,189974,760000,37542,133679.346593
18.66,-105999.546875,175,22.809818267822266,0.36419886350631714,4386,0.001,1630553.25,192474,770000,38161,133569.87831672997
16.02,-104450.640625,175,23.463651657104492,1.2595243453979492,4448,0.001,1200677.75,194974,780000,38780,133672.25447281
15.56,-105735.21875,175,21.808332443237305,0.45975595712661743,4511,0.001,1822477.875,197474,790000,39422,133685.19952275002
15.38,-103870.734375,174,23.27196502685547,-0.8994916081428528,4578,0.001,2094133.625,199974,800000,40063,133580.53425864
15.41,-106336.59375,174,23.78400993347168,0.8789964914321899,4641,0.001,893793.8125,202474,810000,40710,133688.19959153
15.61,-105010.171875,174,25.463882446289062,1.2518712282180786,4699,0.001,678978.625,204974,820000,41359,133485.69255739002
15.27,-107003.15625,174,24.167390823364258,0.005417130887508392,4760,0.001,973318.875,207474,830000,42005,133680.16207798
15.36,-106497.234375,174,23.207494735717773,0.4699452519416809,4822,0.001,1826455.25,209974,840000,42660,133675.66692438998
15.26,-103593.484375,174,24.808820724487305,-0.4988074004650116,4884,0.001,609025.375,212474,850000,43047,133686.57229222002
15.66,-101946.5625,173,23.35289192199707,-0.6761717200279236,4951,0.001,3259833.75,214974,860000,43699,133681.26946588
15.62,-104111.3984375,173,24.44801902770996,-0.5351341962814331,5018,0.001,8872464.0,217474,870000,44344,133675.89947114
15.39,-101816.484375,173,25.536096572875977,0.563345193862915,5086,0.001,2439807.5,219974,880000,44992,133683.19963664
15.57,-105710.8828125,172,21.445587158203125,0.002796351909637451,5153,0.001,1882435.0,222474,890000,45630,133684.99956981
15.09,-105224.59375,172,22.558244705200195,-0.07956838607788086,5220,0.001,1265730.375,224974,900000,46285,133585.59963051998
15.48,-104733.90625,172,21.16099739074707,-0.5073649883270264,5282,0.001,895697.3125,227474,910000,46938,133385.86971641998
15.24,-104727.0,172,21.052900314331055,-0.7593818306922913,5341,0.001,20468392.0,229974,920000,47589,133673.59373015
15.01,-106304.671875,172,21.864011764526367,-0.9991568922996521,5402,0.001,11123566.0,232474,930000,48243,133679.09949037002
15.21,-107984.34375,171,20.70517349243164,-0.044840797781944275,5469,0.001,708055.3125,234974,940000,48890,133492.53761977
35.01,-107659.03125,171,21.96906089782715,0.13435953855514526,5536,0.001,1722603.625,237474,950000,49391,130420.18766786
15.26,-105289.9921875,171,21.917695999145508,1.120224118232727,5600,0.001,1293820.5,239974,960000,50017,132474.05899774
15.26,-104535.359375,171,26.031476974487305,0.9138335585594177,5659,0.001,798309.75,242474,970000,50563,133688.46461330997
25.6,-103829.109375,171,22.658069610595703,-0.836134672164917,5717,0.001,926253.375,244974,980000,50968,132326.85150039
15.24,-102817.828125,171,26.305280685424805,0.21454328298568726,5784,0.001,3915018.25,247474,990000,51610,132785.22505015
15.05,-103343.2734375,170,22.386220932006836,0.05844902992248535,5848,0.001,2052842.375,249974,1000000,52265,133488.19964414
