train/learning_rate,time/total_timesteps,time/time_elapsed,train/policy_loss,train/std,train/explained_variance,train/entropy_loss,rollout/ep_rew_mean,time/fps,train/value_loss,rollout/ep_len_mean,train/n_updates
0.0001,590000,356,-2595031.75,0.999167263507843,0.0,-21.270584106445312,-387777.3088921599,1655,17324566528.0,13.88,7374
0.0001,600000,362,-2654716.0,0.9988986849784851,1.1920928955078125e-07,-21.267263412475586,-356527.69441924995,1654,17467568128.0,12.41,7499
0.0001,610000,368,-2480075.25,0.9985406994819641,0.0,-21.26144790649414,-349529.47925159,1654,15587211264.0,12.41,7624
0.0001,620000,374,-2416680.5,0.998464047908783,0.0,-21.26051139831543,-364288.46912625997,1654,15697106944.0,13.06,7749
0.0001,630000,380,-2248046.5,0.9985573887825012,1.1920928955078125e-07,-21.261646270751953,-400977.35749036004,1654,12418709504.0,14.36,7874
0.0001,640000,386,-2694644.5,0.9985723495483398,1.1920928955078125e-07,-21.261838912963867,-380751.01873459003,1654,18595747840.0,13.65,7999
0.0001,650000,392,-2680964.5,0.9984375834465027,1.1920928955078125e-07,-21.260364532470703,-345418.96225869,1654,17700923392.0,12.14,8124
0.0001,660000,399,-2597095.5,0.9986125230789185,5.960464477539063e-08,-21.26308822631836,-408720.66642866,1653,15935294464.0,14.63,8249
0.0001,670000,405,-2247510.25,0.9985986351966858,0.0,-21.26237678527832,-379025.80141121,1653,13868357632.0,13.72,8374
0.0001,680000,411,-3084879.25,0.9988300204277039,0.0,-21.266212463378906,-291168.83580232,1653,22872027136.0,9.95,8499
0.0001,690000,417,-2181527.5,0.998735249042511,0.0,-21.263965606689453,-328237.00955764,1653,12055525376.0,11.39,8624
0.0001,700000,423,-2467082.5,0.998785674571991,1.7881393432617188e-07,-21.265527725219727,-363231.18058386,1652,14748280832.0,12.95,8749
0.0001,710000,429,-2169092.0,0.9985104203224182,-2.384185791015625e-07,-21.26106071472168,-317649.11451428,1652,11645051904.0,11.18,8874
0.0001,720000,435,-2684079.25,0.9984865784645081,-1.1920928955078125e-07,-21.26120376586914,-292273.81601825,1652,16899585024.0,9.94,8999
0.0001,730000,441,-2427066.75,0.998771071434021,0.0,-21.26445198059082,-328141.61757386,1652,14732080128.0,11.44,9124
0.0001,740000,447,-2479929.0,0.9987062215805054,-1.1920928955078125e-07,-21.264450073242188,-359310.6270226499,1652,14107179008.0,12.79,9249
0.0001,750000,454,-2246903.0,0.9985349178314209,-1.1920928955078125e-07,-21.26187515258789,-334757.75082296,1651,11692295168.0,11.61,9374
0.0001,760000,460,-2341059.25,0.9990047216415405,-1.1920928955078125e-07,-21.268409729003906,-316225.11979194003,1651,14165469184.0,10.89,9499
0.0001,770000,466,-2659684.0,0.9992235898971558,0.0,-21.27199935913086,-275057.61114919,1651,17708175360.0,9.26,9624
0.0001,780000,472,-2526763.75,0.9994216561317444,0.0,-21.274961471557617,-365630.3100729401,1651,15415396352.0,13.12,9749
0.0001,790000,478,-2703722.25,0.9998401403427124,0.0,-21.281435012817383,-304700.20498975,1650,17931790336.0,10.42,9874
0.0001,800000,484,-2568920.5,0.9994807839393616,0.0,-21.27560806274414,-379955.8360737301,1650,16491809792.0,13.56,9999
0.0001,810000,490,-2569224.5,0.9997832775115967,5.960464477539063e-08,-21.27988052368164,-347877.52980771003,1650,16611207168.0,12.47,10124
0.0001,820000,497,-2411225.0,1.0000474452972412,0.0,-21.283912658691406,-327545.58177954005,1649,14698938368.0,11.77,10249
0.0001,830000,503,-2407761.25,1.0002810955047607,0.0,-21.28805923461914,-302387.38061522995,1649,13683782656.0,10.71,10374
0.0001,840000,509,-2628520.0,0.99984210729599,0.0,-21.28104019165039,-301612.60542676,1649,17511387136.0,10.29,10499
0.0001,850000,515,-2447274.25,1.0000373125076294,0.0,-21.28413200378418,-316403.19590717,1648,14642940928.0,11.03,10624
0.0001,860000,521,-3040392.5,0.999976396560669,1.1920928955078125e-07,-21.28304672241211,-370431.39095447,1648,22723434496.0,13.17,10749
0.0001,870000,528,-2509089.0,1.0001715421676636,0.0,-21.286231994628906,-374955.39077895007,1647,14997294080.0,13.69,10874
0.0001,880000,534,-2620609.75,1.000459909439087,-1.1920928955078125e-07,-21.290185928344727,-301091.66880069,1647,17038578688.0,10.46,10999
0.0001,890000,540,-2509285.5,1.0001205205917358,1.7881393432617188e-07,-21.284963607788086,-293189.18646831997,1646,15443613696.0,10.05,11124
0.0001,900000,546,-2666017.0,1.0005937814712524,-2.384185791015625e-07,-21.29227066040039,-335678.2547017,1646,17298319360.0,11.83,11249
0.0001,910000,552,-2388087.0,1.0007578134536743,-1.1920928955078125e-07,-21.294593811035156,-378722.22856782004,1645,15730283520.0,13.49,11374
0.0001,920000,559,-2261052.5,1.0006943941116333,0.0,-21.29391098022461,-347478.67085040006,1645,12311023616.0,12.63,11499
0.0001,930000,565,-2399762.5,1.0007460117340088,-1.1920928955078125e-07,-21.294469833374023,-292635.10896398,1644,14204980224.0,10.01,11624
0.0001,940000,571,-2335769.75,1.000503659248352,-1.1920928955078125e-07,-21.29104232788086,-369626.45922636,1644,13513700352.0,13.38,11749
0.0001,950000,578,-2842544.5,1.0006319284439087,5.960464477539063e-08,-21.293066024780273,-342199.81512568996,1643,19313016832.0,12.26,11874
0.0001,960000,584,-2633326.75,1.0008349418640137,0.0,-21.29587173461914,-334992.31391832,1643,16406462464.0,12.07,11999
0.0001,970000,590,-2551538.75,1.0015077590942383,-1.1920928955078125e-07,-21.306201934814453,-347895.44962578994,1642,15593424896.0,12.39,12124
0.0001,980000,596,-2599554.0,1.0015249252319336,0.0,-21.30550765991211,-289217.71294291,1641,16974544896.0,9.77,12249
0.0001,990000,603,-2511235.5,1.002037763595581,0.0,-21.313514709472656,-367797.59902016,1641,15537240064.0,13.38,12374
0.0001,1000000,609,-2249851.5,1.00193190574646,5.960464477539063e-08,-21.31251335144043,-296535.49728694,1641,12187334656.0,10.42,12499
