train/n_updates,rollout/ep_rew_mean,time/episodes,train/ent_coef_loss,rollout/ep_len_mean,train/ent_coef,time/fps,time/time_elapsed,train/learning_rate,train/critic_loss,time/total_timesteps,train/actor_loss
57474,5006.31565947,26965,4.374622344970703,11.5,85.63639831542969,172,1329,0.001,17316312.0,230000,8088.5634765625
59974,4153.7113275500005,27813,2.2877345085144043,11.83,78.74004364013672,172,1388,0.001,20834020.0,240000,9128.2236328125
62474,4254.07527454,28636,-0.6530259847640991,11.82,76.338134765625,172,1447,0.001,21042324.0,250000,11957.44921875
64974,3448.85585332,29470,-0.4398714303970337,11.88,80.02484130859375,172,1506,0.001,18541556.0,260000,11955.80859375
67474,3549.3,30309,-3.223365545272827,11.88,73.73094940185547,172,1565,0.001,27773030.0,270000,6962.736328125
69974,3650.98193276,31144,-1.1505072116851807,11.88,75.88176727294922,172,1624,0.001,30463996.0,280000,7408.546875
72474,8717.663864470001,31996,-0.7729514837265015,11.38,72.99977111816406,172,1683,0.001,28889918.0,290000,-4451.146484375
74974,6389.11409049,32848,0.8393009305000305,11.58,70.22525787353516,172,1742,0.001,45523856.0,300000,-1303.4154052734375
77474,6897.297978449999,33716,3.240816354751587,11.53,67.5279541015625,172,1801,0.001,24251982.0,310000,-10100.658203125
79974,11456.26708772,34594,0.036077797412872314,11.09,70.26883697509766,171,1860,0.001,15262111.0,320000,-3082.826416015625
82474,9328.63125312,35483,1.0016268491744995,11.24,70.74783325195312,171,1919,0.001,24214540.0,330000,-15708.0068359375
84974,10339.254944729999,36366,-0.5851081609725952,11.22,64.34559631347656,171,1978,0.001,11896432.0,340000,-15038.458984375
87474,8119.1598652,37251,-0.1435224413871765,11.25,67.10798645019531,171,2037,0.001,15416452.0,350000,-12661.90234375
89974,10547.6,38145,0.8100006580352783,11.11,69.89915466308594,171,2096,0.001,15115699.0,360000,-10918.541015625
92474,11353.9,39049,1.5398956537246704,11.11,69.37845611572266,171,2154,0.001,18723152.0,370000,-14078.6484375
94974,10948.92884875,39948,-0.3005572259426117,11.12,67.80608367919922,171,2213,0.001,41829816.0,380000,-14354.2001953125
97474,10647.43309081,40845,3.716095209121704,11.11,73.1817398071289,171,2271,0.001,53074688.0,390000,-16769.37109375
99974,7399.91448564,41736,2.837769031524658,11.49,69.15758514404297,171,2328,0.001,31264636.0,400000,-16149.4345703125
102474,10344.78659177,42635,-3.560634136199951,11.11,59.863426208496094,171,2393,0.001,59999168.0,410000,-11048.1875
104974,11760.224251589998,43531,-1.3895971775054932,11.06,60.6993293762207,170,2457,0.001,10164060.0,420000,-18158.71875
107474,11252.8,44430,0.16883456707000732,11.07,62.890350341796875,170,2520,0.001,9440246.0,430000,-26087.5234375
109974,12164.8,45336,2.2045657634735107,11.04,61.098880767822266,170,2583,0.001,21605898.0,440000,-24400.96484375
112474,11558.18169809,46239,-1.4571516513824463,11.02,59.6957893371582,170,2646,0.001,14973122.0,450000,-14812.94921875
114974,12266.9,47142,-2.7442498207092285,11.01,59.350120544433594,169,2708,0.001,15070020.0,460000,-21115.0
117474,12569.1,48044,1.1304219961166382,11.0,57.2336540222168,169,2771,0.001,18202378.0,470000,-23124.4140625
119974,12468.685294379999,48951,0.7166635990142822,11.01,56.92620086669922,169,2834,0.001,10534706.0,480000,-27783.9453125
122474,12468.7,49855,0.8849946856498718,11.01,58.95515060424805,169,2897,0.001,12080692.0,490000,-23459.27734375
124974,12368.2,50759,-3.0727880001068115,11.0,50.99303436279297,168,2960,0.001,10977910.0,500000,-26232.8671875
127474,12469.1,51668,1.137462854385376,11.0,53.40155792236328,168,3022,0.001,7408686.0,510000,-25106.70703125
129974,11960.4,52575,1.1335272789001465,11.06,55.452972412109375,168,3084,0.001,5992313.5,520000,-26222.83203125
132474,12164.70706431,53481,0.19132137298583984,11.04,55.854248046875,168,3146,0.001,10802256.0,530000,-26418.716796875
134974,12063.8,54388,-0.4843321442604065,11.02,52.2148323059082,168,3209,0.001,12228715.0,540000,-27418.712890625
137474,12569.1,55290,0.429157018661499,11.0,51.662105560302734,168,3271,0.001,11772498.0,550000,-20876.6171875
139974,12467.8,56196,1.1611154079437256,11.01,51.23295974731445,167,3334,0.001,13372512.0,560000,-32651.0
142474,12368.2,57104,1.1100718975067139,11.0,53.566741943359375,167,3396,0.001,12175816.0,570000,-19383.7421875
144974,12265.2,58012,-0.5767132043838501,11.03,49.39984130859375,167,3456,0.001,6134034.0,580000,-24516.556640625
147474,11151.3,58916,-0.7538298964500427,11.13,48.3834228515625,167,3518,0.001,11134802.0,590000,-28566.90625
149974,12469.01948909,59825,4.0412492752075195,11.0,46.07047653198242,167,3579,0.001,7878135.0,600000,-30023.619140625
152474,12469.1,60730,0.6064173579216003,11.0,46.78367233276367,167,3639,0.001,10162770.0,610000,-34964.4453125
154974,12063.5,61638,-1.3287744522094727,11.05,44.762237548828125,167,3701,0.001,8288172.0,620000,-32781.7734375
157474,12469.1,62539,0.7509544491767883,11.0,43.69895553588867,167,3762,0.001,9611767.0,630000,-26563.7265625
159974,12367.3,63443,0.7753461599349976,11.0,47.773963928222656,167,3822,0.001,3796304.25,640000,-28453.421875
162474,12570.0,64350,-0.3562086820602417,11.0,48.76992416381836,167,3881,0.001,6804634.0,650000,-31257.845703125
164974,12063.5,65257,1.244463562965393,11.05,42.26289749145508,167,3941,0.001,10113231.0,660000,-27179.16796875
167474,12569.82525555,66161,1.1445667743682861,11.0,42.287654876708984,167,4001,0.001,7736796.5,670000,-30944.3203125
169974,12570.0,67069,0.6602574586868286,11.0,43.86636734008789,167,4060,0.001,16730998.0,680000,-28985.541015625
172474,12570.0,67977,1.9269826412200928,11.0,43.33580017089844,167,4120,0.001,7386771.0,690000,-34715.203125
174974,12570.0,68885,0.6123191714286804,11.0,43.753292083740234,167,4179,0.001,23876108.0,700000,-34888.5390625
177474,9333.043122000001,69774,2.9395437240600586,11.18,43.71326446533203,167,4236,0.001,8992198.0,710000,-35104.7265625
179974,12569.892064439999,70682,3.6590304374694824,11.0,42.86604309082031,167,4294,0.001,5624918.5,720000,-34811.25
182474,12570.0,71580,1.0868840217590332,11.0,42.37150573730469,167,4352,0.001,4680811.0,730000,-39551.3046875
184974,12569.88209476,72488,-0.7018751502037048,11.0,43.000343322753906,167,4411,0.001,6554010.0,740000,-30883.189453125
187474,12570.0,73393,0.8144164681434631,11.0,41.953426361083984,167,4470,0.001,20277956.0,750000,-30756.474609375
189974,12469.1,74300,2.052107572555542,11.0,41.23665237426758,167,4527,0.001,17590688.0,760000,-35374.625
192474,11762.570747400001,75207,-0.4965752959251404,11.0,40.20379638671875,167,4585,0.001,14044001.0,770000,-40009.6796875
194974,12166.4,76116,1.4355080127716064,11.0,41.14326858520508,167,4644,0.001,5242992.5,780000,-37142.2734375
197474,12469.1,77024,0.032214418053627014,11.0,43.02511978149414,167,4702,0.001,4788232.5,790000,-34997.375
199974,12570.0,77933,-1.6590502262115479,11.0,40.18804931640625,167,4762,0.001,2549622.5,800000,-32450.875
202474,12267.3,78841,-0.31312912702560425,11.0,40.11406326293945,168,4820,0.001,3903927.5,810000,-36631.765625
204974,12368.01978597,79749,-1.7165863513946533,11.0,38.7520866394043,168,4879,0.001,4195808.0,820000,-39283.2734375
207474,12266.944387730002,80657,3.3938536643981934,11.0,38.02043533325195,168,4937,0.001,4704382.0,830000,-39636.71484375
209974,12570.0,81567,-0.4709100127220154,11.0,37.13249206542969,168,4996,0.001,4261949.0,840000,-40725.28125
212474,12570.0,82469,-1.7843992710113525,11.0,36.85234832763672,168,5054,0.001,10418120.0,850000,-34710.65625
214974,11759.761120310002,83371,-1.5881288051605225,11.07,38.99482727050781,168,5112,0.001,5847986.0,860000,-31896.078125
217474,11964.006131529999,84277,-1.0512381792068481,11.01,36.59004592895508,168,5170,0.001,5435266.0,870000,-35916.96875
219974,12469.1,85188,2.989335536956787,11.0,37.29452133178711,168,5228,0.001,8424751.0,880000,-37219.23046875
222474,12570.0,86093,-1.757676124572754,11.0,36.820125579833984,168,5287,0.001,6341123.5,890000,-41228.9765625
224974,12267.3,87002,-1.7968796491622925,11.0,35.35346984863281,168,5346,0.001,5501080.0,900000,-38722.25390625
227474,12266.1,87912,0.1097225546836853,11.03,37.318809509277344,168,5405,0.001,5837124.0,910000,-37633.453125
229974,12570.0,88821,1.4861209392547607,11.0,36.863067626953125,168,5464,0.001,7725346.0,920000,-40374.14453125
232474,11460.1,89729,-0.933112621307373,11.0,33.898216247558594,168,5521,0.001,5917338.0,930000,-35129.9921875
234974,12165.2,90638,-1.9344592094421387,11.03,37.196449279785156,168,5580,0.001,6855738.5,940000,-42493.9921875
237474,12570.0,91544,0.6482763290405273,11.0,35.514102935791016,168,5639,0.001,7936290.5,950000,-43182.41796875
239974,12062.449136029998,92451,-0.5662496089935303,11.05,40.0753173828125,168,5698,0.001,11557972.0,960000,-40557.37109375
242474,10249.3,93358,-0.9493703842163086,11.0,37.69606399536133,168,5757,0.001,4242667.0,970000,-37206.03125
244974,12570.0,94265,3.119603157043457,11.0,37.102901458740234,168,5816,0.001,14092714.0,980000,-43609.40234375
247474,12570.0,95173,0.4234852194786072,11.0,35.208091735839844,168,5875,0.001,4785735.0,990000,-43034.265625
249974,12469.1,96081,0.5993373990058899,11.0,36.97172546386719,168,5933,0.001,3341820.75,1000000,-37207.10546875
