time/fps,train/entropy_loss,train/n_updates,time/time_elapsed,train/explained_variance,time/total_timesteps,train/value_loss,rollout/ep_rew_mean,train/std,rollout/ep_len_mean,train/policy_loss,train/learning_rate
2166,-12.623405456542969,6249,230,-1.1920928955078125e-07,500000,732453376.0,-104398.68820632002,0.983832061290741,28.72,-173609.09375,0.0001
2162,-12.616612434387207,6374,235,0.0,510000,1874210048.0,-136780.87396014,0.983083963394165,31.82,-67897.234375,0.0001
2162,-12.615455627441406,6499,240,0.0,520000,1454797568.0,-124881.84503368,0.9830470681190491,32.73,-168131.78125,0.0001
2158,-12.606818199157715,6624,245,0.0,530000,695367424.0,-115319.06876889998,0.9821329116821289,29.71,-187515.15625,0.0001
2156,-12.603825569152832,6749,250,0.0,540000,969556672.0,-124207.37832742998,0.981749415397644,30.17,-248213.546875,0.0001
2156,-12.598963737487793,6874,255,-1.1920928955078125e-07,550000,1986016896.0,-115577.14026483,0.9812718629837036,25.79,-379081.71875,0.0001
2156,-12.596495628356934,6999,259,-1.1920928955078125e-07,560000,2088485632.0,-107792.28168745998,0.9809542894363403,26.72,-339398.625,0.0001
2158,-12.595404624938965,7124,264,0.0,570000,837254592.0,-104243.12596347001,0.980803370475769,28.22,-209191.65625,0.0001
2159,-12.590021133422852,7249,268,0.0,580000,1970132608.0,-106069.01241258,0.9802547097206116,28.07,-243076.296875,0.0001
2157,-12.588519096374512,7374,273,2.384185791015625e-07,590000,1077929856.0,-97392.67525677997,0.9800533652305603,28.79,-290506.9375,0.0001
2155,-12.584601402282715,7499,278,-1.1920928955078125e-07,600000,1157789568.0,-96286.29775222998,0.9797018766403198,29.51,-256115.921875,0.0001
2153,-12.579822540283203,7624,283,-1.1920928955078125e-07,610000,797774656.0,-88693.96443015,0.9791687726974487,28.77,-76004.1953125,0.0001
2151,-12.57820987701416,7749,288,1.1920928955078125e-07,620000,3323744768.0,-90248.74672873999,0.9789636135101318,25.46,-631338.4375,0.0001
2147,-12.578027725219727,7874,293,1.1920928955078125e-07,630000,916060352.0,-113086.03836831998,0.9789500832557678,31.76,-238057.15625,0.0001
2145,-12.571099281311035,7999,298,0.0,640000,2474032384.0,-103618.43621724998,0.9782021045684814,27.61,-320141.8125,0.0001
2145,-12.564183235168457,8124,302,5.960464477539063e-08,650000,1041500544.0,-98151.69466013,0.9773975014686584,27.85,-236844.625,0.0001
2143,-12.562156677246094,8249,307,0.0,660000,2689177344.0,-94186.53048453,0.9772669672966003,28.15,-337612.75,0.0001
2138,-12.563825607299805,8374,313,1.1920928955078125e-07,670000,1484169984.0,-97876.66589441997,0.9774453639984131,30.31,-163500.171875,0.0001
2135,-12.55722713470459,8499,318,5.960464477539063e-08,680000,981861568.0,-69491.14743798,0.9767148494720459,29.2,-262650.75,0.0001
2132,-12.553228378295898,8624,323,0.0,690000,179601824.0,-69192.26989216,0.9762453436851501,26.97,-135069.53125,0.0001
2129,-12.54835319519043,8749,328,0.0,700000,1245765888.0,-89590.43378331998,0.975793182849884,27.77,-79628.828125,0.0001
2127,-12.5421142578125,8874,333,0.0,710000,1112053504.0,-94721.59793678999,0.9751231074333191,30.62,-277370.0625,0.0001
2126,-12.539825439453125,8999,338,0.0,720000,1190291200.0,-72878.52334887,0.974895179271698,27.3,-139956.03125,0.0001
2128,-12.52808666229248,9124,343,0.0,730000,1929093120.0,-73758.02756875,0.9735519886016846,30.19,-43203.83203125,0.0001
2127,-12.520869255065918,9249,347,0.0,740000,1216030464.0,-83709.65109149,0.9728777408599854,28.82,-47566.36328125,0.0001
2126,-12.520692825317383,9374,352,0.0,750000,1360737152.0,-62828.31003047,0.9727655053138733,25.33,-276186.4375,0.0001
