train/explained_variance,time/time_elapsed,train/learning_rate,train/std,rollout/ep_len_mean,train/policy_loss,train/n_updates,train/entropy_loss,rollout/ep_rew_mean,time/total_timesteps,time/fps,train/value_loss
0.0,288,0.0007,1.400119662284851,208.98,-66293.4296875,19999,-10.378487586975098,-270247.60657355003,400000,1387,99219984.0
1.1920928955078125e-07,295,0.0007,1.408434510231018,42.62,-147096.71875,20499,-10.412262916564941,-119779.52569321002,410000,1387,1153550080.0
-1.1920928955078125e-07,302,0.0007,1.4116696119308472,79.93,-787.0975341796875,20999,-10.42365837097168,-169075.48264066,420000,1386,10052.75
0.0,310,0.0007,1.4202622175216675,63.59,15669.2919921875,21499,-10.462113380432129,-150675.8714545,430000,1386,9240573.0
5.960464477539063e-08,317,0.0007,1.4101485013961792,116.92,-119287.3359375,21999,-10.425010681152344,-172024.05285870002,440000,1386,542251520.0
-1.1920928955078125e-07,324,0.0007,1.414650797843933,130.67,-42736.10546875,22499,-10.438141822814941,-212682.49216400995,450000,1386,40309676.0
-1.1920928955078125e-07,331,0.0007,1.414941668510437,218.62,-48552.80078125,22999,-10.432610511779785,-290025.02351374,460000,1387,83974392.0
0.0,338,0.0007,1.4193487167358398,249.55,-618.4076538085938,23499,-10.446236610412598,-301448.85826956,470000,1386,7027.890625
1.7881393432617188e-07,346,0.0007,1.431636929512024,193.86,-23793.115234375,23999,-10.488197326660156,-244209.56197891,480000,1386,25025748.0
0.0,353,0.0007,1.436691164970398,59.5,-83311.6484375,24499,-10.51136589050293,-132960.58868132,490000,1386,564889728.0
0.0,360,0.0007,1.4525197744369507,122.65,1457.6348876953125,24999,-10.568209648132324,-174688.14888484997,500000,1386,116377.7265625
1.7881393432617188e-07,367,0.0007,1.4532136917114258,134.73,-7133.40771484375,25499,-10.570502281188965,-193372.22746447005,510000,1386,5250240.5
0.0,374,0.0007,1.454537034034729,186.17,-944.4603271484375,25999,-10.576493263244629,-237386.82407612997,520000,1387,11532.935546875
0.0,382,0.0007,1.440139651298523,213.64,-257911.90625,26499,-10.52004337310791,-238906.83811629002,530000,1387,1068614336.0
0.0,389,0.0007,1.4475069046020508,198.44,-59446.9140625,26999,-10.54514217376709,-249226.34230261997,540000,1387,168079040.0
0.0,396,0.0007,1.4643192291259766,201.34,-140747.4375,27499,-10.614225387573242,-280901.3831983401,550000,1387,618980480.0
0.0,403,0.0007,1.4851282835006714,183.48,12263.962890625,27999,-10.70107364654541,-267725.12886731,560000,1387,8367712.0
0.0,411,0.0007,1.5092697143554688,75.92,-29002.86328125,28499,-10.784668922424316,-148386.58646247,570000,1386,510269280.0
0.0,418,0.0007,1.5109223127365112,114.52,6955.8232421875,28999,-10.807028770446777,-176082.99514238,580000,1386,1515392.25
1.1920928955078125e-07,425,0.0007,1.5155634880065918,105.51,1715.802490234375,29499,-10.833831787109375,-143423.46101302,590000,1386,171715.859375
1.1920928955078125e-07,432,0.0007,1.5099987983703613,73.82,-793.7267456054688,29999,-10.805373191833496,-132625.94305743,600000,1386,7649.79296875
-1.1920928955078125e-07,440,0.0007,1.5031242370605469,115.86,-988.28759765625,30499,-10.770659446716309,-166879.38034414,610000,1386,20094.080078125
0.0,447,0.0007,1.5040602684020996,207.29,-15873.015625,30999,-10.778244018554688,-241244.22589894995,620000,1385,30734362.0
-1.1920928955078125e-07,454,0.0007,1.5141247510910034,211.48,2342.180419921875,31499,-10.823713302612305,-246060.18305927995,630000,1385,448118.5625
0.0,462,0.0007,1.495091438293457,60.62,-43505.13671875,31999,-10.753686904907227,-142913.69243794,640000,1385,83652000.0
0.0,469,0.0007,1.5006252527236938,78.05,-41833.2890625,32499,-10.784661293029785,-119697.65847411999,650000,1384,156735248.0
-1.1920928955078125e-07,476,0.0007,1.5195082426071167,104.63,-175192.609375,32999,-10.839266777038574,-129292.42106708999,660000,1384,1896776064.0
1.1920928955078125e-07,484,0.0007,1.5330381393432617,113.65,-777.9124145507812,33499,-10.901908874511719,-155628.21592209,670000,1384,8178.61474609375
0.0,491,0.0007,1.5475047826766968,193.16,-98876.0078125,33999,-10.951798439025879,-208987.95083873,680000,1384,252402048.0
0.0,498,0.0007,1.5447012186050415,236.02,-35319.3515625,34499,-10.925954818725586,-272776.70201416,690000,1384,54338240.0
0.0,505,0.0007,1.5670690536499023,242.24,3069.77880859375,34999,-11.019372940063477,-285114.22655615996,700000,1384,320030.34375
0.0,512,0.0007,1.5909576416015625,262.76,-7717.80859375,35499,-11.09460163116455,-304045.06193985,710000,1384,5140654.5
1.1920928955078125e-07,520,0.0007,1.6152162551879883,267.93,-30820.76953125,35999,-11.167159080505371,-242233.85436299,720000,1384,24616420.0
0.0,527,0.0007,1.6417375802993774,192.46,-64313.3046875,36499,-11.26366901397705,-170921.87568722002,730000,1383,59936268.0
0.0,534,0.0007,1.633215308189392,89.22,-625.6138916015625,36999,-11.248872756958008,-181886.46771616995,740000,1383,5771.21337890625
1.1920928955078125e-07,542,0.0007,1.6716855764389038,161.45,-636.4720458984375,37499,-11.376996994018555,-233759.47627807996,750000,1383,6914.3310546875
1.7881393432617188e-07,549,0.0007,1.6492695808410645,86.38,-563.6871337890625,37999,-11.297390937805176,-111602.20654084999,760000,1383,5230.3662109375
0.0,556,0.0007,1.6546159982681274,107.81,-51386.8828125,38499,-11.322524070739746,-171528.77424693998,770000,1382,118695448.0
0.0,564,0.0007,1.6719475984573364,132.3,-338.6339416503906,38999,-11.39145565032959,-179802.75159227,780000,1382,1678.3466796875
1.1920928955078125e-07,571,0.0007,1.6805853843688965,198.79,-31223.25,39499,-11.41535758972168,-212366.58047833003,790000,1382,24736560.0
0.0,578,0.0007,1.6876364946365356,218.26,-443.662841796875,39999,-11.432252883911133,-222074.30114738,800000,1382,2942.81494140625
-1.1920928955078125e-07,585,0.0007,1.7090568542480469,218.62,-226237.25,40499,-11.512276649475098,-267540.14169337996,810000,1382,1907938560.0
-1.1920928955078125e-07,593,0.0007,1.7239723205566406,221.0,5438.142578125,40999,-11.568564414978027,-196885.21409095,820000,1382,1126908.625
-1.1920928955078125e-07,600,0.0007,1.7319765090942383,113.26,-162642.8125,41499,-11.598030090332031,-102518.77213859001,830000,1382,1437121792.0
-2.384185791015625e-07,607,0.0007,1.7565916776657104,99.79,-288.66351318359375,41999,-11.688870429992676,-160143.28186994998,840000,1382,734.0699462890625
1.7881393432617188e-07,614,0.0007,1.7515982389450073,132.86,-17138.18359375,42499,-11.670372009277344,-180043.08806475,850000,1382,15086434.0
0.0,622,0.0007,1.7807554006576538,129.3,-6785.1025390625,42999,-11.753310203552246,-165492.94913415998,860000,1382,5132073.0
0.0,629,0.0007,1.793906569480896,177.43,-12194.923828125,43499,-11.787643432617188,-207807.03089864002,870000,1382,25116828.0
1.1920928955078125e-07,636,0.0007,1.7993168830871582,136.21,-125049.046875,43999,-11.810469627380371,-192620.34349787005,880000,1382,342504544.0
0.0,643,0.0007,1.7884516716003418,134.61,-149589.875,44499,-11.790427207946777,-167426.11668028997,890000,1382,332716096.0
0.0,651,0.0007,1.7863603830337524,133.96,282.9639892578125,44999,-11.78533935546875,-173327.98046068,900000,1382,19080.73046875
1.1920928955078125e-07,658,0.0007,1.8062301874160767,127.47,-12292.759765625,45499,-11.84185791015625,-162361.61979782998,910000,1382,10236711.0
1.1920928955078125e-07,665,0.0007,1.8446532487869263,159.77,-28587.34375,45999,-11.956646919250488,-186910.79356585,920000,1382,24573306.0
0.0,672,0.0007,1.8735042810440063,223.92,-55090.7890625,46499,-12.027772903442383,-240054.12499357,930000,1381,60985428.0
5.960464477539063e-08,680,0.0007,1.87637460231781,183.64,-92302.265625,46999,-12.034238815307617,-213805.67599537002,940000,1381,271837920.0
1.7881393432617188e-07,687,0.0007,1.9059535264968872,230.42,-54624.2421875,47499,-12.116730690002441,-256445.9579466,950000,1381,68952584.0
0.0,694,0.0007,1.914690613746643,280.3,-483.10980224609375,47999,-12.115857124328613,-311866.93526889,960000,1381,3662.546875
0.0,702,0.0007,1.894227385520935,213.94,-230.87521362304688,48499,-12.041260719299316,-255332.71380475,970000,1381,442.98681640625
-1.1920928955078125e-07,709,0.0007,1.919298768043518,54.9,-24582.884765625,48999,-12.110236167907715,-106861.62094349999,980000,1381,75717096.0
0.0,716,0.0007,1.8953924179077148,139.43,-219.7958526611328,49499,-12.033392906188965,-170748.18127029002,990000,1381,414.49609375
5.960464477539063e-08,723,0.0007,1.9161168336868286,99.6,-648.363525390625,49999,-12.100187301635742,-197493.34188917,1000000,1381,6650.3955078125
