time/episodes,train/ent_coef,train/n_updates,train/learning_rate,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,train/ent_coef_loss,time/total_timesteps,train/actor_loss,time/fps,train/critic_loss
34865,235.66018676757812,47474,0.0055,5.0,33022.74357356,763,5.356640815734863,190000,-13539.501953125,248,43548920.0
36863,74.40003204345703,49974,0.0055,5.0,33021.9,803,6.569226264953613,200000,-39250.7265625,248,39736316.0
38570,122.04582977294922,52474,0.0055,5.0,33029.1,844,33.67017364501953,210000,-25441.21484375,248,42408416.0
39905,6590.94677734375,54974,0.0055,5.53,-232255.01113496,884,-6.995468616485596,220000,227670.265625,248,5048286720.0
41444,1971.7459716796875,57474,0.0055,5.2,-4192.031197079999,924,20.55347442626953,230000,118572.0625,248,560628800.0
43152,896.5781860351562,59974,0.0055,5.46,21296.02420348,964,6.686186790466309,240000,74623.078125,248,710648256.0
44987,576.2073974609375,62474,0.0055,6.1,611.9924257899999,1004,12.073907852172852,250000,61507.578125,249,404847552.0
46744,142.5167236328125,64974,0.0055,5.09,29795.8,1044,-5.952851295471191,260000,-22833.466796875,248,180239008.0
48730,97.4444808959961,67474,0.0055,5.62,-2186.3302486600005,1083,-61.325218200683594,270000,-31557.69921875,249,46308816.0
50568,137.07974243164062,69974,0.0055,5.02,32625.287580810003,1123,24.521183013916016,280000,-16986.25390625,249,70132448.0
52563,52.94786071777344,72474,0.0055,5.02,32625.09783957,1164,-7.948800086975098,290000,-33529.4765625,249,64344072.0
54350,326.10906982421875,74974,0.0055,7.36,-67927.11699938,1204,-120.46170043945312,300000,-23442.1171875,249,283702112.0
56291,92.3430404663086,77474,0.0055,5.58,1923.8,1244,-95.93830871582031,310000,-31229.271484375,249,62836928.0
58116,233.87155151367188,79974,0.0055,5.01,32827.7,1285,18.479745864868164,320000,-25643.63671875,249,52086056.0
60099,142.22506713867188,82474,0.0055,5.0,33030.0,1325,20.537975311279297,330000,-35618.0390625,248,105439640.0
62096,29.236724853515625,84974,0.0055,5.0,33030.0,1365,2.303189754486084,340000,-38432.07421875,248,20768424.0
63798,157.04537963867188,87474,0.0055,11.88,-275929.60178605,1406,-14.178640365600586,350000,-49311.01953125,248,95506768.0
65187,1064.5184326171875,89974,0.0055,5.18,26261.23120073,1446,48.84003448486328,360000,-3888.31787109375,248,573386496.0
66842,660.8872680664062,92474,0.0055,5.03,29594.3,1486,45.172298431396484,370000,6955.4765625,248,100986688.0
68772,265.48370361328125,94974,0.0055,5.0,32824.6,1526,18.287399291992188,380000,848.61669921875,248,89863872.0
70744,566.8901977539062,97474,0.0055,5.33,24932.178793550003,1567,19.390087127685547,390000,-10759.8046875,248,113793360.0
72459,382.63519287109375,99974,0.0055,5.1,30397.1,1607,54.90325164794922,400000,-3946.1220703125,248,187467824.0
74257,1230.2099609375,102474,0.0055,8.93,-137133.3919787,1651,57.441932678222656,410000,46618.46875,248,2340037120.0
76053,142.20655822753906,104974,0.0055,5.0,33029.1,1695,20.832426071166992,420000,-24680.67578125,247,126941592.0
78051,54.25333786010742,107474,0.0055,5.0,32917.4,1739,-2.4765701293945312,430000,-35435.70703125,247,44682872.0
79527,1283.6900634765625,109974,0.0055,12.61,-278921.64674414997,1783,23.405170440673828,440000,57520.88671875,246,416809216.0
80931,786.1732788085938,112474,0.0055,10.05,-185421.28706719997,1827,-13.40151596069336,450000,16162.5224609375,246,162166464.0
81507,49365.67578125,114974,0.0055,16.44,-482739.97465545,1870,-151.24063110351562,460000,1894365.75,245,1010491719680.0
82377,131629.375,117474,0.0055,8.69,-204574.79373223003,1914,162.0740203857422,470000,2871061.0,245,940209209344.0
84929,4442.5634765625,119974,0.0055,3.47,-141345.06153135002,1958,-76.19186401367188,480000,2099636.0,245,375853318144.0
87908,7422.4384765625,122474,0.0055,3.0,-130014.18293747002,2002,48.20069885253906,490000,1275238.5,244,177561518080.0
91122,4763.67529296875,124974,0.0055,3.07,-136740.26302759,2046,70.2520980834961,500000,900742.25,244,101149179904.0
94405,2199.64794921875,127474,0.0055,3.01,-134992.61265608997,2091,44.161102294921875,510000,331474.6875,243,17648820224.0
97640,185.28024291992188,129974,0.0055,3.01,-131525.80255095998,2135,5.67931604385376,520000,221383.96875,243,6428802048.0
