train/n_updates,rollout/ep_len_mean,train/policy_objective,train/learning_rate,rollout/ep_rew_mean,time/fps,train/explained_variance,train/is_line_search_success,train/std,time/time_elapsed,train/kl_divergence_loss,train/value_loss,time/total_timesteps
90,3.0,0.023516321554780006,0.0013,-118093.84702254001,1408,1.7881393432617188e-07,1.0,0.6950579285621643,525,0.00790427252650261,9713175892.8,740000
91,3.0,0.017746973782777786,0.0013,-118102.96416152999,1408,0.0,1.0,0.695682942867279,532,0.009265853092074394,9701292985.6,750000
92,3.02,0.02874719351530075,0.0013,-118284.36883179,1408,5.960464477539063e-08,1.0,0.6969348788261414,539,0.008266367949545383,9689304195.2,760000
93,3.01,0.013713588006794453,0.0013,-118172.11478881998,1408,0.0,1.0,0.6985783576965332,546,0.007004916202276945,9681480921.6,770000
95,3.0,0.03753964602947235,0.0013,-118093.92637146002,1405,0.0,1.0,0.6954789757728577,554,0.009794563986361027,9664097812.8,780000
96,3.01,0.02252642624080181,0.0013,-118180.42209192998,1406,-1.1920928955078125e-07,1.0,0.6949858665466309,561,0.009717133827507496,9644707276.8,790000
97,3.03,0.004652928560972214,0.0013,-118485.89536291998,1406,0.0,1.0,0.6954280734062195,568,0.007528658956289291,9646705096.0,800000
98,3.01,0.03074612282216549,0.0013,-118199.85086930002,1406,0.0,1.0,0.6942083239555359,575,0.006873968988656998,9652261499.2,810000
100,3.02,0.004393798764795065,0.0013,-118270.19905148998,1403,0.0,1.0,0.6949625611305237,584,0.006682808976620436,9610620670.4,820000
101,3.03,0.021509315818548203,0.0013,-118438.95969975,1403,0.0,1.0,0.6936139464378357,591,0.007189673837274313,9608020688.0,830000
102,3.01,0.020989036187529564,0.0013,-118165.00737524003,1403,0.0,1.0,0.6937862038612366,598,0.007727192714810371,9597555889.6,840000
103,3.05,0.004093212075531483,0.0013,-118541.93503681998,1403,-1.1920928955078125e-07,1.0,0.6925668716430664,605,0.005869127810001373,9590191972.8,850000
104,3.0,0.04279842600226402,0.0013,-118067.58464217998,1404,0.0,1.0,0.6912367343902588,612,0.009272071532905102,9616866433.6,860000
106,3.02,0.018855992704629898,0.0013,-118299.09011299997,1401,1.1920928955078125e-07,1.0,0.689074695110321,620,0.006380071397870779,9550775713.6,870000
107,3.01,0.03690362721681595,0.0013,-118162.29890396999,1401,0.0,1.0,0.6891724467277527,627,0.009816051460802555,9539564708.8,880000
108,3.0,0.01601928472518921,0.0013,-118082.42388564,1401,0.0,1.0,0.6840121150016785,634,0.008810978382825851,9521959782.4,890000
109,3.03,0.0262699443846941,0.0013,-118430.77028005,1401,0.0,1.0,0.6845261454582214,642,0.009130267426371574,9512447014.4,900000
111,3.0,0.01071861106902361,0.0013,-118048.99206675001,1399,0.0,1.0,0.6873651146888733,650,0.004653372336179018,9504683750.4,910000
112,3.0,0.014526725746691227,0.0013,-118055.13668130997,1399,0.0,1.0,0.6884329915046692,657,0.007828001864254475,9477241526.4,920000
113,3.03,0.007094762288033962,0.0013,-118509.90761728,1399,0.0,1.0,0.6876031756401062,664,0.007418740075081587,9475281376.0,930000
114,3.0,0.03443266451358795,0.0013,-118059.56709604,1399,0.0,1.0,0.6864118576049805,671,0.007924463599920273,9484755424.0,940000
115,3.01,0.016456736251711845,0.0013,-118253.34876585999,1399,1.7881393432617188e-07,1.0,0.6865809559822083,678,0.006648424547165632,9451671526.4,950000
117,3.0,0.026547955349087715,0.0013,-118069.04491126,1397,0.0,1.0,0.6897514462471008,687,0.00941730011254549,9439224440.0,960000
118,3.01,0.04551283270120621,0.0013,-118275.21066590998,1397,0.0,1.0,0.6903553605079651,694,0.006307543721050024,9588143691.2,970000
119,3.01,0.01833498477935791,0.0013,-118185.86512130001,1397,-1.1920928955078125e-07,1.0,0.6890352368354797,701,0.007307283114641905,9410751612.8,980000
120,3.0,0.02322300337255001,0.0013,-118053.78621156,1397,0.0,1.0,0.6900274157524109,708,0.007580963894724846,9399247384.0,990000
122,3.0,0.03442675620317459,0.0013,-118048.77268402999,1394,0.0,1.0,0.6892595887184143,717,0.006671717390418053,9375849451.2,1000000
