train/clip_fraction,train/n_updates,rollout/ep_rew_mean,train/loss,train/clip_range,time/fps,train/std,time/time_elapsed,train/entropy_loss,train/explained_variance,train/approx_kl,train/policy_gradient_loss,time/total_timesteps,rollout/ep_len_mean,train/learning_rate,train/value_loss
0.0,260,-191975.78198031,2892985856.0,0.2,1584,0.9956145882606506,138,-12.731240294873714,0.0,0.00025764824,-0.0007397854855298647,220000,31.3,0.0003,5997197689.2
0.0,280,-199485.16025689003,2943137280.0,0.2,1560,0.9955475330352783,147,-12.731403311342001,1.1920928955078125e-07,0.0009862299,-0.0017762301229595323,230000,34.42,0.0003,5780235000.0
0.0,290,-190944.75536039003,3117236736.0,0.2,1566,0.9956971406936646,153,-12.730812945216893,0.0,0.00034676693,-0.0007248406511280337,240000,32.74,0.0003,5792723376.8
0.0,300,-195997.29908867003,2798636800.0,0.2,1571,0.995509684085846,159,-12.730674460530281,0.0,0.00043597608,-0.0008280123387521598,250000,34.03,0.0003,5713965167.8
0.0,310,-197903.60246282,2848595968.0,0.2,1576,0.9950608015060425,164,-12.727739268541336,-1.1920928955078125e-07,0.00037360154,-0.0007898428796579537,260000,34.96,0.0003,5538466817.4
0.0,320,-219917.41259204998,2672683008.0,0.2,1580,0.9946447014808655,170,-12.723795621097088,0.0,0.00038515468,-0.000850107085534546,270000,39.99,0.0003,5527740781.2
0.0,340,-189126.21769822,3077963264.0,0.2,1561,0.9945173263549805,179,-12.720325595140457,0.0,0.00037320014,-0.0008268211046015495,280000,33.75,0.0003,5463545784.8
0.0,350,-198757.7614062,3233626880.0,0.2,1565,0.9941169023513794,185,-12.718983207643031,-1.1920928955078125e-07,0.0005633805,-0.0010777724062791094,290000,35.82,0.0003,5781243673.2
0.0,360,-217638.33844299,3068042752.0,0.2,1570,0.9940450191497803,191,-12.716797415167093,-1.1920928955078125e-07,0.0010752522,-0.0017762815374226192,300000,39.93,0.0003,5576971965.6
0.0,370,-186897.10237513002,2665122816.0,0.2,1574,0.9939433336257935,196,-12.716055000573396,5.960464477539063e-08,0.00027580693,-0.0007157987958635204,310000,32.24,0.0003,5525358763.6
0.0,390,-177467.76701118998,2994783232.0,0.2,1557,0.9941936135292053,205,-12.716020286083221,0.0,0.0001596242,-0.0005749612606450683,320000,30.08,0.0003,5748770438.8
0.0,400,-188728.6975774,2624894208.0,0.2,1561,0.9938752055168152,211,-12.716384128481149,0.0,0.00054088706,-0.001007944947014039,330000,31.25,0.0003,5897238287.2
0.0,410,-200409.73198743002,3234910208.0,0.2,1564,0.9937244057655334,217,-12.71420573592186,1.7881393432617188e-07,0.00047205106,-0.0008864270901540294,340000,37.42,0.0003,5666300823.2
0.0,420,-202781.79536291,2923370496.0,0.2,1568,0.993702232837677,223,-12.713419485092164,5.960464477539063e-08,0.0006903601,-0.0011099596018539159,350000,35.09,0.0003,5541132701.6
0.0,430,-207790.64508309,2443300864.0,0.2,1571,0.9931447505950928,229,-12.710797062516212,5.960464477539063e-08,0.00056356995,-0.001216193227628537,360000,38.44,0.0003,5575774091.6
0.0,450,-186728.38775237,3085687040.0,0.2,1557,0.9927308559417725,237,-12.705682720988989,0.0,0.00046246045,-0.0008956228148235823,370000,32.23,0.0003,5565665992.0
0.0,460,-200743.11107666002,2885982464.0,0.2,1560,0.9928170442581177,243,-12.704803960770368,5.960464477539063e-08,0.00042052357,-0.0009291796595789492,380000,36.46,0.0003,5447626471.0
0.0,470,-194627.15900395007,2723576320.0,0.2,1563,0.9924614429473877,249,-12.703559932857752,0.0,0.00016257292,-0.0005355776710530335,390000,34.82,0.0003,5542721069.6
0.0,480,-187138.84935857996,2453949184.0,0.2,1567,0.9926356077194214,255,-12.702708814293146,0.0,0.0003510295,-0.0006470995522249723,400000,33.87,0.0003,5256460276.6
