train/std,train/learning_rate,time/fps,rollout/ep_rew_mean,train/explained_variance,train/n_updates,train/value_loss,time/total_timesteps,train/entropy_loss,time/time_elapsed,rollout/ep_len_mean,train/policy_loss
1.1786047220230103,0.0007,1556,-146420.55287499,0.0,8999,2214313728.0,180000,-14.19108772277832,115,28.23,-433769.3125
1.1776918172836304,0.0007,1554,-144497.38175378,0.0,9499,226142896.0,190000,-14.19218635559082,122,28.42,-128651.9140625
1.1876401901245117,0.0007,1553,-152864.54367725,0.0,9999,212988208.0,200000,-14.257089614868164,128,28.54,-80318.015625
1.203932762145996,0.0007,1550,-111605.69276509997,0.0,10499,102559088.0,210000,-14.379499435424805,135,20.03,-28530.26171875
1.2228169441223145,0.0007,1549,-146713.26407451,1.1920928955078125e-07,10999,48416320.0,220000,-14.52027702331543,142,32.18,-50625.3359375
1.2347620725631714,0.0007,1550,-111084.19287413998,-1.1920928955078125e-07,11499,110232624.0,230000,-14.592666625976562,148,24.45,-67709.0625
1.2399611473083496,0.0007,1550,-144407.13779828002,0.0,11999,845272064.0,240000,-14.630128860473633,154,31.36,-384589.34375
1.2492655515670776,0.0007,1549,-161774.76066906002,-1.1920928955078125e-07,12499,1485179904.0,250000,-14.685735702514648,161,32.85,-265299.03125
1.248481035232544,0.0007,1549,-124042.95260006003,0.0,12999,49258136.0,260000,-14.668058395385742,167,25.03,-12472.376953125
1.2598795890808105,0.0007,1547,-114120.1075994,1.7881393432617188e-07,13499,4543860224.0,270000,-14.73554801940918,174,30.2,-665522.625
1.2729425430297852,0.0007,1547,-110718.66286887001,0.0,13999,82676352.0,280000,-14.812314987182617,180,28.27,-60610.6953125
1.2948129177093506,0.0007,1547,-115340.96689889001,-1.1920928955078125e-07,14499,695387904.0,290000,-14.962053298950195,187,19.31,-297517.3125
1.3017866611480713,0.0007,1546,-106524.19978220001,1.7881393432617188e-07,14999,1985460992.0,300000,-15.004350662231445,194,22.99,-265479.625
1.3060935735702515,0.0007,1545,-108585.44136366999,0.0,15499,614726784.0,310000,-15.03607177734375,200,18.55,-49189.00390625
1.3168597221374512,0.0007,1544,-111660.9894979,-1.1920928955078125e-07,15999,2348150784.0,320000,-15.123586654663086,207,28.19,54884.73828125
1.3252015113830566,0.0007,1544,-103579.47778125,0.0,16499,21014466.0,330000,-15.180170059204102,213,24.19,38251.41015625
1.336249589920044,0.0007,1544,-98221.80745132003,5.960464477539063e-08,16999,2276906240.0,340000,-15.250696182250977,220,28.6,-366570.53125
1.34475839138031,0.0007,1543,-114976.54597076001,0.0,17499,25622064.0,350000,-15.306516647338867,226,18.67,-35489.4140625
1.3491569757461548,0.0007,1543,-122351.68271368001,0.0,17999,1475723008.0,360000,-15.320402145385742,233,24.81,-263207.9375
1.3548842668533325,0.0007,1543,-125470.58814119996,-2.384185791015625e-07,18499,2558933760.0,370000,-15.364786148071289,239,19.41,-428953.1875
1.3641339540481567,0.0007,1543,-106649.94323406,0.0,18999,120588696.0,380000,-15.43937873840332,246,19.35,-121720.25
1.3826497793197632,0.0007,1544,-93719.64344613,5.960464477539063e-08,19499,1906783872.0,390000,-15.556089401245117,252,31.46,-275478.90625
1.3855186700820923,0.0007,1545,-159055.17909386,0.0,19999,2704868352.0,400000,-15.578325271606445,258,30.54,-395237.09375
1.3892252445220947,0.0007,1544,-125452.0302553,0.0,20499,1494649344.0,410000,-15.614545822143555,265,22.66,-256761.5
1.402225375175476,0.0007,1544,-130164.02920797,0.0,20999,2488587008.0,420000,-15.70037841796875,271,30.21,361571.625
1.4077458381652832,0.0007,1543,-135249.93164860003,0.0,21499,3204020992.0,430000,-15.745332717895508,278,29.99,-572542.3125
1.4073758125305176,0.0007,1543,-107956.70107372,0.0,21999,32584640.0,440000,-15.742250442504883,285,22.75,-53554.40625
1.4069547653198242,0.0007,1542,-93458.23164702,0.0,22499,40118216.0,450000,-15.749921798706055,291,13.52,-81192.015625
1.4177782535552979,0.0007,1543,-134241.09023157004,1.1920928955078125e-07,22999,45512256.0,460000,-15.832460403442383,298,34.45,-52798.07421875
1.4354959726333618,0.0007,1543,-163610.31047693,0.0,23499,357543328.0,470000,-15.948152542114258,304,29.58,-199864.375
1.4348660707473755,0.0007,1543,-111671.30642827998,0.0,23999,63216872.0,480000,-15.953901290893555,310,26.47,1835.3984375
1.4471789598464966,0.0007,1544,-152173.19457751,0.0,24499,45101776.0,490000,-16.026721954345703,317,35.91,-36180.6953125
1.4470829963684082,0.0007,1544,-182664.27110086998,1.1920928955078125e-07,24999,334935136.0,500000,-16.034908294677734,323,45.19,-224536.328125
1.4560344219207764,0.0007,1544,-128774.02973446,-1.1920928955078125e-07,25499,1295548800.0,510000,-16.084957122802734,330,34.07,-351039.71875
1.4543319940567017,0.0007,1545,-114630.6091679,1.7881393432617188e-07,25999,162384768.0,520000,-16.07293128967285,336,28.83,-134966.96875
1.457045078277588,0.0007,1546,-52252.532572489996,0.0,26499,3707276544.0,530000,-16.093225479125977,342,43.96,578672.875
1.4728221893310547,0.0007,1546,-140011.48318581,0.0,26999,82171136.0,540000,-16.19373893737793,349,24.31,-46551.5546875
1.4825979471206665,0.0007,1546,-114069.69280640001,0.0,27499,6928767488.0,550000,-16.24693489074707,355,23.99,-328063.34375
1.485264539718628,0.0007,1546,-75001.39284575,0.0,27999,424347456.0,560000,-16.26826286315918,362,42.73,-197455.0
1.494541049003601,0.0007,1546,-95109.43480365998,0.0,28499,223229184.0,570000,-16.322675704956055,368,20.25,-114289.796875
1.5189307928085327,0.0007,1545,-148726.24705168,0.0,28999,1537781504.0,580000,-16.458148956298828,375,48.86,-277441.40625
1.5122781991958618,0.0007,1544,-212726.66715514997,0.0,29499,1809665664.0,590000,-16.423601150512695,381,68.5,-281184.34375
1.5172181129455566,0.0007,1543,-126464.71822886002,-1.1920928955078125e-07,29999,979329.6875,600000,-16.4532470703125,388,28.49,6258.0380859375
1.525278925895691,0.0007,1543,-122367.57655243999,-1.1920928955078125e-07,30499,193661728.0,610000,-16.497806549072266,395,41.49,-162699.453125
1.5370384454727173,0.0007,1542,-232321.51662892,-1.1920928955078125e-07,30999,53906560.0,620000,-16.567140579223633,401,48.77,-83463.359375
1.5348161458969116,0.0007,1541,-130549.96693323001,0.0,31499,537963392.0,630000,-16.547107696533203,408,23.23,62935.7890625
1.5614863634109497,0.0007,1541,-111886.83749318002,0.0,31999,61345400.0,640000,-16.688600540161133,415,22.74,38907.78515625
1.567359209060669,0.0007,1540,-108632.28161003,0.0,32499,2541476096.0,650000,-16.7169189453125,422,27.09,-508223.9375
1.5693104267120361,0.0007,1539,-103928.66390901998,1.1920928955078125e-07,32999,1697139968.0,660000,-16.723617553710938,428,19.72,-404133.90625
1.5849814414978027,0.0007,1539,-132380.67128230998,0.0,33499,970874176.0,670000,-16.815919876098633,435,28.17,-163399.140625
1.5939477682113647,0.0007,1538,-86248.34993344998,1.1920928955078125e-07,33999,1097417344.0,680000,-16.871843338012695,442,20.25,-340322.40625
1.61855149269104,0.0007,1537,-112054.22326943,0.0,34499,127537456.0,690000,-17.00584602355957,448,17.06,-65966.703125
1.6358634233474731,0.0007,1536,-98408.03924027998,0.0,34999,657959936.0,700000,-17.106260299682617,455,33.89,-16655.962890625
1.636070728302002,0.0007,1536,-95623.85197136998,0.0,35499,1859301376.0,710000,-17.10687828063965,462,39.77,-360315.25
1.6484020948410034,0.0007,1535,-124408.20137904,1.1920928955078125e-07,35999,704008384.0,720000,-17.176054000854492,468,31.51,-161612.0
1.647424578666687,0.0007,1535,-175605.19117152,-1.1920928955078125e-07,36499,1266802944.0,730000,-17.17144203186035,475,28.8,-364068.875
1.6604472398757935,0.0007,1535,-102471.53712185,-1.1920928955078125e-07,36999,2586330368.0,740000,-17.245725631713867,481,39.16,396929.90625
1.6553630828857422,0.0007,1535,-114273.80520568001,1.1920928955078125e-07,37499,973288832.0,750000,-17.225465774536133,488,50.73,-111416.890625
1.6720973253250122,0.0007,1535,-104440.65434823999,-1.1920928955078125e-07,37999,64703020.0,760000,-17.318559646606445,495,31.44,-72856.359375
1.6963196992874146,0.0007,1534,-186130.39540831998,0.0,38499,1082692736.0,770000,-17.441648483276367,501,25.27,-256526.375
1.7186628580093384,0.0007,1535,-115913.36699253,-1.1920928955078125e-07,38999,999394816.0,780000,-17.546262741088867,508,24.62,-137777.78125
1.7327616214752197,0.0007,1535,-120012.63599468999,1.7881393432617188e-07,39499,123609456.0,790000,-17.61170768737793,514,37.03,-102940.078125
1.7432384490966797,0.0007,1536,-149330.95097398,0.0,39999,277540928.0,800000,-17.676469802856445,520,37.59,-203057.25
1.754586935043335,0.0007,1537,-141865.45912167002,0.0,40499,1716051712.0,810000,-17.728452682495117,526,35.7,-433861.6875
1.7566208839416504,0.0007,1537,-102876.05747782999,5.960464477539063e-08,40999,2885257728.0,820000,-17.72674560546875,533,16.49,-510460.0625
1.768325924873352,0.0007,1537,-123338.36037434,0.0,41499,2338741760.0,830000,-17.78758430480957,539,33.85,-430484.25
1.7762430906295776,0.0007,1538,-171400.70610429,0.0,41999,193330144.0,840000,-17.82943344116211,546,40.08,-209175.78125
1.78712797164917,0.0007,1537,-105234.62211657001,0.0,42499,4156816640.0,850000,-17.888660430908203,552,41.46,842455.375
1.768350601196289,0.0007,1537,-107710.89597156,0.0,42999,40060704.0,860000,-17.794559478759766,559,36.85,23056.92578125
1.7745070457458496,0.0007,1536,-89334.72789937,0.0,43499,381963296.0,870000,-17.820056915283203,566,32.05,-170697.53125
1.7830069065093994,0.0007,1536,-144497.43447469003,0.0,43999,179045296.0,880000,-17.86839485168457,572,33.71,-113509.8984375
1.7917115688323975,0.0007,1536,-136151.15885025,-1.1920928955078125e-07,44499,1208960256.0,890000,-17.905778884887695,579,33.67,-259817.34375
1.7885682582855225,0.0007,1536,-119123.6836304,0.0,44999,3761533696.0,900000,-17.884431838989258,585,24.1,-682215.6875
1.785948395729065,0.0007,1537,-126107.17710037,0.0,45499,2385879040.0,910000,-17.86944007873535,591,29.55,-436697.84375
1.7851415872573853,0.0007,1538,-114506.17300858999,0.0,45999,35818544.0,920000,-17.866697311401367,597,24.54,-42485.46484375
1.8038679361343384,0.0007,1539,-100027.66778851999,-1.1920928955078125e-07,46499,13183694.0,930000,-17.94088363647461,604,21.85,33048.25
1.8165329694747925,0.0007,1540,-183527.89523657,0.0,46999,1552057088.0,940000,-17.998126983642578,610,76.1,-431534.09375
1.8227803707122803,0.0007,1540,-131987.76154356002,0.0,47499,94594288.0,950000,-18.02424430847168,616,32.32,-121977.3359375
1.8284950256347656,0.0007,1541,-108153.46128364,0.0,47999,968707584.0,960000,-18.040790557861328,622,22.6,-127880.390625
1.828307032585144,0.0007,1541,-201112.12443686,-1.1920928955078125e-07,48499,65508832.0,970000,-18.032670974731445,629,50.11,-66118.6328125
1.8359655141830444,0.0007,1541,-114456.84852772001,0.0,48999,105821520.0,980000,-18.072967529296875,635,29.08,-88685.71875
1.8760294914245605,0.0007,1542,-312836.15368868,-1.1920928955078125e-07,49499,2112975232.0,990000,-18.265546798706055,641,95.05,214438.15625
1.8878129720687866,0.0007,1542,-78902.61061287,1.1920928955078125e-07,49999,220787360.0,1000000,-18.308639526367188,648,26.74,-151580.359375
