rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,train/actor_loss,train/ent_coef_loss,time/total_timesteps,train/n_updates,time/episodes,train/learning_rate,train/ent_coef,train/critic_loss
3.0,77,3848,-118011.66039097002,115928.4140625,14.481904029846191,300000,74974,89529,0.0055,37.97047424316406,18254452.0
3.02,77,3977,-118877.44115238002,104802.53125,-24.468952178955078,310000,77474,92566,0.0055,42.36677169799805,17780082.0
3.0,77,4105,-118407.65094936002,111051.9375,9.2871675491333,320000,79974,95490,0.0055,25.165058135986328,14362548.0
3.0,77,4234,-118148.98836209,107575.609375,8.938467979431152,330000,82474,98584,0.0055,26.197946548461914,14595092.0
3.57,77,4362,-125604.44343275997,108129.9609375,-14.672554969787598,340000,84974,101897,0.0055,25.00853157043457,5346431.5
3.0,77,4489,-118234.78895228001,112830.3359375,10.987473487854004,350000,87474,105123,0.0055,26.457916259765625,2860377.5
3.0,77,4616,-118179.37432489,109370.5,-14.874249458312988,360000,89974,108433,0.0055,58.302154541015625,2147549.75
3.0,78,4743,-118143.90381299,108274.5625,-6.575876235961914,370000,92474,111761,0.0055,15.071772575378418,7682688.5
3.0,78,4871,-118376.35924942998,111808.640625,13.461679458618164,380000,94974,114599,0.0055,64.59327697753906,17746778.0
3.0,77,5000,-118421.18140839001,109255.5859375,19.085506439208984,390000,97474,117731,0.0055,36.15411376953125,8047682.5
3.04,77,5128,-119211.64185801,119344.15625,52.95635986328125,400000,99974,120472,0.0055,159.9276885986328,36161584.0
3.0,78,5255,-118079.11035557,107536.375,5.741950035095215,410000,102474,123794,0.0055,17.43976593017578,8215934.5
3.0,78,5381,-118127.29865048,108004.0546875,-9.545476913452148,420000,104974,127129,0.0055,9.210002899169922,30435548.0
3.01,78,5508,-119288.36219464002,128972.3203125,10.238582611083984,430000,107474,129726,0.0055,567.1908569335938,129566016.0
3.13,78,5634,-119931.87640247,117112.15625,12.999907493591309,440000,109974,132993,0.0055,70.46566009521484,39011888.0
3.1,78,5761,-120449.17472546002,169596.6875,-44.32905197143555,450000,112474,135837,0.0055,814.9225463867188,438031104.0
3.0,78,5887,-118695.40610746,117330.015625,18.182703018188477,460000,114974,138485,0.0055,28.393579483032227,26268372.0
3.0,78,6010,-118327.98743938001,106903.4375,5.4328436851501465,470000,117474,141803,0.0055,9.145553588867188,16608840.0
3.0,78,6133,-118355.63217939,109443.4296875,8.209561347961426,480000,119974,144888,0.0055,17.285228729248047,8285744.0
3.06,78,6256,-119201.93054746003,108269.921875,19.929811477661133,490000,122474,147932,0.0055,34.08854675292969,6369713.0
3.0,78,6380,-118190.66157237,105631.40625,-3.2910866737365723,500000,124974,151217,0.0055,10.950226783752441,917058.0625
5.04,78,6503,-161651.74208939998,119494.0859375,-76.05293273925781,510000,127474,154436,0.0055,10.99957275390625,99538528.0
3.08,78,6627,-120381.56674611999,118447.4609375,5.772669792175293,520000,129974,156645,0.0055,95.42399597167969,80840904.0
3.0,78,6752,-118778.46947581,108460.0234375,5.625929832458496,530000,132474,159932,0.0055,11.504925727844238,10481379.0
3.0,78,6878,-118143.93366444,116987.8125,11.202004432678223,540000,134974,163019,0.0055,33.1136360168457,8124044.0
3.0,78,7003,-118160.50837749001,106385.3359375,4.193238258361816,550000,137474,166293,0.0055,20.438907623291016,14439800.0
3.0,78,7129,-118164.86009491001,107772.1875,1.4056756496429443,560000,139974,169450,0.0055,7.841789722442627,1843967.75
3.0,78,7254,-118170.92782567996,104948.8125,-0.3157995343208313,570000,142474,172766,0.0055,11.454916954040527,2352275.0
3.02,78,7379,-118840.17418949999,123362.3984375,27.235599517822266,580000,144974,175292,0.0055,280.8142395019531,294265216.0
3.0,78,7507,-118296.47229081,129413.921875,17.326919555664062,590000,147474,177777,0.0055,34.68571853637695,26451548.0
3.0,78,7634,-118169.00572199999,121115.1328125,-0.14380303025245667,600000,149974,181078,0.0055,21.654266357421875,10733704.0
3.0,78,7763,-118111.15657509999,115734.0625,3.0178704261779785,610000,152474,184409,0.0055,11.096698760986328,2397810.0
3.0,78,7891,-117990.10503741998,107244.09375,-0.7279088497161865,620000,154974,187742,0.0055,6.721962928771973,480961.28125
3.0,78,8019,-118189.92748001,110364.1796875,2.2936670780181885,630000,157474,190652,0.0055,11.501236915588379,10051368.0
3.0,78,8147,-118119.81706779003,105949.015625,4.834970951080322,640000,159974,193842,0.0055,8.036467552185059,2263038.75
3.0,78,8274,-118045.65096280999,105779.3671875,1.5960278511047363,650000,162474,197130,0.0055,7.717087268829346,1594968.0
3.01,78,8399,-119072.36731509,104959.40625,-12.78083324432373,660000,164974,200455,0.0055,16.514402389526367,12042962.0
3.0,78,8522,-118006.70101911003,104483.0859375,1.7854855060577393,670000,167474,203542,0.0055,9.817813873291016,1260273.5
3.0,78,8646,-117982.66888436001,104950.2265625,3.0529985427856445,680000,169974,206874,0.0055,7.161767482757568,303776.8125
3.01,78,8770,-118361.45449876999,103244.7421875,4.289941787719727,690000,172474,210103,0.0055,13.872990608215332,2765758.0
3.02,78,8894,-118475.05440141,116949.875,-20.307092666625977,700000,174974,213073,0.0055,60.62100601196289,8826351.0
3.0,78,9018,-118672.72908520997,110713.640625,36.914833068847656,710000,177474,215362,0.0055,61.60295867919922,69170960.0
3.0,78,9142,-118287.24660029,109100.5078125,6.75129508972168,720000,179974,218695,0.0055,19.60120391845703,8285002.5
3.0,78,9266,-118170.60994226,107835.5703125,3.594550609588623,730000,182474,222008,0.0055,12.171618461608887,4200893.0
3.0,78,9395,-118370.18445886998,103195.3125,-10.116342544555664,740000,184974,225311,0.0055,12.054459571838379,1514910.0
9.02,78,9524,-310848.67030157,124287.3046875,-62.9884147644043,750000,187474,228320,0.0055,54.04959487915039,18353694.0
3.02,78,9652,-118651.37625251999,113351.9140625,-1.098678708076477,760000,189974,231359,0.0055,99.01195526123047,4413070.0
3.0,78,9781,-118075.56456577999,107704.546875,3.563488721847534,770000,192474,234592,0.0055,8.838546752929688,2316652.5
3.0,78,9910,-118152.27228291999,108613.3671875,6.584264755249023,780000,194974,237906,0.0055,13.707858085632324,3008766.0
3.0,78,10041,-118160.75700159,104703.875,19.96689224243164,790000,197474,241221,0.0055,15.766852378845215,448194.6875
3.0,78,10173,-118159.4539186,105583.96875,7.070873737335205,800000,199974,244299,0.0055,10.32517147064209,113167.5703125
3.0,78,10304,-117970.38698489,107564.765625,-1.8788201808929443,810000,202474,247631,0.0055,6.633739471435547,519847.5625
3.0,78,10435,-118244.40098817,110486.8984375,-6.851325511932373,820000,204974,250963,0.0055,87.02289581298828,662196.4375
3.0,78,10566,-119183.10557404,121623.65625,55.113136291503906,830000,207474,253882,0.0055,69.87026977539062,31615400.0
3.0,78,10695,-118105.70154543,110553.1328125,-88.61490631103516,840000,209974,257142,0.0055,23.868589401245117,25044352.0
3.0,78,10825,-118156.69852915,104336.328125,4.558915138244629,850000,212474,260474,0.0055,5.527662754058838,1282078.625
3.0,78,10955,-118225.85632359999,105821.1640625,-14.692174911499023,860000,214974,263705,0.0055,51.77852249145508,2792049.0
3.11,78,11085,-119781.24273682,105707.1640625,0.3339179456233978,870000,217474,266801,0.0055,31.12080955505371,5726992.5
3.15,78,11215,-119979.67661934,123387.390625,27.858314514160156,880000,219974,269354,0.0055,126.59734344482422,65131632.0
3.01,78,11346,-118220.42044045002,107941.546875,4.808775901794434,890000,222474,272596,0.0055,24.774492263793945,11358410.0
3.03,78,11476,-119772.365616,113688.046875,-7.766086101531982,900000,224974,275760,0.0055,69.8414535522461,13416132.0
3.03,78,11606,-118711.93016673998,113511.640625,32.156341552734375,910000,227474,278606,0.0055,117.31968688964844,15948049.0
3.09,78,11736,-119114.12970985,114402.5859375,2.9612369537353516,920000,229974,281867,0.0055,27.903623580932617,4052540.0
3.0,78,11868,-118171.56512182,108074.328125,22.117448806762695,930000,232474,285199,0.0055,23.022048950195312,3485619.5
3.19,78,11999,-120761.29711798,125042.7578125,-62.07296371459961,940000,234974,287857,0.0055,73.0859375,116620192.0
3.63,78,12131,-128947.70570723,150204.21875,-8.22701644897461,950000,237474,290089,0.0055,392.456787109375,254353024.0
3.06,78,12262,-119270.10683487,120532.796875,37.080101013183594,960000,239974,293169,0.0055,171.0202178955078,7630053.0
3.0,78,12394,-118297.81081564,119165.46875,2.0798747539520264,970000,242474,296456,0.0055,33.49540710449219,6941855.0
3.01,78,12526,-118444.37245049,107667.3046875,14.526224136352539,980000,244974,299620,0.0055,45.20159912109375,23837524.0
3.01,78,12657,-118611.01570148,106362.453125,31.247913360595703,990000,247474,302655,0.0055,126.14949798583984,3711599.0
3.0,78,12789,-118221.24560576,106193.875,-0.35523682832717896,1000000,249974,305970,0.0055,35.86237716674805,2356209.5
