time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,train/actor_loss,train/ent_coef_loss,time/fps,train/critic_loss,train/learning_rate,time/episodes,train/n_updates,train/ent_coef,rollout/ep_len_mean
4562,610000,-412115.29448646994,3175649.5,-0.43298786878585815,133,107073.265625,0.0003,33717,152474,151.46047973632812,12.63
4640,620000,-1893203.0282471904,3131749.75,0.590877890586853,133,126949.7890625,0.0003,34035,154974,158.37985229492188,45.88
4716,630000,-4862113.74290554,3169190.0,1.2002487182617188,133,100728.3359375,0.0003,34118,157474,180.79319763183594,123.81
4793,640000,-446686.80623636,3149746.0,-6.113245964050293,133,65811.9765625,0.0003,34558,159974,183.99114990234375,13.8
4871,650000,-388074.41722986,3155395.25,5.350244522094727,133,103439.734375,0.0003,35395,162474,172.3344268798828,11.67
4948,660000,-349881.92436539003,3198050.5,-1.0962042808532715,133,108048.8046875,0.0003,36186,164974,175.46054077148438,10.91
5025,670000,-2476600.973463,3179435.0,3.927375316619873,133,110378.171875,0.0003,36597,167474,196.39669799804688,56.43
5104,680000,-4030904.1483358103,3187437.75,3.4271609783172607,133,91952.6640625,0.0003,36673,169974,190.15643310546875,88.34
5182,690000,-638210.1050132499,3215188.5,-1.7727956771850586,133,100996.046875,0.0003,36912,172474,161.3809051513672,19.9
5261,700000,-690442.33160781,3199558.75,-1.7199362516403198,133,100227.6328125,0.0003,37475,174974,159.21595764160156,20.81
5337,710000,-312004.33621322,3198178.75,0.8830740451812744,133,114465.453125,0.0003,38070,177474,180.09376525878906,9.86
5414,720000,-204807.48234888006,3187096.25,6.194570541381836,132,75695.3359375,0.0003,39257,179974,191.89950561523438,5.8
5492,730000,-784967.3626908502,3139331.5,1.3447227478027344,132,101815.65625,0.0003,40375,182474,210.90625,19.2
5569,740000,-296708.2818245799,3105471.25,3.421426296234131,132,110550.6171875,0.0003,40797,184974,193.2888946533203,9.12
5647,750000,-621513.9512464,3100602.5,0.4526737332344055,132,79934.6796875,0.0003,41545,187474,181.5716094970703,19.75
5724,760000,-345119.67020202,3100290.5,0.8890085220336914,132,131689.984375,0.0003,42162,189974,172.43019104003906,10.91
5802,770000,-201732.90387128002,3131147.5,2.1128034591674805,132,121940.2734375,0.0003,43630,192474,181.6303253173828,5.74
5878,780000,-221068.65166845,3143150.5,-0.6363838911056519,132,117806.59375,0.0003,45142,194974,203.07449340820312,6.35
5955,790000,-302738.44139125,3076685.5,-2.44563627243042,132,98651.2421875,0.0003,46452,197474,228.2166748046875,9.23
6031,800000,-921400.86543896,3068498.0,-1.4622982740402222,132,97897.1796875,0.0003,47075,199974,242.05023193359375,28.13
6108,810000,-3034718.81941753,3023267.75,-4.614037990570068,132,103659.3359375,0.0003,47156,202474,236.39759826660156,86.05
6185,820000,-6915781.079109839,3032634.25,-0.9500824809074402,132,111709.390625,0.0003,47166,204974,226.17543029785156,183.14
6262,830000,-1698664.9227758304,3032531.5,0.08273884654045105,132,95036.9296875,0.0003,47331,207474,227.27024841308594,51.52
6339,840000,-242168.74583279996,3041194.0,0.315005362033844,132,118454.0078125,0.0003,48394,209974,248.93145751953125,7.1
6416,850000,-284837.82919270004,2987726.75,3.6166462898254395,132,98964.9609375,0.0003,49726,212474,277.65716552734375,8.56
6493,860000,-645427.09560022,2928663.0,-0.5830496549606323,132,97783.546875,0.0003,50384,214974,300.3517150878906,20.21
6572,870000,-2140280.82653265,2867586.25,5.269720554351807,132,77910.6953125,0.0003,50516,217474,292.729736328125,69.85
6650,880000,-311496.22456159996,2861722.0,2.9244773387908936,132,106791.21875,0.0003,50928,219974,304.3467712402344,9.5
6727,890000,-490232.13872678,2764382.5,-1.2750561237335205,132,114790.9453125,0.0003,51524,222474,309.08721923828125,15.61
6805,900000,-551232.12005991,2722535.75,2.3254358768463135,132,92908.0625,0.0003,52159,224974,293.37335205078125,17.88
6883,910000,-412871.0808935,2681885.25,-4.219366073608398,132,101855.5703125,0.0003,52788,227474,282.4132995605469,13.19
6961,920000,-390255.58996107004,2692549.5,0.0035822689533233643,132,102638.421875,0.0003,53534,229974,287.46246337890625,12.63
7039,930000,-189744.19772730005,2661123.0,2.764312505722046,132,90877.6796875,0.0003,54287,232474,297.85809326171875,5.31
7117,940000,-212060.2535845,2636673.5,1.2191455364227295,132,87639.828125,0.0003,56178,234974,340.00616455078125,5.94
7195,950000,-776247.6585359201,2556487.0,-0.948830246925354,132,105458.171875,0.0003,56935,237474,342.47015380859375,20.49
7272,960000,-836659.6698577,2550120.0,-3.524545907974243,132,86873.234375,0.0003,57426,239974,346.41705322265625,25.06
7351,970000,-4741407.4024605295,2473629.75,-1.185306429862976,131,101219.453125,0.0003,57510,242474,342.0624694824219,103.78
7429,980000,-182367.23580220997,2481991.25,1.9635907411575317,131,114337.546875,0.0003,58260,244974,365.361572265625,5.0
7507,990000,-260890.33445254003,2430361.25,-5.491209506988525,131,126286.0546875,0.0003,60134,247474,409.3787536621094,7.23
7585,1000000,-1306286.48496793,2429320.0,1.6847176551818848,131,80670.09375,0.0003,60860,249974,425.33331298828125,37.76
